Year	Year2	AllDegrees	Bachelor				CoreHumanities	CoreHumanitiesPercent	English	History	Languages	Philosophy
1948	1948	272144	237937				27826	11.69%	12614	9245	4241	1726
1949	1949	366634	331685				32244	9.72%	14926	10491	4681	2146
1950	1950	433734	396666				38808	9.78%	17246	13567	5160	2835
1951	1951	384352	346652				35416	10.22%	15505	12321	4936	2654
1952	1952	331924	295693				31142	10.53%	14087	10216	4418	2421
1953	1953	304857	269540				28871	10.71%	12667	9576	4068	2560
1954	1954	292880	257800				27589	10.70%	12566	9385	3793	1845
1955	1955	287401	253690				27961	11.02%	13099	9540	3548	1774
1956	1956	311298	278103				31593	11.36%	14406	10540	3979	2668
1957	1957	340347	306233				34273	11.19%	15426	11692	4322	2833
1958	1958	365748	330134				37036	11.22%	16669	12883	4503	2981
1959	1959	385151	346383				39955	11.53%	18292	13742	4767	3154
1960	1960	394889	357976				43931	12.27%	20184	14783	5498	3466
1961	1961	365337	365337				47826	13.09%	21888	15768	6524	3646
1962	1962	382822	382822				53574	13.99%	24412	17405	8032	3725
1963	1963	410421	410421				62105	15.13%	28088	20071	9861	4085
1964	1964	460467	460467				73389	15.94%	32731	23485	12363	4810
1965	1965	492984	492984				80938	16.42%	36183	25854	14091	4810
1966	1966	524117	524117				88503	16.89%	39190	28770	15519	5024
1967	1967	562369	562369				96668	17.19%	42430	31793	17025	5420
1968	1968	636863	636863				108832	17.09%	48126	35416	19522	5768
1969	1969	734003	734003				123541	16.83%	54359	41079	21985	6118
1971	1971	846110	846110				136213	16.10%	64012	44931	21480	5790
1972	1972	894110	894110				134143	15.00%	63810	43975	20405	5953
1973	1973	930000	930000				128619	13.83%	60734	41223	20728	5934
1975	1975	931663	931663				103939	11.16%	47148	31768	19675	5348
1977	1977	928228	928228				83669	9.01%	37745	25608	15865	4451
1978	1978	930201	930201				76968	8.27%	35174	23145	14614	4035
1980	1980	940251	940251				68186	7.25%	32381	19414	12675	3716
1981	1981	946877	946877				66010	6.97%	32057	18413	11877	3663
1982	1982	964043	964043				65269	6.77%	33234	17246	11372	3417
1984	1984	986000	986000				63712	6.46%	32410	16737	11246	3319
1985	1985	991000	991000				63844	6.44%	32747	16143	11577	3377
1986	1986	1000204	1000204				65670	6.57%	34261	16499	11623	3287
1987	1987	1005021	1005021				67140	6.68%	35220	16876	11759	3285
1988	1988	1009223	1009223				71394	7.07%	37997	18245	11563	3589
1989	1989	1030000	1030000				78109	7.58%	41631	20136	12469	3873
1990	1990	1062000	1062000				85941	8.09%	46286	22266	13102	4287
1991	1991	1108000	1108000				94158	8.50%	50999	24593	13964	4602
1992	1992	1150000	1150000				100797	8.76%	54195	27027	14705	4870
1993	1993	1179000	1179000				103324	8.76%	55255	27821	15383	4865
1994	1994	1191139	1191139				100661	8.45%	53079	27561	15304	4717
1995	1995	1182780	1182780				96818	8.19%	51056	26643	14658	4461
1996	1996	1181637	1181637				95431	8.08%	49843	26064	14937	4587
1997	1997	1188385	1188385				92902	7.82%	48526	25276	14562	4538
1998	1998	1203827	1203827				94848	7.88%	48861	25797	15319	4871
2000	1999	1259231	1259231				96048	7.63%	49912	25324	16005	4807
2001	2000	1319233	1319233				107070	8.12%	53142	27236	20810	5882
2002	2001	1375026	1375026				111965	8.14%	55148	28467	21759	6591
