"Year: All values"
"Carnegie Classification (standardized): All values"
"Academic Discipline, Detailed (standardized): All values"
"Gender: All values"
"Level of Degree or Other Award: Bachelor's Degrees"
,,,"","Degrees/Awards Conferred (NCES population of institutions) (Sum)","Degrees/Awards Conferred-2nd Major (NCES population of institutions) (Sum)"
"Year","Carnegie Classification (standardized)","Academic Discipline, Detailed (standardized)","Gender","",""
"1966","Research I","Aerospace Engineering","Female","4","."
"1966","Research I","Aerospace Engineering","Male","970","."
"1966","Research I","Chemical Engineering","Female","17","."
"1966","Research I","Chemical Engineering","Male","1,543","."
"1966","Research I","Civil Engineering","Female","13","."
"1966","Research I","Civil Engineering","Male","2,546","."
"1966","Research I","Electrical Engineering","Female","17","."
"1966","Research I","Electrical Engineering","Male","5,157","."
"1966","Research I","Mechanical Engineering","Female","12","."
"1966","Research I","Mechanical Engineering","Male","3,316","."
"1966","Research I","Materials Engineering","Female","3","."
"1966","Research I","Materials Engineering","Male","387","."
"1966","Research I","Industrial Engineering","Female","6","."
"1966","Research I","Industrial Engineering","Male","1,107","."
"1966","Research I","Other Engineering","Female","17","."
"1966","Research I","Other Engineering","Male","1,620","."
"1966","Research I","Astronomy","Female","8","."
"1966","Research I","Astronomy","Male","64","."
"1966","Research I","Chemistry","Female","416","."
"1966","Research I","Chemistry","Male","2,295","."
"1966","Research I","Physics","Female","75","."
"1966","Research I","Physics","Male","1,428","."
"1966","Research I","Other Physical Sciences","Female","33","."
"1966","Research I","Other Physical Sciences","Male","208","."
"1966","Research I","Atmospheric Sciences","Female","2","."
"1966","Research I","Atmospheric Sciences","Male","135","."
"1966","Research I","Earth Sciences","Female","42","."
"1966","Research I","Earth Sciences","Male","466","."
"1966","Research I","Oceanography","Female","1","."
"1966","Research I","Oceanography","Male","9","."
"1966","Research I","Mathematics and Statistics","Female","1,497","."
"1966","Research I","Mathematics and Statistics","Male","3,235","."
"1966","Research I","Computer Science","Female","2","."
"1966","Research I","Computer Science","Male","23","."
"1966","Research I","Agricultural Sciences","Female","88","."
"1966","Research I","Agricultural Sciences","Male","3,324","."
"1966","Research I","Biological Sciences","Female","1,870","."
"1966","Research I","Biological Sciences","Male","4,686","."
"1966","Research I","Medical Sciences","Female","264","."
"1966","Research I","Medical Sciences","Male","1,290","."
"1966","Research I","Other Life Sciences","Female","4,555","."
"1966","Research I","Other Life Sciences","Male","1,452","."
"1966","Research I","Psychology","Female","1,910","."
"1966","Research I","Psychology","Male","3,092","."
"1966","Research I","Economics","Female","297","."
"1966","Research I","Economics","Male","3,810","."
"1966","Research I","Political Science and Public Administration","Female","1,549","."
"1966","Research I","Political Science and Public Administration","Male","5,013","."
"1966","Research I","Sociology","Female","2,065","."
"1966","Research I","Sociology","Male","1,476","."
"1966","Research I","Anthropology","Female","477","."
"1966","Research I","Anthropology","Male","374","."
"1966","Research I","Linguistics","Female","39","."
"1966","Research I","Linguistics","Male","55","."
"1966","Research I","Area and Ethnic Studies","Female","247","."
"1966","Research I","Area and Ethnic Studies","Male","369","."
"1966","Research I","Other Social Sciences","Female","1,518","."
"1966","Research I","Other Social Sciences","Male","2,123","."
"1966","Research I","Engineering Technologies","Female","1","."
"1966","Research I","Engineering Technologies","Male","410","."
"1966","Research I","Health Technologies","Female","215","."
"1966","Research I","Health Technologies","Male","1","."
"1966","Research I","Interdisciplinary or Other Sciences","Female","439","."
"1966","Research I","Interdisciplinary or Other Sciences","Male","1,180","."
"1966","Research I","History","Female","2,547","."
"1966","Research I","History","Male","4,918","."
"1966","Research I","English and Literature","Female","6,307","."
"1966","Research I","English and Literature","Male","3,691","."
"1966","Research I","Foreign Languages","Female","3,433","."
"1966","Research I","Foreign Languages","Male","1,378","."
"1966","Research I","Other Humanities","Female","245","."
"1966","Research I","Other Humanities","Male","791","."
"1966","Research I","Religion and Theology","Male","3","."
"1966","Research I","Arts and Music","Female","3,298","."
"1966","Research I","Arts and Music","Male","2,351","."
"1966","Research I","Architecture and Environmental Design","Female","66","."
"1966","Research I","Architecture and Environmental Design","Male","1,502","."
"1966","Research I","Other Science/Technical Education","Female","56","."
"1966","Research I","Other Science/Technical Education","Male","717","."
"1966","Research I","Non-Science Education","Female","14,308","."
"1966","Research I","Non-Science Education","Male","3,515","."
"1966","Research I","Business and Management","Female","1,263","."
"1966","Research I","Business and Management","Male","16,173","."
"1966","Research I","Communication and Librarianship","Female","748","."
"1966","Research I","Communication and Librarianship","Male","933","."
"1966","Research I","Law","Female","7","."
"1966","Research I","Law","Male","102","."
"1966","Research I","Social Service Professions","Female","552","."
"1966","Research I","Social Service Professions","Male","219","."
"1966","Research I","Vocational Studies and Home Economics","Female","2,173","."
"1966","Research I","Vocational Studies and Home Economics","Male","60","."
"1966","Research I","Other Non-sciences or Unknown Disciplines","Female","334","."
"1966","Research I","Other Non-sciences or Unknown Disciplines","Male","702","."
"1966","Research II","Aerospace Engineering","Female","1","."
"1966","Research II","Aerospace Engineering","Male","247","."
"1966","Research II","Chemical Engineering","Female","3","."
"1966","Research II","Chemical Engineering","Male","577","."
"1966","Research II","Civil Engineering","Female","3","."
"1966","Research II","Civil Engineering","Male","773","."
"1966","Research II","Electrical Engineering","Female","2","."
"1966","Research II","Electrical Engineering","Male","1,579","."
"1966","Research II","Mechanical Engineering","Female","1","."
"1966","Research II","Mechanical Engineering","Male","1,070","."
"1966","Research II","Materials Engineering","Male","65","."
"1966","Research II","Industrial Engineering","Female","1","."
"1966","Research II","Industrial Engineering","Male","478","."
"1966","Research II","Other Engineering","Female","2","."
"1966","Research II","Other Engineering","Male","275","."
"1966","Research II","Astronomy","Male","3","."
"1966","Research II","Chemistry","Female","90","."
"1966","Research II","Chemistry","Male","606","."
"1966","Research II","Physics","Female","23","."
"1966","Research II","Physics","Male","415","."
"1966","Research II","Other Physical Sciences","Female","4","."
"1966","Research II","Other Physical Sciences","Male","18","."
"1966","Research II","Atmospheric Sciences","Female","1","."
"1966","Research II","Atmospheric Sciences","Male","18","."
"1966","Research II","Earth Sciences","Female","13","."
"1966","Research II","Earth Sciences","Male","183","."
"1966","Research II","Mathematics and Statistics","Female","484","."
"1966","Research II","Mathematics and Statistics","Male","1,159","."
"1966","Research II","Computer Science","Female","1","."
"1966","Research II","Computer Science","Male","5","."
"1966","Research II","Agricultural Sciences","Female","20","."
"1966","Research II","Agricultural Sciences","Male","1,058","."
"1966","Research II","Biological Sciences","Female","447","."
"1966","Research II","Biological Sciences","Male","1,280","."
"1966","Research II","Medical Sciences","Female","66","."
"1966","Research II","Medical Sciences","Male","418","."
"1966","Research II","Other Life Sciences","Female","868","."
"1966","Research II","Other Life Sciences","Male","411","."
"1966","Research II","Psychology","Female","537","."
"1966","Research II","Psychology","Male","944","."
"1966","Research II","Economics","Female","62","."
"1966","Research II","Economics","Male","923","."
"1966","Research II","Political Science and Public Administration","Female","315","."
"1966","Research II","Political Science and Public Administration","Male","1,348","."
"1966","Research II","Sociology","Female","680","."
"1966","Research II","Sociology","Male","559","."
"1966","Research II","Anthropology","Female","77","."
"1966","Research II","Anthropology","Male","83","."
"1966","Research II","Area and Ethnic Studies","Female","54","."
"1966","Research II","Area and Ethnic Studies","Male","64","."
"1966","Research II","Other Social Sciences","Female","335","."
"1966","Research II","Other Social Sciences","Male","869","."
"1966","Research II","Engineering Technologies","Female","19","."
"1966","Research II","Engineering Technologies","Male","552","."
"1966","Research II","Health Technologies","Female","7","."
"1966","Research II","Health Technologies","Male","15","."
"1966","Research II","Interdisciplinary or Other Sciences","Female","188","."
"1966","Research II","Interdisciplinary or Other Sciences","Male","467","."
"1966","Research II","History","Female","611","."
"1966","Research II","History","Male","1,246","."
"1966","Research II","English and Literature","Female","1,681","."
"1966","Research II","English and Literature","Male","919","."
"1966","Research II","Foreign Languages","Female","809","."
"1966","Research II","Foreign Languages","Male","381","."
"1966","Research II","Other Humanities","Female","45","."
"1966","Research II","Other Humanities","Male","202","."
"1966","Research II","Religion and Theology","Male","2","."
"1966","Research II","Arts and Music","Female","803","."
"1966","Research II","Arts and Music","Male","803","."
"1966","Research II","Architecture and Environmental Design","Female","14","."
"1966","Research II","Architecture and Environmental Design","Male","526","."
"1966","Research II","Other Science/Technical Education","Female","3","."
"1966","Research II","Other Science/Technical Education","Male","320","."
"1966","Research II","Non-Science Education","Female","5,807","."
"1966","Research II","Non-Science Education","Male","1,691","."
"1966","Research II","Business and Management","Female","482","."
"1966","Research II","Business and Management","Male","6,957","."
"1966","Research II","Communication and Librarianship","Female","196","."
"1966","Research II","Communication and Librarianship","Male","371","."
"1966","Research II","Law","Male","57","."
"1966","Research II","Social Service Professions","Female","70","."
"1966","Research II","Social Service Professions","Male","16","."
"1966","Research II","Vocational Studies and Home Economics","Female","884","."
"1966","Research II","Vocational Studies and Home Economics","Male","24","."
"1966","Research II","Other Non-sciences or Unknown Disciplines","Female","161","."
"1966","Research II","Other Non-sciences or Unknown Disciplines","Male","289","."
"1966","Doctoral I","Aerospace Engineering","Male","72","."
"1966","Doctoral I","Chemical Engineering","Female","1","."
