"Year: All values"
"Gender: All values"
"Academic Discipline, Broad (standardized): All values"
"Level of Degree or Other Award: All values"
,,,"","Degrees/Awards Conferred (NCES population of institutions) (Sum)"
"Year","Gender","Academic Discipline, Broad (standardized)","Level of Degree or Other Award",""
"1966","Female","Engineering","Doctorate Degrees","9"
"1966","Female","Engineering","Master's Degrees","76"
"1966","Female","Engineering","Bachelor's Degrees","146"
"1966","Female","Physical Sciences","Doctorate Degrees","121"
"1966","Female","Physical Sciences","Master's Degrees","483"
"1966","Female","Physical Sciences","Bachelor's Degrees","2,172"
"1966","Female","Geosciences","Doctorate Degrees","10"
"1966","Female","Geosciences","Master's Degrees","45"
"1966","Female","Geosciences","Bachelor's Degrees","161"
"1966","Female","Math and Computer Sciences","Doctorate Degrees","57"
"1966","Female","Math and Computer Sciences","Master's Degrees","1,018"
"1966","Female","Math and Computer Sciences","Bachelor's Degrees","6,702"
"1966","Female","Math and Computer Sciences","2 But Less Than 4 Year Certificates","138"
"1966","Female","Math and Computer Sciences","1 But Less Than 2 Year Certificates","20"
"1966","Female","Life Sciences","Doctorate Degrees","338"
"1966","Female","Life Sciences","First Professional Degrees","692"
"1966","Female","Life Sciences","Master's Degrees","2,466"
"1966","Female","Life Sciences","Bachelor's Degrees","19,129"
"1966","Female","Psychology","Doctorate Degrees","217"
"1966","Female","Psychology","Master's Degrees","798"
"1966","Female","Psychology","Bachelor's Degrees","6,928"
"1966","Female","Social Sciences","Doctorate Degrees","171"
"1966","Female","Social Sciences","Master's Degrees","1,830"
"1966","Female","Social Sciences","Bachelor's Degrees","22,060"
"1966","Female","Science and Engineering Technologies","Master's Degrees","13"
"1966","Female","Science and Engineering Technologies","Bachelor's Degrees","314"
"1966","Female","Science and Engineering Technologies","2 But Less Than 4 Year Certificates","5,870"
"1966","Female","Science and Engineering Technologies","1 But Less Than 2 Year Certificates","2,823"
"1966","Female","Interdisciplinary or Other Sciences","Doctorate Degrees","2"
"1966","Female","Interdisciplinary or Other Sciences","Master's Degrees","183"
"1966","Female","Interdisciplinary or Other Sciences","Bachelor's Degrees","1,411"
"1966","Female","Interdisciplinary or Other Sciences","Associate's Degrees","7,457"
"1966","Female","Humanities","Doctorate Degrees","381"
"1966","Female","Humanities","First Professional Degrees","2"
"1966","Female","Humanities","Master's Degrees","6,633"
"1966","Female","Humanities","Bachelor's Degrees","47,940"
"1966","Female","Humanities","2 But Less Than 4 Year Certificates","343"
"1966","Female","Humanities","1 But Less Than 2 Year Certificates","32"
"1966","Female","Religion and Theology","Doctorate Degrees","5"
"1966","Female","Religion and Theology","First Professional Degrees","74"
"1966","Female","Religion and Theology","Master's Degrees","150"
"1966","Female","Religion and Theology","Bachelor's Degrees","38"
"1966","Female","Arts and Music","Doctorate Degrees","80"
"1966","Female","Arts and Music","First Professional Degrees","5"
"1966","Female","Arts and Music","Master's Degrees","2,259"
"1966","Female","Arts and Music","Bachelor's Degrees","10,751"
"1966","Female","Arts and Music","2 But Less Than 4 Year Certificates","1,610"
"1966","Female","Arts and Music","1 But Less Than 2 Year Certificates","22"
"1966","Female","Architecture and Environmental Design","Doctorate Degrees","1"
"1966","Female","Architecture and Environmental Design","First Professional Degrees","8"
"1966","Female","Architecture and Environmental Design","Master's Degrees","41"
"1966","Female","Architecture and Environmental Design","Bachelor's Degrees","95"
"1966","Female","Education","Doctorate Degrees","611"
"1966","Female","Education","First Professional Degrees","120"
"1966","Female","Education","Master's Degrees","24,928"
"1966","Female","Education","Bachelor's Degrees","89,759"
"1966","Female","Education","2 But Less Than 4 Year Certificates","3,149"
"1966","Female","Education","1 But Less Than 2 Year Certificates","4"
"1966","Female","Business and Management","Doctorate Degrees","17"
"1966","Female","Business and Management","Master's Degrees","337"
"1966","Female","Business and Management","Bachelor's Degrees","5,507"
"1966","Female","Business and Management","2 But Less Than 4 Year Certificates","9,349"
"1966","Female","Business and Management","1 But Less Than 2 Year Certificates","3,712"
"1966","Female","Communication and Librarianship","Doctorate Degrees","8"
