year,M-total,F-total,M-English,F-English,M-Journalism,F-Journalism,M-Classics,F-Classics,M-Languages,F-Languages,Junk,Junk,M-Music,F-Music,junk,M-Philosophy,F-Philosophy,Junk,M-Religion,F-Religion,Total,M-History,F-History,M-AreaStudies,F-AreaStudies,M-Arts,F-Arts
1948.00,175987.00,96157.00,4392.00,8222.00,2016.00,1334.00,295.00,203.00,902.00,2841.00,1197.00,3044.00,1766.00,3518.00,1726.00,1397.00,329.00,,,,9245.00,5669.00,3576.00,,,,
1949.00,264168.00,102466.00,6206.00,8720.00,3335.00,1221.00,367.00,150.00,1395.00,2769.00,1762.00,2919.00,2920.00,3742.00,2146.00,1809.00,337.00,,,,10491.00,7232.00,3259.00,,,,
1950.00,329819.00,103915.00,8223.00,9023.00,3848.00,1089.00,474.00,197.00,1752.00,2737.00,2226.00,2934.00,4069.00,3865.00,2835.00,2449.00,386.00,,,,13567.00,10242.00,3325.00,,,,
1951.00,279343.00,105009.00,6829.00,8676.00,2684.00,1019.00,474.00,194.00,1597.00,2671.00,2071.00,2865.00,3740.00,3983.00,2654.00,2333.00,321.00,,,,12321.00,9000.00,3321.00,,,,
1952.00,227029.00,104892.00,5805.00,8282.00,1959.00,813.00,476.00,207.00,1230.00,2505.00,1706.00,2712.00,3056.00,3959.00,2421.00,2124.00,297.00,,,,10216.00,7285.00,2931.00,,,,
1953.00,200820.00,104037.00,4987.00,7680.00,1680.00,855.00,,,1567.00,2501.00,1567.00,2501.00,2665.00,3881.00,2560.00,2282.00,278.00,,,,9576.00,6713.00,2863.00,,,,
1954.00,187500.00,105380.00,4729.00,7837.00,1495.00,749.00,398.00,173.00,1075.00,2147.00,1473.00,2320.00,2545.00,3694.00,1845.00,1582.00,263.00,,,,9385.00,6418.00,2967.00,,,,
1955.00,183602.00,103799.00,5121.00,7978.00,1418.00,800.00,,,1413.00,2135.00,1413.00,2135.00,2553.00,3786.00,1774.00,1473.00,301.00,,,,9540.00,6707.00,2833.00,,,4691.00,1709.00
1956.00,199571.00,111717.00,5530.00,8876.00,1601.00,835.00,348.00,152.00,1164.00,2315.00,1512.00,2467.00,1283.00,1787.00,2668.00,2343.00,325.00,777.00,540.00,237.00,10540.00,7339.00,3201.00,104.00,61.00,2021.00,467.00
1957.00,222738.00,117609.00,6169.00,9257.00,1701.00,871.00,394.00,158.00,1330.00,2440.00,1724.00,2598.00,1318.00,1809.00,2833.00,2526.00,307.00,707.00,462.00,245.00,11692.00,8161.00,3531.00,114.00,73.00,1845.00,332.00
1958.00,242948.00,122800.00,6755.00,9914.00,1684.00,882.00,399.00,177.00,1415.00,2512.00,1814.00,2689.00,1280.00,1592.00,2981.00,2637.00,344.00,710.00,456.00,254.00,12883.00,9031.00,3852.00,147.00,62.00,1120.00,290.00
1959.00,254970.00,130181.00,7828.98,10463.02,1576.86,898.14,440.36,233.64,1423.54,2669.46,1863.90,2903.10,1250.45,1639.55,3154.00,2781.83,372.17,652.00,390.39,261.61,13742.00,9470.99,4271.01,154.11,71.89,934.12,326.88
1960.00,255504.00,139385.00,7597.00,12587.00,1404.00,868.00,439.00,276.00,1659.00,3124.00,2098.00,3400.00,1254.00,1734.00,3466.00,3052.00,414.00,742.00,412.00,330.00,14783.00,10014.00,4769.00,177.00,91.00,769.00,350.00
1961.00,223424.00,141910.00,8024.00,13864.00,1340.00,746.00,395.00,295.00,1994.00,3840.00,2389.00,4135.00,1217.00,1599.00,3646.00,3225.00,421.00,794.00,489.00,305.00,15768.00,10629.00,5139.00,144.00,95.00,865.00,306.00
1962.00,228445.00,154377.00,8553.00,15859.00,1291.00,807.00,519.00,367.00,2258.00,4888.00,2777.00,5255.00,1210.00,1682.00,3725.00,3254.00,471.00,861.00,510.00,351.00,17405.00,11429.00,5976.00,234.00,108.00,722.00,245.00
1963.00,239108.00,171313.00,9550.00,18538.00,1307.00,882.00,488.00,425.00,2752.00,6196.00,3240.00,6621.00,1263.00,1771.00,4085.00,3545.00,540.00,742.00,435.00,307.00,20071.00,12951.00,7120.00,200.00,134.00,709.00,281.00
1964.00,263121.00,197346.00,10938.45,21793.00,1487.55,1014.00,,,3688.00,8675.00,3688.00,8675.00,,,4810.00,4183.00,627.00,,,,23484.63,15217.92,8266.70,,,,
