"Year","Gender","Level of Degree or Other Award","Academic Discipline, Detailed (standardized)","Academic Institution (standardized)","FICE","Degrees/Awards Conferred (NCES population of institutions)(Sum)"
1966,"Female","Doctorate Degrees","Chemistry","Purdue University, All Campuses",8732,1
1966,"Female","Doctorate Degrees","Mathematics and Statistics","Purdue University, All Campuses",8732,1
1966,"Female","Doctorate Degrees","Biological Sciences","Pennsylvania State U, Main Campus",6965,1
1966,"Female","Doctorate Degrees","Biological Sciences","Purdue University, All Campuses",8732,6
1966,"Female","Doctorate Degrees","Psychology","Pennsylvania State U, Main Campus",6965,1
1966,"Female","Doctorate Degrees","Psychology","Purdue University, All Campuses",8732,1
1966,"Female","Doctorate Degrees","Economics","Purdue University, All Campuses",8732,1
1966,"Female","Doctorate Degrees","Sociology","Purdue University, All Campuses",8732,1
1966,"Female","Doctorate Degrees","Other Social Sciences","Pennsylvania State U, Main Campus",6965,1
1966,"Female","Doctorate Degrees","English and Literature","Pennsylvania State U, Main Campus",6965,2
1966,"Female","Doctorate Degrees","Foreign Languages","Pennsylvania State U, Main Campus",6965,1
1966,"Female","Doctorate Degrees","Other Humanities","Pennsylvania State U, Main Campus",6965,1
1966,"Female","Doctorate Degrees","Arts and Music","Pennsylvania State U, Main Campus",6965,1
1966,"Female","Doctorate Degrees","Non-Science Education","Pennsylvania State U, Main Campus",6965,7
1966,"Female","Doctorate Degrees","Non-Science Education","Purdue University, All Campuses",8732,2
1966,"Female","Doctorate Degrees","Vocational Studies and Home Economics","Pennsylvania State U, Main Campus",6965,2
1966,"Female","Doctorate Degrees","Vocational Studies and Home Economics","Purdue University, All Campuses",8732,4
1966,"Female","Master's Degrees","Electrical Engineering","Purdue University, All Campuses",8732,2
1966,"Female","Master's Degrees","Mechanical Engineering","Purdue University, All Campuses",8732,1
1966,"Female","Master's Degrees","Industrial Engineering","Purdue University, All Campuses",8732,1
1966,"Female","Master's Degrees","Chemistry","Pennsylvania State U, Main Campus",6965,1
1966,"Female","Master's Degrees","Chemistry","Purdue University, All Campuses",8732,11
1966,"Female","Master's Degrees","Physics","Pennsylvania State U, Main Campus",6965,1
1966,"Female","Master's Degrees","Physics","Purdue University, All Campuses",8732,2
1966,"Female","Master's Degrees","Earth Sciences","Pennsylvania State U, Main Campus",6965,2
1966,"Female","Master's Degrees","Mathematics and Statistics","Pennsylvania State U, Main Campus",6965,11
1966,"Female","Master's Degrees","Mathematics and Statistics","Purdue University, All Campuses",8732,13
1966,"Female","Master's Degrees","Computer Science","Purdue University, All Campuses",8732,2
1966,"Female","Master's Degrees","Agricultural Sciences","Purdue University, All Campuses",8732,4
1966,"Female","Master's Degrees","Biological Sciences","Pennsylvania State U, Main Campus",6965,9
1966,"Female","Master's Degrees","Biological Sciences","Purdue University, All Campuses",8732,18
1966,"Female","Master's Degrees","Medical Sciences","Purdue University, All Campuses",8732,4
1966,"Female","Master's Degrees","Psychology","Pennsylvania State U, Main Campus",6965,7
1966,"Female","Master's Degrees","Psychology","Purdue University, All Campuses",8732,2
1966,"Female","Master's Degrees","Economics","Pennsylvania State U, Main Campus",6965,1
1966,"Female","Master's Degrees","Political Science and Public Administration","Pennsylvania State U, Main Campus",6965,2
1966,"Female","Master's Degrees","Political Science and Public Administration","Purdue University, All Campuses",8732,1
1966,"Female","Master's Degrees","Sociology","Pennsylvania State U, Main Campus",6965,1
1966,"Female","Master's Degrees","Sociology","Purdue University, All Campuses",8732,2
1966,"Female","Master's Degrees","Anthropology","Pennsylvania State U, Main Campus",6965,2
1966,"Female","Master's Degrees","Other Social Sciences","Pennsylvania State U, Main Campus",6965,3
1966,"Female","Master's Degrees","Engineering Technologies","Pennsylvania State U, Main Campus",6965,1
1966,"Female","Master's Degrees","History","Pennsylvania State U, Main Campus",6965,5
1966,"Female","Master's Degrees","History","Purdue University, All Campuses",8732,3
1966,"Female","Master's Degrees","English and Literature","Pennsylvania State U, Main Campus",6965,25
1966,"Female","Master's Degrees","English and Literature","Purdue University, All Campuses",8732,27
1966,"Female","Master's Degrees","Foreign Languages","Pennsylvania State U, Main Campus",6965,16
1966,"Female","Master's Degrees","Foreign Languages","Purdue University, All Campuses",8732,10
1966,"Female","Master's Degrees","Arts and Music","Pennsylvania State U, Main Campus",6965,15
1966,"Female","Master's Degrees","Arts and Music","Purdue University, All Campuses",8732,4
1966,"Female","Master's Degrees","Non-Science Education","Pennsylvania State U, Main Campus",6965,110
1966,"Female","Master's Degrees","Non-Science Education","Purdue University, All Campuses",8732,107
1966,"Female","Master's Degrees","Communication and Librarianship","Pennsylvania State U, Main Campus",6965,1
1966,"Female","Master's Degrees","Vocational Studies and Home Economics","Pennsylvania State U, Main Campus",6965,32
1966,"Female","Master's Degrees","Vocational Studies and Home Economics","Purdue University, All Campuses",8732,19
1966,"Female","Bachelor's Degrees","Aerospace Engineering","Purdue University, All Campuses",8732,1
1966,"Female","Bachelor's Degrees","Civil Engineering","Purdue University, All Campuses",8732,1
1966,"Female","Bachelor's Degrees","Electrical Engineering","Pennsylvania State U, Main Campus",6965,2
1966,"Female","Bachelor's Degrees","Electrical Engineering","Purdue University, All Campuses",8732,1
1966,"Female","Bachelor's Degrees","Industrial Engineering","Pennsylvania State U, Main Campus",6965,1
1966,"Female","Bachelor's Degrees","Industrial Engineering","Purdue University, All Campuses",8732,2
1966,"Female","Bachelor's Degrees","Chemistry","Pennsylvania State U, Main Campus",6965,12
1966,"Female","Bachelor's Degrees","Chemistry","Purdue University, All Campuses",8732,10
