"Year","Academic Discipline, Broad (standardized)","Level of Degree or Other Award","Highest Degree (standardized)","Degrees/Awards Conferred (NCES population of institutions)(Sum)"
1966,"Engineering","Doctorate Degrees","Doctorate-granting Institutions",2334
1966,"Engineering","Bachelor's Degrees","Doctorate-granting Institutions",29872
1966,"Engineering","Bachelor's Degrees","First Professional Institutions",210
1966,"Engineering","Bachelor's Degrees","Master's-granting Institutions",4238
1966,"Engineering","Bachelor's Degrees","Bachelor's-granting Institutions",1434
1966,"Engineering","Bachelor's Degrees","Other/Unknown Degree Level",72
1966,"Physical Sciences","Doctorate Degrees","Doctorate-granting Institutions",2641
1966,"Physical Sciences","Bachelor's Degrees","Doctorate-granting Institutions",8689
1966,"Physical Sciences","Bachelor's Degrees","First Professional Institutions",515
1966,"Physical Sciences","Bachelor's Degrees","Master's-granting Institutions",4320
1966,"Physical Sciences","Bachelor's Degrees","Bachelor's-granting Institutions",1875
1966,"Physical Sciences","Bachelor's Degrees","Two-year Institutions",2
1966,"Physical Sciences","Bachelor's Degrees","Other/Unknown Degree Level",61
1966,"Geosciences","Doctorate Degrees","Doctorate-granting Institutions",374
1966,"Geosciences","Bachelor's Degrees","Doctorate-granting Institutions",1243
1966,"Geosciences","Bachelor's Degrees","First Professional Institutions",24
1966,"Geosciences","Bachelor's Degrees","Master's-granting Institutions",350
1966,"Geosciences","Bachelor's Degrees","Bachelor's-granting Institutions",93
1966,"Geosciences","Bachelor's Degrees","Other/Unknown Degree Level",2
1966,"Math and Computer Sciences","Doctorate Degrees","Doctorate-granting Institutions",801
1966,"Math and Computer Sciences","Bachelor's Degrees","Doctorate-granting Institutions",10568
1966,"Math and Computer Sciences","Bachelor's Degrees","First Professional Institutions",577
1966,"Math and Computer Sciences","Bachelor's Degrees","Master's-granting Institutions",6621
1966,"Math and Computer Sciences","Bachelor's Degrees","Bachelor's-granting Institutions",2297
1966,"Math and Computer Sciences","Bachelor's Degrees","Two-year Institutions",7
1966,"Math and Computer Sciences","Bachelor's Degrees","Other/Unknown Degree Level",109
1966,"Life Sciences","Doctorate Degrees","Doctorate-granting Institutions",2929
1966,"Life Sciences","Doctorate Degrees","First Professional Institutions",2
1966,"Life Sciences","Bachelor's Degrees","Doctorate-granting Institutions",31815
1966,"Life Sciences","Bachelor's Degrees","First Professional Institutions",1621
1966,"Life Sciences","Bachelor's Degrees","Master's-granting Institutions",9818
1966,"Life Sciences","Bachelor's Degrees","Bachelor's-granting Institutions",4573
1966,"Life Sciences","Bachelor's Degrees","Two-year Institutions",12
1966,"Life Sciences","Bachelor's Degrees","Other/Unknown Degree Level",338
1966,"Psychology","Doctorate Degrees","Doctorate-granting Institutions",1033
1966,"Psychology","Doctorate Degrees","Master's-granting Institutions",4
1966,"Psychology","Bachelor's Degrees","Doctorate-granting Institutions",10060
1966,"Psychology","Bachelor's Degrees","First Professional Institutions",508
1966,"Psychology","Bachelor's Degrees","Master's-granting Institutions",4308
1966,"Psychology","Bachelor's Degrees","Bachelor's-granting Institutions",1950
1966,"Psychology","Bachelor's Degrees","Two-year Institutions",22
1966,"Psychology","Bachelor's Degrees","Other/Unknown Degree Level",118
1966,"Social Sciences","Doctorate Degrees","Doctorate-granting Institutions",1622
1966,"Social Sciences","Bachelor's Degrees","Doctorate-granting Institutions",37757
1966,"Social Sciences","Bachelor's Degrees","First Professional Institutions",1920
1966,"Social Sciences","Bachelor's Degrees","Master's-granting Institutions",16982
1966,"Social Sciences","Bachelor's Degrees","Bachelor's-granting Institutions",7222
1966,"Social Sciences","Bachelor's Degrees","Two-year Institutions",8
1966,"Social Sciences","Bachelor's Degrees","Other/Unknown Degree Level",475
1966,"Science and Engineering Technologies","Doctorate Degrees","Doctorate-granting Institutions",11
1966,"Science and Engineering Technologies","Bachelor's Degrees","Doctorate-granting Institutions",1863
1966,"Science and Engineering Technologies","Bachelor's Degrees","First Professional Institutions",53
1966,"Science and Engineering Technologies","Bachelor's Degrees","Master's-granting Institutions",699
1966,"Science and Engineering Technologies","Bachelor's Degrees","Bachelor's-granting Institutions",34
1966,"Science and Engineering Technologies","Bachelor's Degrees","Other/Unknown Degree Level",20
1966,"Interdisciplinary or Other Sciences","Doctorate Degrees","Doctorate-granting Institutions",12
1966,"Interdisciplinary or Other Sciences","Bachelor's Degrees","Doctorate-granting Institutions",2993
1966,"Interdisciplinary or Other Sciences","Bachelor's Degrees","First Professional Institutions",38
1966,"Interdisciplinary or Other Sciences","Bachelor's Degrees","Master's-granting Institutions",2309
1966,"Interdisciplinary or Other Sciences","Bachelor's Degrees","Bachelor's-granting Institutions",2028
1966,"Interdisciplinary or Other Sciences","Bachelor's Degrees","Other/Unknown Degree Level",10
1966,"Humanities","Doctorate Degrees","Doctorate-granting Institutions",2035
1966,"Humanities","Doctorate Degrees","Master's-granting Institutions",4
1966,"Humanities","Doctorate Degrees","Other/Unknown Degree Level",1
1966,"Humanities","Bachelor's Degrees","Doctorate-granting Institutions",47076
1966,"Humanities","Bachelor's Degrees","First Professional Institutions",2984
1966,"Humanities","Bachelor's Degrees","Master's-granting Institutions",25667
1966,"Humanities","Bachelor's Degrees","Bachelor's-granting Institutions",12632
1966,"Humanities","Bachelor's Degrees","Two-year Institutions",73
1966,"Humanities","Bachelor's Degrees","Other/Unknown Degree Level",1161
1966,"Religion and Theology","Doctorate Degrees","Doctorate-granting Institutions",153
