"year"	"gender"	"field"	"count"	"total"
"1966"	"Female"	"Princeton University"	0	2627
"1966"	"Female"	"University of Michigan at Ann Arbor"	0	2627
"1966"	"Gender"	"Princeton University"	0	2627
"1966"	"Gender"	"University of Michigan at Ann Arbor"	0	2627
"1966"	"Male"	"University of Michigan at Ann Arbor"	0	2627
"1966"	"Male"	"Princeton University"	2627	2627
"1967"	"Female"	"Princeton University"	0	2627
"1967"	"Male"	"University of Michigan at Ann Arbor"	0	2627
"1967"	"Gender"	"Princeton University"	0	2627
"1967"	"Male"	"Princeton University"	2627	2627
"1967"	"Female"	"University of Michigan at Ann Arbor"	0	2627
"1967"	"Gender"	"University of Michigan at Ann Arbor"	0	2627
"1968"	"Female"	"Princeton University"	0	2627
"1968"	"Gender"	"Princeton University"	0	2627
"1968"	"Male"	"Princeton University"	2627	2627
"1968"	"Female"	"University of Michigan at Ann Arbor"	0	2627
"1968"	"Gender"	"University of Michigan at Ann Arbor"	0	2627
"1968"	"Male"	"University of Michigan at Ann Arbor"	0	2627
"1969"	"Female"	"Princeton University"	0	2627
"1969"	"Gender"	"Princeton University"	0	2627
"1969"	"Male"	"Princeton University"	2627	2627
"1969"	"Female"	"University of Michigan at Ann Arbor"	0	2627
"1969"	"Gender"	"University of Michigan at Ann Arbor"	0	2627
"1969"	"Male"	"University of Michigan at Ann Arbor"	0	2627
"1970"	"Gender"	"Princeton University"	0	11719
"1970"	"Male"	"Princeton University"	2627	11719
"1970"	"Female"	"University of Michigan at Ann Arbor"	0	11719
"1970"	"Gender"	"University of Michigan at Ann Arbor"	0	11719
"1970"	"Female"	"Princeton University"	0	11719
"1970"	"Male"	"University of Michigan at Ann Arbor"	9092	11719
"1971"	"Female"	"University of Michigan at Ann Arbor"	0	11719
"1971"	"Female"	"Princeton University"	0	11719
"1971"	"Gender"	"Princeton University"	0	11719
"1971"	"Gender"	"University of Michigan at Ann Arbor"	0	11719
"1971"	"Male"	"Princeton University"	2627	11719
"1971"	"Male"	"University of Michigan at Ann Arbor"	9092	11719
"1972"	"Male"	"University of Michigan at Ann Arbor"	9092	20811
"1972"	"Male"	"Princeton University"	2627	20811
"1972"	"Female"	"University of Michigan at Ann Arbor"	9092	20811
"1972"	"Gender"	"Princeton University"	0	20811
"1972"	"Gender"	"University of Michigan at Ann Arbor"	0	20811
"1972"	"Female"	"Princeton University"	0	20811
"1973"	"Male"	"University of Michigan at Ann Arbor"	9092	23438
"1973"	"Female"	"Princeton University"	2627	23438
"1973"	"Gender"	"Princeton University"	0	23438
"1973"	"Gender"	"University of Michigan at Ann Arbor"	0	23438
"1973"	"Male"	"Princeton University"	2627	23438
"1973"	"Female"	"University of Michigan at Ann Arbor"	9092	23438
"1974"	"Gender"	"Princeton University"	0	23438
"1974"	"Female"	"University of Michigan at Ann Arbor"	9092	23438
"1974"	"Male"	"University of Michigan at Ann Arbor"	9092	23438
"1974"	"Female"	"Princeton University"	2627	23438
"1974"	"Male"	"Princeton University"	2627	23438
"1974"	"Gender"	"University of Michigan at Ann Arbor"	0	23438
"1975"	"Gender"	"Princeton University"	0	20811
"1975"	"Female"	"Princeton University"	0	20811
