"year"	"gender"	"field"	"count"	"total"
"1966"	"Female"	"Ball State University"	0	9452
"1966"	"Male"	"University of California-Berkeley"	1312	9452
"1966"	"Gender"	"University of Michigan at Ann Arbor"	0	9452
"1966"	"Gender"	"Northeastern University"	0	9452
"1966"	"Male"	"Harvard University"	0	9452
"1966"	"Gender"	"University of Rhode Island"	0	9452
"1966"	"Gender"	"Ball State University"	0	9452
"1966"	"Female"	"University of Maine"	0	9452
"1966"	"Gender"	"University of California-Berkeley"	0	9452
"1966"	"Male"	"University of Michigan at Ann Arbor"	0	9452
"1966"	"Female"	"Northeastern University"	0	9452
"1966"	"Male"	"University of Rhode Island"	3414	9452
"1966"	"Female"	"University of Rhode Island"	3414	9452
"1966"	"Male"	"Ball State University"	0	9452
"1966"	"Female"	"Richard Stockton College of New Jersey"	0	9452
"1966"	"Gender"	"Brandeis University"	0	9452
"1966"	"Male"	"Brandeis University"	0	9452
"1966"	"Female"	"Brandeis University"	0	9452
"1966"	"Male"	"University of Maine"	0	9452
"1966"	"Gender"	"Harvard University"	0	9452
"1966"	"Gender"	"Richard Stockton College of New Jersey"	0	9452
"1966"	"Male"	"Northeastern University"	0	9452
"1966"	"Female"	"Harvard University"	0	9452
"1966"	"Female"	"University of California-Berkeley"	1312	9452
"1966"	"Female"	"University of Michigan at Ann Arbor"	0	9452
"1966"	"Gender"	"University of Maine"	0	9452
"1966"	"Male"	"Richard Stockton College of New Jersey"	0	9452
"1967"	"Male"	"University of California-Berkeley"	1312	12246
"1967"	"Female"	"Richard Stockton College of New Jersey"	0	12246
"1967"	"Gender"	"University of Michigan at Ann Arbor"	0	12246
"1967"	"Gender"	"University of California-Berkeley"	0	12246
"1967"	"Gender"	"University of Rhode Island"	0	12246
"1967"	"Male"	"University of Maine"	2053	12246
"1967"	"Gender"	"Ball State University"	0	12246
"1967"	"Female"	"University of Rhode Island"	3414	12246
"1967"	"Male"	"Northeastern University"	0	12246
"1967"	"Male"	"University of Michigan at Ann Arbor"	0	12246
"1967"	"Female"	"Northeastern University"	0	12246
"1967"	"Male"	"Brandeis University"	0	12246
"1967"	"Gender"	"University of Maine"	0	12246
"1967"	"Female"	"Ball State University"	0	12246
"1967"	"Gender"	"Harvard University"	0	12246
"1967"	"Female"	"Brandeis University"	0	12246
"1967"	"Gender"	"Brandeis University"	0	12246
"1967"	"Male"	"Harvard University"	0	12246
"1967"	"Female"	"University of California-Berkeley"	0	12246
"1967"	"Gender"	"Richard Stockton College of New Jersey"	0	12246
"1967"	"Female"	"Harvard University"	0	12246
"1967"	"Male"	"Ball State University"	0	12246
"1967"	"Female"	"University of Michigan at Ann Arbor"	0	12246
"1967"	"Male"	"Richard Stockton College of New Jersey"	0	12246
"1967"	"Gender"	"Northeastern University"	0	12246
"1967"	"Female"	"University of Maine"	2053	12246
"1967"	"Male"	"University of Rhode Island"	3414	12246
"1968"	"Male"	"University of California-Berkeley"	1312	9452
"1968"	"Gender"	"University of Rhode Island"	0	9452
"1968"	"Female"	"Ball State University"	0	9452
"1968"	"Male"	"Ball State University"	0	9452
"1968"	"Female"	"Richard Stockton College of New Jersey"	0	9452
"1968"	"Male"	"Harvard University"	0	9452
"1968"	"Female"	"Brandeis University"	0	9452
"1968"	"Male"	"University of Maine"	0	9452
"1968"	"Gender"	"University of California-Berkeley"	0	9452
"1968"	"Male"	"Northeastern University"	0	9452
"1968"	"Male"	"University of Michigan at Ann Arbor"	0	9452
"1968"	"Female"	"Harvard University"	0	9452
"1968"	"Female"	"University of Rhode Island"	3414	9452
"1968"	"Gender"	"University of Maine"	0	9452
"1968"	"Gender"	"Northeastern University"	0	9452
"1968"	"Gender"	"Harvard University"	0	9452
"1968"	"Female"	"University of Maine"	0	9452
"1968"	"Male"	"Brandeis University"	0	9452
"1968"	"Male"	"Richard Stockton College of New Jersey"	0	9452
"1968"	"Female"	"University of California-Berkeley"	1312	9452
"1968"	"Male"	"University of Rhode Island"	3414	9452
"1968"	"Gender"	"Richard Stockton College of New Jersey"	0	9452
"1968"	"Gender"	"University of Michigan at Ann Arbor"	0	9452
