"year"	"gender"	"field"	"count"	"total"
"1966"	"Female"	"Ball State University"	0	13810
"1966"	"Male"	"University of Maine"	0	13810
"1966"	"Gender"	"Tufts University"	0	13810
"1966"	"Male"	"University of Michigan at Ann Arbor"	0	13810
"1966"	"Male"	"George Mason University"	0	13810
"1966"	"Gender"	"University of California-Berkeley"	0	13810
"1966"	"Gender"	"Ball State University"	0	13810
"1966"	"Female"	"University of Michigan at Ann Arbor"	0	13810
"1966"	"Gender"	"Princeton University"	0	13810
"1966"	"Female"	"University of Rhode Island"	0	13810
"1966"	"Female"	"Harvard University"	2155	13810
"1966"	"Male"	"University of California-Berkeley"	1312	13810
"1966"	"Female"	"University of California-Berkeley"	1312	13810
"1966"	"Gender"	"University of Michigan at Ann Arbor"	0	13810
"1966"	"Male"	"Princeton University"	0	13810
"1966"	"Gender"	"University of Rhode Island"	0	13810
"1966"	"Female"	"University of Maine"	0	13810
"1966"	"Female"	"Brandeis University"	2133	13810
"1966"	"Male"	"Stanford University"	1305	13810
"1966"	"Gender"	"Brandeis University"	0	13810
"1966"	"Female"	"Stanford University"	1305	13810
"1966"	"Male"	"Harvard University"	2155	13810
"1966"	"Gender"	"University of Maine"	0	13810
"1966"	"Female"	"Northeastern University"	0	13810
"1966"	"Female"	"Tufts University"	0	13810
"1966"	"Gender"	"Stanford University"	0	13810
"1966"	"Male"	"Ball State University"	0	13810
"1966"	"Female"	"Princeton University"	0	13810
"1966"	"Gender"	"George Mason University"	0	13810
"1966"	"Male"	"University of Rhode Island"	0	13810
"1966"	"Gender"	"Harvard University"	0	13810
"1966"	"Male"	"Tufts University"	0	13810
"1966"	"Female"	"George Mason University"	0	13810
"1966"	"Male"	"Brandeis University"	2133	13810
"1966"	"Male"	"Northeastern University"	0	13810
"1966"	"Gender"	"Northeastern University"	0	13810
"1967"	"Male"	"Princeton University"	0	17382
"1967"	"Gender"	"Tufts University"	0	17382
"1967"	"Male"	"Stanford University"	1305	17382
"1967"	"Female"	"Harvard University"	2155	17382
"1967"	"Gender"	"University of Maine"	0	17382
"1967"	"Female"	"Ball State University"	1786	17382
"1967"	"Male"	"University of Maine"	0	17382
"1967"	"Gender"	"University of California-Berkeley"	0	17382
"1967"	"Male"	"George Mason University"	0	17382
"1967"	"Female"	"Princeton University"	0	17382
"1967"	"Male"	"University of Michigan at Ann Arbor"	0	17382
"1967"	"Gender"	"Stanford University"	0	17382
"1967"	"Gender"	"Princeton University"	0	17382
"1967"	"Male"	"Tufts University"	0	17382
"1967"	"Male"	"University of Rhode Island"	0	17382
"1967"	"Gender"	"Brandeis University"	0	17382
"1967"	"Male"	"Northeastern University"	0	17382
"1967"	"Female"	"University of California-Berkeley"	1312	17382
"1967"	"Gender"	"University of Michigan at Ann Arbor"	0	17382
"1967"	"Female"	"Northeastern University"	0	17382
"1967"	"Female"	"University of Maine"	0	17382
"1967"	"Gender"	"Harvard University"	0	17382
"1967"	"Female"	"Brandeis University"	2133	17382
"1967"	"Male"	"Ball State University"	1786	17382
"1967"	"Gender"	"Ball State University"	0	17382
"1967"	"Female"	"Stanford University"	1305	17382
"1967"	"Male"	"Harvard University"	2155	17382
"1967"	"Gender"	"University of Rhode Island"	0	17382
"1967"	"Gender"	"George Mason University"	0	17382
"1967"	"Male"	"University of California-Berkeley"	1312	17382
"1967"	"Male"	"Brandeis University"	2133	17382
"1967"	"Female"	"George Mason University"	0	17382
