"year"	"gender"	"field"	"count"	"total"
"1966"	"Female"	"Ball State University"	0	12171
"1966"	"Male"	"Tufts University"	0	12171
"1966"	"Gender"	"University of Michigan at Ann Arbor"	0	12171
"1966"	"Gender"	"Princeton University"	0	12171
"1966"	"Male"	"Northeastern University"	0	12171
"1966"	"Gender"	"University of Rhode Island"	0	12171
"1966"	"Gender"	"Ball State University"	0	12171
"1966"	"Female"	"University of California-Berkeley"	1312	12171
"1966"	"Gender"	"Tufts University"	0	12171
"1966"	"Male"	"University of Michigan at Ann Arbor"	0	12171
"1966"	"Female"	"Princeton University"	0	12171
"1966"	"Male"	"University of Rhode Island"	0	12171
"1966"	"Female"	"University of Rhode Island"	0	12171
"1966"	"Male"	"Ball State University"	0	12171
"1966"	"Female"	"Stanford University"	1305	12171
"1966"	"Gender"	"Harvard University"	0	12171
"1966"	"Male"	"Harvard University"	2155	12171
"1966"	"Female"	"Harvard University"	2155	12171
"1966"	"Male"	"University of California-Berkeley"	1312	12171
"1966"	"Gender"	"Northeastern University"	0	12171
"1966"	"Gender"	"Stanford University"	0	12171
"1966"	"Male"	"Princeton University"	2627	12171
"1966"	"Female"	"Northeastern University"	0	12171
"1966"	"Female"	"Tufts University"	0	12171
"1966"	"Female"	"University of Michigan at Ann Arbor"	0	12171
"1966"	"Gender"	"University of California-Berkeley"	0	12171
"1966"	"Male"	"Stanford University"	1305	12171
"1967"	"Male"	"Tufts University"	0	12171
"1967"	"Female"	"Stanford University"	1305	12171
"1967"	"Gender"	"University of Michigan at Ann Arbor"	0	12171
"1967"	"Gender"	"Tufts University"	0	12171
"1967"	"Gender"	"University of Rhode Island"	0	12171
"1967"	"Male"	"University of California-Berkeley"	1312	12171
"1967"	"Gender"	"Ball State University"	0	12171
"1967"	"Female"	"University of Rhode Island"	0	12171
"1967"	"Male"	"Princeton University"	2627	12171
"1967"	"Male"	"University of Michigan at Ann Arbor"	0	12171
"1967"	"Female"	"Princeton University"	0	12171
"1967"	"Male"	"Harvard University"	2155	12171
"1967"	"Gender"	"University of California-Berkeley"	0	12171
"1967"	"Female"	"Ball State University"	0	12171
"1967"	"Gender"	"Northeastern University"	0	12171
"1967"	"Female"	"Harvard University"	2155	12171
"1967"	"Gender"	"Harvard University"	0	12171
"1967"	"Male"	"Northeastern University"	0	12171
"1967"	"Female"	"Tufts University"	0	12171
"1967"	"Gender"	"Stanford University"	0	12171
"1967"	"Female"	"Northeastern University"	0	12171
"1967"	"Male"	"Ball State University"	0	12171
"1967"	"Female"	"University of Michigan at Ann Arbor"	0	12171
"1967"	"Male"	"Stanford University"	1305	12171
"1967"	"Gender"	"Princeton University"	0	12171
"1967"	"Female"	"University of California-Berkeley"	1312	12171
"1967"	"Male"	"University of Rhode Island"	0	12171
"1968"	"Male"	"Tufts University"	0	13957
"1968"	"Gender"	"University of Rhode Island"	0	13957
"1968"	"Female"	"Ball State University"	0	13957
"1968"	"Male"	"Ball State University"	1786	13957
"1968"	"Female"	"Stanford University"	1305	13957
"1968"	"Male"	"Northeastern University"	0	13957
"1968"	"Female"	"Harvard University"	2155	13957
"1968"	"Male"	"University of California-Berkeley"	1312	13957
"1968"	"Gender"	"Tufts University"	0	13957
"1968"	"Male"	"Princeton University"	2627	13957
"1968"	"Male"	"University of Michigan at Ann Arbor"	0	13957
"1968"	"Female"	"Northeastern University"	0	13957
"1968"	"Female"	"University of Rhode Island"	0	13957
"1968"	"Gender"	"University of California-Berkeley"	0	13957
"1968"	"Gender"	"Princeton University"	0	13957
"1968"	"Gender"	"Northeastern University"	0	13957
"1968"	"Female"	"University of California-Berkeley"	1312	13957
"1968"	"Male"	"Harvard University"	2155	13957
"1968"	"Male"	"Stanford University"	1305	13957
"1968"	"Female"	"Tufts University"	0	13957
"1968"	"Male"	"University of Rhode Island"	0	13957
"1968"	"Gender"	"Stanford University"	0	13957
"1968"	"Gender"	"University of Michigan at Ann Arbor"	0	13957
"1968"	"Gender"	"Harvard University"	0	13957
"1968"	"Female"	"University of Michigan at Ann Arbor"	0	13957
"1968"	"Gender"	"Ball State University"	0	13957
"1968"	"Female"	"Princeton University"	0	13957
"1969"	"Female"	"Stanford University"	0	12652
"1969"	"Gender"	"Tufts University"	0	12652
"1969"	"Female"	"Ball State University"	0	12652
"1969"	"Gender"	"Northeastern University"	0	12652
"1969"	"Gender"	"University of California-Berkeley"	0	12652
"1969"	"Male"	"Northeastern University"	0	12652
"1969"	"Female"	"Tufts University"	0	12652
"1969"	"Female"	"University of Rhode Island"	0	12652
"1969"	"Male"	"Harvard University"	2155	12652
"1969"	"Female"	"Northeastern University"	0	12652
"1969"	"Male"	"University of Michigan at Ann Arbor"	0	12652
"1969"	"Gender"	"Stanford University"	0	12652
"1969"	"Gender"	"Ball State University"	0	12652
"1969"	"Male"	"Stanford University"	1305	12652
"1969"	"Male"	"Ball State University"	1786	12652
"1969"	"Female"	"Harvard University"	2155	12652
"1969"	"Female"	"Princeton University"	0	12652
"1969"	"Gender"	"University of Michigan at Ann Arbor"	0	12652
"1969"	"Gender"	"Princeton University"	0	12652
"1969"	"Male"	"Princeton University"	2627	12652
"1969"	"Male"	"Tufts University"	0	12652
"1969"	"Gender"	"Harvard University"	0	12652
"1969"	"Female"	"University of California-Berkeley"	1312	12652
"1969"	"Female"	"University of Michigan at Ann Arbor"	0	12652
"1969"	"Gender"	"University of Rhode Island"	0	12652
"1969"	"Male"	"University of California-Berkeley"	1312	12652
"1969"	"Male"	"University of Rhode Island"	0	12652
"1970"	"Female"	"University of Rhode Island"	0	30836
"1970"	"Gender"	"University of California-Berkeley"	0	30836
"1970"	"Gender"	"University of Rhode Island"	0	30836
"1970"	"Male"	"Stanford University"	1305	30836
"1970"	"Male"	"University of Rhode Island"	0	30836
"1970"	"Female"	"Stanford University"	0	30836
"1970"	"Female"	"Princeton University"	0	30836
"1970"	"Male"	"University of California-Berkeley"	1312	30836
"1970"	"Male"	"Ball State University"	1786	30836
"1970"	"Male"	"Northeastern University"	0	30836
"1970"	"Female"	"Tufts University"	0	30836
"1970"	"Gender"	"Stanford University"	0	30836
"1970"	"Gender"	"Princeton University"	0	30836
"1970"	"Female"	"University of Michigan at Ann Arbor"	9092	30836
"1970"	"Female"	"Ball State University"	0	30836
"1970"	"Gender"	"Harvard University"	0	30836
"1970"	"Gender"	"Ball State University"	0	30836
"1970"	"Male"	"Harvard University"	2155	30836
"1970"	"Female"	"Harvard University"	2155	30836
"1970"	"Gender"	"University of Michigan at Ann Arbor"	0	30836
"1970"	"Male"	"Tufts University"	0	30836
"1970"	"Male"	"University of Michigan at Ann Arbor"	9092	30836
"1970"	"Gender"	"Tufts University"	0	30836
"1970"	"Male"	"Princeton University"	2627	30836
"1970"	"Female"	"Northeastern University"	0	30836
"1970"	"Gender"	"Northeastern University"	0	30836
"1970"	"Female"	"University of California-Berkeley"	1312	30836
"1971"	"Male"	"Northeastern University"	0	32141
"1971"	"Female"	"Princeton University"	0	32141
"1971"	"Male"	"Stanford University"	1305	32141
"1971"	"Female"	"University of Michigan at Ann Arbor"	9092	32141
"1971"	"Gender"	"Tufts University"	0	32141
"1971"	"Gender"	"University of Michigan at Ann Arbor"	0	32141
"1971"	"Gender"	"Harvard University"	0	32141
"1971"	"Male"	"University of Rhode Island"	0	32141
"1971"	"Male"	"Ball State University"	1786	32141
"1971"	"Gender"	"University of California-Berkeley"	0	32141
"1971"	"Male"	"Tufts University"	0	32141
"1971"	"Male"	"University of California-Berkeley"	1312	32141
"1971"	"Male"	"Harvard University"	2155	32141
"1971"	"Female"	"Harvard University"	2155	32141
"1971"	"Female"	"Tufts University"	0	32141
"1971"	"Female"	"Stanford University"	1305	32141
"1971"	"Gender"	"Northeastern University"	0	32141
"1971"	"Male"	"Princeton University"	2627	32141
"1971"	"Gender"	"Princeton University"	0	32141
"1971"	"Gender"	"University of Rhode Island"	0	32141
"1971"	"Female"	"Ball State University"	0	32141
"1971"	"Female"	"University of Rhode Island"	0	32141
"1971"	"Female"	"Northeastern University"	0	32141
"1971"	"Male"	"University of Michigan at Ann Arbor"	9092	32141
"1971"	"Female"	"University of California-Berkeley"	1312	32141
"1971"	"Gender"	"Stanford University"	0	32141
"1971"	"Gender"	"Ball State University"	0	32141
"1972"	"Gender"	"University of California-Berkeley"	0	34768
"1972"	"Gender"	"Harvard University"	0	34768
"1972"	"Male"	"University of California-Berkeley"	1312	34768
"1972"	"Female"	"University of Michigan at Ann Arbor"	9092	34768
"1972"	"Female"	"Northeastern University"	0	34768
"1972"	"Male"	"Northeastern University"	0	34768
"1972"	"Gender"	"University of Michigan at Ann Arbor"	0	34768
"1972"	"Male"	"University of Rhode Island"	0	34768
"1972"	"Female"	"University of Rhode Island"	0	34768
"1972"	"Gender"	"Tufts University"	0	34768
"1972"	"Gender"	"University of Rhode Island"	0	34768
"1972"	"Male"	"Tufts University"	0	34768
"1972"	"Male"	"Harvard University"	2155	34768
"1972"	"Female"	"Harvard University"	2155	34768
"1972"	"Male"	"Princeton University"	2627	34768
"1972"	"Female"	"Ball State University"	0	34768
"1972"	"Female"	"Stanford University"	1305	34768
"1972"	"Male"	"University of Michigan at Ann Arbor"	9092	34768
"1972"	"Male"	"Ball State University"	1786	34768
"1972"	"Gender"	"Princeton University"	0	34768
"1972"	"Female"	"Tufts University"	0	34768
"1972"	"Female"	"Princeton University"	2627	34768
"1972"	"Female"	"University of California-Berkeley"	1312	34768
"1972"	"Male"	"Stanford University"	1305	34768
"1972"	"Gender"	"Ball State University"	0	34768
"1972"	"Gender"	"Northeastern University"	0	34768
"1972"	"Gender"	"Stanford University"	0	34768
"1973"	"Gender"	"University of California-Berkeley"	0	36554
"1973"	"Gender"	"Harvard University"	0	36554
"1973"	"Male"	"University of California-Berkeley"	1312	36554
"1973"	"Male"	"Harvard University"	2155	36554
"1973"	"Female"	"University of Michigan at Ann Arbor"	9092	36554
"1973"	"Gender"	"Tufts University"	0	36554
"1973"	"Male"	"Princeton University"	2627	36554
"1973"	"Male"	"University of Rhode Island"	0	36554
"1973"	"Female"	"Northeastern University"	0	36554
"1973"	"Male"	"Ball State University"	1786	36554
"1973"	"Female"	"Harvard University"	2155	36554
"1973"	"Female"	"Stanford University"	1305	36554
"1973"	"Gender"	"University of Michigan at Ann Arbor"	0	36554
"1973"	"Gender"	"Stanford University"	0	36554
"1973"	"Male"	"University of Michigan at Ann Arbor"	9092	36554
"1973"	"Female"	"Ball State University"	1786	36554
"1973"	"Gender"	"Northeastern University"	0	36554
"1973"	"Female"	"Princeton University"	2627	36554
"1973"	"Female"	"University of Rhode Island"	0	36554
"1973"	"Gender"	"Princeton University"	0	36554
"1973"	"Male"	"Northeastern University"	0	36554
"1973"	"Male"	"Tufts University"	0	36554
"1973"	"Gender"	"Ball State University"	0	36554
"1973"	"Female"	"University of California-Berkeley"	1312	36554
"1973"	"Male"	"Stanford University"	1305	36554
"1973"	"Female"	"Tufts University"	0	36554
"1973"	"Gender"	"University of Rhode Island"	0	36554
"1974"	"Gender"	"University of California-Berkeley"	0	32613
"1974"	"Gender"	"University of Michigan at Ann Arbor"	0	32613
"1974"	"Male"	"University of Michigan at Ann Arbor"	9092	32613
"1974"	"Male"	"University of Rhode Island"	0	32613
"1974"	"Female"	"University of Michigan at Ann Arbor"	9092	32613
"1974"	"Female"	"University of Rhode Island"	0	32613
"1974"	"Male"	"University of California-Berkeley"	1312	32613
"1974"	"Female"	"Stanford University"	1305	32613
"1974"	"Female"	"Northeastern University"	0	32613
"1974"	"Male"	"Ball State University"	1786	32613
"1974"	"Male"	"Princeton University"	2627	32613
"1974"	"Gender"	"University of Rhode Island"	0	32613
"1974"	"Gender"	"Ball State University"	0	32613
"1974"	"Gender"	"Stanford University"	0	32613
"1974"	"Male"	"Northeastern University"	0	32613
"1974"	"Female"	"Princeton University"	2627	32613
"1974"	"Male"	"Stanford University"	1305	32613
"1974"	"Gender"	"Tufts University"	0	32613
"1974"	"Female"	"Tufts University"	0	32613
"1974"	"Female"	"Ball State University"	0	32613
"1974"	"Gender"	"Northeastern University"	0	32613
"1974"	"Gender"	"Princeton University"	0	32613
"1974"	"Male"	"Harvard University"	2155	32613
"1974"	"Female"	"Harvard University"	0	32613
"1974"	"Gender"	"Harvard University"	0	32613
"1974"	"Female"	"University of California-Berkeley"	1312	32613
"1974"	"Male"	"Tufts University"	0	32613
"1975"	"Female"	"University of Michigan at Ann Arbor"	9092	36554
"1975"	"Male"	"Northeastern University"	0	36554
"1975"	"Male"	"Stanford University"	1305	36554
"1975"	"Male"	"University of Rhode Island"	0	36554
"1975"	"Gender"	"Tufts University"	0	36554
"1975"	"Female"	"Stanford University"	1305	36554
"1975"	"Gender"	"Harvard University"	0	36554
"1975"	"Female"	"Princeton University"	2627	36554
"1975"	"Male"	"Harvard University"	2155	36554
"1975"	"Female"	"Harvard University"	2155	36554
"1975"	"Female"	"Ball State University"	1786	36554
"1975"	"Male"	"Princeton University"	2627	36554
"1975"	"Female"	"University of California-Berkeley"	1312	36554
"1975"	"Gender"	"Stanford University"	0	36554
"1975"	"Female"	"Tufts University"	0	36554
"1975"	"Female"	"University of Rhode Island"	0	36554
"1975"	"Gender"	"University of Michigan at Ann Arbor"	0	36554
"1975"	"Gender"	"Ball State University"	0	36554
"1975"	"Female"	"Northeastern University"	0	36554
"1975"	"Male"	"Tufts University"	0	36554
"1975"	"Gender"	"University of California-Berkeley"	0	36554
"1975"	"Gender"	"University of Rhode Island"	0	36554
"1975"	"Male"	"University of California-Berkeley"	1312	36554
"1975"	"Gender"	"Princeton University"	0	36554
"1975"	"Male"	"Ball State University"	1786	36554
"1975"	"Male"	"University of Michigan at Ann Arbor"	9092	36554
"1975"	"Gender"	"Northeastern University"	0	36554
"1976"	"Male"	"University of Rhode Island"	0	34768
"1976"	"Female"	"University of Rhode Island"	0	34768
"1976"	"Male"	"Stanford University"	1305	34768
"1976"	"Male"	"Princeton University"	2627	34768
"1976"	"Male"	"Harvard University"	2155	34768
"1976"	"Gender"	"Harvard University"	0	34768
"1976"	"Gender"	"University of California-Berkeley"	0	34768
"1976"	"Female"	"University of California-Berkeley"	1312	34768
"1976"	"Female"	"Stanford University"	1305	34768
"1976"	"Female"	"Tufts University"	0	34768
"1976"	"Male"	"Tufts University"	0	34768
"1976"	"Male"	"Northeastern University"	0	34768
"1976"	"Male"	"University of California-Berkeley"	1312	34768
"1976"	"Gender"	"Stanford University"	0	34768
"1976"	"Gender"	"University of Rhode Island"	0	34768
"1976"	"Female"	"Northeastern University"	0	34768
"1976"	"Female"	"Harvard University"	2155	34768
"1976"	"Gender"	"Tufts University"	0	34768
"1976"	"Female"	"University of Michigan at Ann Arbor"	9092	34768
"1976"	"Male"	"Ball State University"	1786	34768
"1976"	"Gender"	"Northeastern University"	0	34768
"1976"	"Female"	"Princeton University"	2627	34768
"1976"	"Male"	"University of Michigan at Ann Arbor"	9092	34768
"1976"	"Female"	"Ball State University"	0	34768
"1976"	"Gender"	"Ball State University"	0	34768
"1976"	"Gender"	"Princeton University"	0	34768
"1976"	"Gender"	"University of Michigan at Ann Arbor"	0	34768
"1977"	"Male"	"University of Rhode Island"	0	32244
"1977"	"Male"	"Princeton University"	2627	32244
"1977"	"Gender"	"Harvard University"	0	32244
"1977"	"Gender"	"University of California-Berkeley"	0	32244
"1977"	"Gender"	"Northeastern University"	0	32244
"1977"	"Gender"	"Tufts University"	0	32244
"1977"	"Gender"	"Stanford University"	0	32244
"1977"	"Male"	"Harvard University"	0	32244
"1977"	"Female"	"Stanford University"	1305	32244
"1977"	"Male"	"Stanford University"	1305	32244
"1977"	"Female"	"Northeastern University"	0	32244
"1977"	"Female"	"Harvard University"	0	32244
"1977"	"Male"	"University of California-Berkeley"	1312	32244
"1977"	"Gender"	"University of Michigan at Ann Arbor"	0	32244
"1977"	"Male"	"University of Michigan at Ann Arbor"	9092	32244
"1977"	"Female"	"University of Michigan at Ann Arbor"	9092	32244
