"year"	"gender"	"field"	"count"	"total"
"1966"	"Female"	"Ball State University"	0	10815
"1966"	"Male"	"Tufts University"	0	10815
"1966"	"Gender"	"Richard Stockton College of New Jersey"	0	10815
"1966"	"Male"	"University of California-Berkeley"	1312	10815
"1966"	"Male"	"Emerson College"	0	10815
"1966"	"Gender"	"University of Rhode Island"	0	10815
"1966"	"Gender"	"Ball State University"	0	10815
"1966"	"Female"	"University of California-Berkeley"	0	10815
"1966"	"Gender"	"Northeastern University"	0	10815
"1966"	"Female"	"University of Michigan at Ann Arbor"	0	10815
"1966"	"Female"	"George Mason University"	0	10815
"1966"	"Male"	"University of Rhode Island"	0	10815
"1966"	"Female"	"Stanford University"	1305	10815
"1966"	"Gender"	"University of California-Berkeley"	0	10815
"1966"	"Male"	"Northeastern University"	0	10815
"1966"	"Gender"	"University of Michigan at Ann Arbor"	0	10815
"1966"	"Female"	"Tufts University"	0	10815
"1966"	"Female"	"Brandeis University"	2133	10815
"1966"	"Gender"	"Stanford University"	0	10815
"1966"	"Gender"	"Brandeis University"	0	10815
"1966"	"Female"	"Princeton University"	0	10815
"1966"	"Male"	"George Mason University"	0	10815
"1966"	"Gender"	"Tufts University"	0	10815
"1966"	"Female"	"Harvard University"	0	10815
"1966"	"Male"	"Stanford University"	1305	10815
"1966"	"Gender"	"Princeton University"	0	10815
"1966"	"Female"	"University of Rhode Island"	0	10815
"1966"	"Male"	"Princeton University"	2627	10815
"1966"	"Gender"	"Emerson College"	0	10815
"1966"	"Male"	"University of Michigan at Ann Arbor"	0	10815
"1966"	"Gender"	"George Mason University"	0	10815
"1966"	"Male"	"Richard Stockton College of New Jersey"	0	10815
"1966"	"Female"	"Northeastern University"	0	10815
"1966"	"Female"	"Richard Stockton College of New Jersey"	0	10815
"1966"	"Female"	"Emerson College"	0	10815
"1966"	"Male"	"Ball State University"	0	10815
"1966"	"Male"	"Harvard University"	0	10815
"1966"	"Male"	"Brandeis University"	2133	10815
"1966"	"Gender"	"Harvard University"	0	10815
"1967"	"Male"	"Northeastern University"	0	10822
"1967"	"Gender"	"Richard Stockton College of New Jersey"	0	10822
"1967"	"Male"	"Princeton University"	2627	10822
"1967"	"Female"	"Ball State University"	0	10822
"1967"	"Male"	"Tufts University"	0	10822
"1967"	"Gender"	"Tufts University"	0	10822
"1967"	"Male"	"Emerson College"	0	10822
"1967"	"Gender"	"University of Rhode Island"	0	10822
"1967"	"Gender"	"Stanford University"	0	10822
"1967"	"Gender"	"Northeastern University"	0	10822
"1967"	"Male"	"Richard Stockton College of New Jersey"	0	10822
"1967"	"Male"	"University of Michigan at Ann Arbor"	0	10822
"1967"	"Female"	"George Mason University"	0	10822
"1967"	"Gender"	"Princeton University"	0	10822
"1967"	"Female"	"Stanford University"	0	10822
"1967"	"Gender"	"University of California-Berkeley"	0	10822
"1967"	"Female"	"Harvard University"	0	10822
"1967"	"Female"	"Tufts University"	0	10822
"1967"	"Gender"	"George Mason University"	0	10822
"1967"	"Female"	"Brandeis University"	2133	10822
"1967"	"Female"	"Northeastern University"	0	10822
"1967"	"Gender"	"Ball State University"	0	10822
"1967"	"Female"	"Princeton University"	0	10822
"1967"	"Male"	"George Mason University"	0	10822
"1967"	"Male"	"Ball State University"	0	10822
"1967"	"Gender"	"Brandeis University"	0	10822
"1967"	"Male"	"Stanford University"	1305	10822
"1967"	"Male"	"Harvard University"	0	10822
"1967"	"Gender"	"University of Michigan at Ann Arbor"	0	10822
"1967"	"Gender"	"Emerson College"	0	10822
"1967"	"Female"	"University of Rhode Island"	0	10822
"1967"	"Male"	"Brandeis University"	2133	10822
"1967"	"Female"	"Emerson College"	0	10822
"1967"	"Male"	"University of California-Berkeley"	1312	10822
"1967"	"Gender"	"Harvard University"	0	10822
"1967"	"Male"	"University of Rhode Island"	0	10822
"1967"	"Female"	"University of California-Berkeley"	1312	10822
"1967"	"Female"	"Richard Stockton College of New Jersey"	0	10822
"1967"	"Female"	"University of Michigan at Ann Arbor"	0	10822
"1968"	"Gender"	"Stanford University"	0	13827
"1968"	"Gender"	"Tufts University"	0	13827
"1968"	"Male"	"George Mason University"	0	13827
"1968"	"Gender"	"University of California-Berkeley"	0	13827
"1968"	"Male"	"Tufts University"	0	13827
"1968"	"Gender"	"Northeastern University"	0	13827
"1968"	"Gender"	"Princeton University"	0	13827
"1968"	"Female"	"Brandeis University"	2133	13827
"1968"	"Male"	"Emerson College"	0	13827
"1968"	"Male"	"Northeastern University"	0	13827
"1968"	"Female"	"Tufts University"	0	13827
"1968"	"Female"	"Emerson College"	0	13827
"1968"	"Male"	"Richard Stockton College of New Jersey"	0	13827
"1968"	"Gender"	"University of Rhode Island"	0	13827
"1968"	"Male"	"Stanford University"	0	13827
"1968"	"Male"	"Harvard University"	2155	13827
"1968"	"Female"	"Stanford University"	0	13827
"1968"	"Female"	"Ball State University"	0	13827
"1968"	"Female"	"Harvard University"	2155	13827
"1968"	"Gender"	"Richard Stockton College of New Jersey"	0	13827
"1968"	"Male"	"Brandeis University"	2133	13827
"1968"	"Male"	"University of California-Berkeley"	1312	13827
"1968"	"Male"	"Princeton University"	2627	13827
"1968"	"Gender"	"Brandeis University"	0	13827
"1968"	"Female"	"University of California-Berkeley"	1312	13827
"1968"	"Male"	"University of Michigan at Ann Arbor"	0	13827
"1968"	"Male"	"Ball State University"	0	13827
"1968"	"Gender"	"Emerson College"	0	13827
"1968"	"Female"	"Richard Stockton College of New Jersey"	0	13827
"1968"	"Male"	"University of Rhode Island"	0	13827
"1968"	"Gender"	"George Mason University"	0	13827
"1968"	"Female"	"Northeastern University"	0	13827
"1968"	"Female"	"University of Rhode Island"	0	13827
"1968"	"Female"	"Princeton University"	0	13827
"1968"	"Gender"	"Harvard University"	0	13827
"1968"	"Gender"	"University of Michigan at Ann Arbor"	0	13827
"1968"	"Female"	"George Mason University"	0	13827
"1968"	"Gender"	"Ball State University"	0	13827
