"year"	"gender"	"field"	"count"	"total"
"1966"	"Female"	"Area and Ethnic Studies"	0	2143
"1966"	"Male"	"Math"	3	2143
"1966"	"Female"	"Social Sciences, Other"	0	2143
"1966"	"Female"	"Education"	205	2143
"1966"	"Female"	"Computer Science"	0	2143
"1966"	"Male"	"Vocational Studies and Home Economics"	10	2143
"1966"	"Male"	"Area and Ethnic Studies"	0	2143
"1966"	"Female"	"Other/Unknown"	0	2143
"1966"	"Female"	"Math"	1	2143
"1966"	"Male"	"Social Sciences, Other"	0	2143
"1966"	"Male"	"Computer Science"	0	2143
"1966"	"Male"	"Physical Sciences"	10	2143
"1966"	"Female"	"Vocational Studies and Home Economics"	13	2143
"1966"	"Female"	"Art/Architecture"	686	2143
"1966"	"Female"	"Engineering"	0	2143
"1966"	"Female"	"Business"	0	2143
"1966"	"Male"	"Business"	0	2143
"1966"	"Male"	"Art/Architecture"	992	2143
"1966"	"Female"	"Physical Sciences"	0	2143
"1966"	"Male"	"Communication and Librarianship"	0	2143
"1966"	"Male"	"Engineering"	82	2143
"1966"	"Male"	"Education"	141	2143
"1966"	"Female"	"Communication and Librarianship"	0	2143
"1966"	"Male"	"Life Sciences"	0	2143
"1966"	"Male"	"Other/Unknown"	0	2143
"1966"	"Female"	"Life Sciences"	0	2143
"1967"	"Male"	"Computer Science"	0	2425
"1967"	"Male"	"Math"	6	2425
"1967"	"Female"	"Engineering"	0	2425
"1967"	"Female"	"Social Sciences, Other"	0	2425
"1967"	"Female"	"Math"	0	2425
"1967"	"Male"	"Vocational Studies and Home Economics"	15	2425
"1967"	"Female"	"Physical Sciences"	1	2425
"1967"	"Male"	"Area and Ethnic Studies"	0	2425
"1967"	"Female"	"Vocational Studies and Home Economics"	8	2425
"1967"	"Male"	"Education"	150	2425
"1967"	"Male"	"Social Sciences, Other"	0	2425
"1967"	"Female"	"Business"	0	2425
"1967"	"Male"	"Business"	0	2425
"1967"	"Male"	"Other/Unknown"	0	2425
"1967"	"Female"	"Area and Ethnic Studies"	0	2425
"1967"	"Male"	"Communication and Librarianship"	0	2425
"1967"	"Male"	"Art/Architecture"	1107	2425
"1967"	"Female"	"Computer Science"	0	2425
"1967"	"Male"	"Life Sciences"	0	2425
"1967"	"Male"	"Engineering"	76	2425
"1967"	"Female"	"Communication and Librarianship"	0	2425
"1967"	"Female"	"Art/Architecture"	830	2425
"1967"	"Female"	"Life Sciences"	0	2425
"1967"	"Female"	"Education"	223	2425
"1967"	"Female"	"Other/Unknown"	0	2425
"1967"	"Male"	"Physical Sciences"	9	2425
"1968"	"Male"	"Math"	4	2703
"1968"	"Male"	"Vocational Studies and Home Economics"	31	2703
"1968"	"Female"	"Area and Ethnic Studies"	0	2703
"1968"	"Male"	"Social Sciences, Other"	0	2703
"1968"	"Female"	"Computer Science"	0	2703
"1968"	"Female"	"Art/Architecture"	890	2703
"1968"	"Female"	"Engineering"	0	2703
"1968"	"Female"	"Math"	0	2703
"1968"	"Male"	"Art/Architecture"	1278	2703
"1968"	"Female"	"Physical Sciences"	4	2703
"1968"	"Female"	"Vocational Studies and Home Economics"	22	2703
"1968"	"Male"	"Education"	159	2703
"1968"	"Female"	"Education"	204	2703
"1968"	"Female"	"Communication and Librarianship"	0	2703
"1968"	"Female"	"Other/Unknown"	0	2703
"1968"	"Male"	"Other/Unknown"	0	2703
"1968"	"Female"	"Life Sciences"	0	2703
"1968"	"Male"	"Communication and Librarianship"	0	2703
"1968"	"Male"	"Physical Sciences"	25	2703
"1968"	"Male"	"Business"	0	2703
"1968"	"Female"	"Social Sciences, Other"	0	2703
"1968"	"Male"	"Life Sciences"	0	2703
"1968"	"Female"	"Business"	0	2703
"1968"	"Male"	"Engineering"	86	2703
"1968"	"Male"	"Area and Ethnic Studies"	0	2703
"1968"	"Male"	"Computer Science"	0	2703
"1969"	"Male"	"Education"	172	2996
"1969"	"Female"	"Engineering"	1	2996
"1969"	"Female"	"Math"	1	2996
"1969"	"Male"	"Other/Unknown"	0	2996
"1969"	"Female"	"Area and Ethnic Studies"	0	2996
"1969"	"Male"	"Communication and Librarianship"	0	2996
"1969"	"Female"	"Vocational Studies and Home Economics"	10	2996
"1969"	"Male"	"Business"	0	2996
"1969"	"Female"	"Computer Science"	0	2996
"1969"	"Male"	"Life Sciences"	0	2996
"1969"	"Male"	"Engineering"	113	2996
"1969"	"Male"	"Area and Ethnic Studies"	0	2996
"1969"	"Female"	"Communication and Librarianship"	0	2996
"1969"	"Male"	"Social Sciences, Other"	0	2996
"1969"	"Female"	"Business"	0	2996
"1969"	"Male"	"Computer Science"	0	2996
"1969"	"Female"	"Life Sciences"	0	2996
"1969"	"Female"	"Art/Architecture"	1011	2996
"1969"	"Male"	"Art/Architecture"	1383	2996
"1969"	"Male"	"Math"	7	2996
"1969"	"Female"	"Social Sciences, Other"	0	2996
"1969"	"Female"	"Education"	238	2996
"1969"	"Male"	"Vocational Studies and Home Economics"	38	2996
"1969"	"Female"	"Physical Sciences"	1	2996
"1969"	"Female"	"Other/Unknown"	0	2996
"1969"	"Male"	"Physical Sciences"	21	2996
"1970"	"Female"	"Vocational Studies and Home Economics"	22	3284
"1970"	"Female"	"Other/Unknown"	0	3284
"1970"	"Male"	"Life Sciences"	0	3284
"1970"	"Male"	"Vocational Studies and Home Economics"	28	3284
"1970"	"Male"	"Physical Sciences"	19	3284
"1970"	"Male"	"Other/Unknown"	0	3284
"1970"	"Male"	"Engineering"	119	3284
"1970"	"Female"	"Life Sciences"	0	3284
"1970"	"Female"	"Art/Architecture"	1081	3284
"1970"	"Female"	"Engineering"	0	3284
"1970"	"Male"	"Computer Science"	4	3284
"1970"	"Female"	"Physical Sciences"	2	3284
"1970"	"Female"	"Education"	222	3284
"1970"	"Female"	"Computer Science"	0	3284
"1970"	"Female"	"Area and Ethnic Studies"	0	3284
"1970"	"Male"	"Area and Ethnic Studies"	0	3284
"1970"	"Male"	"Education"	155	3284
"1970"	"Female"	"Math"	4	3284
