"year"	"gender"	"field"	"count"
1966	"Female"	"Agriculture"	0
1967	"Female"	"Agriculture"	0
1968	"Female"	"Agriculture"	0
1976	"Female"	"Agriculture"	0
1977	"Female"	"Agriculture"	0
1978	"Female"	"Agriculture"	0
1980	"Female"	"Agriculture"	0
1981	"Female"	"Agriculture"	0
1982	"Female"	"Agriculture"	0
1983	"Female"	"Agriculture"	0
1984	"Female"	"Agriculture"	0
1985	"Female"	"Agriculture"	0
1986	"Female"	"Agriculture"	0
1987	"Female"	"Agriculture"	0
1988	"Female"	"Agriculture"	0
1989	"Female"	"Agriculture"	8
1990	"Female"	"Agriculture"	9
1991	"Female"	"Agriculture"	12
1992	"Female"	"Agriculture"	13
1993	"Female"	"Agriculture"	21
1994	"Female"	"Agriculture"	29
1995	"Female"	"Agriculture"	20
1996	"Female"	"Agriculture"	25
1997	"Female"	"Agriculture"	26
1998	"Female"	"Agriculture"	17
1999	"Female"	"Agriculture"	34
2000	"Female"	"Agriculture"	23
2001	"Female"	"Agriculture"	31
2002	"Female"	"Agriculture"	47
2003	"Female"	"Agriculture"	54
2004	"Female"	"Agriculture"	54
2005	"Female"	"Agriculture"	49
2006	"Female"	"Agriculture"	53
2007	"Female"	"Agriculture"	70
2008	"Female"	"Agriculture"	70
2009	"Female"	"Agriculture"	61
2010	"Female"	"Agriculture"	80
2011	"Female"	"Agriculture"	92
1966	"Male"	"Agriculture"	0
1967	"Male"	"Agriculture"	0
1968	"Male"	"Agriculture"	0
1976	"Male"	"Agriculture"	0
1977	"Male"	"Agriculture"	0
1978	"Male"	"Agriculture"	0
1980	"Male"	"Agriculture"	0
1981	"Male"	"Agriculture"	0
1982	"Male"	"Agriculture"	0
1983	"Male"	"Agriculture"	0
1984	"Male"	"Agriculture"	0
1985	"Male"	"Agriculture"	0
1986	"Male"	"Agriculture"	0
1987	"Male"	"Agriculture"	0
1988	"Male"	"Agriculture"	0
1989	"Male"	"Agriculture"	15
1990	"Male"	"Agriculture"	11
1991	"Male"	"Agriculture"	22
1992	"Male"	"Agriculture"	21
1993	"Male"	"Agriculture"	38
1994	"Male"	"Agriculture"	36
1995	"Male"	"Agriculture"	30
1996	"Male"	"Agriculture"	41
1997	"Male"	"Agriculture"	50
1998	"Male"	"Agriculture"	29
1999	"Male"	"Agriculture"	64
2000	"Male"	"Agriculture"	56
2001	"Male"	"Agriculture"	57
2002	"Male"	"Agriculture"	68
2003	"Male"	"Agriculture"	63
2004	"Male"	"Agriculture"	64
2005	"Male"	"Agriculture"	80
2006	"Male"	"Agriculture"	59
2007	"Male"	"Agriculture"	53
2008	"Male"	"Agriculture"	87
2009	"Male"	"Agriculture"	83
2010	"Male"	"Agriculture"	79
2011	"Male"	"Agriculture"	105
1966	"Female"	"Area and Ethnic Studies"	0
1967	"Female"	"Area and Ethnic Studies"	0
1968	"Female"	"Area and Ethnic Studies"	0
1976	"Female"	"Area and Ethnic Studies"	0
1977	"Female"	"Area and Ethnic Studies"	0
1978	"Female"	"Area and Ethnic Studies"	0
1980	"Female"	"Area and Ethnic Studies"	0
1981	"Female"	"Area and Ethnic Studies"	0
1982	"Female"	"Area and Ethnic Studies"	0
1983	"Female"	"Area and Ethnic Studies"	0
1984	"Female"	"Area and Ethnic Studies"	0
1985	"Female"	"Area and Ethnic Studies"	0
1986	"Female"	"Area and Ethnic Studies"	0
1987	"Female"	"Area and Ethnic Studies"	0
1988	"Female"	"Area and Ethnic Studies"	0
1989	"Female"	"Area and Ethnic Studies"	0
1990	"Female"	"Area and Ethnic Studies"	0
1991	"Female"	"Area and Ethnic Studies"	0
1992	"Female"	"Area and Ethnic Studies"	0
1993	"Female"	"Area and Ethnic Studies"	0
1994	"Female"	"Area and Ethnic Studies"	0
1995	"Female"	"Area and Ethnic Studies"	0
1996	"Female"	"Area and Ethnic Studies"	0
1997	"Female"	"Area and Ethnic Studies"	0
1998	"Female"	"Area and Ethnic Studies"	2
1999	"Female"	"Area and Ethnic Studies"	7
2000	"Female"	"Area and Ethnic Studies"	4
2001	"Female"	"Area and Ethnic Studies"	7
2002	"Female"	"Area and Ethnic Studies"	7
2003	"Female"	"Area and Ethnic Studies"	5
2004	"Female"	"Area and Ethnic Studies"	4
2005	"Female"	"Area and Ethnic Studies"	1
2006	"Female"	"Area and Ethnic Studies"	7
2007	"Female"	"Area and Ethnic Studies"	3
2008	"Female"	"Area and Ethnic Studies"	8
