"year"	"gender"	"field"	"count"	"total"
"1966"	"Female"	"Agriculture"	0	458
"1966"	"Male"	"Life Sciences"	23	458
"1966"	"Female"	"Foreign Languages"	10	458
"1966"	"Female"	"Social Service Professions"	0	458
"1966"	"Female"	"Business"	11	458
"1966"	"Male"	"Political Science and Public Administration"	0	458
"1966"	"Male"	"Agriculture"	0	458
"1966"	"Female"	"Math"	4	458
"1966"	"Female"	"Education"	74	458
"1966"	"Male"	"Social Service Professions"	0	458
"1966"	"Male"	"Business"	78	458
"1966"	"Female"	"Psychology"	17	458
"1966"	"Female"	"History"	15	458
"1966"	"Male"	"Math"	10	458
"1966"	"Male"	"Education"	31	458
"1966"	"Female"	"Sociology"	2	458
"1966"	"Female"	"Other/Unknown"	0	458
"1966"	"Male"	"Anthropology"	0	458
"1966"	"Male"	"History"	15	458
"1966"	"Female"	"Social Sciences, Other"	4	458
"1966"	"Female"	"Religion"	0	458
"1966"	"Male"	"Communication and Librarianship"	0	458
"1966"	"Male"	"Other/Unknown"	0	458
"1966"	"Female"	"Area and Ethnic Studies"	0	458
"1966"	"Female"	"Vocational Studies and Home Economics"	0	458
"1966"	"Male"	"Engineering"	100	458
"1966"	"Male"	"Religion"	0	458
"1966"	"Female"	"Computer Science"	0	458
"1966"	"Female"	"Physical Sciences"	0	458
"1966"	"Male"	"Humanities, Other"	0	458
"1966"	"Male"	"Vocational Studies and Home Economics"	0	458
"1966"	"Female"	"English and Literature"	26	458
"1966"	"Male"	"Art/Architecture"	3	458
"1966"	"Male"	"Physical Sciences"	2	458
"1966"	"Female"	"Art/Architecture"	9	458
"1966"	"Female"	"Life Sciences"	5	458
"1966"	"Male"	"Economics"	0	458
"1966"	"Male"	"Social Sciences, Other"	7	458
"1966"	"Female"	"Economics"	0	458
"1966"	"Female"	"Political Science and Public Administration"	0	458
"1966"	"Male"	"Foreign Languages"	0	458
"1966"	"Male"	"Psychology"	5	458
"1966"	"Female"	"Communication and Librarianship"	0	458
"1966"	"Female"	"Anthropology"	0	458
"1966"	"Male"	"Sociology"	0	458
"1966"	"Female"	"Engineering"	0	458
"1966"	"Male"	"Area and Ethnic Studies"	0	458
"1966"	"Female"	"Humanities, Other"	0	458
"1966"	"Male"	"Computer Science"	0	458
"1966"	"Male"	"English and Literature"	7	458
"1967"	"Male"	"Life Sciences"	12	480
"1967"	"Male"	"Political Science and Public Administration"	0	480
"1967"	"Female"	"Agriculture"	0	480
"1967"	"Male"	"Social Service Professions"	0	480
"1967"	"Female"	"Business"	12	480
"1967"	"Male"	"Math"	4	480
"1967"	"Male"	"Education"	22	480
"1967"	"Female"	"Education"	60	480
"1967"	"Male"	"Anthropology"	0	480
"1967"	"Female"	"English and Literature"	16	480
"1967"	"Male"	"History"	19	480
"1967"	"Female"	"History"	10	480
"1967"	"Male"	"Communication and Librarianship"	0	480
"1967"	"Male"	"Foreign Languages"	0	480
"1967"	"Female"	"Life Sciences"	6	480
"1967"	"Female"	"Humanities, Other"	2	480
"1967"	"Male"	"Engineering"	116	480
"1967"	"Female"	"Anthropology"	0	480
"1967"	"Female"	"Computer Science"	0	480
"1967"	"Female"	"Foreign Languages"	9	480
"1967"	"Male"	"Humanities, Other"	4	480
"1967"	"Female"	"Communication and Librarianship"	0	480
"1967"	"Male"	"Economics"	0	480
"1967"	"Male"	"Agriculture"	0	480
"1967"	"Male"	"Computer Science"	0	480
"1967"	"Female"	"Art/Architecture"	4	480
"1967"	"Female"	"Religion"	0	480
"1967"	"Male"	"Business"	108	480
"1967"	"Male"	"English and Literature"	4	480
"1967"	"Female"	"Economics"	1	480
"1967"	"Female"	"Vocational Studies and Home Economics"	1	480
"1967"	"Male"	"Art/Architecture"	28	480
"1967"	"Male"	"Religion"	0	480
"1967"	"Female"	"Sociology"	0	480
"1967"	"Male"	"Area and Ethnic Studies"	0	480
"1967"	"Female"	"Other/Unknown"	2	480
"1967"	"Male"	"Vocational Studies and Home Economics"	0	480
"1967"	"Female"	"Area and Ethnic Studies"	0	480
"1967"	"Female"	"Math"	3	480
"1967"	"Male"	"Physical Sciences"	1	480
"1967"	"Male"	"Sociology"	0	480
"1967"	"Female"	"Political Science and Public Administration"	0	480
"1967"	"Female"	"Psychology"	10	480
"1967"	"Male"	"Social Sciences, Other"	8	480
"1967"	"Female"	"Physical Sciences"	2	480
"1967"	"Female"	"Social Service Professions"	0	480
"1967"	"Male"	"Psychology"	4	480
"1967"	"Female"	"Engineering"	0	480
"1967"	"Female"	"Social Sciences, Other"	4	480
"1967"	"Male"	"Other/Unknown"	8	480
"1968"	"Male"	"Political Science and Public Administration"	0	462
"1968"	"Male"	"Life Sciences"	12	462
"1968"	"Female"	"History"	6	462
"1968"	"Female"	"Education"	43	462
"1968"	"Male"	"History"	18	462
"1968"	"Male"	"Humanities, Other"	0	462
"1968"	"Male"	"Communication and Librarianship"	0	462
"1968"	"Female"	"Vocational Studies and Home Economics"	0	462
"1968"	"Male"	"Social Service Professions"	0	462
"1968"	"Female"	"Computer Science"	0	462
"1968"	"Male"	"Engineering"	83	462
"1968"	"Male"	"Anthropology"	0	462
"1968"	"Female"	"Agriculture"	0	462
"1968"	"Female"	"English and Literature"	32	462
"1968"	"Female"	"Foreign Languages"	10	462
"1968"	"Female"	"Art/Architecture"	19	462
"1968"	"Female"	"Religion"	0	462
"1968"	"Female"	"Life Sciences"	5	462
"1968"	"Female"	"Area and Ethnic Studies"	0	462
"1968"	"Female"	"Economics"	0	462
"1968"	"Male"	"Social Sciences, Other"	8	462
"1968"	"Male"	"Math"	8	462
"1968"	"Male"	"Art/Architecture"	8	462
"1968"	"Male"	"Education"	28	462
"1968"	"Male"	"Area and Ethnic Studies"	0	462
"1968"	"Female"	"Business"	19	462
"1968"	"Male"	"Economics"	0	462
"1968"	"Male"	"Vocational Studies and Home Economics"	0	462
"1968"	"Male"	"Agriculture"	0	462
"1968"	"Male"	"Physical Sciences"	0	462
"1968"	"Male"	"Foreign Languages"	3	462
"1968"	"Male"	"Psychology"	3	462
"1968"	"Male"	"Business"	122	462
"1968"	"Female"	"Psychology"	12	462
"1968"	"Female"	"Anthropology"	0	462
"1968"	"Male"	"Sociology"	0	462
"1968"	"Male"	"Religion"	0	462
"1968"	"Female"	"Sociology"	0	462
"1968"	"Female"	"Other/Unknown"	0	462
"1968"	"Female"	"Physical Sciences"	1	462
"1968"	"Female"	"Social Service Professions"	0	462
"1968"	"Male"	"Other/Unknown"	0	462
"1968"	"Female"	"Math"	3	462
"1968"	"Male"	"Computer Science"	0	462
"1968"	"Female"	"Communication and Librarianship"	0	462
"1968"	"Female"	"Political Science and Public Administration"	3	462
"1968"	"Female"	"Humanities, Other"	0	462
"1968"	"Male"	"English and Literature"	10	462
"1968"	"Female"	"Engineering"	0	462
"1968"	"Female"	"Social Sciences, Other"	6	462
"1969"	"Male"	"Life Sciences"	3	286
"1969"	"Female"	"Life Sciences"	2	286
"1969"	"Female"	"Education"	37	286
"1969"	"Male"	"History"	0	286
"1969"	"Female"	"English and Literature"	16	286
"1969"	"Female"	"History"	8	286
"1969"	"Male"	"Engineering"	0	286
"1969"	"Female"	"Business"	5	286
"1969"	"Female"	"Art/Architecture"	11	286
"1969"	"Female"	"Humanities, Other"	0	286
"1969"	"Male"	"English and Literature"	0	286
"1969"	"Male"	"Physical Sciences"	1	286
"1969"	"Female"	"Agriculture"	0	286
"1969"	"Female"	"Political Science and Public Administration"	1	286
"1969"	"Male"	"Art/Architecture"	0	286
"1969"	"Female"	"Economics"	0	286
"1969"	"Female"	"Other/Unknown"	0	286
"1969"	"Male"	"Economics"	0	286
