"year"	"gender"	"field"	"count"	"total"
"1966"	"Female"	"George Mason University"	0	8249
"1966"	"Gender"	"Princeton University"	0	8249
"1966"	"Female"	"University of California-Berkeley"	0	8249
"1966"	"Male"	"University of Michigan at Ann Arbor"	0	8249
"1966"	"Female"	"Harvard University"	2155	8249
"1966"	"Male"	"Princeton University"	2627	8249
"1966"	"Gender"	"George Mason University"	0	8249
"1966"	"Female"	"Tufts University"	0	8249
"1966"	"Female"	"Princeton University"	0	8249
"1966"	"Male"	"Tufts University"	0	8249
"1966"	"Gender"	"University of Michigan at Ann Arbor"	0	8249
"1966"	"Female"	"University of Michigan at Ann Arbor"	0	8249
"1966"	"Male"	"George Mason University"	0	8249
"1966"	"Male"	"University of California-Berkeley"	1312	8249
"1966"	"Gender"	"Tufts University"	0	8249
"1966"	"Gender"	"Harvard University"	0	8249
"1966"	"Male"	"Harvard University"	2155	8249
"1966"	"Gender"	"University of California-Berkeley"	0	8249
"1967"	"Male"	"Harvard University"	2155	9561
"1967"	"Gender"	"George Mason University"	0	9561
"1967"	"Male"	"Princeton University"	2627	9561
"1967"	"Female"	"University of Michigan at Ann Arbor"	0	9561
"1967"	"Female"	"George Mason University"	0	9561
"1967"	"Gender"	"Princeton University"	0	9561
"1967"	"Gender"	"Harvard University"	0	9561
"1967"	"Gender"	"University of Michigan at Ann Arbor"	0	9561
"1967"	"Male"	"George Mason University"	0	9561
"1967"	"Female"	"Harvard University"	2155	9561
"1967"	"Male"	"University of California-Berkeley"	1312	9561
"1967"	"Male"	"Tufts University"	0	9561
"1967"	"Female"	"University of California-Berkeley"	1312	9561
"1967"	"Female"	"Princeton University"	0	9561
"1967"	"Gender"	"Tufts University"	0	9561
"1967"	"Male"	"University of Michigan at Ann Arbor"	0	9561
"1967"	"Female"	"Tufts University"	0	9561
"1967"	"Gender"	"University of California-Berkeley"	0	9561
"1968"	"Gender"	"George Mason University"	0	9561
"1968"	"Gender"	"Princeton University"	0	9561
"1968"	"Gender"	"Harvard University"	0	9561
"1968"	"Male"	"George Mason University"	0	9561
