"year"	"gender"	"field"	"count"
"1966"	"Female"	"Area and Ethnic Studies"	0
"1967"	"Female"	"Area and Ethnic Studies"	0
"1968"	"Female"	"Area and Ethnic Studies"	0
"1969"	"Female"	"Area and Ethnic Studies"	0
"1970"	"Female"	"Area and Ethnic Studies"	0
"1971"	"Female"	"Area and Ethnic Studies"	0
"1972"	"Female"	"Area and Ethnic Studies"	0
"1973"	"Female"	"Area and Ethnic Studies"	0
"1974"	"Female"	"Area and Ethnic Studies"	0
"1975"	"Female"	"Area and Ethnic Studies"	0
"1976"	"Female"	"Area and Ethnic Studies"	0
"1977"	"Female"	"Area and Ethnic Studies"	0
"1978"	"Female"	"Area and Ethnic Studies"	0
"1979"	"Female"	"Area and Ethnic Studies"	0
"1980"	"Female"	"Area and Ethnic Studies"	0
"1981"	"Female"	"Area and Ethnic Studies"	0
"1982"	"Female"	"Area and Ethnic Studies"	0
"1983"	"Female"	"Area and Ethnic Studies"	0
"1984"	"Female"	"Area and Ethnic Studies"	0
"1985"	"Female"	"Area and Ethnic Studies"	0
"1986"	"Female"	"Area and Ethnic Studies"	0
"1987"	"Female"	"Area and Ethnic Studies"	1
"1988"	"Female"	"Area and Ethnic Studies"	0
"1989"	"Female"	"Area and Ethnic Studies"	0
"1990"	"Female"	"Area and Ethnic Studies"	2
"1991"	"Female"	"Area and Ethnic Studies"	1
"1992"	"Female"	"Area and Ethnic Studies"	0
"1993"	"Female"	"Area and Ethnic Studies"	0
"1994"	"Female"	"Area and Ethnic Studies"	0
"1995"	"Female"	"Area and Ethnic Studies"	0
"1996"	"Female"	"Area and Ethnic Studies"	0
"1997"	"Female"	"Area and Ethnic Studies"	0
"1998"	"Female"	"Area and Ethnic Studies"	0
"1999"	"Female"	"Area and Ethnic Studies"	0
"2000"	"Female"	"Area and Ethnic Studies"	0
"2001"	"Female"	"Area and Ethnic Studies"	0
"2002"	"Female"	"Area and Ethnic Studies"	0
"2003"	"Female"	"Area and Ethnic Studies"	0
"2004"	"Female"	"Area and Ethnic Studies"	0
"2005"	"Female"	"Area and Ethnic Studies"	0
"2006"	"Female"	"Area and Ethnic Studies"	0
"2007"	"Female"	"Area and Ethnic Studies"	0
"2008"	"Female"	"Area and Ethnic Studies"	0
"2009"	"Female"	"Area and Ethnic Studies"	0
"2010"	"Female"	"Area and Ethnic Studies"	0
"2011"	"Female"	"Area and Ethnic Studies"	0
"1966"	"Male"	"Area and Ethnic Studies"	0
"1967"	"Male"	"Area and Ethnic Studies"	0
"1968"	"Male"	"Area and Ethnic Studies"	0
"1969"	"Male"	"Area and Ethnic Studies"	0
"1970"	"Male"	"Area and Ethnic Studies"	0
"1971"	"Male"	"Area and Ethnic Studies"	0
"1972"	"Male"	"Area and Ethnic Studies"	0
"1973"	"Male"	"Area and Ethnic Studies"	0
"1974"	"Male"	"Area and Ethnic Studies"	0
"1975"	"Male"	"Area and Ethnic Studies"	0
"1976"	"Male"	"Area and Ethnic Studies"	0
"1977"	"Male"	"Area and Ethnic Studies"	0
"1978"	"Male"	"Area and Ethnic Studies"	0
"1979"	"Male"	"Area and Ethnic Studies"	0
"1980"	"Male"	"Area and Ethnic Studies"	0
"1981"	"Male"	"Area and Ethnic Studies"	0
"1982"	"Male"	"Area and Ethnic Studies"	0
"1983"	"Male"	"Area and Ethnic Studies"	0
"1984"	"Male"	"Area and Ethnic Studies"	0
"1985"	"Male"	"Area and Ethnic Studies"	0
"1986"	"Male"	"Area and Ethnic Studies"	0
"1987"	"Male"	"Area and Ethnic Studies"	0
"1988"	"Male"	"Area and Ethnic Studies"	0
"1989"	"Male"	"Area and Ethnic Studies"	1
"1990"	"Male"	"Area and Ethnic Studies"	3
"1991"	"Male"	"Area and Ethnic Studies"	3
"1992"	"Male"	"Area and Ethnic Studies"	0
"1993"	"Male"	"Area and Ethnic Studies"	0
"1994"	"Male"	"Area and Ethnic Studies"	0
"1995"	"Male"	"Area and Ethnic Studies"	0
"1996"	"Male"	"Area and Ethnic Studies"	0
"1997"	"Male"	"Area and Ethnic Studies"	0
"1998"	"Male"	"Area and Ethnic Studies"	0
"1999"	"Male"	"Area and Ethnic Studies"	0
"2000"	"Male"	"Area and Ethnic Studies"	0
"2001"	"Male"	"Area and Ethnic Studies"	0
"2002"	"Male"	"Area and Ethnic Studies"	0
"2003"	"Male"	"Area and Ethnic Studies"	0
"2004"	"Male"	"Area and Ethnic Studies"	0
"2005"	"Male"	"Area and Ethnic Studies"	0
"2006"	"Male"	"Area and Ethnic Studies"	0
"2007"	"Male"	"Area and Ethnic Studies"	0
"2008"	"Male"	"Area and Ethnic Studies"	0
"2009"	"Male"	"Area and Ethnic Studies"	0
"2010"	"Male"	"Area and Ethnic Studies"	0
"2011"	"Male"	"Area and Ethnic Studies"	0
"1966"	"Female"	"Business"	0
"1967"	"Female"	"Business"	0
"1968"	"Female"	"Business"	0
"1969"	"Female"	"Business"	0
"1970"	"Female"	"Business"	1
"1971"	"Female"	"Business"	5
"1972"	"Female"	"Business"	6
"1973"	"Female"	"Business"	15
"1974"	"Female"	"Business"	32
"1975"	"Female"	"Business"	25
"1976"	"Female"	"Business"	42
"1977"	"Female"	"Business"	49
"1978"	"Female"	"Business"	63
"1979"	"Female"	"Business"	86
"1980"	"Female"	"Business"	62
"1981"	"Female"	"Business"	98
"1982"	"Female"	"Business"	122
"1983"	"Female"	"Business"	111
"1984"	"Female"	"Business"	99
"1985"	"Female"	"Business"	139
"1986"	"Female"	"Business"	133
"1987"	"Female"	"Business"	136
"1988"	"Female"	"Business"	170
"1989"	"Female"	"Business"	135
"1990"	"Female"	"Business"	156
"1991"	"Female"	"Business"	139
"1992"	"Female"	"Business"	132
"1993"	"Female"	"Business"	134
"1994"	"Female"	"Business"	168
"1995"	"Female"	"Business"	148
"1996"	"Female"	"Business"	143
"1997"	"Female"	"Business"	145
"1998"	"Female"	"Business"	176
"1999"	"Female"	"Business"	168
"2000"	"Female"	"Business"	154
"2001"	"Female"	"Business"	160
"2002"	"Female"	"Business"	141
"2003"	"Female"	"Business"	150
"2004"	"Female"	"Business"	193
"2005"	"Female"	"Business"	161
"2006"	"Female"	"Business"	179
"2007"	"Female"	"Business"	164
"2008"	"Female"	"Business"	182
"2009"	"Female"	"Business"	172
"2010"	"Female"	"Business"	179
"2011"	"Female"	"Business"	208
"1966"	"Male"	"Business"	125
"1967"	"Male"	"Business"	134
"1968"	"Male"	"Business"	120
"1969"	"Male"	"Business"	133
"1970"	"Male"	"Business"	148
"1971"	"Male"	"Business"	177
"1972"	"Male"	"Business"	257
"1973"	"Male"	"Business"	221
"1974"	"Male"	"Business"	193
"1975"	"Male"	"Business"	265
"1976"	"Male"	"Business"	258
"1977"	"Male"	"Business"	240
"1978"	"Male"	"Business"	239
"1979"	"Male"	"Business"	279
"1980"	"Male"	"Business"	245
"1981"	"Male"	"Business"	244
"1982"	"Male"	"Business"	216
"1983"	"Male"	"Business"	266
"1984"	"Male"	"Business"	261
"1985"	"Male"	"Business"	220
"1986"	"Male"	"Business"	233
"1987"	"Male"	"Business"	240
"1988"	"Male"	"Business"	271
"1989"	"Male"	"Business"	231
"1990"	"Male"	"Business"	331
"1991"	"Male"	"Business"	301
"1992"	"Male"	"Business"	297
"1993"	"Male"	"Business"	269
"1994"	"Male"	"Business"	239
"1995"	"Male"	"Business"	244
"1996"	"Male"	"Business"	274
"1997"	"Male"	"Business"	272
"1998"	"Male"	"Business"	282
"1999"	"Male"	"Business"	258
"2000"	"Male"	"Business"	225
"2001"	"Male"	"Business"	290
"2002"	"Male"	"Business"	260
"2003"	"Male"	"Business"	289
"2004"	"Male"	"Business"	276
"2005"	"Male"	"Business"	263
"2006"	"Male"	"Business"	247
"2007"	"Male"	"Business"	259
"2008"	"Male"	"Business"	275
"2009"	"Male"	"Business"	257
"2010"	"Male"	"Business"	277
"2011"	"Male"	"Business"	273
"1966"	"Female"	"Communication and Library Science"	0
"1967"	"Female"	"Communication and Library Science"	0
"1968"	"Female"	"Communication and Library Science"	0
"1969"	"Female"	"Communication and Library Science"	0
"1970"	"Female"	"Communication and Library Science"	0
"1971"	"Female"	"Communication and Library Science"	0
"1972"	"Female"	"Communication and Library Science"	0
"1973"	"Female"	"Communication and Library Science"	0
"1974"	"Female"	"Communication and Library Science"	0
"1975"	"Female"	"Communication and Library Science"	0
"1976"	"Female"	"Communication and Library Science"	0
"1977"	"Female"	"Communication and Library Science"	0
"1978"	"Female"	"Communication and Library Science"	0
"1979"	"Female"	"Communication and Library Science"	0
"1980"	"Female"	"Communication and Library Science"	0
"1981"	"Female"	"Communication and Library Science"	0
"1982"	"Female"	"Communication and Library Science"	0
"1983"	"Female"	"Communication and Library Science"	0
"1984"	"Female"	"Communication and Library Science"	0
"1985"	"Female"	"Communication and Library Science"	0
"1986"	"Female"	"Communication and Library Science"	0
"1987"	"Female"	"Communication and Library Science"	1
"1988"	"Female"	"Communication and Library Science"	2
"1989"	"Female"	"Communication and Library Science"	1
"1990"	"Female"	"Communication and Library Science"	28
"1991"	"Female"	"Communication and Library Science"	38
"1992"	"Female"	"Communication and Library Science"	20
"1993"	"Female"	"Communication and Library Science"	0
"1994"	"Female"	"Communication and Library Science"	0
"1995"	"Female"	"Communication and Library Science"	0
"1996"	"Female"	"Communication and Library Science"	0
"1997"	"Female"	"Communication and Library Science"	0
"1998"	"Female"	"Communication and Library Science"	0
"1999"	"Female"	"Communication and Library Science"	0
"2000"	"Female"	"Communication and Library Science"	0
"2001"	"Female"	"Communication and Library Science"	0
"2002"	"Female"	"Communication and Library Science"	0
"2003"	"Female"	"Communication and Library Science"	0
"2004"	"Female"	"Communication and Library Science"	0
"2005"	"Female"	"Communication and Library Science"	0
"2006"	"Female"	"Communication and Library Science"	0
"2007"	"Female"	"Communication and Library Science"	0
"2008"	"Female"	"Communication and Library Science"	0
"2009"	"Female"	"Communication and Library Science"	0
"2010"	"Female"	"Communication and Library Science"	0
"2011"	"Female"	"Communication and Library Science"	0
"1966"	"Male"	"Communication and Library Science"	0
"1967"	"Male"	"Communication and Library Science"	0
"1968"	"Male"	"Communication and Library Science"	0
"1969"	"Male"	"Communication and Library Science"	0
"1970"	"Male"	"Communication and Library Science"	0
"1971"	"Male"	"Communication and Library Science"	0
"1972"	"Male"	"Communication and Library Science"	0
"1973"	"Male"	"Communication and Library Science"	0
"1974"	"Male"	"Communication and Library Science"	0
"1975"	"Male"	"Communication and Library Science"	0
"1976"	"Male"	"Communication and Library Science"	0
"1977"	"Male"	"Communication and Library Science"	0
"1978"	"Male"	"Communication and Library Science"	0
"1979"	"Male"	"Communication and Library Science"	0
"1980"	"Male"	"Communication and Library Science"	0
"1981"	"Male"	"Communication and Library Science"	0
"1982"	"Male"	"Communication and Library Science"	0
"1983"	"Male"	"Communication and Library Science"	0
"1984"	"Male"	"Communication and Library Science"	0
"1985"	"Male"	"Communication and Library Science"	0
"1986"	"Male"	"Communication and Library Science"	0
"1987"	"Male"	"Communication and Library Science"	4
"1988"	"Male"	"Communication and Library Science"	0
"1989"	"Male"	"Communication and Library Science"	3
"1990"	"Male"	"Communication and Library Science"	31
"1991"	"Male"	"Communication and Library Science"	33
"1992"	"Male"	"Communication and Library Science"	15
"1993"	"Male"	"Communication and Library Science"	0
"1994"	"Male"	"Communication and Library Science"	0
"1995"	"Male"	"Communication and Library Science"	0
"1996"	"Male"	"Communication and Library Science"	0
"1997"	"Male"	"Communication and Library Science"	0
"1998"	"Male"	"Communication and Library Science"	0
"1999"	"Male"	"Communication and Library Science"	0
"2000"	"Male"	"Communication and Library Science"	0
"2001"	"Male"	"Communication and Library Science"	0
"2002"	"Male"	"Communication and Library Science"	0
"2003"	"Male"	"Communication and Library Science"	0
"2004"	"Male"	"Communication and Library Science"	0
"2005"	"Male"	"Communication and Library Science"	0
"2006"	"Male"	"Communication and Library Science"	0
"2007"	"Male"	"Communication and Library Science"	0
"2008"	"Male"	"Communication and Library Science"	0
"2009"	"Male"	"Communication and Library Science"	0
"2010"	"Male"	"Communication and Library Science"	0
"2011"	"Male"	"Communication and Library Science"	0
"1966"	"Female"	"Economics"	0
"1967"	"Female"	"Economics"	0
"1968"	"Female"	"Economics"	0
"1969"	"Female"	"Economics"	0
"1970"	"Female"	"Economics"	0
"1971"	"Female"	"Economics"	0
"1972"	"Female"	"Economics"	0
"1973"	"Female"	"Economics"	0
"1974"	"Female"	"Economics"	0
"1975"	"Female"	"Economics"	0
"1976"	"Female"	"Economics"	0
"1977"	"Female"	"Economics"	0
"1978"	"Female"	"Economics"	0
"1979"	"Female"	"Economics"	0
"1980"	"Female"	"Economics"	0
"1981"	"Female"	"Economics"	0
"1982"	"Female"	"Economics"	0
"1983"	"Female"	"Economics"	0
"1984"	"Female"	"Economics"	0
"1985"	"Female"	"Economics"	0
"1986"	"Female"	"Economics"	0
"1987"	"Female"	"Economics"	0
