"year"	"gender"	"field"	"count"
1966	"Female"	"Agriculture"	0
1967	"Female"	"Agriculture"	0
1968	"Female"	"Agriculture"	0
1969	"Female"	"Agriculture"	0
1970	"Female"	"Agriculture"	0
1971	"Female"	"Agriculture"	0
1972	"Female"	"Agriculture"	2
1973	"Female"	"Agriculture"	1
1974	"Female"	"Agriculture"	4
1975	"Female"	"Agriculture"	5
1976	"Female"	"Agriculture"	20
1977	"Female"	"Agriculture"	18
1978	"Female"	"Agriculture"	11
1979	"Female"	"Agriculture"	12
1980	"Female"	"Agriculture"	6
1981	"Female"	"Agriculture"	12
1982	"Female"	"Agriculture"	10
1983	"Female"	"Agriculture"	17
1984	"Female"	"Agriculture"	20
1985	"Female"	"Agriculture"	12
1986	"Female"	"Agriculture"	13
1987	"Female"	"Agriculture"	15
1988	"Female"	"Agriculture"	18
1989	"Female"	"Agriculture"	2
1990	"Female"	"Agriculture"	10
1991	"Female"	"Agriculture"	17
1992	"Female"	"Agriculture"	46
1993	"Female"	"Agriculture"	70
1994	"Female"	"Agriculture"	98
1995	"Female"	"Agriculture"	158
1996	"Female"	"Agriculture"	198
1997	"Female"	"Agriculture"	225
1998	"Female"	"Agriculture"	273
1999	"Female"	"Agriculture"	303
2000	"Female"	"Agriculture"	339
2001	"Female"	"Agriculture"	357
2002	"Female"	"Agriculture"	342
2003	"Female"	"Agriculture"	336
2004	"Female"	"Agriculture"	398
2005	"Female"	"Agriculture"	359
2006	"Female"	"Agriculture"	421
2007	"Female"	"Agriculture"	401
2008	"Female"	"Agriculture"	428
2009	"Female"	"Agriculture"	493
2010	"Female"	"Agriculture"	527
2011	"Female"	"Agriculture"	604
1966	"Male"	"Agriculture"	2
1967	"Male"	"Agriculture"	0
1968	"Male"	"Agriculture"	3
1969	"Male"	"Agriculture"	7
1970	"Male"	"Agriculture"	4
1971	"Male"	"Agriculture"	2
1972	"Male"	"Agriculture"	4
1973	"Male"	"Agriculture"	5
1974	"Male"	"Agriculture"	7
1975	"Male"	"Agriculture"	16
1976	"Male"	"Agriculture"	14
1977	"Male"	"Agriculture"	21
1978	"Male"	"Agriculture"	14
1979	"Male"	"Agriculture"	16
1980	"Male"	"Agriculture"	15
1981	"Male"	"Agriculture"	12
1982	"Male"	"Agriculture"	11
1983	"Male"	"Agriculture"	16
1984	"Male"	"Agriculture"	23
1985	"Male"	"Agriculture"	13
1986	"Male"	"Agriculture"	19
1987	"Male"	"Agriculture"	12
1988	"Male"	"Agriculture"	28
1989	"Male"	"Agriculture"	9
1990	"Male"	"Agriculture"	9
1991	"Male"	"Agriculture"	13
1992	"Male"	"Agriculture"	24
1993	"Male"	"Agriculture"	68
1994	"Male"	"Agriculture"	68
1995	"Male"	"Agriculture"	126
1996	"Male"	"Agriculture"	126
1997	"Male"	"Agriculture"	167
1998	"Male"	"Agriculture"	202
1999	"Male"	"Agriculture"	199
2000	"Male"	"Agriculture"	227
2001	"Male"	"Agriculture"	197
2002	"Male"	"Agriculture"	177
2003	"Male"	"Agriculture"	201
2004	"Male"	"Agriculture"	259
2005	"Male"	"Agriculture"	217
2006	"Male"	"Agriculture"	227
2007	"Male"	"Agriculture"	240
2008	"Male"	"Agriculture"	253
2009	"Male"	"Agriculture"	272
2010	"Male"	"Agriculture"	345
2011	"Male"	"Agriculture"	456
1966	"Female"	"Anthropology"	64
1967	"Female"	"Anthropology"	71
1968	"Female"	"Anthropology"	103
1969	"Female"	"Anthropology"	141
1970	"Female"	"Anthropology"	146
1971	"Female"	"Anthropology"	156
1972	"Female"	"Anthropology"	193
1973	"Female"	"Anthropology"	238
1974	"Female"	"Anthropology"	281
1975	"Female"	"Anthropology"	270
1976	"Female"	"Anthropology"	233
1977	"Female"	"Anthropology"	266
1978	"Female"	"Anthropology"	245
1979	"Female"	"Anthropology"	289
1980	"Female"	"Anthropology"	243
1981	"Female"	"Anthropology"	246
1982	"Female"	"Anthropology"	218
1983	"Female"	"Anthropology"	264
1984	"Female"	"Anthropology"	237
1985	"Female"	"Anthropology"	229
1986	"Female"	"Anthropology"	230
1987	"Female"	"Anthropology"	242
1988	"Female"	"Anthropology"	301
1989	"Female"	"Anthropology"	312
1990	"Female"	"Anthropology"	375
1991	"Female"	"Anthropology"	433
1992	"Female"	"Anthropology"	435
1993	"Female"	"Anthropology"	406
1994	"Female"	"Anthropology"	415
1995	"Female"	"Anthropology"	408
1996	"Female"	"Anthropology"	427
