"year"	"gender"	"field"	"count"	"total"
"1966"	"Female"	"Agriculture"	0	32458
"1966"	"Male"	"Life Sciences"	1957	32458
"1966"	"Female"	"Foreign Languages"	1480	32458
"1966"	"Female"	"Social Service Professions"	16	32458
"1966"	"Female"	"Business"	141	32458
"1966"	"Male"	"Political Science and Public Administration"	1461	32458
"1966"	"Male"	"Agriculture"	2	32458
"1966"	"Female"	"Math"	571	32458
"1966"	"Female"	"Education"	2142	32458
"1966"	"Male"	"Social Service Professions"	16	32458
"1966"	"Male"	"Business"	1363	32458
"1966"	"Female"	"Psychology"	868	32458
"1966"	"Female"	"History"	1194	32458
"1966"	"Male"	"Math"	901	32458
"1966"	"Male"	"Education"	549	32458
"1966"	"Female"	"Sociology"	955	32458
"1966"	"Female"	"Other/Unknown"	84	32458
"1966"	"Male"	"Anthropology"	32	32458
"1966"	"Male"	"History"	2195	32458
"1966"	"Female"	"Social Sciences, Other"	151	32458
"1966"	"Female"	"Religion"	0	32458
"1966"	"Male"	"Communication and Librarianship"	19	32458
"1966"	"Male"	"Other/Unknown"	88	32458
"1966"	"Female"	"Area and Ethnic Studies"	127	32458
"1966"	"Female"	"Vocational Studies and Home Economics"	90	32458
"1966"	"Male"	"Engineering"	354	32458
"1966"	"Male"	"Religion"	7	32458
"1966"	"Female"	"Computer Science"	0	32458
"1966"	"Female"	"Physical Sciences"	510	32458
"1966"	"Male"	"Humanities, Other"	638	32458
"1966"	"Male"	"Vocational Studies and Home Economics"	0	32458
"1966"	"Female"	"English and Literature"	2575	32458
"1966"	"Male"	"Art/Architecture"	481	32458
"1966"	"Male"	"Physical Sciences"	1628	32458
"1966"	"Female"	"Art/Architecture"	1216	32458
"1966"	"Female"	"Life Sciences"	1281	32458
"1966"	"Male"	"Economics"	1886	32458
"1966"	"Male"	"Social Sciences, Other"	166	32458
"1966"	"Female"	"Economics"	337	32458
"1966"	"Female"	"Political Science and Public Administration"	695	32458
"1966"	"Male"	"Foreign Languages"	468	32458
"1966"	"Male"	"Psychology"	1098	32458
"1966"	"Female"	"Communication and Librarianship"	16	32458
"1966"	"Female"	"Anthropology"	64	32458
"1966"	"Male"	"Sociology"	568	32458
"1966"	"Female"	"Engineering"	0	32458
"1966"	"Male"	"Area and Ethnic Studies"	97	32458
"1966"	"Female"	"Humanities, Other"	388	32458
"1966"	"Male"	"Computer Science"	0	32458
"1966"	"Male"	"English and Literature"	1583	32458
"1967"	"Male"	"Life Sciences"	2127	34387
"1967"	"Male"	"Political Science and Public Administration"	1686	34387
"1967"	"Female"	"Agriculture"	0	34387
"1967"	"Male"	"Social Service Professions"	23	34387
"1967"	"Female"	"Business"	111	34387
"1967"	"Male"	"Math"	898	34387
"1967"	"Male"	"Education"	530	34387
"1967"	"Female"	"Education"	2267	34387
"1967"	"Male"	"Anthropology"	48	34387
"1967"	"Female"	"English and Literature"	2582	34387
"1967"	"Male"	"History"	2349	34387
"1967"	"Female"	"History"	1231	34387
"1967"	"Male"	"Communication and Librarianship"	14	34387
"1967"	"Male"	"Foreign Languages"	513	34387
"1967"	"Female"	"Life Sciences"	1293	34387
"1967"	"Female"	"Humanities, Other"	400	34387
"1967"	"Male"	"Engineering"	375	34387
"1967"	"Female"	"Anthropology"	71	34387
"1967"	"Female"	"Computer Science"	0	34387
"1967"	"Female"	"Foreign Languages"	1605	34387
"1967"	"Male"	"Humanities, Other"	659	34387
"1967"	"Female"	"Communication and Librarianship"	12	34387
"1967"	"Male"	"Economics"	1956	34387
"1967"	"Male"	"Agriculture"	0	34387
"1967"	"Male"	"Computer Science"	0	34387
"1967"	"Female"	"Art/Architecture"	1321	34387
"1967"	"Female"	"Religion"	2	34387
"1967"	"Male"	"Business"	1281	34387
"1967"	"Male"	"English and Literature"	1655	34387
"1967"	"Female"	"Economics"	341	34387
"1967"	"Female"	"Vocational Studies and Home Economics"	145	34387
"1967"	"Male"	"Art/Architecture"	547	34387
"1967"	"Male"	"Religion"	6	34387
"1967"	"Female"	"Sociology"	1025	34387
"1967"	"Male"	"Area and Ethnic Studies"	88	34387
"1967"	"Female"	"Other/Unknown"	49	34387
"1967"	"Male"	"Vocational Studies and Home Economics"	1	34387
"1967"	"Female"	"Area and Ethnic Studies"	123	34387
"1967"	"Female"	"Math"	644	34387
"1967"	"Male"	"Physical Sciences"	1825	34387
"1967"	"Male"	"Sociology"	657	34387
"1967"	"Female"	"Political Science and Public Administration"	753	34387
"1967"	"Female"	"Psychology"	998	34387
"1967"	"Male"	"Social Sciences, Other"	172	34387
"1967"	"Female"	"Physical Sciences"	603	34387
"1967"	"Female"	"Social Service Professions"	35	34387
"1967"	"Male"	"Psychology"	1156	34387
"1967"	"Female"	"Engineering"	0	34387
"1967"	"Female"	"Social Sciences, Other"	147	34387
"1967"	"Male"	"Other/Unknown"	63	34387
"1968"	"Male"	"Political Science and Public Administration"	1884	38093
"1968"	"Male"	"Life Sciences"	2315	38093
"1968"	"Female"	"History"	1429	38093
