"year"	"gender"	"field"	"count"
1966	"Female"	"Agriculture"	1
1967	"Female"	"Agriculture"	0
1968	"Female"	"Agriculture"	0
1969	"Female"	"Agriculture"	0
1970	"Female"	"Agriculture"	2
1971	"Female"	"Agriculture"	2
1972	"Female"	"Agriculture"	3
1973	"Female"	"Agriculture"	3
1974	"Female"	"Agriculture"	9
1975	"Female"	"Agriculture"	16
1976	"Female"	"Agriculture"	27
1977	"Female"	"Agriculture"	43
1978	"Female"	"Agriculture"	51
1979	"Female"	"Agriculture"	90
1980	"Female"	"Agriculture"	76
1981	"Female"	"Agriculture"	93
1982	"Female"	"Agriculture"	118
1983	"Female"	"Agriculture"	182
1984	"Female"	"Agriculture"	91
1985	"Female"	"Agriculture"	95
1986	"Female"	"Agriculture"	103
1987	"Female"	"Agriculture"	88
1988	"Female"	"Agriculture"	77
1989	"Female"	"Agriculture"	79
1990	"Female"	"Agriculture"	78
1991	"Female"	"Agriculture"	85
1992	"Female"	"Agriculture"	99
1993	"Female"	"Agriculture"	131
1994	"Female"	"Agriculture"	155
1995	"Female"	"Agriculture"	200
1996	"Female"	"Agriculture"	234
1997	"Female"	"Agriculture"	285
1998	"Female"	"Agriculture"	311
1999	"Female"	"Agriculture"	343
2000	"Female"	"Agriculture"	348
2001	"Female"	"Agriculture"	332
2002	"Female"	"Agriculture"	354
2003	"Female"	"Agriculture"	316
2004	"Female"	"Agriculture"	327
2005	"Female"	"Agriculture"	292
2006	"Female"	"Agriculture"	288
2007	"Female"	"Agriculture"	315
2008	"Female"	"Agriculture"	307
2009	"Female"	"Agriculture"	382
2010	"Female"	"Agriculture"	387
2011	"Female"	"Agriculture"	443
1966	"Male"	"Agriculture"	91
1967	"Male"	"Agriculture"	105
1968	"Male"	"Agriculture"	124
1969	"Male"	"Agriculture"	139
1970	"Male"	"Agriculture"	120
1971	"Male"	"Agriculture"	92
1972	"Male"	"Agriculture"	123
1973	"Male"	"Agriculture"	124
1974	"Male"	"Agriculture"	123
1975	"Male"	"Agriculture"	109
1976	"Male"	"Agriculture"	115
1977	"Male"	"Agriculture"	112
1978	"Male"	"Agriculture"	175
1979	"Male"	"Agriculture"	188
1980	"Male"	"Agriculture"	162
1981	"Male"	"Agriculture"	136
1982	"Male"	"Agriculture"	148
1983	"Male"	"Agriculture"	163
1984	"Male"	"Agriculture"	125
1985	"Male"	"Agriculture"	110
1986	"Male"	"Agriculture"	128
1987	"Male"	"Agriculture"	112
1988	"Male"	"Agriculture"	102
1989	"Male"	"Agriculture"	97
1990	"Male"	"Agriculture"	111
1991	"Male"	"Agriculture"	108
1992	"Male"	"Agriculture"	163
1993	"Male"	"Agriculture"	183
1994	"Male"	"Agriculture"	231
1995	"Male"	"Agriculture"	259
1996	"Male"	"Agriculture"	269
1997	"Male"	"Agriculture"	286
1998	"Male"	"Agriculture"	304
1999	"Male"	"Agriculture"	337
2000	"Male"	"Agriculture"	350
2001	"Male"	"Agriculture"	287
2002	"Male"	"Agriculture"	324
2003	"Male"	"Agriculture"	241
2004	"Male"	"Agriculture"	260
2005	"Male"	"Agriculture"	278
2006	"Male"	"Agriculture"	275
2007	"Male"	"Agriculture"	276
2008	"Male"	"Agriculture"	267
2009	"Male"	"Agriculture"	268
2010	"Male"	"Agriculture"	316
2011	"Male"	"Agriculture"	390
1966	"Female"	"Anthropology"	2
1967	"Female"	"Anthropology"	1
1968	"Female"	"Anthropology"	2
1969	"Female"	"Anthropology"	2
1970	"Female"	"Anthropology"	8
1971	"Female"	"Anthropology"	8
1972	"Female"	"Anthropology"	2
1973	"Female"	"Anthropology"	9
1974	"Female"	"Anthropology"	18
1975	"Female"	"Anthropology"	12
1976	"Female"	"Anthropology"	9
1977	"Female"	"Anthropology"	11
1978	"Female"	"Anthropology"	15
1979	"Female"	"Anthropology"	19
1980	"Female"	"Anthropology"	14
1981	"Female"	"Anthropology"	16
1982	"Female"	"Anthropology"	12
1983	"Female"	"Anthropology"	4
1984	"Female"	"Anthropology"	8
1985	"Female"	"Anthropology"	6
1986	"Female"	"Anthropology"	12
1987	"Female"	"Anthropology"	8
1988	"Female"	"Anthropology"	5
1989	"Female"	"Anthropology"	9
1990	"Female"	"Anthropology"	9
1991	"Female"	"Anthropology"	16
1992	"Female"	"Anthropology"	11
1993	"Female"	"Anthropology"	11
1994	"Female"	"Anthropology"	16
1995	"Female"	"Anthropology"	12
1996	"Female"	"Anthropology"	16
1997	"Female"	"Anthropology"	20
1998	"Female"	"Anthropology"	13
1999	"Female"	"Anthropology"	22
2000	"Female"	"Anthropology"	16
2001	"Female"	"Anthropology"	27
2002	"Female"	"Anthropology"	17
2003	"Female"	"Anthropology"	28
2004	"Female"	"Anthropology"	26
2005	"Female"	"Anthropology"	23
2006	"Female"	"Anthropology"	31
2007	"Female"	"Anthropology"	20
2008	"Female"	"Anthropology"	40
2009	"Female"	"Anthropology"	38
2010	"Female"	"Anthropology"	40
2011	"Female"	"Anthropology"	53
1966	"Male"	"Anthropology"	9
1967	"Male"	"Anthropology"	4
1968	"Male"	"Anthropology"	7
1969	"Male"	"Anthropology"	4
1970	"Male"	"Anthropology"	11
1971	"Male"	"Anthropology"	6
1972	"Male"	"Anthropology"	11
1973	"Male"	"Anthropology"	14
1974	"Male"	"Anthropology"	17
1975	"Male"	"Anthropology"	16
1976	"Male"	"Anthropology"	7
1977	"Male"	"Anthropology"	12
1978	"Male"	"Anthropology"	17
1979	"Male"	"Anthropology"	12
1980	"Male"	"Anthropology"	7
1981	"Male"	"Anthropology"	18
1982	"Male"	"Anthropology"	5
1983	"Male"	"Anthropology"	7
1984	"Male"	"Anthropology"	1
1985	"Male"	"Anthropology"	8
1986	"Male"	"Anthropology"	3
1987	"Male"	"Anthropology"	4
1988	"Male"	"Anthropology"	11
1989	"Male"	"Anthropology"	5
1990	"Male"	"Anthropology"	5
1991	"Male"	"Anthropology"	9
1992	"Male"	"Anthropology"	10
1993	"Male"	"Anthropology"	6
1994	"Male"	"Anthropology"	2
1995	"Male"	"Anthropology"	6
1996	"Male"	"Anthropology"	10
1997	"Male"	"Anthropology"	8
1998	"Male"	"Anthropology"	20
1999	"Male"	"Anthropology"	19
2000	"Male"	"Anthropology"	11
2001	"Male"	"Anthropology"	19
2002	"Male"	"Anthropology"	12
2003	"Male"	"Anthropology"	19
2004	"Male"	"Anthropology"	14
2005	"Male"	"Anthropology"	13
2006	"Male"	"Anthropology"	19
2007	"Male"	"Anthropology"	12
2008	"Male"	"Anthropology"	15
2009	"Male"	"Anthropology"	14
2010	"Male"	"Anthropology"	12
2011	"Male"	"Anthropology"	23
1966	"Female"	"Area and Ethnic Studies"	8
1967	"Female"	"Area and Ethnic Studies"	3
1968	"Female"	"Area and Ethnic Studies"	31
1969	"Female"	"Area and Ethnic Studies"	19
1970	"Female"	"Area and Ethnic Studies"	48
1971	"Female"	"Area and Ethnic Studies"	72
1972	"Female"	"Area and Ethnic Studies"	59
1973	"Female"	"Area and Ethnic Studies"	61
1974	"Female"	"Area and Ethnic Studies"	87
1975	"Female"	"Area and Ethnic Studies"	69
1976	"Female"	"Area and Ethnic Studies"	56
1977	"Female"	"Area and Ethnic Studies"	34
1978	"Female"	"Area and Ethnic Studies"	39
1979	"Female"	"Area and Ethnic Studies"	40
1980	"Female"	"Area and Ethnic Studies"	38
1981	"Female"	"Area and Ethnic Studies"	57
1982	"Female"	"Area and Ethnic Studies"	57
1983	"Female"	"Area and Ethnic Studies"	54
1984	"Female"	"Area and Ethnic Studies"	42
1985	"Female"	"Area and Ethnic Studies"	40
1986	"Female"	"Area and Ethnic Studies"	47
1987	"Female"	"Area and Ethnic Studies"	27
1988	"Female"	"Area and Ethnic Studies"	23
1989	"Female"	"Area and Ethnic Studies"	37
1990	"Female"	"Area and Ethnic Studies"	43
1991	"Female"	"Area and Ethnic Studies"	52
1992	"Female"	"Area and Ethnic Studies"	69
1993	"Female"	"Area and Ethnic Studies"	73
1994	"Female"	"Area and Ethnic Studies"	71
1995	"Female"	"Area and Ethnic Studies"	85
1996	"Female"	"Area and Ethnic Studies"	72
1997	"Female"	"Area and Ethnic Studies"	70
1998	"Female"	"Area and Ethnic Studies"	82
1999	"Female"	"Area and Ethnic Studies"	95
2000	"Female"	"Area and Ethnic Studies"	88
2001	"Female"	"Area and Ethnic Studies"	95
2002	"Female"	"Area and Ethnic Studies"	91
2003	"Female"	"Area and Ethnic Studies"	90
2004	"Female"	"Area and Ethnic Studies"	134
2005	"Female"	"Area and Ethnic Studies"	122
2006	"Female"	"Area and Ethnic Studies"	122
2007	"Female"	"Area and Ethnic Studies"	108
2008	"Female"	"Area and Ethnic Studies"	120
2009	"Female"	"Area and Ethnic Studies"	97
2010	"Female"	"Area and Ethnic Studies"	103
2011	"Female"	"Area and Ethnic Studies"	266
1966	"Male"	"Area and Ethnic Studies"	5
1967	"Male"	"Area and Ethnic Studies"	7
1968	"Male"	"Area and Ethnic Studies"	26
1969	"Male"	"Area and Ethnic Studies"	23
1970	"Male"	"Area and Ethnic Studies"	35
1971	"Male"	"Area and Ethnic Studies"	39
1972	"Male"	"Area and Ethnic Studies"	53
1973	"Male"	"Area and Ethnic Studies"	61
1974	"Male"	"Area and Ethnic Studies"	74
1975	"Male"	"Area and Ethnic Studies"	62
1976	"Male"	"Area and Ethnic Studies"	43
1977	"Male"	"Area and Ethnic Studies"	50
1978	"Male"	"Area and Ethnic Studies"	37
1979	"Male"	"Area and Ethnic Studies"	27
1980	"Male"	"Area and Ethnic Studies"	22
1981	"Male"	"Area and Ethnic Studies"	24
1982	"Male"	"Area and Ethnic Studies"	21
1983	"Male"	"Area and Ethnic Studies"	33
1984	"Male"	"Area and Ethnic Studies"	20
1985	"Male"	"Area and Ethnic Studies"	19
