"year"	"gender"	"field"	"count"
1966	"Female"	"Agriculture"	0
1967	"Female"	"Agriculture"	0
1968	"Female"	"Agriculture"	0
1969	"Female"	"Agriculture"	2
1970	"Female"	"Agriculture"	1
1971	"Female"	"Agriculture"	0
1972	"Female"	"Agriculture"	1
1973	"Female"	"Agriculture"	1
1974	"Female"	"Agriculture"	0
1975	"Female"	"Agriculture"	1
1976	"Female"	"Agriculture"	11
1977	"Female"	"Agriculture"	10
1978	"Female"	"Agriculture"	11
1979	"Female"	"Agriculture"	21
1980	"Female"	"Agriculture"	16
1981	"Female"	"Agriculture"	19
1982	"Female"	"Agriculture"	30
1983	"Female"	"Agriculture"	23
1984	"Female"	"Agriculture"	25
1985	"Female"	"Agriculture"	26
1986	"Female"	"Agriculture"	25
1987	"Female"	"Agriculture"	18
1988	"Female"	"Agriculture"	24
1989	"Female"	"Agriculture"	14
1990	"Female"	"Agriculture"	21
1991	"Female"	"Agriculture"	29
1992	"Female"	"Agriculture"	38
1993	"Female"	"Agriculture"	44
1994	"Female"	"Agriculture"	55
1995	"Female"	"Agriculture"	73
1996	"Female"	"Agriculture"	69
1997	"Female"	"Agriculture"	78
1998	"Female"	"Agriculture"	85
1999	"Female"	"Agriculture"	92
2000	"Female"	"Agriculture"	75
2001	"Female"	"Agriculture"	72
2002	"Female"	"Agriculture"	94
2003	"Female"	"Agriculture"	89
2004	"Female"	"Agriculture"	94
2005	"Female"	"Agriculture"	121
2006	"Female"	"Agriculture"	124
2007	"Female"	"Agriculture"	120
2008	"Female"	"Agriculture"	95
2009	"Female"	"Agriculture"	127
2010	"Female"	"Agriculture"	127
2011	"Female"	"Agriculture"	141
1966	"Male"	"Agriculture"	40
1967	"Male"	"Agriculture"	47
1968	"Male"	"Agriculture"	36
1969	"Male"	"Agriculture"	45
1970	"Male"	"Agriculture"	74
1971	"Male"	"Agriculture"	61
1972	"Male"	"Agriculture"	79
1973	"Male"	"Agriculture"	77
1974	"Male"	"Agriculture"	82
1975	"Male"	"Agriculture"	91
1976	"Male"	"Agriculture"	104
1977	"Male"	"Agriculture"	128
1978	"Male"	"Agriculture"	152
1979	"Male"	"Agriculture"	126
1980	"Male"	"Agriculture"	107
1981	"Male"	"Agriculture"	109
1982	"Male"	"Agriculture"	103
1983	"Male"	"Agriculture"	89
1984	"Male"	"Agriculture"	104
1985	"Male"	"Agriculture"	81
1986	"Male"	"Agriculture"	93
1987	"Male"	"Agriculture"	88
1988	"Male"	"Agriculture"	87
1989	"Male"	"Agriculture"	68
1990	"Male"	"Agriculture"	67
1991	"Male"	"Agriculture"	84
1992	"Male"	"Agriculture"	95
1993	"Male"	"Agriculture"	124
1994	"Male"	"Agriculture"	125
1995	"Male"	"Agriculture"	130
1996	"Male"	"Agriculture"	128
1997	"Male"	"Agriculture"	129
1998	"Male"	"Agriculture"	114
1999	"Male"	"Agriculture"	113
2000	"Male"	"Agriculture"	140
2001	"Male"	"Agriculture"	119
2002	"Male"	"Agriculture"	119
2003	"Male"	"Agriculture"	115
2004	"Male"	"Agriculture"	144
2005	"Male"	"Agriculture"	151
2006	"Male"	"Agriculture"	131
2007	"Male"	"Agriculture"	163
2008	"Male"	"Agriculture"	187
2009	"Male"	"Agriculture"	170
2010	"Male"	"Agriculture"	179
2011	"Male"	"Agriculture"	224
1966	"Female"	"Anthropology"	0
1967	"Female"	"Anthropology"	0
1968	"Female"	"Anthropology"	0
1969	"Female"	"Anthropology"	1
1970	"Female"	"Anthropology"	0
1971	"Female"	"Anthropology"	11
1972	"Female"	"Anthropology"	8
1973	"Female"	"Anthropology"	20
1974	"Female"	"Anthropology"	26
1975	"Female"	"Anthropology"	19
1976	"Female"	"Anthropology"	28
1977	"Female"	"Anthropology"	41
1978	"Female"	"Anthropology"	30
1979	"Female"	"Anthropology"	29
1980	"Female"	"Anthropology"	24
1981	"Female"	"Anthropology"	25
1982	"Female"	"Anthropology"	17
1983	"Female"	"Anthropology"	21
1984	"Female"	"Anthropology"	17
1985	"Female"	"Anthropology"	11
1986	"Female"	"Anthropology"	15
1987	"Female"	"Anthropology"	16
1988	"Female"	"Anthropology"	11
1989	"Female"	"Anthropology"	15
1990	"Female"	"Anthropology"	24
1991	"Female"	"Anthropology"	23
1992	"Female"	"Anthropology"	33
1993	"Female"	"Anthropology"	30
1994	"Female"	"Anthropology"	36
1995	"Female"	"Anthropology"	40
1996	"Female"	"Anthropology"	43
