"year"	"gender"	"field"	"count"	"total"
"1966"	"Female"	"Agriculture"	1	44330
"1966"	"Male"	"Life Sciences"	1716	44330
"1966"	"Female"	"Foreign Languages"	931	44330
"1966"	"Female"	"Social Service Professions"	36	44330
"1966"	"Female"	"Business"	523	44330
"1966"	"Male"	"Political Science and Public Administration"	408	44330
"1966"	"Male"	"Agriculture"	131	44330
"1966"	"Female"	"Math"	822	44330
"1966"	"Female"	"Education"	10354	44330
"1966"	"Male"	"Social Service Professions"	27	44330
"1966"	"Male"	"Business"	3684	44330
"1966"	"Female"	"Psychology"	724	44330
"1966"	"Female"	"History"	1194	44330
"1966"	"Male"	"Math"	1364	44330
"1966"	"Male"	"Education"	3846	44330
"1966"	"Female"	"Sociology"	1266	44330
"1966"	"Female"	"Other/Unknown"	68	44330
"1966"	"Male"	"Anthropology"	9	44330
"1966"	"Male"	"History"	1951	44330
"1966"	"Female"	"Social Sciences, Other"	865	44330
"1966"	"Female"	"Religion"	25	44330
"1966"	"Male"	"Communication and Librarianship"	6	44330
"1966"	"Male"	"Other/Unknown"	132	44330
"1966"	"Female"	"Area and Ethnic Studies"	28	44330
"1966"	"Female"	"Vocational Studies and Home Economics"	305	44330
"1966"	"Male"	"Engineering"	727	44330
"1966"	"Male"	"Religion"	96	44330
"1966"	"Female"	"Computer Science"	0	44330
"1966"	"Female"	"Physical Sciences"	428	44330
"1966"	"Male"	"Humanities, Other"	619	44330
"1966"	"Male"	"Vocational Studies and Home Economics"	2	44330
"1966"	"Female"	"English and Literature"	3232	44330
"1966"	"Male"	"Art/Architecture"	412	44330
"1966"	"Male"	"Physical Sciences"	1230	44330
"1966"	"Female"	"Art/Architecture"	762	44330
"1966"	"Female"	"Life Sciences"	1649	44330
"1966"	"Male"	"Economics"	633	44330
"1966"	"Male"	"Social Sciences, Other"	1018	44330
"1966"	"Female"	"Economics"	97	44330
"1966"	"Female"	"Political Science and Public Administration"	161	44330
"1966"	"Male"	"Foreign Languages"	287	44330
"1966"	"Male"	"Psychology"	639	44330
"1966"	"Female"	"Communication and Librarianship"	69	44330
"1966"	"Female"	"Anthropology"	2	44330
"1966"	"Male"	"Sociology"	678	44330
"1966"	"Female"	"Engineering"	6	44330
"1966"	"Male"	"Area and Ethnic Studies"	28	44330
"1966"	"Female"	"Humanities, Other"	94	44330
"1966"	"Male"	"Computer Science"	0	44330
"1966"	"Male"	"English and Literature"	1045	44330
"1967"	"Male"	"Life Sciences"	1778	46010
"1967"	"Male"	"Political Science and Public Administration"	438	46010
"1967"	"Female"	"Agriculture"	0	46010
"1967"	"Male"	"Social Service Professions"	13	46010
"1967"	"Female"	"Business"	648	46010
"1967"	"Male"	"Math"	1302	46010
"1967"	"Male"	"Education"	3820	46010
"1967"	"Female"	"Education"	10081	46010
"1967"	"Male"	"Anthropology"	4	46010
"1967"	"Female"	"English and Literature"	3224	46010
"1967"	"Male"	"History"	1957	46010
"1967"	"Female"	"History"	1293	46010
"1967"	"Male"	"Communication and Librarianship"	11	46010
"1967"	"Male"	"Foreign Languages"	290	46010
"1967"	"Female"	"Life Sciences"	1809	46010
"1967"	"Female"	"Humanities, Other"	163	46010
"1967"	"Male"	"Engineering"	684	46010
"1967"	"Female"	"Anthropology"	1	46010
"1967"	"Female"	"Computer Science"	0	46010
"1967"	"Female"	"Foreign Languages"	1084	46010
"1967"	"Male"	"Humanities, Other"	711	46010
"1967"	"Female"	"Communication and Librarianship"	64	46010
"1967"	"Male"	"Economics"	734	46010
"1967"	"Male"	"Agriculture"	152	46010
"1967"	"Male"	"Computer Science"	0	46010
"1967"	"Female"	"Art/Architecture"	899	46010
"1967"	"Female"	"Religion"	5	46010
"1967"	"Male"	"Business"	3942	46010
"1967"	"Male"	"English and Literature"	1142	46010
"1967"	"Female"	"Economics"	112	46010
"1967"	"Female"	"Vocational Studies and Home Economics"	362	46010
"1967"	"Male"	"Art/Architecture"	469	46010
"1967"	"Male"	"Religion"	107	46010
"1967"	"Female"	"Sociology"	1376	46010
"1967"	"Male"	"Area and Ethnic Studies"	27	46010
"1967"	"Female"	"Other/Unknown"	75	46010
"1967"	"Male"	"Vocational Studies and Home Economics"	1	46010
"1967"	"Female"	"Area and Ethnic Studies"	24	46010
"1967"	"Female"	"Math"	927	46010
"1967"	"Male"	"Physical Sciences"	1140	46010
"1967"	"Male"	"Sociology"	802	46010
"1967"	"Female"	"Political Science and Public Administration"	172	46010
"1967"	"Female"	"Psychology"	845	46010
"1967"	"Male"	"Social Sciences, Other"	1129	46010
"1967"	"Female"	"Physical Sciences"	407	46010
"1967"	"Female"	"Social Service Professions"	50	46010
"1967"	"Male"	"Psychology"	718	46010
"1967"	"Female"	"Engineering"	8	46010
"1967"	"Female"	"Social Sciences, Other"	826	46010
"1967"	"Male"	"Other/Unknown"	184	46010
"1968"	"Male"	"Political Science and Public Administration"	624	52785
"1968"	"Male"	"Life Sciences"	1983	52785
"1968"	"Female"	"History"	1546	52785
"1968"	"Female"	"Education"	11354	52785
"1968"	"Male"	"History"	2178	52785
"1968"	"Male"	"Humanities, Other"	732	52785
"1968"	"Male"	"Communication and Librarianship"	30	52785
"1968"	"Female"	"Vocational Studies and Home Economics"	410	52785
"1968"	"Male"	"Social Service Professions"	26	52785
"1968"	"Female"	"Computer Science"	0	52785
"1968"	"Male"	"Engineering"	596	52785
"1968"	"Male"	"Anthropology"	8	52785
"1968"	"Female"	"Agriculture"	0	52785
"1968"	"Female"	"English and Literature"	3807	52785
"1968"	"Female"	"Foreign Languages"	1258	52785
"1968"	"Female"	"Art/Architecture"	1012	52785
"1968"	"Female"	"Religion"	26	52785
"1968"	"Female"	"Life Sciences"	2079	52785
"1968"	"Female"	"Area and Ethnic Studies"	31	52785
"1968"	"Female"	"Economics"	144	52785
"1968"	"Male"	"Social Sciences, Other"	1285	52785
"1968"	"Male"	"Math"	1406	52785
"1968"	"Male"	"Art/Architecture"	522	52785
"1968"	"Male"	"Education"	4065	52785
"1968"	"Male"	"Area and Ethnic Studies"	26	52785
"1968"	"Female"	"Business"	757	52785
"1968"	"Male"	"Economics"	990	52785
"1968"	"Male"	"Vocational Studies and Home Economics"	5	52785
"1968"	"Male"	"Agriculture"	160	52785
"1968"	"Male"	"Physical Sciences"	1310	52785
"1968"	"Male"	"Foreign Languages"	312	52785
"1968"	"Male"	"Psychology"	910	52785
"1968"	"Male"	"Business"	4669	52785
"1968"	"Female"	"Psychology"	1026	52785
"1968"	"Female"	"Anthropology"	2	52785
"1968"	"Male"	"Sociology"	991	52785
"1968"	"Male"	"Religion"	119	52785
"1968"	"Female"	"Sociology"	1880	52785
"1968"	"Female"	"Other/Unknown"	79	52785
"1968"	"Female"	"Physical Sciences"	418	52785
"1968"	"Female"	"Social Service Professions"	115	52785
"1968"	"Male"	"Other/Unknown"	221	52785
"1968"	"Female"	"Math"	1047	52785
"1968"	"Male"	"Computer Science"	14	52785
"1968"	"Female"	"Communication and Librarianship"	75	52785
"1968"	"Female"	"Political Science and Public Administration"	235	52785
"1968"	"Female"	"Humanities, Other"	158	52785
"1968"	"Male"	"English and Literature"	1206	52785
"1968"	"Female"	"Engineering"	6	52785
"1968"	"Female"	"Social Sciences, Other"	932	52785
"1969"	"Male"	"Life Sciences"	2268	61317
"1969"	"Female"	"Life Sciences"	2244	61317
"1969"	"Female"	"Education"	12751	61317
"1969"	"Male"	"History"	2608	61317
"1969"	"Female"	"English and Literature"	4176	61317
"1969"	"Female"	"History"	1674	61317
"1969"	"Male"	"Engineering"	773	61317
"1969"	"Female"	"Business"	838	61317
"1969"	"Female"	"Art/Architecture"	1371	61317
"1969"	"Female"	"Humanities, Other"	171	61317
"1969"	"Male"	"English and Literature"	1405	61317
"1969"	"Male"	"Physical Sciences"	1465	61317
"1969"	"Female"	"Agriculture"	2	61317
"1969"	"Female"	"Political Science and Public Administration"	230	61317
"1969"	"Male"	"Art/Architecture"	706	61317
"1969"	"Female"	"Economics"	162	61317
"1969"	"Female"	"Other/Unknown"	105	61317
"1969"	"Male"	"Economics"	1125	61317
"1969"	"Male"	"Political Science and Public Administration"	874	61317
"1969"	"Male"	"Humanities, Other"	800	61317
"1969"	"Female"	"Math"	1178	61317
"1969"	"Male"	"Foreign Languages"	375	61317
"1969"	"Male"	"Social Service Professions"	36	61317
"1969"	"Male"	"Business"	6018	61317
"1969"	"Female"	"Psychology"	1338	61317
"1969"	"Female"	"Anthropology"	3	61317
"1969"	"Male"	"Math"	1675	61317
"1969"	"Male"	"Education"	4384	61317
"1969"	"Female"	"Foreign Languages"	1419	61317
"1969"	"Female"	"Communication and Librarianship"	110	61317
"1969"	"Male"	"Psychology"	1083	61317
"1969"	"Male"	"Anthropology"	4	61317
"1969"	"Male"	"Computer Science"	17	61317
"1969"	"Female"	"Engineering"	13	61317
"1969"	"Female"	"Religion"	22	61317
"1969"	"Male"	"Communication and Librarianship"	49	61317
"1969"	"Male"	"Other/Unknown"	274	61317
"1969"	"Female"	"Area and Ethnic Studies"	19	61317
"1969"	"Female"	"Vocational Studies and Home Economics"	467	61317
"1969"	"Male"	"Area and Ethnic Studies"	23	61317
"1969"	"Male"	"Religion"	128	61317
"1969"	"Female"	"Computer Science"	0	61317
