"year"	"gender"	"field"	"count"
1966	"Female"	"Agriculture"	5
1967	"Female"	"Agriculture"	11
1968	"Female"	"Agriculture"	17
1969	"Female"	"Agriculture"	33
1970	"Female"	"Agriculture"	68
1971	"Female"	"Agriculture"	31
1972	"Female"	"Agriculture"	73
1973	"Female"	"Agriculture"	105
1974	"Female"	"Agriculture"	169
1975	"Female"	"Agriculture"	218
1976	"Female"	"Agriculture"	275
1977	"Female"	"Agriculture"	365
1978	"Female"	"Agriculture"	427
1979	"Female"	"Agriculture"	413
1980	"Female"	"Agriculture"	486
1981	"Female"	"Agriculture"	482
1982	"Female"	"Agriculture"	481
1983	"Female"	"Agriculture"	452
1984	"Female"	"Agriculture"	333
1985	"Female"	"Agriculture"	322
1986	"Female"	"Agriculture"	259
1987	"Female"	"Agriculture"	263
1988	"Female"	"Agriculture"	230
1989	"Female"	"Agriculture"	207
1990	"Female"	"Agriculture"	214
1991	"Female"	"Agriculture"	225
1992	"Female"	"Agriculture"	267
1993	"Female"	"Agriculture"	303
1994	"Female"	"Agriculture"	360
1995	"Female"	"Agriculture"	339
1996	"Female"	"Agriculture"	414
1997	"Female"	"Agriculture"	398
1998	"Female"	"Agriculture"	468
1999	"Female"	"Agriculture"	557
2000	"Female"	"Agriculture"	543
2001	"Female"	"Agriculture"	535
2002	"Female"	"Agriculture"	533
2003	"Female"	"Agriculture"	641
2004	"Female"	"Agriculture"	606
2005	"Female"	"Agriculture"	630
2006	"Female"	"Agriculture"	620
2007	"Female"	"Agriculture"	635
2008	"Female"	"Agriculture"	619
2009	"Female"	"Agriculture"	600
2010	"Female"	"Agriculture"	708
2011	"Female"	"Agriculture"	722
1966	"Male"	"Agriculture"	394
1967	"Male"	"Agriculture"	699
1968	"Male"	"Agriculture"	747
1969	"Male"	"Agriculture"	914
1970	"Male"	"Agriculture"	974
1971	"Male"	"Agriculture"	915
1972	"Male"	"Agriculture"	1063
1973	"Male"	"Agriculture"	1149
1974	"Male"	"Agriculture"	1117
1975	"Male"	"Agriculture"	1031
1976	"Male"	"Agriculture"	1157
1977	"Male"	"Agriculture"	1129
1978	"Male"	"Agriculture"	1154
1979	"Male"	"Agriculture"	1007
1980	"Male"	"Agriculture"	1000
1981	"Male"	"Agriculture"	1011
1982	"Male"	"Agriculture"	922
1983	"Male"	"Agriculture"	659
1984	"Male"	"Agriculture"	613
1985	"Male"	"Agriculture"	564
1986	"Male"	"Agriculture"	477
1987	"Male"	"Agriculture"	410
1988	"Male"	"Agriculture"	375
1989	"Male"	"Agriculture"	312
1990	"Male"	"Agriculture"	350
