"year"	"gender"	"field"	"count"
"1966"	"Female"	"Anthropology"	0
"1967"	"Female"	"Anthropology"	0
"1968"	"Female"	"Anthropology"	0
"1969"	"Female"	"Anthropology"	6
"1970"	"Female"	"Anthropology"	4
"1971"	"Female"	"Anthropology"	22
"1972"	"Female"	"Anthropology"	32
"1973"	"Female"	"Anthropology"	21
"1974"	"Female"	"Anthropology"	20
"1975"	"Female"	"Anthropology"	21
"1976"	"Female"	"Anthropology"	16
"1977"	"Female"	"Anthropology"	10
"1978"	"Female"	"Anthropology"	5
"1979"	"Female"	"Anthropology"	9
"1980"	"Female"	"Anthropology"	3
"1981"	"Female"	"Anthropology"	11
"1982"	"Female"	"Anthropology"	7
"1983"	"Female"	"Anthropology"	7
"1984"	"Female"	"Anthropology"	9
"1985"	"Female"	"Anthropology"	10
"1986"	"Female"	"Anthropology"	12
"1987"	"Female"	"Anthropology"	15
"1988"	"Female"	"Anthropology"	8
"1989"	"Female"	"Anthropology"	23
"1990"	"Female"	"Anthropology"	13
"1991"	"Female"	"Anthropology"	16
"1992"	"Female"	"Anthropology"	26
"1993"	"Female"	"Anthropology"	19
"1994"	"Female"	"Anthropology"	20
"1995"	"Female"	"Anthropology"	14
"1996"	"Female"	"Anthropology"	21
"1997"	"Female"	"Anthropology"	29
"1998"	"Female"	"Anthropology"	24
"1999"	"Female"	"Anthropology"	29
"2000"	"Female"	"Anthropology"	37
"2001"	"Female"	"Anthropology"	23
"2002"	"Female"	"Anthropology"	38
"2003"	"Female"	"Anthropology"	44
"2004"	"Female"	"Anthropology"	48
"2005"	"Female"	"Anthropology"	37
"2006"	"Female"	"Anthropology"	45
"2007"	"Female"	"Anthropology"	41
"2008"	"Female"	"Anthropology"	47
"2009"	"Female"	"Anthropology"	52
"2010"	"Female"	"Anthropology"	52
"2011"	"Female"	"Anthropology"	44
"1966"	"Male"	"Anthropology"	0
"1967"	"Male"	"Anthropology"	0
"1968"	"Male"	"Anthropology"	0
"1969"	"Male"	"Anthropology"	1
"1970"	"Male"	"Anthropology"	6
"1971"	"Male"	"Anthropology"	7
"1972"	"Male"	"Anthropology"	9
"1973"	"Male"	"Anthropology"	11
"1974"	"Male"	"Anthropology"	4
"1975"	"Male"	"Anthropology"	14
"1976"	"Male"	"Anthropology"	11
"1977"	"Male"	"Anthropology"	7
"1978"	"Male"	"Anthropology"	4
"1979"	"Male"	"Anthropology"	4
"1980"	"Male"	"Anthropology"	0
"1981"	"Male"	"Anthropology"	2
"1982"	"Male"	"Anthropology"	3
"1983"	"Male"	"Anthropology"	2
"1984"	"Male"	"Anthropology"	1
"1985"	"Male"	"Anthropology"	4
"1986"	"Male"	"Anthropology"	8
"1987"	"Male"	"Anthropology"	7
"1988"	"Male"	"Anthropology"	5
"1989"	"Male"	"Anthropology"	3
"1990"	"Male"	"Anthropology"	7
"1991"	"Male"	"Anthropology"	5
"1992"	"Male"	"Anthropology"	7
"1993"	"Male"	"Anthropology"	7
"1994"	"Male"	"Anthropology"	8
"1995"	"Male"	"Anthropology"	13
"1996"	"Male"	"Anthropology"	7
"1997"	"Male"	"Anthropology"	10
