"year"	"gender"	"field"	"count"
"1966"	"Female"	"Agriculture"	1
"1967"	"Female"	"Agriculture"	0
"1968"	"Female"	"Agriculture"	0
"1969"	"Female"	"Agriculture"	3
"1970"	"Female"	"Agriculture"	1
"1971"	"Female"	"Agriculture"	1
"1972"	"Female"	"Agriculture"	7
"1973"	"Female"	"Agriculture"	20
"1974"	"Female"	"Agriculture"	5
"1975"	"Female"	"Agriculture"	6
"1976"	"Female"	"Agriculture"	6
"1977"	"Female"	"Agriculture"	11
"1978"	"Female"	"Agriculture"	5
"1979"	"Female"	"Agriculture"	11
"1980"	"Female"	"Agriculture"	9
"1981"	"Female"	"Agriculture"	36
"1982"	"Female"	"Agriculture"	20
"1983"	"Female"	"Agriculture"	24
"1984"	"Female"	"Agriculture"	10
"1985"	"Female"	"Agriculture"	15
"1986"	"Female"	"Agriculture"	15
"1987"	"Female"	"Agriculture"	17
"1988"	"Female"	"Agriculture"	15
"1989"	"Female"	"Agriculture"	14
"1990"	"Female"	"Agriculture"	9
"1991"	"Female"	"Agriculture"	7
"1992"	"Female"	"Agriculture"	22
"1993"	"Female"	"Agriculture"	14
"1994"	"Female"	"Agriculture"	19
"1995"	"Female"	"Agriculture"	18
"1996"	"Female"	"Agriculture"	23
"1997"	"Female"	"Agriculture"	35
"1998"	"Female"	"Agriculture"	53
"1999"	"Female"	"Agriculture"	46
"2000"	"Female"	"Agriculture"	51
"2001"	"Female"	"Agriculture"	51
"2002"	"Female"	"Agriculture"	62
"2003"	"Female"	"Agriculture"	15
"2004"	"Female"	"Agriculture"	21
"2005"	"Female"	"Agriculture"	17
"2006"	"Female"	"Agriculture"	26
"2007"	"Female"	"Agriculture"	13
"2008"	"Female"	"Agriculture"	7
"2009"	"Female"	"Agriculture"	15
"2010"	"Female"	"Agriculture"	24
"2011"	"Female"	"Agriculture"	22
"1966"	"Male"	"Agriculture"	35
"1967"	"Male"	"Agriculture"	45
"1968"	"Male"	"Agriculture"	40
"1969"	"Male"	"Agriculture"	47
"1970"	"Male"	"Agriculture"	74
"1971"	"Male"	"Agriculture"	36
"1972"	"Male"	"Agriculture"	43
"1973"	"Male"	"Agriculture"	68
"1974"	"Male"	"Agriculture"	35
"1975"	"Male"	"Agriculture"	59
"1976"	"Male"	"Agriculture"	44
"1977"	"Male"	"Agriculture"	59
"1978"	"Male"	"Agriculture"	55
"1979"	"Male"	"Agriculture"	50
"1980"	"Male"	"Agriculture"	47
"1981"	"Male"	"Agriculture"	48
"1982"	"Male"	"Agriculture"	63
"1983"	"Male"	"Agriculture"	45
"1984"	"Male"	"Agriculture"	37
"1985"	"Male"	"Agriculture"	30
"1986"	"Male"	"Agriculture"	27
"1987"	"Male"	"Agriculture"	35
"1988"	"Male"	"Agriculture"	26
"1989"	"Male"	"Agriculture"	17
"1990"	"Male"	"Agriculture"	20
"1991"	"Male"	"Agriculture"	19
"1992"	"Male"	"Agriculture"	14
"1993"	"Male"	"Agriculture"	22
"1994"	"Male"	"Agriculture"	24
"1995"	"Male"	"Agriculture"	37
"1996"	"Male"	"Agriculture"	23
"1997"	"Male"	"Agriculture"	35
"1998"	"Male"	"Agriculture"	29
"1999"	"Male"	"Agriculture"	43
"2000"	"Male"	"Agriculture"	45
"2001"	"Male"	"Agriculture"	36
"2002"	"Male"	"Agriculture"	44
"2003"	"Male"	"Agriculture"	23
"2004"	"Male"	"Agriculture"	20
"2005"	"Male"	"Agriculture"	25
"2006"	"Male"	"Agriculture"	17
"2007"	"Male"	"Agriculture"	12
"2008"	"Male"	"Agriculture"	14
"2009"	"Male"	"Agriculture"	17
"2010"	"Male"	"Agriculture"	18
"2011"	"Male"	"Agriculture"	27
"1966"	"Female"	"Anthropology"	0
"1967"	"Female"	"Anthropology"	1
"1968"	"Female"	"Anthropology"	2
"1969"	"Female"	"Anthropology"	2
"1970"	"Female"	"Anthropology"	0
"1971"	"Female"	"Anthropology"	4
"1972"	"Female"	"Anthropology"	7
"1973"	"Female"	"Anthropology"	10
"1974"	"Female"	"Anthropology"	5
"1975"	"Female"	"Anthropology"	6
"1976"	"Female"	"Anthropology"	8
"1977"	"Female"	"Anthropology"	7
"1978"	"Female"	"Anthropology"	5
"1979"	"Female"	"Anthropology"	5
"1980"	"Female"	"Anthropology"	6
"1981"	"Female"	"Anthropology"	10
"1982"	"Female"	"Anthropology"	7
"1983"	"Female"	"Anthropology"	4
"1984"	"Female"	"Anthropology"	8
"1985"	"Female"	"Anthropology"	5
"1986"	"Female"	"Anthropology"	4
"1987"	"Female"	"Anthropology"	4
"1988"	"Female"	"Anthropology"	10
"1989"	"Female"	"Anthropology"	4
"1990"	"Female"	"Anthropology"	6
"1991"	"Female"	"Anthropology"	8
"1992"	"Female"	"Anthropology"	10
"1993"	"Female"	"Anthropology"	11
"1994"	"Female"	"Anthropology"	13
"1995"	"Female"	"Anthropology"	7
"1996"	"Female"	"Anthropology"	17
"1997"	"Female"	"Anthropology"	19
"1998"	"Female"	"Anthropology"	21
"1999"	"Female"	"Anthropology"	30
"2000"	"Female"	"Anthropology"	26
"2001"	"Female"	"Anthropology"	24
"2002"	"Female"	"Anthropology"	30
"2003"	"Female"	"Anthropology"	25
"2004"	"Female"	"Anthropology"	21
"2005"	"Female"	"Anthropology"	35
"2006"	"Female"	"Anthropology"	27
"2007"	"Female"	"Anthropology"	30
"2008"	"Female"	"Anthropology"	27
"2009"	"Female"	"Anthropology"	36
"2010"	"Female"	"Anthropology"	25
"2011"	"Female"	"Anthropology"	41
"1966"	"Male"	"Anthropology"	8
"1967"	"Male"	"Anthropology"	0
"1968"	"Male"	"Anthropology"	5
"1969"	"Male"	"Anthropology"	6
"1970"	"Male"	"Anthropology"	6
"1971"	"Male"	"Anthropology"	7
"1972"	"Male"	"Anthropology"	12
"1973"	"Male"	"Anthropology"	16
"1974"	"Male"	"Anthropology"	9
"1975"	"Male"	"Anthropology"	6
"1976"	"Male"	"Anthropology"	9
"1977"	"Male"	"Anthropology"	11
"1978"	"Male"	"Anthropology"	7
"1979"	"Male"	"Anthropology"	4
"1980"	"Male"	"Anthropology"	6
"1981"	"Male"	"Anthropology"	11
"1982"	"Male"	"Anthropology"	7
"1983"	"Male"	"Anthropology"	10
"1984"	"Male"	"Anthropology"	5
"1985"	"Male"	"Anthropology"	5
"1986"	"Male"	"Anthropology"	3
"1987"	"Male"	"Anthropology"	6
"1988"	"Male"	"Anthropology"	2
"1989"	"Male"	"Anthropology"	6
"1990"	"Male"	"Anthropology"	7
"1991"	"Male"	"Anthropology"	7
"1992"	"Male"	"Anthropology"	4
"1993"	"Male"	"Anthropology"	7
"1994"	"Male"	"Anthropology"	8
"1995"	"Male"	"Anthropology"	11
"1996"	"Male"	"Anthropology"	14
"1997"	"Male"	"Anthropology"	14
"1998"	"Male"	"Anthropology"	16
"1999"	"Male"	"Anthropology"	22
"2000"	"Male"	"Anthropology"	9
"2001"	"Male"	"Anthropology"	7
"2002"	"Male"	"Anthropology"	13
"2003"	"Male"	"Anthropology"	8
"2004"	"Male"	"Anthropology"	11
"2005"	"Male"	"Anthropology"	10
"2006"	"Male"	"Anthropology"	10
"2007"	"Male"	"Anthropology"	16
"2008"	"Male"	"Anthropology"	9
"2009"	"Male"	"Anthropology"	4
"2010"	"Male"	"Anthropology"	9
"2011"	"Male"	"Anthropology"	8
"1966"	"Female"	"Area and Ethnic Studies"	2
"1967"	"Female"	"Area and Ethnic Studies"	0
"1968"	"Female"	"Area and Ethnic Studies"	0
"1969"	"Female"	"Area and Ethnic Studies"	1
"1970"	"Female"	"Area and Ethnic Studies"	0
"1971"	"Female"	"Area and Ethnic Studies"	0
"1972"	"Female"	"Area and Ethnic Studies"	1
"1973"	"Female"	"Area and Ethnic Studies"	3
"1974"	"Female"	"Area and Ethnic Studies"	1
"1975"	"Female"	"Area and Ethnic Studies"	1
"1976"	"Female"	"Area and Ethnic Studies"	1
"1977"	"Female"	"Area and Ethnic Studies"	3
"1978"	"Female"	"Area and Ethnic Studies"	2
"1979"	"Female"	"Area and Ethnic Studies"	9
"1980"	"Female"	"Area and Ethnic Studies"	7
"1981"	"Female"	"Area and Ethnic Studies"	7
"1982"	"Female"	"Area and Ethnic Studies"	8
"1983"	"Female"	"Area and Ethnic Studies"	12
"1984"	"Female"	"Area and Ethnic Studies"	10
"1985"	"Female"	"Area and Ethnic Studies"	11
"1986"	"Female"	"Area and Ethnic Studies"	12
"1987"	"Female"	"Area and Ethnic Studies"	9
"1988"	"Female"	"Area and Ethnic Studies"	27
"1989"	"Female"	"Area and Ethnic Studies"	47
"1990"	"Female"	"Area and Ethnic Studies"	50
"1991"	"Female"	"Area and Ethnic Studies"	52
"1992"	"Female"	"Area and Ethnic Studies"	22
"1993"	"Female"	"Area and Ethnic Studies"	24
"1994"	"Female"	"Area and Ethnic Studies"	39
"1995"	"Female"	"Area and Ethnic Studies"	27
"1996"	"Female"	"Area and Ethnic Studies"	35
"1997"	"Female"	"Area and Ethnic Studies"	28
"1998"	"Female"	"Area and Ethnic Studies"	34
"1999"	"Female"	"Area and Ethnic Studies"	34
"2000"	"Female"	"Area and Ethnic Studies"	37
"2001"	"Female"	"Area and Ethnic Studies"	45
"2002"	"Female"	"Area and Ethnic Studies"	36
"2003"	"Female"	"Area and Ethnic Studies"	40
"2004"	"Female"	"Area and Ethnic Studies"	45
"2005"	"Female"	"Area and Ethnic Studies"	56
"2006"	"Female"	"Area and Ethnic Studies"	31
"2007"	"Female"	"Area and Ethnic Studies"	38
"2008"	"Female"	"Area and Ethnic Studies"	37
"2009"	"Female"	"Area and Ethnic Studies"	44
"2010"	"Female"	"Area and Ethnic Studies"	41
"2011"	"Female"	"Area and Ethnic Studies"	57
"1966"	"Male"	"Area and Ethnic Studies"	17
