"year"	"gender"	"field"	"count"	"total"
"1966"	"Female"	"Ball State University"	1786	17422
"1966"	"Male"	"University of Maine"	0	17422
"1966"	"Gender"	"Richard Stockton College of New Jersey"	0	17422
"1966"	"Male"	"University of Michigan at Ann Arbor"	0	17422
"1966"	"Male"	"Emerson College"	0	17422
"1966"	"Gender"	"University of California-Berkeley"	0	17422
"1966"	"Gender"	"Ball State University"	0	17422
"1966"	"Female"	"University of Michigan at Ann Arbor"	0	17422
"1966"	"Gender"	"Northeastern University"	0	17422
"1966"	"Female"	"University of Rhode Island"	3414	17422
"1966"	"Female"	"George Mason University"	0	17422
"1966"	"Male"	"University of California-Berkeley"	1312	17422
"1966"	"Female"	"University of California-Berkeley"	1312	17422
"1966"	"Gender"	"University of Michigan at Ann Arbor"	0	17422
"1966"	"Male"	"Northeastern University"	2199	17422
"1966"	"Gender"	"University of Rhode Island"	0	17422
"1966"	"Female"	"University of Maine"	0	17422
"1966"	"Female"	"Brandeis University"	0	17422
"1966"	"Male"	"Princeton University"	0	17422
"1966"	"Gender"	"Brandeis University"	0	17422
"1966"	"Female"	"Princeton University"	0	17422
"1966"	"Male"	"George Mason University"	0	17422
"1966"	"Gender"	"University of Maine"	0	17422
"1966"	"Female"	"Holy Cross College"	0	17422
"1966"	"Female"	"Richard Stockton College of New Jersey"	0	17422
"1966"	"Gender"	"Princeton University"	0	17422
"1966"	"Male"	"Ball State University"	1786	17422
"1966"	"Female"	"Northeastern University"	2199	17422
"1966"	"Gender"	"Emerson College"	0	17422
"1966"	"Male"	"University of Rhode Island"	3414	17422
"1966"	"Gender"	"George Mason University"	0	17422
"1966"	"Male"	"Richard Stockton College of New Jersey"	0	17422
"1966"	"Female"	"Emerson College"	0	17422
"1966"	"Male"	"Brandeis University"	0	17422
"1966"	"Male"	"Holy Cross College"	0	17422
"1966"	"Gender"	"Holy Cross College"	0	17422
"1967"	"Male"	"Northeastern University"	2199	21528
"1967"	"Gender"	"Richard Stockton College of New Jersey"	0	21528
"1967"	"Male"	"Princeton University"	0	21528
"1967"	"Female"	"George Mason University"	0	21528
"1967"	"Gender"	"University of Maine"	0	21528
"1967"	"Female"	"Ball State University"	1786	21528
"1967"	"Male"	"University of Maine"	2053	21528
"1967"	"Gender"	"University of California-Berkeley"	0	21528
"1967"	"Male"	"Emerson College"	0	21528
"1967"	"Female"	"Northeastern University"	2199	21528
"1967"	"Male"	"University of Michigan at Ann Arbor"	0	21528
"1967"	"Gender"	"Princeton University"	0	21528
"1967"	"Gender"	"Northeastern University"	0	21528
"1967"	"Male"	"Richard Stockton College of New Jersey"	0	21528
"1967"	"Male"	"University of Rhode Island"	3414	21528
"1967"	"Gender"	"Brandeis University"	0	21528
"1967"	"Male"	"Holy Cross College"	0	21528
"1967"	"Female"	"University of California-Berkeley"	1312	21528
"1967"	"Gender"	"University of Michigan at Ann Arbor"	0	21528
"1967"	"Female"	"Holy Cross College"	0	21528
"1967"	"Female"	"University of Maine"	2053	21528
"1967"	"Gender"	"George Mason University"	0	21528
"1967"	"Female"	"Brandeis University"	0	21528
"1967"	"Male"	"Ball State University"	1786	21528
"1967"	"Gender"	"Ball State University"	0	21528
"1967"	"Female"	"Princeton University"	0	21528
"1967"	"Male"	"George Mason University"	0	21528
"1967"	"Gender"	"University of Rhode Island"	0	21528
"1967"	"Gender"	"Emerson College"	0	21528
"1967"	"Male"	"University of California-Berkeley"	1312	21528
"1967"	"Male"	"Brandeis University"	0	21528
"1967"	"Female"	"Emerson College"	0	21528
"1967"	"Female"	"University of Michigan at Ann Arbor"	0	21528
"1967"	"Gender"	"Holy Cross College"	0	21528
"1967"	"Female"	"University of Rhode Island"	3414	21528
"1967"	"Female"	"Richard Stockton College of New Jersey"	0	21528
"1968"	"Male"	"University of Maine"	0	24920
"1968"	"Gender"	"University of Maine"	0	24920
"1968"	"Gender"	"University of California-Berkeley"	0	24920
"1968"	"Male"	"Emerson College"	0	24920
"1968"	"Female"	"Brandeis University"	0	24920
"1968"	"Male"	"Richard Stockton College of New Jersey"	0	24920
"1968"	"Male"	"University of California-Berkeley"	1312	24920
"1968"	"Gender"	"Northeastern University"	0	24920
"1968"	"Male"	"George Mason University"	3749	24920
"1968"	"Gender"	"University of Michigan at Ann Arbor"	0	24920
"1968"	"Female"	"Ball State University"	1786	24920
"1968"	"Female"	"Richard Stockton College of New Jersey"	0	24920
"1968"	"Gender"	"Princeton University"	0	24920
