"year"	"gender"	"field"	"count"
"1966"	"Female"	"Agriculture"	8
"1967"	"Female"	"Agriculture"	7
"1968"	"Female"	"Agriculture"	11
"1969"	"Female"	"Agriculture"	25
"1970"	"Female"	"Agriculture"	12
"1971"	"Female"	"Agriculture"	8
"1972"	"Female"	"Agriculture"	15
"1973"	"Female"	"Agriculture"	19
"1974"	"Female"	"Agriculture"	38
"1975"	"Female"	"Agriculture"	46
"1976"	"Female"	"Agriculture"	52
"1977"	"Female"	"Agriculture"	77
"1978"	"Female"	"Agriculture"	108
"1979"	"Female"	"Agriculture"	119
"1980"	"Female"	"Agriculture"	120
"1981"	"Female"	"Agriculture"	96
"1982"	"Female"	"Agriculture"	137
"1983"	"Female"	"Agriculture"	109
"1984"	"Female"	"Agriculture"	106
"1985"	"Female"	"Agriculture"	92
"1986"	"Female"	"Agriculture"	91
"1987"	"Female"	"Agriculture"	88
"1988"	"Female"	"Agriculture"	108
"1989"	"Female"	"Agriculture"	73
"1990"	"Female"	"Agriculture"	80
"1991"	"Female"	"Agriculture"	67
"1992"	"Female"	"Agriculture"	93
"1993"	"Female"	"Agriculture"	73
"1994"	"Female"	"Agriculture"	91
"1995"	"Female"	"Agriculture"	88
"1996"	"Female"	"Agriculture"	122
"1997"	"Female"	"Agriculture"	103
"1998"	"Female"	"Agriculture"	110
"1999"	"Female"	"Agriculture"	106
"2000"	"Female"	"Agriculture"	111
"2001"	"Female"	"Agriculture"	103
"2002"	"Female"	"Agriculture"	115
"2003"	"Female"	"Agriculture"	121
"2004"	"Female"	"Agriculture"	117
"2005"	"Female"	"Agriculture"	137
"2006"	"Female"	"Agriculture"	161
"2007"	"Female"	"Agriculture"	129
"2008"	"Female"	"Agriculture"	131
"2009"	"Female"	"Agriculture"	162
"2010"	"Female"	"Agriculture"	175
"2011"	"Female"	"Agriculture"	177
"1966"	"Male"	"Agriculture"	148
"1967"	"Male"	"Agriculture"	159
"1968"	"Male"	"Agriculture"	143
"1969"	"Male"	"Agriculture"	141
"1970"	"Male"	"Agriculture"	122
"1971"	"Male"	"Agriculture"	121
"1972"	"Male"	"Agriculture"	140
"1973"	"Male"	"Agriculture"	158
"1974"	"Male"	"Agriculture"	179
"1975"	"Male"	"Agriculture"	178
"1976"	"Male"	"Agriculture"	173
"1977"	"Male"	"Agriculture"	202
"1978"	"Male"	"Agriculture"	210
"1979"	"Male"	"Agriculture"	200
"1980"	"Male"	"Agriculture"	207
"1981"	"Male"	"Agriculture"	119
"1982"	"Male"	"Agriculture"	170
"1983"	"Male"	"Agriculture"	134
"1984"	"Male"	"Agriculture"	122
"1985"	"Male"	"Agriculture"	116
"1986"	"Male"	"Agriculture"	110
"1987"	"Male"	"Agriculture"	110
"1988"	"Male"	"Agriculture"	121
"1989"	"Male"	"Agriculture"	100
"1990"	"Male"	"Agriculture"	75
"1991"	"Male"	"Agriculture"	70
"1992"	"Male"	"Agriculture"	143
"1993"	"Male"	"Agriculture"	90
"1994"	"Male"	"Agriculture"	126
"1995"	"Male"	"Agriculture"	113
"1996"	"Male"	"Agriculture"	107
"1997"	"Male"	"Agriculture"	106
"1998"	"Male"	"Agriculture"	130
"1999"	"Male"	"Agriculture"	142
"2000"	"Male"	"Agriculture"	147
"2001"	"Male"	"Agriculture"	85
"2002"	"Male"	"Agriculture"	82
"2003"	"Male"	"Agriculture"	106
"2004"	"Male"	"Agriculture"	92
"2005"	"Male"	"Agriculture"	95
"2006"	"Male"	"Agriculture"	87
"2007"	"Male"	"Agriculture"	94
"2008"	"Male"	"Agriculture"	105
"2009"	"Male"	"Agriculture"	113
"2010"	"Male"	"Agriculture"	110
"2011"	"Male"	"Agriculture"	80
"1966"	"Female"	"Area and Ethnic Studies"	0
"1967"	"Female"	"Area and Ethnic Studies"	0
"1968"	"Female"	"Area and Ethnic Studies"	0
"1969"	"Female"	"Area and Ethnic Studies"	0
"1970"	"Female"	"Area and Ethnic Studies"	0
"1971"	"Female"	"Area and Ethnic Studies"	0
"1972"	"Female"	"Area and Ethnic Studies"	0
"1973"	"Female"	"Area and Ethnic Studies"	0
"1974"	"Female"	"Area and Ethnic Studies"	0
"1975"	"Female"	"Area and Ethnic Studies"	0
"1976"	"Female"	"Area and Ethnic Studies"	0
"1977"	"Female"	"Area and Ethnic Studies"	0
"1978"	"Female"	"Area and Ethnic Studies"	0
"1979"	"Female"	"Area and Ethnic Studies"	0
"1980"	"Female"	"Area and Ethnic Studies"	0
"1981"	"Female"	"Area and Ethnic Studies"	0
"1982"	"Female"	"Area and Ethnic Studies"	0
"1983"	"Female"	"Area and Ethnic Studies"	0
"1984"	"Female"	"Area and Ethnic Studies"	0
"1985"	"Female"	"Area and Ethnic Studies"	0
"1986"	"Female"	"Area and Ethnic Studies"	0
"1987"	"Female"	"Area and Ethnic Studies"	0
"1988"	"Female"	"Area and Ethnic Studies"	0
"1989"	"Female"	"Area and Ethnic Studies"	0
"1990"	"Female"	"Area and Ethnic Studies"	0
"1991"	"Female"	"Area and Ethnic Studies"	0
"1992"	"Female"	"Area and Ethnic Studies"	0
"1993"	"Female"	"Area and Ethnic Studies"	0
"1994"	"Female"	"Area and Ethnic Studies"	0
"1995"	"Female"	"Area and Ethnic Studies"	0
"1996"	"Female"	"Area and Ethnic Studies"	0
"1997"	"Female"	"Area and Ethnic Studies"	0
"1998"	"Female"	"Area and Ethnic Studies"	0
"1999"	"Female"	"Area and Ethnic Studies"	0
"2000"	"Female"	"Area and Ethnic Studies"	0
"2001"	"Female"	"Area and Ethnic Studies"	0
"2002"	"Female"	"Area and Ethnic Studies"	0
"2003"	"Female"	"Area and Ethnic Studies"	0
"2004"	"Female"	"Area and Ethnic Studies"	0
"2005"	"Female"	"Area and Ethnic Studies"	0
"2006"	"Female"	"Area and Ethnic Studies"	0
"2007"	"Female"	"Area and Ethnic Studies"	0
"2008"	"Female"	"Area and Ethnic Studies"	0
"2009"	"Female"	"Area and Ethnic Studies"	3
"2010"	"Female"	"Area and Ethnic Studies"	2
"2011"	"Female"	"Area and Ethnic Studies"	4
"1966"	"Male"	"Area and Ethnic Studies"	0
"1967"	"Male"	"Area and Ethnic Studies"	0
"1968"	"Male"	"Area and Ethnic Studies"	0
"1969"	"Male"	"Area and Ethnic Studies"	0
"1970"	"Male"	"Area and Ethnic Studies"	0
"1971"	"Male"	"Area and Ethnic Studies"	0
"1972"	"Male"	"Area and Ethnic Studies"	0
"1973"	"Male"	"Area and Ethnic Studies"	0
"1974"	"Male"	"Area and Ethnic Studies"	0
"1975"	"Male"	"Area and Ethnic Studies"	0
"1976"	"Male"	"Area and Ethnic Studies"	0
"1977"	"Male"	"Area and Ethnic Studies"	0
"1978"	"Male"	"Area and Ethnic Studies"	0
"1979"	"Male"	"Area and Ethnic Studies"	0
"1980"	"Male"	"Area and Ethnic Studies"	0
"1981"	"Male"	"Area and Ethnic Studies"	0
"1982"	"Male"	"Area and Ethnic Studies"	0
"1983"	"Male"	"Area and Ethnic Studies"	0
"1984"	"Male"	"Area and Ethnic Studies"	0
"1985"	"Male"	"Area and Ethnic Studies"	0
"1986"	"Male"	"Area and Ethnic Studies"	0
"1987"	"Male"	"Area and Ethnic Studies"	0
"1988"	"Male"	"Area and Ethnic Studies"	0
"1989"	"Male"	"Area and Ethnic Studies"	0
"1990"	"Male"	"Area and Ethnic Studies"	0
"1991"	"Male"	"Area and Ethnic Studies"	0
"1992"	"Male"	"Area and Ethnic Studies"	0
"1993"	"Male"	"Area and Ethnic Studies"	0
