"year"	"gender"	"field"	"count"
"1966"	"Female"	"Agriculture"	2
"1967"	"Female"	"Agriculture"	3
"1968"	"Female"	"Agriculture"	1
"1969"	"Female"	"Agriculture"	2
"1971"	"Female"	"Agriculture"	1
"1972"	"Female"	"Agriculture"	4
"1973"	"Female"	"Agriculture"	7
"1974"	"Female"	"Agriculture"	12
"1975"	"Female"	"Agriculture"	18
"1976"	"Female"	"Agriculture"	26
"1977"	"Female"	"Agriculture"	31
"1978"	"Female"	"Agriculture"	43
"1979"	"Female"	"Agriculture"	46
"1980"	"Female"	"Agriculture"	42
"1981"	"Female"	"Agriculture"	46
"1982"	"Female"	"Agriculture"	58
"1983"	"Female"	"Agriculture"	64
"1984"	"Female"	"Agriculture"	69
"1985"	"Female"	"Agriculture"	56
"1986"	"Female"	"Agriculture"	55
"1987"	"Female"	"Agriculture"	51
"1988"	"Female"	"Agriculture"	46
"1989"	"Female"	"Agriculture"	47
"1990"	"Female"	"Agriculture"	22
"1991"	"Female"	"Agriculture"	45
"1992"	"Female"	"Agriculture"	39
"1993"	"Female"	"Agriculture"	48
"1994"	"Female"	"Agriculture"	57
"1995"	"Female"	"Agriculture"	46
"1996"	"Female"	"Agriculture"	52
"1997"	"Female"	"Agriculture"	47
"1998"	"Female"	"Agriculture"	55
"1999"	"Female"	"Agriculture"	42
"2000"	"Female"	"Agriculture"	42
"2001"	"Female"	"Agriculture"	55
"2002"	"Female"	"Agriculture"	42
"2003"	"Female"	"Agriculture"	37
"2004"	"Female"	"Agriculture"	44
"2005"	"Female"	"Agriculture"	40
"2006"	"Female"	"Agriculture"	49
"2007"	"Female"	"Agriculture"	47
"2008"	"Female"	"Agriculture"	54
"2009"	"Female"	"Agriculture"	64
"2010"	"Female"	"Agriculture"	45
"2011"	"Female"	"Agriculture"	73
"1966"	"Male"	"Agriculture"	67
"1967"	"Male"	"Agriculture"	72
"1968"	"Male"	"Agriculture"	63
"1969"	"Male"	"Agriculture"	83
"1971"	"Male"	"Agriculture"	89
"1972"	"Male"	"Agriculture"	102
"1973"	"Male"	"Agriculture"	101
"1974"	"Male"	"Agriculture"	135
"1975"	"Male"	"Agriculture"	107
"1976"	"Male"	"Agriculture"	95
"1977"	"Male"	"Agriculture"	110
"1978"	"Male"	"Agriculture"	140
"1979"	"Male"	"Agriculture"	124
"1980"	"Male"	"Agriculture"	107
"1981"	"Male"	"Agriculture"	120
"1982"	"Male"	"Agriculture"	104
"1983"	"Male"	"Agriculture"	101
"1984"	"Male"	"Agriculture"	99
"1985"	"Male"	"Agriculture"	99
"1986"	"Male"	"Agriculture"	85
"1987"	"Male"	"Agriculture"	81
"1988"	"Male"	"Agriculture"	72
"1989"	"Male"	"Agriculture"	44
"1990"	"Male"	"Agriculture"	48
