"year"	"gender"	"field"	"count"
"1966"	"Female"	"Anthropology"	0
"1967"	"Female"	"Anthropology"	3
"1968"	"Female"	"Anthropology"	11
"1969"	"Female"	"Anthropology"	14
"1970"	"Female"	"Anthropology"	10
"1971"	"Female"	"Anthropology"	31
"1972"	"Female"	"Anthropology"	38
"1973"	"Female"	"Anthropology"	39
"1974"	"Female"	"Anthropology"	36
"1975"	"Female"	"Anthropology"	30
"1976"	"Female"	"Anthropology"	35
"1977"	"Female"	"Anthropology"	38
"1978"	"Female"	"Anthropology"	23
"1979"	"Female"	"Anthropology"	25
"1980"	"Female"	"Anthropology"	25
"1981"	"Female"	"Anthropology"	14
"1982"	"Female"	"Anthropology"	21
"1983"	"Female"	"Anthropology"	17
"1984"	"Female"	"Anthropology"	15
"1985"	"Female"	"Anthropology"	11
"1986"	"Female"	"Anthropology"	8
"1987"	"Female"	"Anthropology"	9
"1988"	"Female"	"Anthropology"	13
"1989"	"Female"	"Anthropology"	11
"1990"	"Female"	"Anthropology"	14
"1991"	"Female"	"Anthropology"	14
"1992"	"Female"	"Anthropology"	10
"1993"	"Female"	"Anthropology"	17
"1994"	"Female"	"Anthropology"	18
"1995"	"Female"	"Anthropology"	23
"1996"	"Female"	"Anthropology"	20
"1997"	"Female"	"Anthropology"	18
"1998"	"Female"	"Anthropology"	26
"1999"	"Female"	"Anthropology"	27
"2000"	"Female"	"Anthropology"	22
"2001"	"Female"	"Anthropology"	14
"2002"	"Female"	"Anthropology"	43
"2003"	"Female"	"Anthropology"	44
"2004"	"Female"	"Anthropology"	42
"2005"	"Female"	"Anthropology"	29
"2006"	"Female"	"Anthropology"	32
"2007"	"Female"	"Anthropology"	25
"2008"	"Female"	"Anthropology"	45
"2009"	"Female"	"Anthropology"	31
"2010"	"Female"	"Anthropology"	35
"2011"	"Female"	"Anthropology"	35
"1966"	"Male"	"Anthropology"	0
"1967"	"Male"	"Anthropology"	5
"1968"	"Male"	"Anthropology"	13
"1969"	"Male"	"Anthropology"	14
"1970"	"Male"	"Anthropology"	13
"1971"	"Male"	"Anthropology"	52
"1972"	"Male"	"Anthropology"	30
"1973"	"Male"	"Anthropology"	36
"1974"	"Male"	"Anthropology"	39
"1975"	"Male"	"Anthropology"	27
"1976"	"Male"	"Anthropology"	20
"1977"	"Male"	"Anthropology"	15
"1978"	"Male"	"Anthropology"	21
"1979"	"Male"	"Anthropology"	21
"1980"	"Male"	"Anthropology"	9
"1981"	"Male"	"Anthropology"	15
"1982"	"Male"	"Anthropology"	3
"1983"	"Male"	"Anthropology"	13
"1984"	"Male"	"Anthropology"	7
"1985"	"Male"	"Anthropology"	7
"1986"	"Male"	"Anthropology"	4
"1987"	"Male"	"Anthropology"	3
"1988"	"Male"	"Anthropology"	4
"1989"	"Male"	"Anthropology"	3
"1990"	"Male"	"Anthropology"	6
"1991"	"Male"	"Anthropology"	10
"1992"	"Male"	"Anthropology"	6
"1993"	"Male"	"Anthropology"	9
"1994"	"Male"	"Anthropology"	7
"1995"	"Male"	"Anthropology"	10
