"year"	"gender"	"field"	"count"
1966	"Female"	"Anthropology"	7
1967	"Female"	"Anthropology"	7
1968	"Female"	"Anthropology"	17
1969	"Female"	"Anthropology"	18
1970	"Female"	"Anthropology"	29
1971	"Female"	"Anthropology"	33
1972	"Female"	"Anthropology"	24
1973	"Female"	"Anthropology"	31
1974	"Female"	"Anthropology"	26
1975	"Female"	"Anthropology"	27
1976	"Female"	"Anthropology"	18
1977	"Female"	"Anthropology"	7
1978	"Female"	"Anthropology"	17
1979	"Female"	"Anthropology"	11
1980	"Female"	"Anthropology"	9
1981	"Female"	"Anthropology"	8
1982	"Female"	"Anthropology"	9
1983	"Female"	"Anthropology"	2
1984	"Female"	"Anthropology"	4
1985	"Female"	"Anthropology"	1
1986	"Female"	"Anthropology"	2
1987	"Female"	"Anthropology"	3
1988	"Female"	"Anthropology"	4
1989	"Female"	"Anthropology"	2
1990	"Female"	"Anthropology"	2
1991	"Female"	"Anthropology"	1
1992	"Female"	"Anthropology"	7
1993	"Female"	"Anthropology"	3
1994	"Female"	"Anthropology"	7
1995	"Female"	"Anthropology"	7
1996	"Female"	"Anthropology"	11
1997	"Female"	"Anthropology"	8
1998	"Female"	"Anthropology"	4
1999	"Female"	"Anthropology"	11
2000	"Female"	"Anthropology"	13
2001	"Female"	"Anthropology"	7
2002	"Female"	"Anthropology"	7
2003	"Female"	"Anthropology"	8
2004	"Female"	"Anthropology"	5
2005	"Female"	"Anthropology"	2
2006	"Female"	"Anthropology"	11
2007	"Female"	"Anthropology"	6
2008	"Female"	"Anthropology"	9
2009	"Female"	"Anthropology"	10
2010	"Female"	"Anthropology"	11
2011	"Female"	"Anthropology"	13
1966	"Male"	"Anthropology"	8
1967	"Male"	"Anthropology"	11
1968	"Male"	"Anthropology"	13
1969	"Male"	"Anthropology"	18
1970	"Male"	"Anthropology"	16
1971	"Male"	"Anthropology"	25
1972	"Male"	"Anthropology"	20
1973	"Male"	"Anthropology"	21
1974	"Male"	"Anthropology"	30
1975	"Male"	"Anthropology"	13
1976	"Male"	"Anthropology"	10
1977	"Male"	"Anthropology"	8
1978	"Male"	"Anthropology"	9
1979	"Male"	"Anthropology"	3
1980	"Male"	"Anthropology"	8
1981	"Male"	"Anthropology"	3
1982	"Male"	"Anthropology"	4
1983	"Male"	"Anthropology"	3
1984	"Male"	"Anthropology"	2
1985	"Male"	"Anthropology"	4
1986	"Male"	"Anthropology"	3
1987	"Male"	"Anthropology"	2
1988	"Male"	"Anthropology"	2
1989	"Male"	"Anthropology"	2
1990	"Male"	"Anthropology"	1
1991	"Male"	"Anthropology"	1
1992	"Male"	"Anthropology"	1
1993	"Male"	"Anthropology"	1
1994	"Male"	"Anthropology"	5
1995	"Male"	"Anthropology"	7
1996	"Male"	"Anthropology"	4
1997	"Male"	"Anthropology"	10
1998	"Male"	"Anthropology"	5
1999	"Male"	"Anthropology"	3
2000	"Male"	"Anthropology"	2
2001	"Male"	"Anthropology"	3
2002	"Male"	"Anthropology"	0
2003	"Male"	"Anthropology"	2
2004	"Male"	"Anthropology"	3
