"year"	"gender"	"field"	"count"	"total"
"1966"	"Female"	"Northeastern University"	2199	16587
"1966"	"Male"	"University of Maine"	0	16587
"1966"	"Gender"	"University of Rhode Island"	0	16587
"1966"	"Gender"	"Tufts University"	0	16587
"1966"	"Male"	"Stanford University"	1305	16587
"1966"	"Male"	"University of Michigan at Ann Arbor"	0	16587
"1966"	"Gender"	"Northeastern University"	0	16587
"1966"	"Female"	"University of Michigan at Ann Arbor"	0	16587
"1966"	"Gender"	"University of Maine"	0	16587
"1966"	"Male"	"University of Rhode Island"	3414	16587
"1966"	"Female"	"Tufts University"	0	16587
"1966"	"Female"	"University of Rhode Island"	0	16587
"1966"	"Male"	"Northeastern University"	2199	16587
"1966"	"Female"	"Princeton University"	0	16587
"1966"	"Female"	"University of California-Berkeley"	1312	16587
"1966"	"Gender"	"Princeton University"	0	16587
"1966"	"Male"	"Princeton University"	2627	16587
"1966"	"Male"	"Tufts University"	2219	16587
"1966"	"Female"	"University of Maine"	0	16587
"1966"	"Gender"	"Stanford University"	0	16587
"1966"	"Gender"	"University of California-Berkeley"	0	16587
"1966"	"Gender"	"University of Michigan at Ann Arbor"	0	16587
"1966"	"Female"	"Stanford University"	0	16587
"1966"	"Male"	"University of California-Berkeley"	1312	16587
"1967"	"Male"	"University of Maine"	2053	15129
"1967"	"Female"	"Tufts University"	0	15129
"1967"	"Male"	"Northeastern University"	2199	15129
"1967"	"Male"	"University of Michigan at Ann Arbor"	0	15129
"1967"	"Female"	"University of California-Berkeley"	0	15129
"1967"	"Gender"	"University of Rhode Island"	0	15129
"1967"	"Gender"	"University of Maine"	0	15129
"1967"	"Male"	"Stanford University"	1305	15129
"1967"	"Female"	"University of Maine"	0	15129
"1967"	"Gender"	"Northeastern University"	0	15129
"1967"	"Gender"	"University of Michigan at Ann Arbor"	0	15129
"1967"	"Male"	"Tufts University"	2219	15129
"1967"	"Male"	"University of Rhode Island"	3414	15129
"1967"	"Gender"	"Princeton University"	0	15129
"1967"	"Male"	"Princeton University"	2627	15129
"1967"	"Male"	"University of California-Berkeley"	1312	15129
"1967"	"Female"	"Northeastern University"	0	15129
"1967"	"Gender"	"Stanford University"	0	15129
"1967"	"Gender"	"University of California-Berkeley"	0	15129
"1967"	"Female"	"Princeton University"	0	15129
"1967"	"Gender"	"Tufts University"	0	15129
"1967"	"Female"	"Stanford University"	0	15129
