"year"	"gender"	"field"	"count"
"1979"	"Female"	"Agriculture"	0
"1980"	"Female"	"Agriculture"	0
"1981"	"Female"	"Agriculture"	0
"1982"	"Female"	"Agriculture"	0
"1983"	"Female"	"Agriculture"	0
"1984"	"Female"	"Agriculture"	0
"1985"	"Female"	"Agriculture"	0
"1986"	"Female"	"Agriculture"	0
"1987"	"Female"	"Agriculture"	0
"1988"	"Female"	"Agriculture"	0
"1989"	"Female"	"Agriculture"	0
"1990"	"Female"	"Agriculture"	0
"1991"	"Female"	"Agriculture"	0
"1992"	"Female"	"Agriculture"	0
"1993"	"Female"	"Agriculture"	0
"1994"	"Female"	"Agriculture"	0
"1995"	"Female"	"Agriculture"	0
"1996"	"Female"	"Agriculture"	0
"1997"	"Female"	"Agriculture"	1
"1998"	"Female"	"Agriculture"	2
"1999"	"Female"	"Agriculture"	2
"2000"	"Female"	"Agriculture"	0
"2001"	"Female"	"Agriculture"	0
"2002"	"Female"	"Agriculture"	0
"2003"	"Female"	"Agriculture"	2
"2004"	"Female"	"Agriculture"	1
"2005"	"Female"	"Agriculture"	0
"2006"	"Female"	"Agriculture"	0
"2007"	"Female"	"Agriculture"	0
"2008"	"Female"	"Agriculture"	0
"2009"	"Female"	"Agriculture"	0
"2010"	"Female"	"Agriculture"	0
"2011"	"Female"	"Agriculture"	0
"1979"	"Male"	"Agriculture"	0
"1980"	"Male"	"Agriculture"	0
"1981"	"Male"	"Agriculture"	0
"1982"	"Male"	"Agriculture"	0
"1983"	"Male"	"Agriculture"	0
"1984"	"Male"	"Agriculture"	0
"1985"	"Male"	"Agriculture"	0
"1986"	"Male"	"Agriculture"	0
"1987"	"Male"	"Agriculture"	0
"1988"	"Male"	"Agriculture"	0
"1989"	"Male"	"Agriculture"	0
"1990"	"Male"	"Agriculture"	0
"1991"	"Male"	"Agriculture"	0
"1992"	"Male"	"Agriculture"	0
"1993"	"Male"	"Agriculture"	0
"1994"	"Male"	"Agriculture"	0
"1995"	"Male"	"Agriculture"	0
"1996"	"Male"	"Agriculture"	0
"1997"	"Male"	"Agriculture"	4
"1998"	"Male"	"Agriculture"	11
"1999"	"Male"	"Agriculture"	5
"2000"	"Male"	"Agriculture"	0
"2001"	"Male"	"Agriculture"	1
"2002"	"Male"	"Agriculture"	2
"2003"	"Male"	"Agriculture"	0
"2004"	"Male"	"Agriculture"	0
"2005"	"Male"	"Agriculture"	1
"2006"	"Male"	"Agriculture"	0
"2007"	"Male"	"Agriculture"	0
"2008"	"Male"	"Agriculture"	0
"2009"	"Male"	"Agriculture"	0
"2010"	"Male"	"Agriculture"	0
"2011"	"Male"	"Agriculture"	1
