"year"	"gender"	"field"	"count"	"total"
"1966"	"Female"	"Agriculture"	0	288
"1966"	"Male"	"Math"	4	288
"1966"	"Female"	"History"	6	288
"1966"	"Female"	"Vocational Studies and Home Economics"	0	288
"1966"	"Female"	"Business"	0	288
"1966"	"Male"	"Psychology"	23	288
"1966"	"Male"	"Agriculture"	0	288
"1966"	"Female"	"Other/Unknown"	0	288
"1966"	"Female"	"Education"	0	288
"1966"	"Male"	"Vocational Studies and Home Economics"	0	288
"1966"	"Male"	"Business"	35	288
"1966"	"Female"	"Social Sciences, Other"	7	288
"1966"	"Female"	"Humanities, Other"	3	288
"1966"	"Male"	"Other/Unknown"	0	288
"1966"	"Male"	"Education"	0	288
"1966"	"Female"	"Political Science and Public Administration"	2	288
"1966"	"Female"	"Physical Sciences"	8	288
"1966"	"Male"	"Anthropology"	0	288
"1966"	"Male"	"Humanities, Other"	7	288
"1966"	"Female"	"Sociology"	8	288
"1966"	"Female"	"Social Service Professions"	0	288
"1966"	"Male"	"Communication and Library Science"	0	288
"1966"	"Male"	"Physical Sciences"	37	288
"1966"	"Female"	"Area and Ethnic Studies"	0	288
"1966"	"Female"	"Life Sciences"	8	288
"1966"	"Male"	"English and Literature"	10	288
"1966"	"Male"	"Social Service Professions"	0	288
"1966"	"Female"	"Computer Science"	0	288
"1966"	"Male"	"Art/Architecture"	2	288
"1966"	"Male"	"Life Sciences"	12	288
"1966"	"Female"	"Communication and Library Science"	0	288
"1966"	"Female"	"Foreign Languages"	9	288
"1966"	"Male"	"Economics"	11	288
"1966"	"Male"	"Political Science and Public Administration"	14	288
"1966"	"Female"	"Art/Architecture"	2	288
"1966"	"Female"	"Math"	3	288
"1966"	"Male"	"History"	16	288
"1966"	"Male"	"Sociology"	10	288
"1966"	"Female"	"Economics"	3	288
"1966"	"Female"	"Psychology"	24	288
"1966"	"Female"	"Anthropology"	0	288
"1966"	"Male"	"Social Sciences, Other"	7	288
"1966"	"Male"	"Area and Ethnic Studies"	0	288
"1966"	"Male"	"Computer Science"	0	288
"1966"	"Female"	"English and Literature"	14	288
"1966"	"Male"	"Foreign Languages"	3	288
"1967"	"Male"	"Math"	11	261
"1967"	"Female"	"Agriculture"	0	261
"1967"	"Male"	"Psychology"	13	261
"1967"	"Male"	"Education"	0	261
"1967"	"Female"	"Business"	3	261
"1967"	"Male"	"Vocational Studies and Home Economics"	0	261
"1967"	"Male"	"Humanities, Other"	0	261
"1967"	"Female"	"Education"	0	261
"1967"	"Male"	"Other/Unknown"	0	261
"1967"	"Female"	"Computer Science"	0	261
"1967"	"Female"	"Math"	5	261
"1967"	"Female"	"Humanities, Other"	2	261
"1967"	"Male"	"Anthropology"	0	261
"1967"	"Female"	"Foreign Languages"	4	261
"1967"	"Male"	"Life Sciences"	18	261
"1967"	"Female"	"English and Literature"	18	261
"1967"	"Male"	"Communication and Library Science"	0	261
"1967"	"Male"	"History"	9	261
"1967"	"Male"	"Business"	34	261
"1967"	"Female"	"Life Sciences"	7	261
"1967"	"Male"	"English and Literature"	11	261
"1967"	"Female"	"Anthropology"	0	261
"1967"	"Male"	"Art/Architecture"	0	261
"1967"	"Female"	"History"	6	261
"1967"	"Male"	"Area and Ethnic Studies"	0	261
"1967"	"Female"	"Communication and Library Science"	0	261
"1967"	"Male"	"Economics"	14	261
"1967"	"Male"	"Agriculture"	0	261
"1967"	"Male"	"Computer Science"	0	261
"1967"	"Female"	"Art/Architecture"	5	261
"1967"	"Female"	"Social Service Professions"	0	261
"1967"	"Female"	"Area and Ethnic Studies"	0	261
"1967"	"Male"	"Foreign Languages"	2	261
"1967"	"Female"	"Economics"	1	261
"1967"	"Male"	"Sociology"	5	261
"1967"	"Female"	"Physical Sciences"	10	261
"1967"	"Male"	"Social Service Professions"	0	261
"1967"	"Male"	"Physical Sciences"	21	261
"1967"	"Female"	"Political Science and Public Administration"	2	261
"1967"	"Male"	"Political Science and Public Administration"	14	261
"1967"	"Female"	"Vocational Studies and Home Economics"	0	261
"1967"	"Female"	"Psychology"	20	261
"1967"	"Female"	"Other/Unknown"	0	261
"1967"	"Female"	"Sociology"	13	261
"1967"	"Male"	"Social Sciences, Other"	10	261
"1967"	"Female"	"Social Sciences, Other"	3	261
"1968"	"Female"	"Education"	0	315
"1968"	"Male"	"Other/Unknown"	1	315
"1968"	"Female"	"Humanities, Other"	2	315
"1968"	"Male"	"Math"	9	315
"1968"	"Male"	"Education"	0	315
"1968"	"Male"	"English and Literature"	19	315
"1968"	"Male"	"Anthropology"	0	315
"1968"	"Male"	"Psychology"	33	315
"1968"	"Male"	"Humanities, Other"	3	315
"1968"	"Male"	"Life Sciences"	12	315
"1968"	"Male"	"Communication and Library Science"	0	315
"1968"	"Female"	"Social Service Professions"	0	315
"1968"	"Male"	"Vocational Studies and Home Economics"	0	315
"1968"	"Female"	"Area and Ethnic Studies"	0	315
"1968"	"Female"	"Economics"	0	315
"1968"	"Male"	"Sociology"	4	315
"1968"	"Female"	"Agriculture"	0	315
"1968"	"Female"	"Computer Science"	0	315
"1968"	"Female"	"History"	6	315
"1968"	"Male"	"Area and Ethnic Studies"	0	315
"1968"	"Female"	"Business"	0	315
"1968"	"Female"	"Foreign Languages"	9	315
"1968"	"Female"	"Vocational Studies and Home Economics"	0	315
"1968"	"Female"	"Art/Architecture"	6	315
"1968"	"Male"	"Political Science and Public Administration"	9	315
"1968"	"Female"	"Math"	8	315
"1968"	"Male"	"Art/Architecture"	4	315
"1968"	"Female"	"Life Sciences"	10	315
"1968"	"Female"	"Social Sciences, Other"	3	315
"1968"	"Female"	"Anthropology"	0	315
"1968"	"Male"	"Economics"	11	315
"1968"	"Male"	"Social Service Professions"	0	315
"1968"	"Male"	"Agriculture"	0	315
"1968"	"Female"	"Physical Sciences"	14	315
"1968"	"Male"	"History"	16	315
"1968"	"Male"	"Social Sciences, Other"	4	315
"1968"	"Male"	"Business"	29	315
"1968"	"Female"	"Other/Unknown"	1	315
"1968"	"Female"	"Political Science and Public Administration"	5	315
"1968"	"Female"	"Sociology"	11	315
"1968"	"Female"	"Psychology"	31	315
"1968"	"Male"	"Foreign Languages"	2	315
"1968"	"Female"	"English and Literature"	24	315
