"year"	"gender"	"field"	"count"	"total"
"1966"	"Female"	"Agriculture"	0	295
"1966"	"Male"	"Other/Unknown"	0	295
"1966"	"Female"	"Humanities, Other"	4	295
"1966"	"Female"	"Political Science and Public Administration"	12	295
"1966"	"Female"	"Business"	2	295
"1966"	"Male"	"Religion"	0	295
"1966"	"Male"	"Agriculture"	0	295
"1966"	"Female"	"Physical Sciences"	3	295
"1966"	"Female"	"English and Literature"	28	295
"1966"	"Male"	"Political Science and Public Administration"	13	295
"1966"	"Male"	"Business"	23	295
"1966"	"Female"	"Social Sciences, Other"	0	295
"1966"	"Female"	"Life Sciences"	5	295
"1966"	"Male"	"Physical Sciences"	17	295
"1966"	"Male"	"English and Literature"	20	295
"1966"	"Female"	"Psychology"	9	295
"1966"	"Male"	"Math"	8	295
"1966"	"Male"	"Anthropology"	0	295
"1966"	"Male"	"Life Sciences"	12	295
"1966"	"Female"	"Area and Ethnic Studies"	1	295
"1966"	"Female"	"Sociology"	24	295
"1966"	"Male"	"Communication and Library Science"	0	295
"1966"	"Female"	"Other/Unknown"	0	295
"1966"	"Female"	"Computer Science"	0	295
"1966"	"Female"	"Math"	5	295
"1966"	"Male"	"Foreign Languages"	5	295
"1966"	"Male"	"Sociology"	11	295
"1966"	"Female"	"History"	8	295
"1966"	"Male"	"Art/Architecture"	6	295
"1966"	"Male"	"Psychology"	5	295
"1966"	"Female"	"Communication and Library Science"	0	295
"1966"	"Male"	"Humanities, Other"	6	295
"1966"	"Male"	"Economics"	25	295
"1966"	"Male"	"History"	16	295
"1966"	"Female"	"Art/Architecture"	5	295
"1966"	"Female"	"Religion"	0	295
"1966"	"Female"	"Anthropology"	0	295
"1966"	"Male"	"Social Sciences, Other"	0	295
"1966"	"Female"	"Economics"	1	295
"1966"	"Male"	"Area and Ethnic Studies"	1	295
"1966"	"Male"	"Computer Science"	0	295
"1966"	"Female"	"Foreign Languages"	20	295
"1967"	"Female"	"Humanities, Other"	4	301
"1967"	"Male"	"Other/Unknown"	0	301
"1967"	"Male"	"English and Literature"	19	301
"1967"	"Female"	"Agriculture"	0	301
"1967"	"Male"	"Religion"	0	301
"1967"	"Male"	"Life Sciences"	8	301
"1967"	"Female"	"History"	7	301
"1967"	"Female"	"Business"	1	301
"1967"	"Female"	"Sociology"	10	301
"1967"	"Male"	"Business"	21	301
"1967"	"Female"	"Other/Unknown"	0	301
"1967"	"Male"	"Humanities, Other"	11	301
"1967"	"Male"	"Physical Sciences"	11	301
"1967"	"Female"	"Computer Science"	0	301
"1967"	"Female"	"English and Literature"	37	301
"1967"	"Female"	"Life Sciences"	10	301
"1967"	"Male"	"Anthropology"	0	301
"1967"	"Male"	"Economics"	36	301
"1967"	"Male"	"Math"	3	301
"1967"	"Female"	"Foreign Languages"	20	301
"1967"	"Male"	"Communication and Library Science"	0	301
"1967"	"Male"	"Psychology"	13	301
"1967"	"Female"	"Area and Ethnic Studies"	2	301
"1967"	"Female"	"Math"	2	301
"1967"	"Male"	"Foreign Languages"	6	301
"1967"	"Female"	"Anthropology"	0	301
"1967"	"Male"	"Art/Architecture"	8	301
"1967"	"Male"	"Sociology"	8	301
"1967"	"Male"	"Area and Ethnic Studies"	1	301
"1967"	"Female"	"Communication and Library Science"	0	301
"1967"	"Female"	"Political Science and Public Administration"	10	301
"1967"	"Male"	"Agriculture"	0	301
"1967"	"Male"	"Computer Science"	0	301
"1967"	"Female"	"Art/Architecture"	14	301
"1967"	"Female"	"Psychology"	5	301
"1967"	"Male"	"History"	14	301
"1967"	"Female"	"Economics"	3	301
"1967"	"Female"	"Physical Sciences"	3	301
"1967"	"Female"	"Religion"	0	301
"1967"	"Male"	"Political Science and Public Administration"	14	301
"1967"	"Female"	"Social Sciences, Other"	0	301
"1967"	"Male"	"Social Sciences, Other"	0	301
"1968"	"Female"	"Other/Unknown"	0	340
"1968"	"Male"	"Physical Sciences"	16	340
"1968"	"Male"	"Anthropology"	0	340
"1968"	"Male"	"English and Literature"	23	340
"1968"	"Female"	"English and Literature"	29	340
"1968"	"Male"	"Communication and Library Science"	0	340
"1968"	"Male"	"Humanities, Other"	3	340
"1968"	"Male"	"Religion"	0	340
"1968"	"Male"	"Foreign Languages"	6	340
"1968"	"Female"	"Economics"	6	340
"1968"	"Female"	"Life Sciences"	9	340
"1968"	"Male"	"Other/Unknown"	0	340
"1968"	"Female"	"Computer Science"	0	340
"1968"	"Male"	"Math"	11	340
"1968"	"Male"	"Area and Ethnic Studies"	0	340
"1968"	"Female"	"Business"	2	340
"1968"	"Male"	"Life Sciences"	12	340
"1968"	"Female"	"Area and Ethnic Studies"	1	340
"1968"	"Female"	"Art/Architecture"	12	340
"1968"	"Female"	"Sociology"	29	340
"1968"	"Female"	"Agriculture"	0	340
"1968"	"Male"	"Art/Architecture"	6	340
"1968"	"Female"	"Math"	7	340
"1968"	"Female"	"Social Sciences, Other"	0	340
"1968"	"Female"	"Political Science and Public Administration"	8	340
"1968"	"Female"	"History"	9	340
"1968"	"Female"	"Humanities, Other"	4	340
"1968"	"Female"	"Physical Sciences"	3	340
"1968"	"Male"	"Psychology"	13	340
"1968"	"Female"	"Anthropology"	0	340
"1968"	"Male"	"Economics"	32	340
"1968"	"Male"	"History"	19	340
"1968"	"Male"	"Agriculture"	0	340
"1968"	"Female"	"Psychology"	6	340
"1968"	"Male"	"Computer Science"	0	340
"1968"	"Male"	"Sociology"	11	340
"1968"	"Male"	"Business"	18	340
"1968"	"Female"	"Foreign Languages"	18	340
"1968"	"Male"	"Social Sciences, Other"	0	340
"1968"	"Female"	"Religion"	0	340
"1968"	"Male"	"Political Science and Public Administration"	27	340
"1968"	"Female"	"Communication and Library Science"	0	340
"1969"	"Female"	"History"	9	333
"1969"	"Female"	"Other/Unknown"	0	333
"1969"	"Male"	"Math"	9	333
"1969"	"Male"	"Life Sciences"	6	333
"1969"	"Female"	"Agriculture"	0	333
"1969"	"Female"	"Business"	0	333
"1969"	"Female"	"English and Literature"	34	333
"1969"	"Female"	"Art/Architecture"	9	333
"1969"	"Female"	"Physical Sciences"	8	333
"1969"	"Male"	"Humanities, Other"	10	333
"1969"	"Female"	"Math"	8	333
"1969"	"Male"	"History"	19	333
"1969"	"Female"	"Life Sciences"	5	333
"1969"	"Female"	"Anthropology"	0	333
"1969"	"Male"	"Other/Unknown"	0	333
"1969"	"Male"	"English and Literature"	18	333
"1969"	"Male"	"Area and Ethnic Studies"	0	333
"1969"	"Female"	"Foreign Languages"	20	333
"1969"	"Female"	"Political Science and Public Administration"	11	333
"1969"	"Male"	"Anthropology"	0	333
"1969"	"Male"	"Political Science and Public Administration"	20	333
"1969"	"Female"	"Area and Ethnic Studies"	0	333
"1969"	"Male"	"Communication and Library Science"	0	333
"1969"	"Male"	"Art/Architecture"	9	333
"1969"	"Female"	"Computer Science"	0	333
"1969"	"Female"	"Humanities, Other"	3	333
"1969"	"Male"	"Foreign Languages"	6	333
"1969"	"Female"	"Communication and Library Science"	0	333
"1969"	"Male"	"Economics"	39	333
"1969"	"Male"	"Agriculture"	0	333
"1969"	"Male"	"Computer Science"	0	333
"1969"	"Male"	"Psychology"	12	333
"1969"	"Female"	"Sociology"	18	333
"1969"	"Female"	"Religion"	0	333
"1969"	"Male"	"Business"	18	333
"1969"	"Female"	"Economics"	11	333
"1969"	"Male"	"Physical Sciences"	11	333
"1969"	"Male"	"Social Sciences, Other"	0	333
"1969"	"Male"	"Sociology"	11	333
"1969"	"Female"	"Psychology"	9	333
"1969"	"Female"	"Social Sciences, Other"	0	333
"1969"	"Male"	"Religion"	0	333
"1970"	"Male"	"Computer Science"	0	324
"1970"	"Male"	"Religion"	0	324
"1970"	"Female"	"Computer Science"	0	324
"1970"	"Male"	"Psychology"	16	324
"1970"	"Female"	"Sociology"	17	324
"1970"	"Female"	"Art/Architecture"	14	324
"1970"	"Female"	"Business"	2	324
"1970"	"Female"	"Social Sciences, Other"	0	324
"1970"	"Male"	"Business"	17	324
"1970"	"Female"	"Economics"	11	324
"1970"	"Male"	"Foreign Languages"	6	324
"1970"	"Male"	"Art/Architecture"	6	324
"1970"	"Female"	"Psychology"	12	324
"1970"	"Male"	"Social Sciences, Other"	0	324
"1970"	"Female"	"Communication and Library Science"	0	324
"1970"	"Female"	"Political Science and Public Administration"	14	324
"1970"	"Female"	"History"	6	324
"1970"	"Male"	"Anthropology"	0	324
"1970"	"Female"	"Foreign Languages"	22	324
"1970"	"Male"	"Communication and Library Science"	0	324
"1970"	"Female"	"English and Literature"	42	324
"1970"	"Male"	"Political Science and Public Administration"	13	324
"1970"	"Male"	"History"	14	324
"1970"	"Female"	"Religion"	0	324
"1970"	"Male"	"Sociology"	7	324
"1970"	"Female"	"Life Sciences"	9	324
"1970"	"Female"	"Agriculture"	0	324
"1970"	"Male"	"Area and Ethnic Studies"	1	324
"1970"	"Male"	"Math"	4	324
"1970"	"Male"	"Economics"	22	324
"1970"	"Female"	"Other/Unknown"	0	324
"1970"	"Male"	"Life Sciences"	5	324
"1970"	"Male"	"Agriculture"	0	324
"1970"	"Female"	"Humanities, Other"	3	324
"1970"	"Female"	"Math"	9	324
"1970"	"Male"	"English and Literature"	26	324
"1970"	"Female"	"Area and Ethnic Studies"	1	324
"1970"	"Male"	"Physical Sciences"	8	324
"1970"	"Male"	"Humanities, Other"	13	324
"1970"	"Male"	"Other/Unknown"	0	324
"1970"	"Female"	"Anthropology"	0	324
"1970"	"Female"	"Physical Sciences"	4	324
"1971"	"Female"	"History"	11	370
"1971"	"Male"	"Communication and Library Science"	0	370
"1971"	"Female"	"Business"	1	370
"1971"	"Male"	"Business"	21	370
"1971"	"Male"	"Foreign Languages"	7	370
