"year"	"gender"	"field"	"count"
"1966"	"Female"	"Anthropology"	0
"1967"	"Female"	"Anthropology"	0
"1968"	"Female"	"Anthropology"	0
"1969"	"Female"	"Anthropology"	0
"1970"	"Female"	"Anthropology"	0
"1971"	"Female"	"Anthropology"	0
"1972"	"Female"	"Anthropology"	0
"1973"	"Female"	"Anthropology"	0
"1974"	"Female"	"Anthropology"	0
"1975"	"Female"	"Anthropology"	0
"1976"	"Female"	"Anthropology"	0
"1977"	"Female"	"Anthropology"	0
"1978"	"Female"	"Anthropology"	0
"1979"	"Female"	"Anthropology"	1
"1980"	"Female"	"Anthropology"	0
"1981"	"Female"	"Anthropology"	0
"1982"	"Female"	"Anthropology"	0
"1983"	"Female"	"Anthropology"	0
"1984"	"Female"	"Anthropology"	0
"1985"	"Female"	"Anthropology"	0
"1986"	"Female"	"Anthropology"	0
"1987"	"Female"	"Anthropology"	0
"1988"	"Female"	"Anthropology"	0
"1989"	"Female"	"Anthropology"	0
"1990"	"Female"	"Anthropology"	0
"1991"	"Female"	"Anthropology"	0
"1992"	"Female"	"Anthropology"	0
"1993"	"Female"	"Anthropology"	0
"1994"	"Female"	"Anthropology"	0
"1995"	"Female"	"Anthropology"	0
"1996"	"Female"	"Anthropology"	0
"1997"	"Female"	"Anthropology"	0
"1998"	"Female"	"Anthropology"	0
"1999"	"Female"	"Anthropology"	0
"2000"	"Female"	"Anthropology"	0
"2001"	"Female"	"Anthropology"	0
"2002"	"Female"	"Anthropology"	0
"2003"	"Female"	"Anthropology"	0
"2004"	"Female"	"Anthropology"	0
"2005"	"Female"	"Anthropology"	0
"2006"	"Female"	"Anthropology"	0
"2007"	"Female"	"Anthropology"	0
"2008"	"Female"	"Anthropology"	0
"2009"	"Female"	"Anthropology"	0
"2010"	"Female"	"Anthropology"	0
"2011"	"Female"	"Anthropology"	0
"1966"	"Male"	"Anthropology"	0
"1967"	"Male"	"Anthropology"	0
"1968"	"Male"	"Anthropology"	0
"1969"	"Male"	"Anthropology"	0
"1970"	"Male"	"Anthropology"	0
"1971"	"Male"	"Anthropology"	0
"1972"	"Male"	"Anthropology"	0
"1973"	"Male"	"Anthropology"	0
"1974"	"Male"	"Anthropology"	0
"1975"	"Male"	"Anthropology"	0
"1976"	"Male"	"Anthropology"	0
"1977"	"Male"	"Anthropology"	0
"1978"	"Male"	"Anthropology"	0
"1979"	"Male"	"Anthropology"	0
"1980"	"Male"	"Anthropology"	0
"1981"	"Male"	"Anthropology"	0
"1982"	"Male"	"Anthropology"	0
"1983"	"Male"	"Anthropology"	0
"1984"	"Male"	"Anthropology"	0
"1985"	"Male"	"Anthropology"	0
"1986"	"Male"	"Anthropology"	0
"1987"	"Male"	"Anthropology"	0
"1988"	"Male"	"Anthropology"	0
"1989"	"Male"	"Anthropology"	0
"1990"	"Male"	"Anthropology"	0
"1991"	"Male"	"Anthropology"	0
"1992"	"Male"	"Anthropology"	0
"1993"	"Male"	"Anthropology"	0
"1994"	"Male"	"Anthropology"	0
"1995"	"Male"	"Anthropology"	0
"1996"	"Male"	"Anthropology"	0
"1997"	"Male"	"Anthropology"	0
