"year"	"gender"	"field"	"count"	"total"
"1966"	"Female"	"Ball State University"	1786	15634
"1966"	"Male"	"University of Rhode Island"	3414	15634
"1966"	"Gender"	"University of Maine"	0	15634
"1966"	"Gender"	"Northeastern University"	0	15634
"1966"	"Male"	"Holy Cross College"	0	15634
"1966"	"Gender"	"University of Michigan at Ann Arbor"	0	15634
"1966"	"Gender"	"Ball State University"	0	15634
"1966"	"Female"	"University of California-Berkeley"	1312	15634
"1966"	"Gender"	"Stanford University"	0	15634
"1966"	"Gender"	"University of Rhode Island"	0	15634
"1966"	"Female"	"Northeastern University"	0	15634
"1966"	"Male"	"University of Michigan at Ann Arbor"	0	15634
"1966"	"Female"	"University of Michigan at Ann Arbor"	0	15634
"1966"	"Male"	"Ball State University"	1786	15634
"1966"	"Male"	"Stanford University"	1305	15634
"1966"	"Gender"	"Emerson College"	0	15634
"1966"	"Female"	"University of Rhode Island"	3414	15634
"1966"	"Female"	"Emerson College"	0	15634
"1966"	"Male"	"University of California-Berkeley"	1312	15634
"1966"	"Female"	"Richard Stockton College of New Jersey"	0	15634
"1966"	"Gender"	"Richard Stockton College of New Jersey"	0	15634
"1966"	"Male"	"Northeastern University"	0	15634
"1966"	"Male"	"University of Maine"	0	15634
"1966"	"Female"	"Stanford University"	1305	15634
"1966"	"Female"	"University of Maine"	0	15634
"1966"	"Gender"	"University of California-Berkeley"	0	15634
"1966"	"Male"	"Emerson College"	0	15634
"1966"	"Gender"	"Holy Cross College"	0	15634
"1966"	"Female"	"Holy Cross College"	0	15634
"1966"	"Male"	"Richard Stockton College of New Jersey"	0	15634
"1967"	"Male"	"Stanford University"	1305	19740
"1967"	"Gender"	"University of Maine"	0	19740
"1967"	"Gender"	"University of Michigan at Ann Arbor"	0	19740
"1967"	"Female"	"Richard Stockton College of New Jersey"	0	19740
"1967"	"Gender"	"Ball State University"	0	19740
"1967"	"Gender"	"Stanford University"	0	19740
"1967"	"Male"	"University of California-Berkeley"	1312	19740
"1967"	"Female"	"Northeastern University"	0	19740
"1967"	"Female"	"University of Michigan at Ann Arbor"	0	19740
"1967"	"Gender"	"University of California-Berkeley"	0	19740
"1967"	"Gender"	"University of Rhode Island"	0	19740
"1967"	"Female"	"Ball State University"	1786	19740
"1967"	"Male"	"University of Rhode Island"	3414	19740
"1967"	"Female"	"University of Rhode Island"	3414	19740
"1967"	"Male"	"Holy Cross College"	0	19740
"1967"	"Female"	"Stanford University"	1305	19740
"1967"	"Female"	"Emerson College"	0	19740
"1967"	"Gender"	"Emerson College"	0	19740
"1967"	"Male"	"Northeastern University"	0	19740
"1967"	"Male"	"University of Maine"	2053	19740
"1967"	"Female"	"Holy Cross College"	0	19740
"1967"	"Gender"	"Holy Cross College"	0	19740
"1967"	"Male"	"Richard Stockton College of New Jersey"	0	19740
"1967"	"Male"	"Ball State University"	1786	19740
"1967"	"Male"	"Emerson College"	0	19740
"1967"	"Gender"	"Northeastern University"	0	19740
"1967"	"Gender"	"Richard Stockton College of New Jersey"	0	19740
"1967"	"Female"	"University of California-Berkeley"	1312	19740
"1967"	"Female"	"University of Maine"	2053	19740
"1967"	"Male"	"University of Michigan at Ann Arbor"	0	19740
"1968"	"Gender"	"University of Michigan at Ann Arbor"	0	15634
"1968"	"Male"	"University of Rhode Island"	3414	15634
"1968"	"Female"	"Emerson College"	0	15634
"1968"	"Male"	"University of California-Berkeley"	1312	15634
"1968"	"Male"	"Northeastern University"	0	15634
"1968"	"Gender"	"University of Rhode Island"	0	15634
"1968"	"Male"	"Holy Cross College"	0	15634
"1968"	"Gender"	"University of California-Berkeley"	0	15634
"1968"	"Male"	"Ball State University"	1786	15634
"1968"	"Male"	"Stanford University"	1305	15634
"1968"	"Gender"	"Stanford University"	0	15634
"1968"	"Female"	"University of Rhode Island"	3414	15634
"1968"	"Gender"	"Northeastern University"	0	15634
"1968"	"Female"	"Stanford University"	1305	15634
"1968"	"Female"	"University of Michigan at Ann Arbor"	0	15634
"1968"	"Female"	"University of California-Berkeley"	1312	15634
"1968"	"Female"	"Holy Cross College"	0	15634
"1968"	"Male"	"University of Maine"	0	15634
"1968"	"Male"	"University of Michigan at Ann Arbor"	0	15634
"1968"	"Female"	"University of Maine"	0	15634
"1968"	"Male"	"Richard Stockton College of New Jersey"	0	15634
"1968"	"Male"	"Emerson College"	0	15634
"1968"	"Female"	"Ball State University"	1786	15634
"1968"	"Female"	"Richard Stockton College of New Jersey"	0	15634
"1968"	"Gender"	"University of Maine"	0	15634
"1968"	"Gender"	"Richard Stockton College of New Jersey"	0	15634
"1968"	"Gender"	"Ball State University"	0	15634
"1968"	"Gender"	"Emerson College"	0	15634
"1968"	"Female"	"Northeastern University"	0	15634
"1968"	"Gender"	"Holy Cross College"	0	15634
"1969"	"Male"	"Holy Cross College"	0	15634
"1969"	"Female"	"Stanford University"	1305	15634
"1969"	"Gender"	"Stanford University"	0	15634
"1969"	"Male"	"University of Maine"	0	15634
"1969"	"Female"	"University of Michigan at Ann Arbor"	0	15634
"1969"	"Gender"	"University of California-Berkeley"	0	15634
"1969"	"Male"	"Ball State University"	1786	15634
"1969"	"Female"	"Northeastern University"	0	15634
"1969"	"Female"	"University of Rhode Island"	3414	15634
"1969"	"Gender"	"Northeastern University"	0	15634
"1969"	"Female"	"Emerson College"	0	15634
"1969"	"Male"	"Stanford University"	1305	15634
"1969"	"Gender"	"Ball State University"	0	15634
"1969"	"Female"	"University of California-Berkeley"	1312	15634
"1969"	"Male"	"Northeastern University"	0	15634
"1969"	"Gender"	"University of Michigan at Ann Arbor"	0	15634
"1969"	"Gender"	"Emerson College"	0	15634
"1969"	"Male"	"University of Michigan at Ann Arbor"	0	15634
"1969"	"Male"	"Richard Stockton College of New Jersey"	0	15634
"1969"	"Female"	"Ball State University"	1786	15634
"1969"	"Female"	"Richard Stockton College of New Jersey"	0	15634
"1969"	"Gender"	"University of Maine"	0	15634
"1969"	"Male"	"Emerson College"	0	15634
"1969"	"Female"	"Holy Cross College"	0	15634
"1969"	"Male"	"University of California-Berkeley"	1312	15634
"1969"	"Gender"	"Holy Cross College"	0	15634
"1969"	"Gender"	"Richard Stockton College of New Jersey"	0	15634
"1969"	"Gender"	"University of Rhode Island"	0	15634
"1969"	"Female"	"University of Maine"	0	15634
"1969"	"Male"	"University of Rhode Island"	3414	15634
"1970"	"Female"	"University of Rhode Island"	3414	40269
"1970"	"Gender"	"University of Michigan at Ann Arbor"	0	40269
"1970"	"Male"	"University of Michigan at Ann Arbor"	9092	40269
"1970"	"Female"	"University of Michigan at Ann Arbor"	9092	40269
"1970"	"Gender"	"University of Rhode Island"	0	40269
"1970"	"Male"	"University of Rhode Island"	3414	40269
"1970"	"Female"	"Ball State University"	1786	40269
"1970"	"Gender"	"University of Maine"	0	40269
"1970"	"Gender"	"Ball State University"	0	40269
"1970"	"Gender"	"Northeastern University"	0	40269
"1970"	"Male"	"Holy Cross College"	0	40269
"1970"	"Male"	"University of California-Berkeley"	1312	40269
"1970"	"Female"	"Northeastern University"	2199	40269
"1970"	"Male"	"University of Maine"	2053	40269
"1970"	"Gender"	"Stanford University"	0	40269
"1970"	"Female"	"Emerson College"	0	40269
"1970"	"Male"	"Stanford University"	1305	40269
"1970"	"Female"	"University of Maine"	0	40269
"1970"	"Male"	"Ball State University"	1786	40269
"1970"	"Male"	"Northeastern University"	2199	40269
"1970"	"Female"	"Stanford University"	1305	40269
"1970"	"Gender"	"Emerson College"	0	40269
"1970"	"Male"	"Emerson College"	0	40269
"1970"	"Gender"	"University of California-Berkeley"	0	40269
"1970"	"Female"	"Holy Cross College"	0	40269
"1970"	"Female"	"Richard Stockton College of New Jersey"	0	40269
"1970"	"Female"	"University of California-Berkeley"	1312	40269
"1970"	"Gender"	"Richard Stockton College of New Jersey"	0	40269
"1970"	"Male"	"Richard Stockton College of New Jersey"	0	40269
"1970"	"Gender"	"Holy Cross College"	0	40269
"1971"	"Male"	"Stanford University"	1305	42322
"1971"	"Gender"	"Stanford University"	0	42322
"1971"	"Gender"	"University of Maine"	0	42322
"1971"	"Male"	"University of California-Berkeley"	1312	42322
"1971"	"Female"	"Northeastern University"	2199	42322
"1971"	"Male"	"Ball State University"	1786	42322
"1971"	"Male"	"Northeastern University"	2199	42322
"1971"	"Male"	"Holy Cross College"	0	42322
"1971"	"Female"	"Richard Stockton College of New Jersey"	0	42322
"1971"	"Gender"	"Holy Cross College"	0	42322
"1971"	"Gender"	"University of California-Berkeley"	0	42322
"1971"	"Female"	"Holy Cross College"	0	42322
"1971"	"Female"	"Stanford University"	1305	42322
"1971"	"Gender"	"Emerson College"	0	42322
"1971"	"Male"	"Emerson College"	0	42322
"1971"	"Male"	"Richard Stockton College of New Jersey"	0	42322
"1971"	"Gender"	"University of Rhode Island"	0	42322
"1971"	"Female"	"Ball State University"	1786	42322
"1971"	"Gender"	"Richard Stockton College of New Jersey"	0	42322
"1971"	"Female"	"University of Rhode Island"	3414	42322
"1971"	"Female"	"Emerson College"	0	42322
"1971"	"Gender"	"University of Michigan at Ann Arbor"	0	42322
"1971"	"Gender"	"Ball State University"	0	42322
"1971"	"Male"	"University of Maine"	2053	42322
"1971"	"Gender"	"Northeastern University"	0	42322
"1971"	"Male"	"University of Michigan at Ann Arbor"	9092	42322
"1971"	"Female"	"University of Michigan at Ann Arbor"	9092	42322
"1971"	"Female"	"University of California-Berkeley"	1312	42322
"1971"	"Male"	"University of Rhode Island"	3414	42322
