"year"	"gender"	"field"	"count"	"total"
"1967"	"Female"	"Ball State University"	0	2624
"1967"	"Female"	"Harvard University"	0	2624
"1967"	"Female"	"University of California-Berkeley"	1312	2624
"1967"	"Female"	"University of Rhode Island"	0	2624
"1967"	"Female"	"Tufts University"	0	2624
"1967"	"Gender"	"Ball State University"	0	2624
"1967"	"Gender"	"Richard Stockton College of New Jersey"	0	2624
"1967"	"Gender"	"University of California-Berkeley"	0	2624
"1967"	"Gender"	"University of Rhode Island"	0	2624
"1967"	"Gender"	"Northeastern University"	0	2624
"1967"	"Male"	"Harvard University"	0	2624
"1967"	"Male"	"Richard Stockton College of New Jersey"	0	2624
"1967"	"Male"	"University of Rhode Island"	0	2624
"1967"	"Male"	"University of Maine"	0	2624
"1967"	"Female"	"Brandeis University"	0	2624
"1967"	"Female"	"Holy Cross College"	0	2624
"1967"	"Female"	"University of Maine"	0	2624
"1967"	"Female"	"Stanford University"	0	2624
"1967"	"Male"	"University of Michigan at Ann Arbor"	0	2624
"1967"	"Gender"	"Brandeis University"	0	2624
"1967"	"Gender"	"Stanford University"	0	2624
"1967"	"Gender"	"University of Maine"	0	2624
"1967"	"Female"	"Northeastern University"	0	2624
"1967"	"Male"	"University of California-Berkeley"	1312	2624
"1967"	"Male"	"Holy Cross College"	0	2624
"1967"	"Male"	"Stanford University"	0	2624
"1967"	"Gender"	"University of Michigan at Ann Arbor"	0	2624
"1967"	"Gender"	"Holy Cross College"	0	2624
"1967"	"Female"	"George Mason University"	0	2624
"1967"	"Female"	"University of Michigan at Ann Arbor"	0	2624
"1967"	"Male"	"Tufts University"	0	2624
"1967"	"Male"	"Brandeis University"	0	2624
"1967"	"Male"	"George Mason University"	0	2624
"1967"	"Gender"	"Tufts University"	0	2624
"1967"	"Female"	"Richard Stockton College of New Jersey"	0	2624
"1967"	"Gender"	"George Mason University"	0	2624
"1967"	"Male"	"Northeastern University"	0	2624
"1967"	"Gender"	"Harvard University"	0	2624
"1967"	"Male"	"Ball State University"	0	2624
"1968"	"Gender"	"Northeastern University"	0	4823
"1968"	"Male"	"University of Maine"	0	4823
"1968"	"Female"	"Northeastern University"	0	4823
"1968"	"Female"	"Ball State University"	0	4823
"1968"	"Female"	"Stanford University"	0	4823
"1968"	"Gender"	"Holy Cross College"	0	4823
"1968"	"Gender"	"Tufts University"	0	4823
"1968"	"Female"	"Tufts University"	0	4823
"1968"	"Gender"	"University of Maine"	0	4823
"1968"	"Male"	"University of Michigan at Ann Arbor"	0	4823
"1968"	"Male"	"University of California-Berkeley"	1312	4823
"1968"	"Gender"	"University of Rhode Island"	0	4823
"1968"	"Female"	"University of Rhode Island"	0	4823
"1968"	"Female"	"University of Michigan at Ann Arbor"	0	4823
"1968"	"Female"	"Richard Stockton College of New Jersey"	0	4823
"1968"	"Male"	"George Mason University"	0	4823
"1968"	"Female"	"Brandeis University"	0	4823
"1968"	"Gender"	"University of Michigan at Ann Arbor"	0	4823
"1968"	"Gender"	"University of California-Berkeley"	0	4823
"1968"	"Male"	"Stanford University"	0	4823
