"year"	"gender"	"field"	"count"
"1966"	"Female"	"Agriculture"	4
"1967"	"Female"	"Agriculture"	7
"1968"	"Female"	"Agriculture"	7
"1969"	"Female"	"Agriculture"	11
"1970"	"Female"	"Agriculture"	16
"1971"	"Female"	"Agriculture"	24
"1972"	"Female"	"Agriculture"	28
"1973"	"Female"	"Agriculture"	48
"1974"	"Female"	"Agriculture"	55
"1975"	"Female"	"Agriculture"	110
"1976"	"Female"	"Agriculture"	89
"1977"	"Female"	"Agriculture"	118
"1978"	"Female"	"Agriculture"	116
"1979"	"Female"	"Agriculture"	108
"1980"	"Female"	"Agriculture"	119
"1981"	"Female"	"Agriculture"	114
"1982"	"Female"	"Agriculture"	117
"1983"	"Female"	"Agriculture"	159
"1984"	"Female"	"Agriculture"	137
"1985"	"Female"	"Agriculture"	188
"1986"	"Female"	"Agriculture"	177
"1987"	"Female"	"Agriculture"	170
"1988"	"Female"	"Agriculture"	160
"1989"	"Female"	"Agriculture"	140
"1990"	"Female"	"Agriculture"	169
"1991"	"Female"	"Agriculture"	154
"1992"	"Female"	"Agriculture"	153
"1993"	"Female"	"Agriculture"	151
"1994"	"Female"	"Agriculture"	140
"1995"	"Female"	"Agriculture"	138
"1996"	"Female"	"Agriculture"	156
"1997"	"Female"	"Agriculture"	145
"1998"	"Female"	"Agriculture"	144
"1999"	"Female"	"Agriculture"	180
"2000"	"Female"	"Agriculture"	203
"2001"	"Female"	"Agriculture"	203
"2002"	"Female"	"Agriculture"	140
"2003"	"Female"	"Agriculture"	194
"2004"	"Female"	"Agriculture"	190
"2005"	"Female"	"Agriculture"	154
"2006"	"Female"	"Agriculture"	157
"2007"	"Female"	"Agriculture"	154
"2008"	"Female"	"Agriculture"	178
"2009"	"Female"	"Agriculture"	155
"2010"	"Female"	"Agriculture"	157
"2011"	"Female"	"Agriculture"	177
"1966"	"Male"	"Agriculture"	139
"1967"	"Male"	"Agriculture"	160
"1968"	"Male"	"Agriculture"	176
"1969"	"Male"	"Agriculture"	173
"1970"	"Male"	"Agriculture"	184
"1971"	"Male"	"Agriculture"	239
"1972"	"Male"	"Agriculture"	202
"1973"	"Male"	"Agriculture"	238
"1974"	"Male"	"Agriculture"	257
"1975"	"Male"	"Agriculture"	240
"1976"	"Male"	"Agriculture"	220
"1977"	"Male"	"Agriculture"	140
"1978"	"Male"	"Agriculture"	166
"1979"	"Male"	"Agriculture"	134
"1980"	"Male"	"Agriculture"	109
"1981"	"Male"	"Agriculture"	109
"1982"	"Male"	"Agriculture"	120
"1983"	"Male"	"Agriculture"	127
"1984"	"Male"	"Agriculture"	128
"1985"	"Male"	"Agriculture"	162
"1986"	"Male"	"Agriculture"	155
"1987"	"Male"	"Agriculture"	138
"1988"	"Male"	"Agriculture"	108
"1989"	"Male"	"Agriculture"	138
"1990"	"Male"	"Agriculture"	140
"1991"	"Male"	"Agriculture"	142
"1992"	"Male"	"Agriculture"	120
"1993"	"Male"	"Agriculture"	114
"1994"	"Male"	"Agriculture"	88
"1995"	"Male"	"Agriculture"	112
"1996"	"Male"	"Agriculture"	90
"1997"	"Male"	"Agriculture"	98
"1998"	"Male"	"Agriculture"	101
"1999"	"Male"	"Agriculture"	141
"2000"	"Male"	"Agriculture"	114
"2001"	"Male"	"Agriculture"	114
"2002"	"Male"	"Agriculture"	73
