"year"	"gender"	"field"	"count"
1966	"Female"	"Agriculture"	0
1967	"Female"	"Agriculture"	0
1968	"Female"	"Agriculture"	0
1969	"Female"	"Agriculture"	0
1970	"Female"	"Agriculture"	0
1971	"Female"	"Agriculture"	0
1972	"Female"	"Agriculture"	0
1973	"Female"	"Agriculture"	0
1974	"Female"	"Agriculture"	0
1975	"Female"	"Agriculture"	0
1976	"Female"	"Agriculture"	0
1977	"Female"	"Agriculture"	0
1978	"Female"	"Agriculture"	0
1979	"Female"	"Agriculture"	0
1980	"Female"	"Agriculture"	1
1981	"Female"	"Agriculture"	0
1982	"Female"	"Agriculture"	0
1983	"Female"	"Agriculture"	0
1984	"Female"	"Agriculture"	0
1985	"Female"	"Agriculture"	0
1986	"Female"	"Agriculture"	0
1987	"Female"	"Agriculture"	1
1988	"Female"	"Agriculture"	2
1989	"Female"	"Agriculture"	0
1990	"Female"	"Agriculture"	0
1991	"Female"	"Agriculture"	2
1992	"Female"	"Agriculture"	1
1993	"Female"	"Agriculture"	3
1994	"Female"	"Agriculture"	5
1995	"Female"	"Agriculture"	14
1996	"Female"	"Agriculture"	28
1997	"Female"	"Agriculture"	20
1998	"Female"	"Agriculture"	26
1999	"Female"	"Agriculture"	11
2000	"Female"	"Agriculture"	13
2001	"Female"	"Agriculture"	18
2002	"Female"	"Agriculture"	19
2003	"Female"	"Agriculture"	29
2004	"Female"	"Agriculture"	40
2005	"Female"	"Agriculture"	37
2006	"Female"	"Agriculture"	48
2007	"Female"	"Agriculture"	38
2008	"Female"	"Agriculture"	61
2009	"Female"	"Agriculture"	42
2010	"Female"	"Agriculture"	60
2011	"Female"	"Agriculture"	86
1966	"Male"	"Agriculture"	3
1967	"Male"	"Agriculture"	5
1968	"Male"	"Agriculture"	0
1969	"Male"	"Agriculture"	3
1970	"Male"	"Agriculture"	0
1971	"Male"	"Agriculture"	3
1972	"Male"	"Agriculture"	2
1973	"Male"	"Agriculture"	0
1974	"Male"	"Agriculture"	1
1975	"Male"	"Agriculture"	3
1976	"Male"	"Agriculture"	0
1977	"Male"	"Agriculture"	1
1978	"Male"	"Agriculture"	9
1979	"Male"	"Agriculture"	0
1980	"Male"	"Agriculture"	0
1981	"Male"	"Agriculture"	2
1982	"Male"	"Agriculture"	2
1983	"Male"	"Agriculture"	0
1984	"Male"	"Agriculture"	3
1985	"Male"	"Agriculture"	2
1986	"Male"	"Agriculture"	1
1987	"Male"	"Agriculture"	3
1988	"Male"	"Agriculture"	1
1989	"Male"	"Agriculture"	2
1990	"Male"	"Agriculture"	2
1991	"Male"	"Agriculture"	4
1992	"Male"	"Agriculture"	3
1993	"Male"	"Agriculture"	5
1994	"Male"	"Agriculture"	10
1995	"Male"	"Agriculture"	16
1996	"Male"	"Agriculture"	18
1997	"Male"	"Agriculture"	18
1998	"Male"	"Agriculture"	15
1999	"Male"	"Agriculture"	7
2000	"Male"	"Agriculture"	11
2001	"Male"	"Agriculture"	8
2002	"Male"	"Agriculture"	10
2003	"Male"	"Agriculture"	18
2004	"Male"	"Agriculture"	17
2005	"Male"	"Agriculture"	32
2006	"Male"	"Agriculture"	28
2007	"Male"	"Agriculture"	22
2008	"Male"	"Agriculture"	29
2009	"Male"	"Agriculture"	34
2010	"Male"	"Agriculture"	38
2011	"Male"	"Agriculture"	48
1966	"Female"	"Anthropology"	10
1967	"Female"	"Anthropology"	13
1968	"Female"	"Anthropology"	14
1969	"Female"	"Anthropology"	36
1970	"Female"	"Anthropology"	43
1971	"Female"	"Anthropology"	72
1972	"Female"	"Anthropology"	55
1973	"Female"	"Anthropology"	66
1974	"Female"	"Anthropology"	60
1975	"Female"	"Anthropology"	61
1976	"Female"	"Anthropology"	47
1977	"Female"	"Anthropology"	56
1978	"Female"	"Anthropology"	48
1979	"Female"	"Anthropology"	47
1980	"Female"	"Anthropology"	27
1981	"Female"	"Anthropology"	33
1982	"Female"	"Anthropology"	25
1983	"Female"	"Anthropology"	28
1984	"Female"	"Anthropology"	27
1985	"Female"	"Anthropology"	29
1986	"Female"	"Anthropology"	22
1987	"Female"	"Anthropology"	26
1988	"Female"	"Anthropology"	34
1989	"Female"	"Anthropology"	25
1990	"Female"	"Anthropology"	39
1991	"Female"	"Anthropology"	43
1992	"Female"	"Anthropology"	55
1993	"Female"	"Anthropology"	57
1994	"Female"	"Anthropology"	69
1995	"Female"	"Anthropology"	59
1996	"Female"	"Anthropology"	61
