"year"	"gender"	"field"	"count"
1966	"Female"	"Agriculture"	2
1967	"Female"	"Agriculture"	1
1968	"Female"	"Agriculture"	3
1969	"Female"	"Agriculture"	1
1970	"Female"	"Agriculture"	0
1971	"Female"	"Agriculture"	2
1972	"Female"	"Agriculture"	4
1973	"Female"	"Agriculture"	4
1974	"Female"	"Agriculture"	15
1975	"Female"	"Agriculture"	17
1976	"Female"	"Agriculture"	19
1977	"Female"	"Agriculture"	29
1978	"Female"	"Agriculture"	27
1979	"Female"	"Agriculture"	48
1980	"Female"	"Agriculture"	42
1981	"Female"	"Agriculture"	42
1982	"Female"	"Agriculture"	50
1983	"Female"	"Agriculture"	47
1984	"Female"	"Agriculture"	43
1985	"Female"	"Agriculture"	46
1986	"Female"	"Agriculture"	33
1987	"Female"	"Agriculture"	32
1988	"Female"	"Agriculture"	23
1989	"Female"	"Agriculture"	28
1990	"Female"	"Agriculture"	19
1991	"Female"	"Agriculture"	30
1992	"Female"	"Agriculture"	75
1993	"Female"	"Agriculture"	75
1994	"Female"	"Agriculture"	82
1995	"Female"	"Agriculture"	114
1996	"Female"	"Agriculture"	147
1997	"Female"	"Agriculture"	156
1998	"Female"	"Agriculture"	138
1999	"Female"	"Agriculture"	145
2000	"Female"	"Agriculture"	96
2001	"Female"	"Agriculture"	106
2002	"Female"	"Agriculture"	130
2003	"Female"	"Agriculture"	111
2004	"Female"	"Agriculture"	104
2005	"Female"	"Agriculture"	87
2006	"Female"	"Agriculture"	98
2007	"Female"	"Agriculture"	121
2008	"Female"	"Agriculture"	115
2009	"Female"	"Agriculture"	108
2010	"Female"	"Agriculture"	139
2011	"Female"	"Agriculture"	152
1966	"Male"	"Agriculture"	46
1967	"Male"	"Agriculture"	54
1968	"Male"	"Agriculture"	63
1969	"Male"	"Agriculture"	93
1970	"Male"	"Agriculture"	117
1971	"Male"	"Agriculture"	206
1972	"Male"	"Agriculture"	178
1973	"Male"	"Agriculture"	201
1974	"Male"	"Agriculture"	185
1975	"Male"	"Agriculture"	198
1976	"Male"	"Agriculture"	155
1977	"Male"	"Agriculture"	162
1978	"Male"	"Agriculture"	145
1979	"Male"	"Agriculture"	147
1980	"Male"	"Agriculture"	141
1981	"Male"	"Agriculture"	155
1982	"Male"	"Agriculture"	103
1983	"Male"	"Agriculture"	169
1984	"Male"	"Agriculture"	134
1985	"Male"	"Agriculture"	145
1986	"Male"	"Agriculture"	102
1987	"Male"	"Agriculture"	94
1988	"Male"	"Agriculture"	128
1989	"Male"	"Agriculture"	92
1990	"Male"	"Agriculture"	92
1991	"Male"	"Agriculture"	90
1992	"Male"	"Agriculture"	142
1993	"Male"	"Agriculture"	178
1994	"Male"	"Agriculture"	165
1995	"Male"	"Agriculture"	191
