"year"	"gender"	"field"	"count"	"total"
"1966"	"Female"	"Agriculture"	2	39720
"1966"	"Male"	"Life Sciences"	1484	39720
"1966"	"Female"	"Foreign Languages"	722	39720
"1966"	"Female"	"Social Service Professions"	17	39720
"1966"	"Female"	"Business"	474	39720
"1966"	"Male"	"Political Science and Public Administration"	982	39720
"1966"	"Male"	"Agriculture"	49	39720
"1966"	"Female"	"Math"	531	39720
"1966"	"Female"	"Education"	8272	39720
"1966"	"Male"	"Social Service Professions"	9	39720
"1966"	"Male"	"Business"	5722	39720
"1966"	"Female"	"Psychology"	462	39720
"1966"	"Female"	"History"	673	39720
"1966"	"Male"	"Math"	1099	39720
"1966"	"Male"	"Education"	2192	39720
"1966"	"Female"	"Sociology"	566	39720
"1966"	"Female"	"Other/Unknown"	16	39720
"1966"	"Male"	"Anthropology"	44	39720
"1966"	"Male"	"History"	1334	39720
"1966"	"Female"	"Social Sciences, Other"	590	39720
"1966"	"Female"	"Religion"	5	39720
"1966"	"Male"	"Communication and Librarianship"	143	39720
"1966"	"Male"	"Other/Unknown"	67	39720
"1966"	"Female"	"Area and Ethnic Studies"	17	39720
"1966"	"Female"	"Vocational Studies and Home Economics"	304	39720
"1966"	"Male"	"Engineering"	2875	39720
"1966"	"Male"	"Religion"	28	39720
"1966"	"Female"	"Computer Science"	8	39720
"1966"	"Female"	"Physical Sciences"	246	39720
"1966"	"Male"	"Humanities, Other"	332	39720
"1966"	"Male"	"Vocational Studies and Home Economics"	6	39720
"1966"	"Female"	"English and Literature"	2077	39720
"1966"	"Male"	"Art/Architecture"	486	39720
"1966"	"Male"	"Physical Sciences"	1156	39720
"1966"	"Female"	"Art/Architecture"	670	39720
"1966"	"Female"	"Life Sciences"	1369	39720
"1966"	"Male"	"Economics"	674	39720
"1966"	"Male"	"Social Sciences, Other"	905	39720
"1966"	"Female"	"Economics"	70	39720
"1966"	"Female"	"Political Science and Public Administration"	229	39720
"1966"	"Male"	"Foreign Languages"	328	39720
"1966"	"Male"	"Psychology"	740	39720
"1966"	"Female"	"Communication and Librarianship"	201	39720
"1966"	"Female"	"Anthropology"	29	39720
"1966"	"Male"	"Sociology"	334	39720
"1966"	"Female"	"Engineering"	28	39720
"1966"	"Male"	"Area and Ethnic Studies"	34	39720
"1966"	"Female"	"Humanities, Other"	51	39720
"1966"	"Male"	"Computer Science"	23	39720
"1966"	"Male"	"English and Literature"	1045	39720
"1967"	"Male"	"Life Sciences"	1473	42843
"1967"	"Male"	"Political Science and Public Administration"	1144	42843
"1967"	"Female"	"Agriculture"	1	42843
"1967"	"Male"	"Social Service Professions"	2	42843
"1967"	"Female"	"Business"	580	42843
"1967"	"Male"	"Math"	1140	42843
"1967"	"Male"	"Education"	2380	42843
"1967"	"Female"	"Education"	8373	42843
"1967"	"Male"	"Anthropology"	47	42843
"1967"	"Female"	"English and Literature"	2221	42843
"1967"	"Male"	"History"	1519	42843
"1967"	"Female"	"History"	839	42843
"1967"	"Male"	"Communication and Librarianship"	156	42843
"1967"	"Male"	"Foreign Languages"	352	42843
"1967"	"Female"	"Life Sciences"	1453	42843
"1967"	"Female"	"Humanities, Other"	74	42843
"1967"	"Male"	"Engineering"	2988	42843
"1967"	"Female"	"Anthropology"	43	42843
"1967"	"Female"	"Computer Science"	5	42843
"1967"	"Female"	"Foreign Languages"	819	42843
"1967"	"Male"	"Humanities, Other"	352	42843
"1967"	"Female"	"Communication and Librarianship"	188	42843
"1967"	"Male"	"Economics"	755	42843
"1967"	"Male"	"Agriculture"	59	42843
"1967"	"Male"	"Computer Science"	32	42843
"1967"	"Female"	"Art/Architecture"	853	42843
"1967"	"Female"	"Religion"	16	42843
"1967"	"Male"	"Business"	6351	42843
"1967"	"Male"	"English and Literature"	1072	42843
"1967"	"Female"	"Economics"	82	42843
"1967"	"Female"	"Vocational Studies and Home Economics"	318	42843
"1967"	"Male"	"Art/Architecture"	625	42843
"1967"	"Male"	"Religion"	13	42843
"1967"	"Female"	"Sociology"	677	42843
"1967"	"Male"	"Area and Ethnic Studies"	28	42843
"1967"	"Female"	"Other/Unknown"	47	42843
"1967"	"Male"	"Vocational Studies and Home Economics"	9	42843
"1967"	"Female"	"Area and Ethnic Studies"	28	42843
"1967"	"Female"	"Math"	563	42843
"1967"	"Male"	"Physical Sciences"	1260	42843
"1967"	"Male"	"Sociology"	388	42843
"1967"	"Female"	"Political Science and Public Administration"	301	42843
"1967"	"Female"	"Psychology"	474	42843
"1967"	"Male"	"Social Sciences, Other"	946	42843
"1967"	"Female"	"Physical Sciences"	257	42843
"1967"	"Female"	"Social Service Professions"	9	42843
"1967"	"Male"	"Psychology"	875	42843
"1967"	"Female"	"Engineering"	43	42843
"1967"	"Female"	"Social Sciences, Other"	530	42843
"1967"	"Male"	"Other/Unknown"	83	42843
"1968"	"Male"	"Political Science and Public Administration"	1255	47133
"1968"	"Male"	"Life Sciences"	1644	47133
"1968"	"Female"	"History"	873	47133
"1968"	"Female"	"Education"	9140	47133
"1968"	"Male"	"History"	1574	47133
"1968"	"Male"	"Humanities, Other"	350	47133
"1968"	"Male"	"Communication and Librarianship"	192	47133
"1968"	"Female"	"Vocational Studies and Home Economics"	401	47133
"1968"	"Male"	"Social Service Professions"	2	47133
"1968"	"Female"	"Computer Science"	10	47133
"1968"	"Male"	"Engineering"	2924	47133
"1968"	"Male"	"Anthropology"	40	47133
"1968"	"Female"	"Agriculture"	3	47133
"1968"	"Female"	"English and Literature"	2547	47133
"1968"	"Female"	"Foreign Languages"	991	47133
"1968"	"Female"	"Art/Architecture"	989	47133
"1968"	"Female"	"Religion"	18	47133
"1968"	"Female"	"Life Sciences"	1483	47133
"1968"	"Female"	"Area and Ethnic Studies"	23	47133
"1968"	"Female"	"Economics"	97	47133
"1968"	"Male"	"Social Sciences, Other"	1026	47133
"1968"	"Male"	"Math"	1160	47133
"1968"	"Male"	"Art/Architecture"	691	47133
"1968"	"Male"	"Education"	2537	47133
"1968"	"Male"	"Area and Ethnic Studies"	32	47133
"1968"	"Female"	"Business"	625	47133
"1968"	"Male"	"Economics"	973	47133
"1968"	"Male"	"Vocational Studies and Home Economics"	11	47133
"1968"	"Male"	"Agriculture"	63	47133
"1968"	"Male"	"Physical Sciences"	1219	47133
"1968"	"Male"	"Foreign Languages"	354	47133
"1968"	"Male"	"Psychology"	925	47133
"1968"	"Male"	"Business"	7045	47133
"1968"	"Female"	"Psychology"	656	47133
"1968"	"Female"	"Anthropology"	42	47133
"1968"	"Male"	"Sociology"	450	47133
"1968"	"Male"	"Religion"	28	47133
"1968"	"Female"	"Sociology"	916	47133
"1968"	"Female"	"Other/Unknown"	58	47133
"1968"	"Female"	"Physical Sciences"	274	47133
"1968"	"Female"	"Social Service Professions"	11	47133
"1968"	"Male"	"Other/Unknown"	107	47133
"1968"	"Female"	"Math"	701	47133
"1968"	"Male"	"Computer Science"	39	47133
"1968"	"Female"	"Communication and Librarianship"	224	47133
"1968"	"Female"	"Political Science and Public Administration"	370	47133
"1968"	"Female"	"Humanities, Other"	83	47133
"1968"	"Male"	"English and Literature"	1178	47133
"1968"	"Female"	"Engineering"	42	47133
"1968"	"Female"	"Social Sciences, Other"	737	47133
"1969"	"Male"	"Life Sciences"	1922	55709
"1969"	"Female"	"Life Sciences"	1768	55709
"1969"	"Female"	"Education"	10646	55709
"1969"	"Male"	"History"	1890	55709
"1969"	"Female"	"English and Literature"	2862	55709
"1969"	"Female"	"History"	1033	55709
"1969"	"Male"	"Engineering"	3488	55709
"1969"	"Female"	"Business"	779	55709
"1969"	"Female"	"Art/Architecture"	1191	55709
"1969"	"Female"	"Humanities, Other"	84	55709
"1969"	"Male"	"English and Literature"	1251	55709
"1969"	"Male"	"Physical Sciences"	1424	55709
"1969"	"Female"	"Agriculture"	1	55709
"1969"	"Female"	"Political Science and Public Administration"	463	55709
"1969"	"Male"	"Art/Architecture"	921	55709
"1969"	"Female"	"Economics"	127	55709
"1969"	"Female"	"Other/Unknown"	118	55709
