"year"	"gender"	"field"	"count"
1966	"Female"	"Agriculture"	0
1967	"Female"	"Agriculture"	0
1968	"Female"	"Agriculture"	0
1969	"Female"	"Agriculture"	0
1970	"Female"	"Agriculture"	0
1971	"Female"	"Agriculture"	0
1972	"Female"	"Agriculture"	0
1973	"Female"	"Agriculture"	0
1974	"Female"	"Agriculture"	0
1975	"Female"	"Agriculture"	0
1976	"Female"	"Agriculture"	0
1977	"Female"	"Agriculture"	0
1978	"Female"	"Agriculture"	0
1979	"Female"	"Agriculture"	2
1980	"Female"	"Agriculture"	0
1981	"Female"	"Agriculture"	2
1982	"Female"	"Agriculture"	0
1983	"Female"	"Agriculture"	0
1984	"Female"	"Agriculture"	0
1985	"Female"	"Agriculture"	0
1986	"Female"	"Agriculture"	0
1987	"Female"	"Agriculture"	0
1988	"Female"	"Agriculture"	0
1989	"Female"	"Agriculture"	0
1990	"Female"	"Agriculture"	0
1991	"Female"	"Agriculture"	0
1992	"Female"	"Agriculture"	3
1993	"Female"	"Agriculture"	2
1994	"Female"	"Agriculture"	3
1995	"Female"	"Agriculture"	12
1996	"Female"	"Agriculture"	14
1997	"Female"	"Agriculture"	32
1998	"Female"	"Agriculture"	32
1999	"Female"	"Agriculture"	27
2000	"Female"	"Agriculture"	22
2001	"Female"	"Agriculture"	112
2002	"Female"	"Agriculture"	39
2003	"Female"	"Agriculture"	36
2004	"Female"	"Agriculture"	56
2005	"Female"	"Agriculture"	50
2006	"Female"	"Agriculture"	51
2007	"Female"	"Agriculture"	50
2008	"Female"	"Agriculture"	41
2009	"Female"	"Agriculture"	67
2010	"Female"	"Agriculture"	69
2011	"Female"	"Agriculture"	78
1966	"Male"	"Agriculture"	4
1967	"Male"	"Agriculture"	1
1968	"Male"	"Agriculture"	4
1969	"Male"	"Agriculture"	3
1970	"Male"	"Agriculture"	1
1971	"Male"	"Agriculture"	1
1972	"Male"	"Agriculture"	6
1973	"Male"	"Agriculture"	5
1974	"Male"	"Agriculture"	2
1975	"Male"	"Agriculture"	3
1976	"Male"	"Agriculture"	1
1977	"Male"	"Agriculture"	5
1978	"Male"	"Agriculture"	1
1979	"Male"	"Agriculture"	6
1980	"Male"	"Agriculture"	7
1981	"Male"	"Agriculture"	8
1982	"Male"	"Agriculture"	0
1983	"Male"	"Agriculture"	2
1984	"Male"	"Agriculture"	0
1985	"Male"	"Agriculture"	0
1986	"Male"	"Agriculture"	0
1987	"Male"	"Agriculture"	0
1988	"Male"	"Agriculture"	0
1989	"Male"	"Agriculture"	2
1990	"Male"	"Agriculture"	0
1991	"Male"	"Agriculture"	1
1992	"Male"	"Agriculture"	3
1993	"Male"	"Agriculture"	0
1994	"Male"	"Agriculture"	3
1995	"Male"	"Agriculture"	10
1996	"Male"	"Agriculture"	14
1997	"Male"	"Agriculture"	16
1998	"Male"	"Agriculture"	20
1999	"Male"	"Agriculture"	24
2000	"Male"	"Agriculture"	16
2001	"Male"	"Agriculture"	55
2002	"Male"	"Agriculture"	33
2003	"Male"	"Agriculture"	21
2004	"Male"	"Agriculture"	22
2005	"Male"	"Agriculture"	34
2006	"Male"	"Agriculture"	20
2007	"Male"	"Agriculture"	28
2008	"Male"	"Agriculture"	34
2009	"Male"	"Agriculture"	44
2010	"Male"	"Agriculture"	54
2011	"Male"	"Agriculture"	60
1966	"Female"	"Anthropology"	0
1967	"Female"	"Anthropology"	0
1968	"Female"	"Anthropology"	0
1969	"Female"	"Anthropology"	0
1970	"Female"	"Anthropology"	0
1971	"Female"	"Anthropology"	5
1972	"Female"	"Anthropology"	9
1973	"Female"	"Anthropology"	17
1974	"Female"	"Anthropology"	13
1975	"Female"	"Anthropology"	18
1976	"Female"	"Anthropology"	16
1977	"Female"	"Anthropology"	18
1978	"Female"	"Anthropology"	22
1979	"Female"	"Anthropology"	20
1980	"Female"	"Anthropology"	18
1981	"Female"	"Anthropology"	24
1982	"Female"	"Anthropology"	17
1983	"Female"	"Anthropology"	15
1984	"Female"	"Anthropology"	12
1985	"Female"	"Anthropology"	19
1986	"Female"	"Anthropology"	16
1987	"Female"	"Anthropology"	12
1988	"Female"	"Anthropology"	17
1989	"Female"	"Anthropology"	14
1990	"Female"	"Anthropology"	20
1991	"Female"	"Anthropology"	19
1992	"Female"	"Anthropology"	28
1993	"Female"	"Anthropology"	28
1994	"Female"	"Anthropology"	29
1995	"Female"	"Anthropology"	39
1996	"Female"	"Anthropology"	35
