"year"	"gender"	"field"	"count"
1966	"Female"	"Agriculture"	7
1967	"Female"	"Agriculture"	10
1968	"Female"	"Agriculture"	26
1969	"Female"	"Agriculture"	27
1970	"Female"	"Agriculture"	35
1971	"Female"	"Agriculture"	34
1972	"Female"	"Agriculture"	56
1973	"Female"	"Agriculture"	68
1974	"Female"	"Agriculture"	85
1975	"Female"	"Agriculture"	143
1976	"Female"	"Agriculture"	215
1977	"Female"	"Agriculture"	235
1978	"Female"	"Agriculture"	273
1979	"Female"	"Agriculture"	284
1980	"Female"	"Agriculture"	370
1981	"Female"	"Agriculture"	376
1982	"Female"	"Agriculture"	350
1983	"Female"	"Agriculture"	361
1984	"Female"	"Agriculture"	295
1985	"Female"	"Agriculture"	261
1986	"Female"	"Agriculture"	234
1987	"Female"	"Agriculture"	201
1988	"Female"	"Agriculture"	208
1989	"Female"	"Agriculture"	216
1990	"Female"	"Agriculture"	207
1991	"Female"	"Agriculture"	219
1992	"Female"	"Agriculture"	287
1993	"Female"	"Agriculture"	290
1994	"Female"	"Agriculture"	323
1995	"Female"	"Agriculture"	340
1996	"Female"	"Agriculture"	394
1997	"Female"	"Agriculture"	482
1998	"Female"	"Agriculture"	521
1999	"Female"	"Agriculture"	538
2000	"Female"	"Agriculture"	544
2001	"Female"	"Agriculture"	515
2002	"Female"	"Agriculture"	489
2003	"Female"	"Agriculture"	602
2004	"Female"	"Agriculture"	538
2005	"Female"	"Agriculture"	469
2006	"Female"	"Agriculture"	513
2007	"Female"	"Agriculture"	494
2008	"Female"	"Agriculture"	495
2009	"Female"	"Agriculture"	514
2010	"Female"	"Agriculture"	544
2011	"Female"	"Agriculture"	585
1966	"Male"	"Agriculture"	493
1967	"Male"	"Agriculture"	543
1968	"Male"	"Agriculture"	558
1969	"Male"	"Agriculture"	637
1970	"Male"	"Agriculture"	670
1971	"Male"	"Agriculture"	669
1972	"Male"	"Agriculture"	739
1973	"Male"	"Agriculture"	812
1974	"Male"	"Agriculture"	925
1975	"Male"	"Agriculture"	979
1976	"Male"	"Agriculture"	976
1977	"Male"	"Agriculture"	923
1978	"Male"	"Agriculture"	949
1979	"Male"	"Agriculture"	933
1980	"Male"	"Agriculture"	958
1981	"Male"	"Agriculture"	820
1982	"Male"	"Agriculture"	751
1983	"Male"	"Agriculture"	709
1984	"Male"	"Agriculture"	596
1985	"Male"	"Agriculture"	522
1986	"Male"	"Agriculture"	463
1987	"Male"	"Agriculture"	408
1988	"Male"	"Agriculture"	492
1989	"Male"	"Agriculture"	480
1990	"Male"	"Agriculture"	449
1991	"Male"	"Agriculture"	495
1992	"Male"	"Agriculture"	553
1993	"Male"	"Agriculture"	572
1994	"Male"	"Agriculture"	544
1995	"Male"	"Agriculture"	598
1996	"Male"	"Agriculture"	735
1997	"Male"	"Agriculture"	716
1998	"Male"	"Agriculture"	759
1999	"Male"	"Agriculture"	675
2000	"Male"	"Agriculture"	711
2001	"Male"	"Agriculture"	585
2002	"Male"	"Agriculture"	620
2003	"Male"	"Agriculture"	623
2004	"Male"	"Agriculture"	518
2005	"Male"	"Agriculture"	496
2006	"Male"	"Agriculture"	465
2007	"Male"	"Agriculture"	458
2008	"Male"	"Agriculture"	494
2009	"Male"	"Agriculture"	479
2010	"Male"	"Agriculture"	476
2011	"Male"	"Agriculture"	587
1966	"Female"	"Anthropology"	13
1967	"Female"	"Anthropology"	27
1968	"Female"	"Anthropology"	26
1969	"Female"	"Anthropology"	46
1970	"Female"	"Anthropology"	57
1971	"Female"	"Anthropology"	75
1972	"Female"	"Anthropology"	104
1973	"Female"	"Anthropology"	90
1974	"Female"	"Anthropology"	135
1975	"Female"	"Anthropology"	130
1976	"Female"	"Anthropology"	153
1977	"Female"	"Anthropology"	130
1978	"Female"	"Anthropology"	132
1979	"Female"	"Anthropology"	121
1980	"Female"	"Anthropology"	122
1981	"Female"	"Anthropology"	115
1982	"Female"	"Anthropology"	77
1983	"Female"	"Anthropology"	114
1984	"Female"	"Anthropology"	88
1985	"Female"	"Anthropology"	82
1986	"Female"	"Anthropology"	90
1987	"Female"	"Anthropology"	74
1988	"Female"	"Anthropology"	87
1989	"Female"	"Anthropology"	78
1990	"Female"	"Anthropology"	101
1991	"Female"	"Anthropology"	124
1992	"Female"	"Anthropology"	164
1993	"Female"	"Anthropology"	155
1994	"Female"	"Anthropology"	180
1995	"Female"	"Anthropology"	169
1996	"Female"	"Anthropology"	197
1997	"Female"	"Anthropology"	219
1998	"Female"	"Anthropology"	255
1999	"Female"	"Anthropology"	243
2000	"Female"	"Anthropology"	244
2001	"Female"	"Anthropology"	259
2002	"Female"	"Anthropology"	245
2003	"Female"	"Anthropology"	276
2004	"Female"	"Anthropology"	311
2005	"Female"	"Anthropology"	281
2006	"Female"	"Anthropology"	320
2007	"Female"	"Anthropology"	334
2008	"Female"	"Anthropology"	370
2009	"Female"	"Anthropology"	370
2010	"Female"	"Anthropology"	390
2011	"Female"	"Anthropology"	417
1966	"Male"	"Anthropology"	26
1967	"Male"	"Anthropology"	40
1968	"Male"	"Anthropology"	47
1969	"Male"	"Anthropology"	40
1970	"Male"	"Anthropology"	73
1971	"Male"	"Anthropology"	78
1972	"Male"	"Anthropology"	93
1973	"Male"	"Anthropology"	114
1974	"Male"	"Anthropology"	154
1975	"Male"	"Anthropology"	146
1976	"Male"	"Anthropology"	117
1977	"Male"	"Anthropology"	100
1978	"Male"	"Anthropology"	96
1979	"Male"	"Anthropology"	93
1980	"Male"	"Anthropology"	90
1981	"Male"	"Anthropology"	56
1982	"Male"	"Anthropology"	61
1983	"Male"	"Anthropology"	47
1984	"Male"	"Anthropology"	67
1985	"Male"	"Anthropology"	50
1986	"Male"	"Anthropology"	55
1987	"Male"	"Anthropology"	57
1988	"Male"	"Anthropology"	55
1989	"Male"	"Anthropology"	56
1990	"Male"	"Anthropology"	90
1991	"Male"	"Anthropology"	69
1992	"Male"	"Anthropology"	80
1993	"Male"	"Anthropology"	86
1994	"Male"	"Anthropology"	99
1995	"Male"	"Anthropology"	109
1996	"Male"	"Anthropology"	128
1997	"Male"	"Anthropology"	127
1998	"Male"	"Anthropology"	138
1999	"Male"	"Anthropology"	146
2000	"Male"	"Anthropology"	133
2001	"Male"	"Anthropology"	145
2002	"Male"	"Anthropology"	133
2003	"Male"	"Anthropology"	154
2004	"Male"	"Anthropology"	150
2005	"Male"	"Anthropology"	151
2006	"Male"	"Anthropology"	150
2007	"Male"	"Anthropology"	167
2008	"Male"	"Anthropology"	159
2009	"Male"	"Anthropology"	189
2010	"Male"	"Anthropology"	168
2011	"Male"	"Anthropology"	206
1966	"Female"	"Area and Ethnic Studies"	1
1967	"Female"	"Area and Ethnic Studies"	3
1968	"Female"	"Area and Ethnic Studies"	3
1969	"Female"	"Area and Ethnic Studies"	4
1970	"Female"	"Area and Ethnic Studies"	18
1971	"Female"	"Area and Ethnic Studies"	45
1972	"Female"	"Area and Ethnic Studies"	57
1973	"Female"	"Area and Ethnic Studies"	56
1974	"Female"	"Area and Ethnic Studies"	53
1975	"Female"	"Area and Ethnic Studies"	83
1976	"Female"	"Area and Ethnic Studies"	65
1977	"Female"	"Area and Ethnic Studies"	56
1978	"Female"	"Area and Ethnic Studies"	59
1979	"Female"	"Area and Ethnic Studies"	56
1980	"Female"	"Area and Ethnic Studies"	51
1981	"Female"	"Area and Ethnic Studies"	54
1982	"Female"	"Area and Ethnic Studies"	48
1983	"Female"	"Area and Ethnic Studies"	58
1984	"Female"	"Area and Ethnic Studies"	53
1985	"Female"	"Area and Ethnic Studies"	55
1986	"Female"	"Area and Ethnic Studies"	52
1987	"Female"	"Area and Ethnic Studies"	32
1988	"Female"	"Area and Ethnic Studies"	35
1989	"Female"	"Area and Ethnic Studies"	45
1990	"Female"	"Area and Ethnic Studies"	63
1991	"Female"	"Area and Ethnic Studies"	75
1992	"Female"	"Area and Ethnic Studies"	85
1993	"Female"	"Area and Ethnic Studies"	77
1994	"Female"	"Area and Ethnic Studies"	77
1995	"Female"	"Area and Ethnic Studies"	63
1996	"Female"	"Area and Ethnic Studies"	55
1997	"Female"	"Area and Ethnic Studies"	78
1998	"Female"	"Area and Ethnic Studies"	63
1999	"Female"	"Area and Ethnic Studies"	74
2000	"Female"	"Area and Ethnic Studies"	73
2001	"Female"	"Area and Ethnic Studies"	72
2002	"Female"	"Area and Ethnic Studies"	75
2003	"Female"	"Area and Ethnic Studies"	76
2004	"Female"	"Area and Ethnic Studies"	101
2005	"Female"	"Area and Ethnic Studies"	81
2006	"Female"	"Area and Ethnic Studies"	74
2007	"Female"	"Area and Ethnic Studies"	102
2008	"Female"	"Area and Ethnic Studies"	88
2009	"Female"	"Area and Ethnic Studies"	58
2010	"Female"	"Area and Ethnic Studies"	71
2011	"Female"	"Area and Ethnic Studies"	87
1966	"Male"	"Area and Ethnic Studies"	3
1967	"Male"	"Area and Ethnic Studies"	4
1968	"Male"	"Area and Ethnic Studies"	8
1969	"Male"	"Area and Ethnic Studies"	6
1970	"Male"	"Area and Ethnic Studies"	23
1971	"Male"	"Area and Ethnic Studies"	32
1972	"Male"	"Area and Ethnic Studies"	53
1973	"Male"	"Area and Ethnic Studies"	51
1974	"Male"	"Area and Ethnic Studies"	57
1975	"Male"	"Area and Ethnic Studies"	63
1976	"Male"	"Area and Ethnic Studies"	64
1977	"Male"	"Area and Ethnic Studies"	49
1978	"Male"	"Area and Ethnic Studies"	42
1979	"Male"	"Area and Ethnic Studies"	43
1980	"Male"	"Area and Ethnic Studies"	30
1981	"Male"	"Area and Ethnic Studies"	28
1982	"Male"	"Area and Ethnic Studies"	20
1983	"Male"	"Area and Ethnic Studies"	24
1984	"Male"	"Area and Ethnic Studies"	24
1985	"Male"	"Area and Ethnic Studies"	25
1986	"Male"	"Area and Ethnic Studies"	20
1987	"Male"	"Area and Ethnic Studies"	24
1988	"Male"	"Area and Ethnic Studies"	28
1989	"Male"	"Area and Ethnic Studies"	37
1990	"Male"	"Area and Ethnic Studies"	37
1991	"Male"	"Area and Ethnic Studies"	34
1992	"Male"	"Area and Ethnic Studies"	35
1993	"Male"	"Area and Ethnic Studies"	53
1994	"Male"	"Area and Ethnic Studies"	36
1995	"Male"	"Area and Ethnic Studies"	51
1996	"Male"	"Area and Ethnic Studies"	42
1997	"Male"	"Area and Ethnic Studies"	43
1998	"Male"	"Area and Ethnic Studies"	37
1999	"Male"	"Area and Ethnic Studies"	48
2000	"Male"	"Area and Ethnic Studies"	49
2001	"Male"	"Area and Ethnic Studies"	42
2002	"Male"	"Area and Ethnic Studies"	36
2003	"Male"	"Area and Ethnic Studies"	37
2004	"Male"	"Area and Ethnic Studies"	41
2005	"Male"	"Area and Ethnic Studies"	54
2006	"Male"	"Area and Ethnic Studies"	52
2007	"Male"	"Area and Ethnic Studies"	37
2008	"Male"	"Area and Ethnic Studies"	38
2009	"Male"	"Area and Ethnic Studies"	49
2010	"Male"	"Area and Ethnic Studies"	53
2011	"Male"	"Area and Ethnic Studies"	62
1966	"Female"	"Art/Architecture"	237
1967	"Female"	"Art/Architecture"	277
1968	"Female"	"Art/Architecture"	339
1969	"Female"	"Art/Architecture"	479
1970	"Female"	"Art/Architecture"	590
1971	"Female"	"Art/Architecture"	498
1972	"Female"	"Art/Architecture"	555
1973	"Female"	"Art/Architecture"	711
1974	"Female"	"Art/Architecture"	774
1975	"Female"	"Art/Architecture"	803
1976	"Female"	"Art/Architecture"	827
1977	"Female"	"Art/Architecture"	972
1978	"Female"	"Art/Architecture"	930
1979	"Female"	"Art/Architecture"	981
1980	"Female"	"Art/Architecture"	938
1981	"Female"	"Art/Architecture"	1098
1982	"Female"	"Art/Architecture"	1053
1983	"Female"	"Art/Architecture"	1061
1984	"Female"	"Art/Architecture"	999
1985	"Female"	"Art/Architecture"	979
1986	"Female"	"Art/Architecture"	1009
1987	"Female"	"Art/Architecture"	927
1988	"Female"	"Art/Architecture"	970
1989	"Female"	"Art/Architecture"	957
1990	"Female"	"Art/Architecture"	1030
1991	"Female"	"Art/Architecture"	1079
1992	"Female"	"Art/Architecture"	1163
1993	"Female"	"Art/Architecture"	1153
1994	"Female"	"Art/Architecture"	1224
1995	"Female"	"Art/Architecture"	1170
1996	"Female"	"Art/Architecture"	1182
1997	"Female"	"Art/Architecture"	1233
1998	"Female"	"Art/Architecture"	1302
1999	"Female"	"Art/Architecture"	1360
2000	"Female"	"Art/Architecture"	1464
2001	"Female"	"Art/Architecture"	1558
2002	"Female"	"Art/Architecture"	1752
2003	"Female"	"Art/Architecture"	1921
2004	"Female"	"Art/Architecture"	2067
2005	"Female"	"Art/Architecture"	2206
2006	"Female"	"Art/Architecture"	2167
2007	"Female"	"Art/Architecture"	2274
2008	"Female"	"Art/Architecture"	2344
2009	"Female"	"Art/Architecture"	2297
2010	"Female"	"Art/Architecture"	2471
2011	"Female"	"Art/Architecture"	2452
1966	"Male"	"Art/Architecture"	341
1967	"Male"	"Art/Architecture"	352
1968	"Male"	"Art/Architecture"	425
1969	"Male"	"Art/Architecture"	566
1970	"Male"	"Art/Architecture"	655
1971	"Male"	"Art/Architecture"	517
1972	"Male"	"Art/Architecture"	650
1973	"Male"	"Art/Architecture"	818
1974	"Male"	"Art/Architecture"	829
1975	"Male"	"Art/Architecture"	821
1976	"Male"	"Art/Architecture"	883
1977	"Male"	"Art/Architecture"	919
1978	"Male"	"Art/Architecture"	918
1979	"Male"	"Art/Architecture"	978
1980	"Male"	"Art/Architecture"	871
1981	"Male"	"Art/Architecture"	1009
1982	"Male"	"Art/Architecture"	938
1983	"Male"	"Art/Architecture"	789
1984	"Male"	"Art/Architecture"	753
1985	"Male"	"Art/Architecture"	854
1986	"Male"	"Art/Architecture"	819
1987	"Male"	"Art/Architecture"	779
1988	"Male"	"Art/Architecture"	757
1989	"Male"	"Art/Architecture"	795
1990	"Male"	"Art/Architecture"	810
1991	"Male"	"Art/Architecture"	867
1992	"Male"	"Art/Architecture"	911
1993	"Male"	"Art/Architecture"	970
1994	"Male"	"Art/Architecture"	1014
1995	"Male"	"Art/Architecture"	1047
1996	"Male"	"Art/Architecture"	1070
1997	"Male"	"Art/Architecture"	1066
1998	"Male"	"Art/Architecture"	1044
1999	"Male"	"Art/Architecture"	1132
2000	"Male"	"Art/Architecture"	1191
2001	"Male"	"Art/Architecture"	1300
2002	"Male"	"Art/Architecture"	1386
2003	"Male"	"Art/Architecture"	1514
2004	"Male"	"Art/Architecture"	1474
2005	"Male"	"Art/Architecture"	1744
2006	"Male"	"Art/Architecture"	1729
2007	"Male"	"Art/Architecture"	1776
2008	"Male"	"Art/Architecture"	1883
2009	"Male"	"Art/Architecture"	1931
2010	"Male"	"Art/Architecture"	1983
2011	"Male"	"Art/Architecture"	2020
1966	"Female"	"Business"	352
1967	"Female"	"Business"	436
1968	"Female"	"Business"	580
1969	"Female"	"Business"	684
1970	"Female"	"Business"	730
1971	"Female"	"Business"	829
1972	"Female"	"Business"	858
1973	"Female"	"Business"	1005
1974	"Female"	"Business"	1268
1975	"Female"	"Business"	1568
1976	"Female"	"Business"	1832
1977	"Female"	"Business"	2171
1978	"Female"	"Business"	2599
1979	"Female"	"Business"	3160
1980	"Female"	"Business"	3481
1981	"Female"	"Business"	4207
