"year"	"gender"	"field"	"count"	"total"
"1966"	"Female"	"Agriculture"	7	31490
"1966"	"Male"	"Life Sciences"	1356	31490
"1966"	"Female"	"Foreign Languages"	603	31490
"1966"	"Female"	"Social Service Professions"	82	31490
"1966"	"Female"	"Business"	478	31490
"1966"	"Male"	"Political Science and Public Administration"	696	31490
"1966"	"Male"	"Agriculture"	497	31490
"1966"	"Female"	"Math"	330	31490
"1966"	"Female"	"Education"	4144	31490
"1966"	"Male"	"Social Service Professions"	24	31490
"1966"	"Male"	"Business"	4520	31490
"1966"	"Female"	"Psychology"	418	31490
"1966"	"Female"	"History"	460	31490
"1966"	"Male"	"Math"	783	31490
"1966"	"Male"	"Education"	1721	31490
"1966"	"Female"	"Sociology"	505	31490
"1966"	"Female"	"Other/Unknown"	185	31490
"1966"	"Male"	"Anthropology"	35	31490
"1966"	"Male"	"History"	1034	31490
"1966"	"Female"	"Social Sciences, Other"	490	31490
"1966"	"Female"	"Religion"	0	31490
"1966"	"Male"	"Communication and Librarianship"	125	31490
"1966"	"Male"	"Other/Unknown"	277	31490
"1966"	"Female"	"Area and Ethnic Studies"	2	31490
"1966"	"Female"	"Vocational Studies and Home Economics"	348	31490
"1966"	"Male"	"Engineering"	3649	31490
"1966"	"Male"	"Religion"	14	31490
"1966"	"Female"	"Computer Science"	0	31490
"1966"	"Female"	"Physical Sciences"	187	31490
"1966"	"Male"	"Humanities, Other"	262	31490
"1966"	"Male"	"Vocational Studies and Home Economics"	24	31490
"1966"	"Female"	"English and Literature"	1179	31490
"1966"	"Male"	"Art/Architecture"	539	31490
"1966"	"Male"	"Physical Sciences"	1057	31490
"1966"	"Female"	"Art/Architecture"	444	31490
"1966"	"Female"	"Life Sciences"	1296	31490
"1966"	"Male"	"Economics"	589	31490
"1966"	"Male"	"Social Sciences, Other"	765	31490
"1966"	"Female"	"Economics"	40	31490
"1966"	"Female"	"Political Science and Public Administration"	137	31490
"1966"	"Male"	"Foreign Languages"	353	31490
"1966"	"Male"	"Psychology"	604	31490
"1966"	"Female"	"Communication and Librarianship"	61	31490
"1966"	"Female"	"Anthropology"	13	31490
"1966"	"Male"	"Sociology"	361	31490
"1966"	"Female"	"Engineering"	41	31490
"1966"	"Male"	"Area and Ethnic Studies"	5	31490
"1966"	"Female"	"Humanities, Other"	56	31490
"1966"	"Male"	"Computer Science"	0	31490
"1966"	"Male"	"English and Literature"	694	31490
"1967"	"Male"	"Life Sciences"	1341	33356
"1967"	"Male"	"Political Science and Public Administration"	759	33356
"1967"	"Female"	"Agriculture"	10	33356
"1967"	"Male"	"Social Service Professions"	44	33356
"1967"	"Female"	"Business"	576	33356
"1967"	"Male"	"Math"	856	33356
"1967"	"Male"	"Education"	1561	33356
"1967"	"Female"	"Education"	4384	33356
"1967"	"Male"	"Anthropology"	48	33356
"1967"	"Female"	"English and Literature"	1251	33356
"1967"	"Male"	"History"	1092	33356
"1967"	"Female"	"History"	441	33356
"1967"	"Male"	"Communication and Librarianship"	128	33356
"1967"	"Male"	"Foreign Languages"	310	33356
"1967"	"Female"	"Life Sciences"	1308	33356
"1967"	"Female"	"Humanities, Other"	40	33356
"1967"	"Male"	"Engineering"	3678	33356
"1967"	"Female"	"Anthropology"	27	33356
"1967"	"Female"	"Computer Science"	0	33356
"1967"	"Female"	"Foreign Languages"	561	33356
"1967"	"Male"	"Humanities, Other"	273	33356
"1967"	"Female"	"Communication and Librarianship"	91	33356
"1967"	"Male"	"Economics"	714	33356
"1967"	"Male"	"Agriculture"	544	33356
"1967"	"Male"	"Computer Science"	0	33356
"1967"	"Female"	"Art/Architecture"	464	33356
"1967"	"Female"	"Religion"	0	33356
"1967"	"Male"	"Business"	4900	33356
"1967"	"Male"	"English and Literature"	799	33356
"1967"	"Female"	"Economics"	34	33356
"1967"	"Female"	"Vocational Studies and Home Economics"	384	33356
"1967"	"Male"	"Art/Architecture"	502	33356
"1967"	"Male"	"Religion"	19	33356
"1967"	"Female"	"Sociology"	550	33356
"1967"	"Male"	"Area and Ethnic Studies"	7	33356
"1967"	"Female"	"Other/Unknown"	212	33356
"1967"	"Male"	"Vocational Studies and Home Economics"	8	33356
"1967"	"Female"	"Area and Ethnic Studies"	4	33356
"1967"	"Female"	"Math"	337	33356
"1967"	"Male"	"Physical Sciences"	1236	33356
"1967"	"Male"	"Sociology"	389	33356
"1967"	"Female"	"Political Science and Public Administration"	141	33356
"1967"	"Female"	"Psychology"	414	33356
"1967"	"Male"	"Social Sciences, Other"	942	33356
"1967"	"Female"	"Physical Sciences"	280	33356
"1967"	"Female"	"Social Service Professions"	103	33356
"1967"	"Male"	"Psychology"	643	33356
