"year"	"gender"	"field"	"count"	"total"
"1966"	"Female"	"George Mason University"	0	14388
"1966"	"Male"	"University of California-Berkeley"	1312	14388
"1966"	"Gender"	"University of Michigan at Ann Arbor"	0	14388
"1966"	"Gender"	"Stanford University"	0	14388
"1966"	"Male"	"Princeton University"	2627	14388
"1966"	"Gender"	"University of Rhode Island"	0	14388
"1966"	"Gender"	"George Mason University"	0	14388
"1966"	"Female"	"University of Maine"	0	14388
"1966"	"Gender"	"University of California-Berkeley"	0	14388
"1966"	"Male"	"University of Michigan at Ann Arbor"	0	14388
"1966"	"Female"	"Stanford University"	0	14388
"1966"	"Male"	"University of Rhode Island"	3414	14388
"1966"	"Female"	"University of Rhode Island"	0	14388
"1966"	"Male"	"George Mason University"	0	14388
"1966"	"Female"	"Tufts University"	0	14388
"1966"	"Gender"	"Northeastern University"	0	14388
"1966"	"Male"	"Northeastern University"	2199	14388
"1966"	"Female"	"Northeastern University"	0	14388
"1966"	"Male"	"University of Maine"	0	14388
"1966"	"Gender"	"Princeton University"	0	14388
"1966"	"Gender"	"Tufts University"	0	14388
"1966"	"Male"	"Stanford University"	1305	14388
"1966"	"Female"	"Princeton University"	0	14388
"1966"	"Female"	"University of California-Berkeley"	1312	14388
"1966"	"Female"	"University of Michigan at Ann Arbor"	0	14388
"1966"	"Gender"	"University of Maine"	0	14388
"1966"	"Male"	"Tufts University"	2219	14388
"1967"	"Male"	"University of California-Berkeley"	1312	16441
"1967"	"Female"	"Tufts University"	0	16441
"1967"	"Gender"	"University of Michigan at Ann Arbor"	0	16441
"1967"	"Gender"	"University of California-Berkeley"	0	16441
"1967"	"Gender"	"University of Rhode Island"	0	16441
"1967"	"Male"	"University of Maine"	2053	16441
"1967"	"Gender"	"George Mason University"	0	16441
"1967"	"Female"	"University of Rhode Island"	0	16441
"1967"	"Male"	"Stanford University"	1305	16441
"1967"	"Male"	"University of Michigan at Ann Arbor"	0	16441
"1967"	"Female"	"Stanford University"	0	16441
"1967"	"Male"	"Northeastern University"	2199	16441
"1967"	"Gender"	"University of Maine"	0	16441
"1967"	"Female"	"George Mason University"	0	16441
"1967"	"Gender"	"Princeton University"	0	16441
"1967"	"Female"	"Northeastern University"	0	16441
"1967"	"Gender"	"Northeastern University"	0	16441
"1967"	"Male"	"Princeton University"	2627	16441
"1967"	"Female"	"University of California-Berkeley"	1312	16441
"1967"	"Gender"	"Tufts University"	0	16441
"1967"	"Female"	"Princeton University"	0	16441
"1967"	"Male"	"George Mason University"	0	16441
"1967"	"Female"	"University of Michigan at Ann Arbor"	0	16441
"1967"	"Male"	"Tufts University"	2219	16441
"1967"	"Gender"	"Stanford University"	0	16441
"1967"	"Female"	"University of Maine"	0	16441
"1967"	"Male"	"University of Rhode Island"	3414	16441
"1968"	"Male"	"University of California-Berkeley"	1312	14388
"1968"	"Gender"	"University of Rhode Island"	0	14388
"1968"	"Female"	"George Mason University"	0	14388
"1968"	"Male"	"George Mason University"	0	14388
"1968"	"Female"	"Tufts University"	0	14388
"1968"	"Male"	"Princeton University"	2627	14388
"1968"	"Female"	"Northeastern University"	0	14388
"1968"	"Male"	"University of Maine"	0	14388
"1968"	"Gender"	"University of California-Berkeley"	0	14388
"1968"	"Male"	"Stanford University"	1305	14388
"1968"	"Male"	"University of Michigan at Ann Arbor"	0	14388
"1968"	"Female"	"Princeton University"	0	14388
"1968"	"Female"	"University of Rhode Island"	0	14388
"1968"	"Gender"	"University of Maine"	0	14388
"1968"	"Gender"	"Stanford University"	0	14388
"1968"	"Gender"	"Princeton University"	0	14388
"1968"	"Female"	"University of Maine"	0	14388
"1968"	"Male"	"Northeastern University"	2199	14388
"1968"	"Male"	"Tufts University"	2219	14388
"1968"	"Female"	"University of California-Berkeley"	1312	14388
"1968"	"Male"	"University of Rhode Island"	3414	14388
"1968"	"Gender"	"Tufts University"	0	14388
"1968"	"Gender"	"University of Michigan at Ann Arbor"	0	14388
"1968"	"Gender"	"Northeastern University"	0	14388
"1968"	"Female"	"University of Michigan at Ann Arbor"	0	14388
"1968"	"Gender"	"George Mason University"	0	14388
"1968"	"Female"	"Stanford University"	0	14388
"1969"	"Female"	"Tufts University"	0	19994
"1969"	"Gender"	"University of California-Berkeley"	0	19994
"1969"	"Female"	"George Mason University"	0	19994
"1969"	"Gender"	"Princeton University"	0	19994
"1969"	"Gender"	"University of Maine"	0	19994
"1969"	"Male"	"Princeton University"	2627	19994
"1969"	"Female"	"University of California-Berkeley"	0	19994
"1969"	"Female"	"University of Rhode Island"	3414	19994
"1969"	"Male"	"Northeastern University"	2199	19994
"1969"	"Female"	"Princeton University"	0	19994
"1969"	"Male"	"University of Michigan at Ann Arbor"	0	19994
"1969"	"Gender"	"Tufts University"	0	19994
"1969"	"Gender"	"George Mason University"	0	19994
"1969"	"Male"	"Tufts University"	2219	19994
"1969"	"Male"	"George Mason University"	0	19994
"1969"	"Female"	"Northeastern University"	2199	19994
"1969"	"Female"	"Stanford University"	1305	19994
"1969"	"Gender"	"University of Michigan at Ann Arbor"	0	19994
"1969"	"Gender"	"Stanford University"	0	19994
"1969"	"Male"	"Stanford University"	1305	19994
"1969"	"Male"	"University of California-Berkeley"	1312	19994
"1969"	"Gender"	"Northeastern University"	0	19994
"1969"	"Female"	"University of Maine"	0	19994
"1969"	"Female"	"University of Michigan at Ann Arbor"	0	19994
"1969"	"Gender"	"University of Rhode Island"	0	19994
"1969"	"Male"	"University of Maine"	0	19994
"1969"	"Male"	"University of Rhode Island"	3414	19994
"1970"	"Female"	"University of Rhode Island"	0	27732
"1970"	"Gender"	"University of Maine"	0	27732
"1970"	"Gender"	"University of Rhode Island"	0	27732
"1970"	"Male"	"Tufts University"	2219	27732
"1970"	"Male"	"University of Rhode Island"	3414	27732
"1970"	"Female"	"Tufts University"	0	27732
"1970"	"Female"	"Stanford University"	0	27732
"1970"	"Male"	"University of Maine"	2053	27732
"1970"	"Male"	"George Mason University"	0	27732
"1970"	"Male"	"Princeton University"	2627	27732
"1970"	"Female"	"University of California-Berkeley"	1312	27732
"1970"	"Gender"	"Tufts University"	0	27732
"1970"	"Gender"	"Stanford University"	0	27732
"1970"	"Female"	"University of Michigan at Ann Arbor"	0	27732
"1970"	"Female"	"George Mason University"	0	27732
"1970"	"Gender"	"Northeastern University"	0	27732
"1970"	"Gender"	"George Mason University"	0	27732
"1970"	"Male"	"Northeastern University"	2199	27732
"1970"	"Female"	"Northeastern University"	2199	27732
"1970"	"Gender"	"University of Michigan at Ann Arbor"	0	27732
"1970"	"Male"	"University of California-Berkeley"	1312	27732
"1970"	"Male"	"University of Michigan at Ann Arbor"	9092	27732
"1970"	"Gender"	"University of California-Berkeley"	0	27732
"1970"	"Male"	"Stanford University"	1305	27732
"1970"	"Female"	"Princeton University"	0	27732
"1970"	"Gender"	"Princeton University"	0	27732
"1970"	"Female"	"University of Maine"	0	27732
"1971"	"Male"	"Princeton University"	2627	39043
"1971"	"Female"	"Stanford University"	0	39043
"1971"	"Male"	"Tufts University"	2219	39043
"1971"	"Female"	"University of Michigan at Ann Arbor"	9092	39043
"1971"	"Gender"	"University of California-Berkeley"	0	39043
"1971"	"Gender"	"University of Michigan at Ann Arbor"	0	39043
"1971"	"Gender"	"Northeastern University"	0	39043
"1971"	"Male"	"University of Rhode Island"	3414	39043
"1971"	"Male"	"George Mason University"	0	39043
"1971"	"Gender"	"University of Maine"	0	39043
"1971"	"Male"	"University of California-Berkeley"	1312	39043
"1971"	"Male"	"University of Maine"	2053	39043
"1971"	"Male"	"Northeastern University"	2199	39043
"1971"	"Female"	"Northeastern University"	2199	39043
"1971"	"Female"	"University of California-Berkeley"	1312	39043
"1971"	"Female"	"Tufts University"	2219	39043
"1971"	"Gender"	"Princeton University"	0	39043
"1971"	"Male"	"Stanford University"	1305	39043
"1971"	"Gender"	"Stanford University"	0	39043
"1971"	"Gender"	"University of Rhode Island"	0	39043
"1971"	"Female"	"George Mason University"	0	39043
"1971"	"Female"	"University of Rhode Island"	0	39043
"1971"	"Female"	"Princeton University"	0	39043
"1971"	"Male"	"University of Michigan at Ann Arbor"	9092	39043
"1971"	"Female"	"University of Maine"	0	39043
"1971"	"Gender"	"Tufts University"	0	39043
"1971"	"Gender"	"George Mason University"	0	39043
"1972"	"Gender"	"University of Maine"	0	41543
"1972"	"Gender"	"Northeastern University"	0	41543
"1972"	"Male"	"University of Maine"	2053	41543
"1972"	"Female"	"University of Michigan at Ann Arbor"	9092	41543
"1972"	"Female"	"Princeton University"	0	41543
"1972"	"Male"	"Princeton University"	2627	41543
"1972"	"Gender"	"University of Michigan at Ann Arbor"	0	41543
"1972"	"Male"	"University of Rhode Island"	3414	41543
"1972"	"Female"	"University of Rhode Island"	3414	41543
"1972"	"Gender"	"University of California-Berkeley"	0	41543
"1972"	"Gender"	"University of Rhode Island"	0	41543
"1972"	"Male"	"University of California-Berkeley"	1312	41543
"1972"	"Male"	"Northeastern University"	2199	41543
"1972"	"Female"	"Northeastern University"	2199	41543
"1972"	"Male"	"Stanford University"	1305	41543
"1972"	"Female"	"George Mason University"	0	41543
"1972"	"Female"	"Tufts University"	0	41543
"1972"	"Male"	"University of Michigan at Ann Arbor"	9092	41543
"1972"	"Male"	"George Mason University"	0	41543
"1972"	"Gender"	"Stanford University"	0	41543
"1972"	"Female"	"University of California-Berkeley"	1312	41543
"1972"	"Female"	"Stanford University"	1305	41543
"1972"	"Female"	"University of Maine"	0	41543
"1972"	"Male"	"Tufts University"	2219	41543
"1972"	"Gender"	"George Mason University"	0	41543
"1972"	"Gender"	"Princeton University"	0	41543
"1972"	"Gender"	"Tufts University"	0	41543
"1973"	"Gender"	"University of Maine"	0	36824
"1973"	"Gender"	"Northeastern University"	0	36824
"1973"	"Male"	"University of Maine"	2053	36824
"1973"	"Male"	"Northeastern University"	2199	36824
"1973"	"Female"	"University of Michigan at Ann Arbor"	9092	36824
"1973"	"Gender"	"University of California-Berkeley"	0	36824
"1973"	"Male"	"Stanford University"	1305	36824
"1973"	"Male"	"University of Rhode Island"	3414	36824
"1973"	"Female"	"Princeton University"	0	36824
"1973"	"Male"	"George Mason University"	0	36824
"1973"	"Female"	"Northeastern University"	2199	36824
"1973"	"Female"	"Tufts University"	0	36824
"1973"	"Gender"	"University of Michigan at Ann Arbor"	0	36824
"1973"	"Gender"	"Tufts University"	0	36824
"1973"	"Male"	"University of Michigan at Ann Arbor"	9092	36824
"1973"	"Female"	"George Mason University"	0	36824
"1973"	"Gender"	"Princeton University"	0	36824
"1973"	"Female"	"Stanford University"	0	36824
"1973"	"Female"	"University of Rhode Island"	0	36824
"1973"	"Gender"	"Stanford University"	0	36824
"1973"	"Male"	"Princeton University"	2627	36824
"1973"	"Male"	"University of California-Berkeley"	1312	36824
"1973"	"Gender"	"George Mason University"	0	36824
"1973"	"Female"	"University of Maine"	0	36824
"1973"	"Male"	"Tufts University"	2219	36824
"1973"	"Female"	"University of California-Berkeley"	1312	36824
"1973"	"Gender"	"University of Rhode Island"	0	36824
"1974"	"Gender"	"University of Maine"	0	40182
"1974"	"Gender"	"University of Michigan at Ann Arbor"	0	40182
"1974"	"Male"	"University of Michigan at Ann Arbor"	9092	40182
"1974"	"Male"	"University of Rhode Island"	3414	40182
"1974"	"Female"	"University of Michigan at Ann Arbor"	9092	40182
"1974"	"Female"	"University of Rhode Island"	0	40182
"1974"	"Male"	"University of Maine"	2053	40182
"1974"	"Female"	"Tufts University"	0	40182
"1974"	"Female"	"Princeton University"	0	40182
"1974"	"Male"	"George Mason University"	0	40182
"1974"	"Male"	"Stanford University"	1305	40182
"1974"	"Gender"	"University of Rhode Island"	0	40182
"1974"	"Gender"	"George Mason University"	0	40182
"1974"	"Gender"	"Tufts University"	0	40182
"1974"	"Male"	"Princeton University"	2627	40182
"1974"	"Female"	"Stanford University"	1305	40182
"1974"	"Male"	"Tufts University"	2219	40182
"1974"	"Gender"	"University of California-Berkeley"	0	40182
"1974"	"Female"	"University of California-Berkeley"	1312	40182
"1974"	"Female"	"George Mason University"	0	40182
"1974"	"Gender"	"Princeton University"	0	40182
"1974"	"Gender"	"Stanford University"	0	40182
"1974"	"Male"	"Northeastern University"	2199	40182
"1974"	"Female"	"Northeastern University"	2199	40182
"1974"	"Gender"	"Northeastern University"	0	40182
"1974"	"Female"	"University of Maine"	2053	40182
"1974"	"Male"	"University of California-Berkeley"	1312	40182
"1975"	"Female"	"University of Michigan at Ann Arbor"	9092	43762
"1975"	"Male"	"Princeton University"	2627	43762
"1975"	"Male"	"Tufts University"	2219	43762
"1975"	"Male"	"University of Rhode Island"	3414	43762
"1975"	"Gender"	"University of California-Berkeley"	0	43762
"1975"	"Female"	"Tufts University"	2219	43762
"1975"	"Gender"	"Northeastern University"	0	43762
"1975"	"Female"	"Stanford University"	1305	43762
"1975"	"Male"	"Northeastern University"	2199	43762
"1975"	"Female"	"Northeastern University"	2199	43762
"1975"	"Female"	"George Mason University"	0	43762
"1975"	"Male"	"Stanford University"	1305	43762
"1975"	"Female"	"University of Maine"	0	43762
"1975"	"Gender"	"Tufts University"	0	43762
"1975"	"Female"	"University of California-Berkeley"	1312	43762
"1975"	"Female"	"University of Rhode Island"	3414	43762
