"year"	"gender"	"field"	"count"	"total"
"1966"	"Female"	"Area and Ethnic Studies"	0	156
"1966"	"Male"	"Social Sciences, Other"	0	156
"1966"	"Female"	"Political Science and Public Administration"	0	156
"1966"	"Female"	"Engineering"	0	156
"1966"	"Female"	"Education"	46	156
"1966"	"Male"	"Psychology"	1	156
"1966"	"Male"	"Area and Ethnic Studies"	0	156
"1966"	"Female"	"Life Sciences"	0	156
"1966"	"Female"	"History"	0	156
"1966"	"Female"	"Social Sciences, Other"	1	156
"1966"	"Male"	"Education"	5	156
"1966"	"Female"	"Religion"	0	156
"1966"	"Female"	"Psychology"	0	156
"1966"	"Female"	"Art/Architecture"	26	156
"1966"	"Male"	"History"	3	156
"1966"	"Female"	"Business"	0	156
"1966"	"Male"	"Religion"	0	156
"1966"	"Male"	"Art/Architecture"	21	156
"1966"	"Female"	"Other/Unknown"	2	156
"1966"	"Female"	"English and Literature"	12	156
"1966"	"Male"	"English and Literature"	7	156
"1966"	"Male"	"Engineering"	0	156
"1966"	"Male"	"Political Science and Public Administration"	0	156
"1966"	"Male"	"Foreign Languages"	0	156
"1966"	"Male"	"Other/Unknown"	31	156
"1966"	"Male"	"Life Sciences"	0	156
"1966"	"Male"	"Business"	0	156
"1966"	"Male"	"Communication and Librarianship"	0	156
"1966"	"Female"	"Communication and Librarianship"	0	156
"1966"	"Female"	"Foreign Languages"	1	156
"1967"	"Male"	"History"	2	134
"1967"	"Female"	"Political Science and Public Administration"	0	134
"1967"	"Male"	"Psychology"	0	134
"1967"	"Female"	"English and Literature"	0	134
"1967"	"Male"	"Area and Ethnic Studies"	0	134
"1967"	"Female"	"History"	2	134
"1967"	"Female"	"Other/Unknown"	2	134
"1967"	"Male"	"Education"	7	134
"1967"	"Female"	"Psychology"	4	134
"1967"	"Male"	"Life Sciences"	0	134
"1967"	"Female"	"Social Sciences, Other"	1	134
"1967"	"Female"	"Area and Ethnic Studies"	0	134
"1967"	"Male"	"Social Sciences, Other"	0	134
"1967"	"Male"	"Religion"	0	134
"1967"	"Female"	"Education"	38	134
"1967"	"Male"	"Foreign Languages"	0	134
"1967"	"Male"	"Art/Architecture"	21	134
"1967"	"Female"	"Business"	0	134
