"year"	"gender"	"field"	"count"	"total"
"1966"	"Female"	"Ball State University"	0	9027
"1966"	"Male"	"University of California-Berkeley"	0	9027
"1966"	"Gender"	"University of Michigan at Ann Arbor"	0	9027
"1966"	"Gender"	"Richard Stockton College of New Jersey"	0	9027
"1966"	"Male"	"Northeastern University"	2199	9027
"1966"	"Gender"	"University of Rhode Island"	0	9027
"1966"	"Gender"	"Ball State University"	0	9027
"1966"	"Female"	"University of Maine"	0	9027
"1966"	"Gender"	"University of California-Berkeley"	0	9027
"1966"	"Male"	"University of Michigan at Ann Arbor"	0	9027
"1966"	"Female"	"Richard Stockton College of New Jersey"	0	9027
"1966"	"Male"	"University of Rhode Island"	3414	9027
"1966"	"Female"	"University of Rhode Island"	3414	9027
"1966"	"Male"	"Ball State University"	0	9027
"1966"	"Female"	"Tufts University"	0	9027
"1966"	"Gender"	"Emerson College"	0	9027
"1966"	"Male"	"Emerson College"	0	9027
"1966"	"Female"	"Emerson College"	0	9027
"1966"	"Male"	"University of Maine"	0	9027
"1966"	"Gender"	"Northeastern University"	0	9027
"1966"	"Gender"	"Tufts University"	0	9027
"1966"	"Male"	"Richard Stockton College of New Jersey"	0	9027
"1966"	"Female"	"Northeastern University"	0	9027
"1966"	"Female"	"University of California-Berkeley"	0	9027
"1966"	"Female"	"University of Michigan at Ann Arbor"	0	9027
"1966"	"Gender"	"University of Maine"	0	9027
"1966"	"Male"	"Tufts University"	0	9027
"1967"	"Male"	"University of California-Berkeley"	0	11226
"1967"	"Female"	"Tufts University"	0	11226
"1967"	"Gender"	"University of Michigan at Ann Arbor"	0	11226
"1967"	"Gender"	"University of California-Berkeley"	0	11226
"1967"	"Gender"	"University of Rhode Island"	0	11226
"1967"	"Male"	"University of Maine"	0	11226
"1967"	"Gender"	"Ball State University"	0	11226
"1967"	"Female"	"University of Rhode Island"	3414	11226
"1967"	"Male"	"Richard Stockton College of New Jersey"	0	11226
"1967"	"Male"	"University of Michigan at Ann Arbor"	0	11226
"1967"	"Female"	"Richard Stockton College of New Jersey"	0	11226
"1967"	"Male"	"Emerson College"	0	11226
"1967"	"Gender"	"University of Maine"	0	11226
"1967"	"Female"	"Ball State University"	0	11226
"1967"	"Gender"	"Northeastern University"	0	11226
"1967"	"Female"	"Emerson College"	0	11226
"1967"	"Gender"	"Emerson College"	0	11226
