"year"	"gender"	"field"	"count"	"total"
"1966"	"Female"	"Agriculture"	0	1073
"1966"	"Male"	"Life Sciences"	0	1073
"1966"	"Female"	"Foreign Languages"	0	1073
"1966"	"Female"	"Vocational Studies and Home Economics"	0	1073
"1966"	"Female"	"Business"	0	1073
"1966"	"Male"	"Political Science and Public Administration"	0	1073
"1966"	"Male"	"Agriculture"	0	1073
"1966"	"Female"	"Math"	2	1073
"1966"	"Female"	"Education"	0	1073
"1966"	"Male"	"Vocational Studies and Home Economics"	0	1073
"1966"	"Male"	"Business"	0	1073
"1966"	"Female"	"Psychology"	0	1073
"1966"	"Female"	"History"	0	1073
"1966"	"Male"	"Math"	40	1073
"1966"	"Male"	"Education"	0	1073
"1966"	"Female"	"Physical Sciences"	5	1073
"1966"	"Female"	"Other/Unknown"	0	1073
"1966"	"Male"	"Anthropology"	0	1073
"1966"	"Male"	"History"	0	1073
"1966"	"Female"	"Social Service Professions"	0	1073
"1966"	"Female"	"Social Sciences, Other"	0	1073
"1966"	"Male"	"Communication and Librarianship"	0	1073
"1966"	"Male"	"Other/Unknown"	0	1073
"1966"	"Female"	"Area and Ethnic Studies"	0	1073
"1966"	"Female"	"Humanities, Other"	0	1073
"1966"	"Male"	"Engineering"	864	1073
"1966"	"Male"	"Social Sciences, Other"	0	1073
"1966"	"Female"	"Computer Science"	0	1073
"1966"	"Male"	"Art/Architecture"	33	1073
"1966"	"Male"	"Humanities, Other"	0	1073
"1966"	"Female"	"Communication and Librarianship"	0	1073
"1966"	"Female"	"English and Literature"	0	1073
"1966"	"Male"	"Economics"	0	1073
"1966"	"Male"	"Physical Sciences"	78	1073
"1966"	"Female"	"Art/Architecture"	48	1073
"1966"	"Female"	"Life Sciences"	0	1073
"1966"	"Male"	"Foreign Languages"	0	1073
"1966"	"Male"	"Social Service Professions"	0	1073
"1966"	"Female"	"Economics"	0	1073
"1966"	"Female"	"Political Science and Public Administration"	0	1073
"1966"	"Female"	"Anthropology"	0	1073
"1966"	"Male"	"Psychology"	0	1073
"1966"	"Male"	"Area and Ethnic Studies"	0	1073
"1966"	"Male"	"Computer Science"	0	1073
"1966"	"Female"	"Engineering"	3	1073
"1966"	"Male"	"English and Literature"	0	1073
"1967"	"Male"	"Life Sciences"	6	1335
"1967"	"Female"	"Agriculture"	0	1335
"1967"	"Male"	"Political Science and Public Administration"	0	1335
"1967"	"Male"	"Education"	0	1335
"1967"	"Female"	"Business"	0	1335
"1967"	"Male"	"Vocational Studies and Home Economics"	0	1335
"1967"	"Male"	"History"	0	1335
"1967"	"Female"	"Education"	0	1335
"1967"	"Male"	"Math"	34	1335
"1967"	"Female"	"Computer Science"	0	1335
"1967"	"Female"	"Life Sciences"	5	1335
"1967"	"Female"	"History"	0	1335
"1967"	"Male"	"Anthropology"	0	1335
"1967"	"Female"	"English and Literature"	0	1335
"1967"	"Male"	"Humanities, Other"	0	1335
"1967"	"Female"	"Engineering"	5	1335
"1967"	"Male"	"Communication and Librarianship"	0	1335
"1967"	"Male"	"Foreign Languages"	0	1335
"1967"	"Male"	"Business"	1	1335
"1967"	"Female"	"Humanities, Other"	0	1335
"1967"	"Male"	"Engineering"	1104	1335
"1967"	"Female"	"Anthropology"	0	1335
"1967"	"Male"	"Art/Architecture"	43	1335
"1967"	"Female"	"Foreign Languages"	0	1335
"1967"	"Male"	"Area and Ethnic Studies"	0	1335
"1967"	"Female"	"Communication and Librarianship"	0	1335
"1967"	"Male"	"Economics"	0	1335
"1967"	"Male"	"Agriculture"	0	1335
"1967"	"Male"	"Computer Science"	0	1335
"1967"	"Female"	"Art/Architecture"	36	1335
"1967"	"Female"	"Social Sciences, Other"	0	1335
"1967"	"Female"	"Area and Ethnic Studies"	0	1335
"1967"	"Male"	"English and Literature"	0	1335
"1967"	"Female"	"Economics"	0	1335
"1967"	"Male"	"Social Service Professions"	0	1335
"1967"	"Female"	"Other/Unknown"	0	1335
"1967"	"Male"	"Social Sciences, Other"	0	1335
"1967"	"Male"	"Other/Unknown"	0	1335
"1967"	"Female"	"Physical Sciences"	5	1335
"1967"	"Male"	"Physical Sciences"	92	1335
"1967"	"Female"	"Vocational Studies and Home Economics"	0	1335
"1967"	"Female"	"Political Science and Public Administration"	0	1335
"1967"	"Female"	"Math"	4	1335
"1967"	"Female"	"Social Service Professions"	0	1335
"1967"	"Male"	"Psychology"	0	1335
"1967"	"Female"	"Psychology"	0	1335
"1968"	"Female"	"Education"	0	1378
"1968"	"Male"	"Math"	48	1378
"1968"	"Female"	"History"	0	1378
"1968"	"Male"	"Life Sciences"	10	1378
"1968"	"Male"	"Education"	0	1378
"1968"	"Male"	"Engineering"	1104	1378
"1968"	"Male"	"Anthropology"	0	1378
"1968"	"Male"	"Political Science and Public Administration"	0	1378
"1968"	"Male"	"History"	0	1378
"1968"	"Male"	"Humanities, Other"	0	1378
"1968"	"Male"	"Communication and Librarianship"	0	1378
"1968"	"Female"	"Social Sciences, Other"	0	1378
"1968"	"Male"	"Vocational Studies and Home Economics"	0	1378
"1968"	"Female"	"Area and Ethnic Studies"	0	1378
"1968"	"Female"	"Economics"	0	1378
"1968"	"Male"	"Social Service Professions"	0	1378
"1968"	"Female"	"Agriculture"	0	1378
"1968"	"Female"	"Computer Science"	0	1378
"1968"	"Female"	"Foreign Languages"	0	1378
"1968"	"Male"	"Area and Ethnic Studies"	0	1378
"1968"	"Female"	"Business"	0	1378
"1968"	"Female"	"English and Literature"	0	1378
"1968"	"Female"	"Vocational Studies and Home Economics"	0	1378
"1968"	"Female"	"Art/Architecture"	47	1378
"1968"	"Male"	"Physical Sciences"	114	1378
"1968"	"Female"	"Life Sciences"	8	1378
"1968"	"Male"	"Art/Architecture"	36	1378
"1968"	"Female"	"Humanities, Other"	0	1378
"1968"	"Female"	"Psychology"	0	1378
"1968"	"Female"	"Anthropology"	0	1378
"1968"	"Male"	"Economics"	0	1378
"1968"	"Male"	"Social Sciences, Other"	0	1378
"1968"	"Male"	"Agriculture"	0	1378
"1968"	"Female"	"Other/Unknown"	0	1378
"1968"	"Male"	"Foreign Languages"	0	1378
"1968"	"Male"	"Psychology"	0	1378
"1968"	"Male"	"Business"	3	1378
"1968"	"Female"	"Math"	2	1378
"1968"	"Female"	"Physical Sciences"	4	1378
"1968"	"Female"	"Social Service Professions"	0	1378
"1968"	"Female"	"Political Science and Public Administration"	0	1378
"1968"	"Male"	"English and Literature"	0	1378
"1968"	"Female"	"Engineering"	2	1378
"1968"	"Male"	"Computer Science"	0	1378
"1968"	"Female"	"Communication and Librarianship"	0	1378
"1968"	"Male"	"Other/Unknown"	0	1378
"1969"	"Female"	"Life Sciences"	10	1630
"1969"	"Male"	"History"	1	1630
"1969"	"Male"	"Life Sciences"	12	1630
"1969"	"Male"	"Education"	0	1630
"1969"	"Female"	"History"	0	1630
"1969"	"Female"	"Education"	0	1630
"1969"	"Female"	"Business"	0	1630
"1969"	"Male"	"Anthropology"	0	1630
"1969"	"Female"	"Humanities, Other"	0	1630
"1969"	"Female"	"Anthropology"	0	1630
"1969"	"Male"	"Communication and Librarianship"	0	1630
"1969"	"Female"	"Agriculture"	0	1630
"1969"	"Female"	"Computer Science"	0	1630
"1969"	"Female"	"Area and Ethnic Studies"	0	1630
"1969"	"Male"	"Engineering"	1336	1630
"1969"	"Female"	"Other/Unknown"	0	1630
"1969"	"Female"	"English and Literature"	0	1630
"1969"	"Male"	"Humanities, Other"	0	1630
"1969"	"Female"	"Engineering"	2	1630
"1969"	"Male"	"Physical Sciences"	111	1630
"1969"	"Female"	"Art/Architecture"	23	1630
"1969"	"Male"	"Other/Unknown"	0	1630
"1969"	"Male"	"English and Literature"	0	1630
"1969"	"Female"	"Economics"	0	1630
"1969"	"Male"	"Math"	52	1630
"1969"	"Female"	"Political Science and Public Administration"	0	1630
