"year"	"gender"	"field"	"count"
"1966"	"Female"	"Art/Architecture"	0
"1967"	"Female"	"Art/Architecture"	0
"1968"	"Female"	"Art/Architecture"	0
"1969"	"Female"	"Art/Architecture"	0
"1970"	"Female"	"Art/Architecture"	0
"1971"	"Female"	"Art/Architecture"	0
"1972"	"Female"	"Art/Architecture"	0
"1973"	"Female"	"Art/Architecture"	0
"1974"	"Female"	"Art/Architecture"	0
"1975"	"Female"	"Art/Architecture"	0
"1976"	"Female"	"Art/Architecture"	0
"1977"	"Female"	"Art/Architecture"	0
"1978"	"Female"	"Art/Architecture"	0
"1979"	"Female"	"Art/Architecture"	0
"1980"	"Female"	"Art/Architecture"	0
"1981"	"Female"	"Art/Architecture"	0
"1982"	"Female"	"Art/Architecture"	0
"1983"	"Female"	"Art/Architecture"	0
"1984"	"Female"	"Art/Architecture"	0
"1985"	"Female"	"Art/Architecture"	0
"1986"	"Female"	"Art/Architecture"	0
"1987"	"Female"	"Art/Architecture"	0
"1988"	"Female"	"Art/Architecture"	0
"1989"	"Female"	"Art/Architecture"	0
"1990"	"Female"	"Art/Architecture"	0
"1991"	"Female"	"Art/Architecture"	0
"1992"	"Female"	"Art/Architecture"	0
"1993"	"Female"	"Art/Architecture"	0
"1994"	"Female"	"Art/Architecture"	0
"1995"	"Female"	"Art/Architecture"	0
"1996"	"Female"	"Art/Architecture"	0
"1997"	"Female"	"Art/Architecture"	0
"1998"	"Female"	"Art/Architecture"	1
"1999"	"Female"	"Art/Architecture"	0
"2000"	"Female"	"Art/Architecture"	1
"2001"	"Female"	"Art/Architecture"	1
"2002"	"Female"	"Art/Architecture"	0
"2003"	"Female"	"Art/Architecture"	4
"2004"	"Female"	"Art/Architecture"	3
"2005"	"Female"	"Art/Architecture"	25
"2006"	"Female"	"Art/Architecture"	30
"2007"	"Female"	"Art/Architecture"	46
"2008"	"Female"	"Art/Architecture"	33
"2009"	"Female"	"Art/Architecture"	30
"2010"	"Female"	"Art/Architecture"	39
"2011"	"Female"	"Art/Architecture"	42
"1966"	"Male"	"Art/Architecture"	0
"1967"	"Male"	"Art/Architecture"	0
"1968"	"Male"	"Art/Architecture"	0
"1969"	"Male"	"Art/Architecture"	0
"1970"	"Male"	"Art/Architecture"	0
"1971"	"Male"	"Art/Architecture"	0
"1972"	"Male"	"Art/Architecture"	0
"1973"	"Male"	"Art/Architecture"	0
"1974"	"Male"	"Art/Architecture"	0
"1975"	"Male"	"Art/Architecture"	0
"1976"	"Male"	"Art/Architecture"	0
"1977"	"Male"	"Art/Architecture"	0
"1978"	"Male"	"Art/Architecture"	0
"1979"	"Male"	"Art/Architecture"	0
"1980"	"Male"	"Art/Architecture"	0
"1981"	"Male"	"Art/Architecture"	0
"1982"	"Male"	"Art/Architecture"	0
"1983"	"Male"	"Art/Architecture"	0
"1984"	"Male"	"Art/Architecture"	0
"1985"	"Male"	"Art/Architecture"	0
"1986"	"Male"	"Art/Architecture"	0
"1987"	"Male"	"Art/Architecture"	0
"1988"	"Male"	"Art/Architecture"	0
"1989"	"Male"	"Art/Architecture"	0
"1990"	"Male"	"Art/Architecture"	0
"1991"	"Male"	"Art/Architecture"	0
"1992"	"Male"	"Art/Architecture"	0
"1993"	"Male"	"Art/Architecture"	0
"1994"	"Male"	"Art/Architecture"	0
"1995"	"Male"	"Art/Architecture"	0
"1996"	"Male"	"Art/Architecture"	0
"1997"	"Male"	"Art/Architecture"	0
"1998"	"Male"	"Art/Architecture"	0
"1999"	"Male"	"Art/Architecture"	0
"2000"	"Male"	"Art/Architecture"	2
"2001"	"Male"	"Art/Architecture"	1
"2002"	"Male"	"Art/Architecture"	1
"2003"	"Male"	"Art/Architecture"	3
"2004"	"Male"	"Art/Architecture"	2
"2005"	"Male"	"Art/Architecture"	50
"2006"	"Male"	"Art/Architecture"	55
