"year"	"gender"	"field"	"count"
"1968"	"Female"	"Anthropology"	0
"1969"	"Female"	"Anthropology"	0
"1970"	"Female"	"Anthropology"	0
"1971"	"Female"	"Anthropology"	0
"1972"	"Female"	"Anthropology"	0
"1973"	"Female"	"Anthropology"	0
"1974"	"Female"	"Anthropology"	0
"1975"	"Female"	"Anthropology"	0
"1976"	"Female"	"Anthropology"	0
"1977"	"Female"	"Anthropology"	0
"1978"	"Female"	"Anthropology"	0
"1979"	"Female"	"Anthropology"	0
"1980"	"Female"	"Anthropology"	0
"1981"	"Female"	"Anthropology"	0
"1982"	"Female"	"Anthropology"	1
"1983"	"Female"	"Anthropology"	2
"1984"	"Female"	"Anthropology"	1
"1985"	"Female"	"Anthropology"	0
"1986"	"Female"	"Anthropology"	3
"1987"	"Female"	"Anthropology"	1
"1988"	"Female"	"Anthropology"	7
"1989"	"Female"	"Anthropology"	5
"1990"	"Female"	"Anthropology"	8
"1991"	"Female"	"Anthropology"	13
"1992"	"Female"	"Anthropology"	18
"1993"	"Female"	"Anthropology"	14
"1994"	"Female"	"Anthropology"	20
"1995"	"Female"	"Anthropology"	13
"1996"	"Female"	"Anthropology"	13
"1997"	"Female"	"Anthropology"	16
"1998"	"Female"	"Anthropology"	17
"1999"	"Female"	"Anthropology"	17
"2000"	"Female"	"Anthropology"	13
"2001"	"Female"	"Anthropology"	14
"2002"	"Female"	"Anthropology"	19
"2003"	"Female"	"Anthropology"	17
"2004"	"Female"	"Anthropology"	15
"2005"	"Female"	"Anthropology"	13
"2006"	"Female"	"Anthropology"	19
"2007"	"Female"	"Anthropology"	15
"2008"	"Female"	"Anthropology"	24
"2009"	"Female"	"Anthropology"	26
"2010"	"Female"	"Anthropology"	20
"2011"	"Female"	"Anthropology"	20
"1968"	"Male"	"Anthropology"	0
"1969"	"Male"	"Anthropology"	0
"1970"	"Male"	"Anthropology"	0
"1971"	"Male"	"Anthropology"	0
"1972"	"Male"	"Anthropology"	0
"1973"	"Male"	"Anthropology"	0
"1974"	"Male"	"Anthropology"	0
"1975"	"Male"	"Anthropology"	0
"1976"	"Male"	"Anthropology"	0
"1977"	"Male"	"Anthropology"	0
"1978"	"Male"	"Anthropology"	0
"1979"	"Male"	"Anthropology"	0
"1980"	"Male"	"Anthropology"	0
"1981"	"Male"	"Anthropology"	0
"1982"	"Male"	"Anthropology"	1
"1983"	"Male"	"Anthropology"	0
"1984"	"Male"	"Anthropology"	0
"1985"	"Male"	"Anthropology"	0
"1986"	"Male"	"Anthropology"	3
"1987"	"Male"	"Anthropology"	5
"1988"	"Male"	"Anthropology"	2
"1989"	"Male"	"Anthropology"	8
"1990"	"Male"	"Anthropology"	9
"1991"	"Male"	"Anthropology"	5
"1992"	"Male"	"Anthropology"	7
"1993"	"Male"	"Anthropology"	6
"1994"	"Male"	"Anthropology"	5
"1995"	"Male"	"Anthropology"	5
"1996"	"Male"	"Anthropology"	11
"1997"	"Male"	"Anthropology"	6
"1998"	"Male"	"Anthropology"	6
"1999"	"Male"	"Anthropology"	6
"2000"	"Male"	"Anthropology"	3
"2001"	"Male"	"Anthropology"	7
"2002"	"Male"	"Anthropology"	4
"2003"	"Male"	"Anthropology"	9
"2004"	"Male"	"Anthropology"	10
"2005"	"Male"	"Anthropology"	6
"2006"	"Male"	"Anthropology"	5
"2007"	"Male"	"Anthropology"	3
"2008"	"Male"	"Anthropology"	9
"2009"	"Male"	"Anthropology"	12
"2010"	"Male"	"Anthropology"	7
"2011"	"Male"	"Anthropology"	13
"1968"	"Female"	"Area and Ethnic Studies"	0
"1969"	"Female"	"Area and Ethnic Studies"	0
"1970"	"Female"	"Area and Ethnic Studies"	0
"1971"	"Female"	"Area and Ethnic Studies"	0
"1972"	"Female"	"Area and Ethnic Studies"	0
"1973"	"Female"	"Area and Ethnic Studies"	0
"1974"	"Female"	"Area and Ethnic Studies"	2
"1975"	"Female"	"Area and Ethnic Studies"	6
"1976"	"Female"	"Area and Ethnic Studies"	10
"1977"	"Female"	"Area and Ethnic Studies"	9
"1978"	"Female"	"Area and Ethnic Studies"	13
"1979"	"Female"	"Area and Ethnic Studies"	14
"1980"	"Female"	"Area and Ethnic Studies"	8
"1981"	"Female"	"Area and Ethnic Studies"	15
"1982"	"Female"	"Area and Ethnic Studies"	9
"1983"	"Female"	"Area and Ethnic Studies"	9
"1984"	"Female"	"Area and Ethnic Studies"	16
"1985"	"Female"	"Area and Ethnic Studies"	17
"1986"	"Female"	"Area and Ethnic Studies"	19
"1987"	"Female"	"Area and Ethnic Studies"	15
"1988"	"Female"	"Area and Ethnic Studies"	10
"1989"	"Female"	"Area and Ethnic Studies"	12
"1990"	"Female"	"Area and Ethnic Studies"	21
"1991"	"Female"	"Area and Ethnic Studies"	22
"1992"	"Female"	"Area and Ethnic Studies"	27
"1993"	"Female"	"Area and Ethnic Studies"	19
"1994"	"Female"	"Area and Ethnic Studies"	17
"1995"	"Female"	"Area and Ethnic Studies"	7
"1996"	"Female"	"Area and Ethnic Studies"	10
"1997"	"Female"	"Area and Ethnic Studies"	5
"1998"	"Female"	"Area and Ethnic Studies"	11
"1999"	"Female"	"Area and Ethnic Studies"	11
"2000"	"Female"	"Area and Ethnic Studies"	5
"2001"	"Female"	"Area and Ethnic Studies"	5
"2002"	"Female"	"Area and Ethnic Studies"	4
"2003"	"Female"	"Area and Ethnic Studies"	4
"2004"	"Female"	"Area and Ethnic Studies"	4
"2005"	"Female"	"Area and Ethnic Studies"	4
"2006"	"Female"	"Area and Ethnic Studies"	3
"2007"	"Female"	"Area and Ethnic Studies"	1
"2008"	"Female"	"Area and Ethnic Studies"	4
"2009"	"Female"	"Area and Ethnic Studies"	4
"2010"	"Female"	"Area and Ethnic Studies"	7
"2011"	"Female"	"Area and Ethnic Studies"	3
"1968"	"Male"	"Area and Ethnic Studies"	0
"1969"	"Male"	"Area and Ethnic Studies"	0
"1970"	"Male"	"Area and Ethnic Studies"	0
"1971"	"Male"	"Area and Ethnic Studies"	0
"1972"	"Male"	"Area and Ethnic Studies"	0
"1973"	"Male"	"Area and Ethnic Studies"	0
"1974"	"Male"	"Area and Ethnic Studies"	0
"1975"	"Male"	"Area and Ethnic Studies"	1
"1976"	"Male"	"Area and Ethnic Studies"	4
"1977"	"Male"	"Area and Ethnic Studies"	4
"1978"	"Male"	"Area and Ethnic Studies"	2
"1979"	"Male"	"Area and Ethnic Studies"	5
"1980"	"Male"	"Area and Ethnic Studies"	3
"1981"	"Male"	"Area and Ethnic Studies"	5
"1982"	"Male"	"Area and Ethnic Studies"	0
"1983"	"Male"	"Area and Ethnic Studies"	3
"1984"	"Male"	"Area and Ethnic Studies"	8
"1985"	"Male"	"Area and Ethnic Studies"	6
"1986"	"Male"	"Area and Ethnic Studies"	5
"1987"	"Male"	"Area and Ethnic Studies"	6
"1988"	"Male"	"Area and Ethnic Studies"	7
"1989"	"Male"	"Area and Ethnic Studies"	9
"1990"	"Male"	"Area and Ethnic Studies"	10
"1991"	"Male"	"Area and Ethnic Studies"	12
"1992"	"Male"	"Area and Ethnic Studies"	11
"1993"	"Male"	"Area and Ethnic Studies"	14
"1994"	"Male"	"Area and Ethnic Studies"	8
"1995"	"Male"	"Area and Ethnic Studies"	9
"1996"	"Male"	"Area and Ethnic Studies"	6
"1997"	"Male"	"Area and Ethnic Studies"	4
"1998"	"Male"	"Area and Ethnic Studies"	2
"1999"	"Male"	"Area and Ethnic Studies"	2
"2000"	"Male"	"Area and Ethnic Studies"	8
"2001"	"Male"	"Area and Ethnic Studies"	3
"2002"	"Male"	"Area and Ethnic Studies"	3
"2003"	"Male"	"Area and Ethnic Studies"	2
"2004"	"Male"	"Area and Ethnic Studies"	3
"2005"	"Male"	"Area and Ethnic Studies"	6
"2006"	"Male"	"Area and Ethnic Studies"	2
"2007"	"Male"	"Area and Ethnic Studies"	3
"2008"	"Male"	"Area and Ethnic Studies"	5
"2009"	"Male"	"Area and Ethnic Studies"	2
"2010"	"Male"	"Area and Ethnic Studies"	5
"2011"	"Male"	"Area and Ethnic Studies"	5
"1968"	"Female"	"Art/Architecture"	0
"1969"	"Female"	"Art/Architecture"	0
"1970"	"Female"	"Art/Architecture"	0
"1971"	"Female"	"Art/Architecture"	0
"1972"	"Female"	"Art/Architecture"	0
"1973"	"Female"	"Art/Architecture"	0
"1974"	"Female"	"Art/Architecture"	2
"1975"	"Female"	"Art/Architecture"	2
"1976"	"Female"	"Art/Architecture"	19
"1977"	"Female"	"Art/Architecture"	18
"1978"	"Female"	"Art/Architecture"	15
"1979"	"Female"	"Art/Architecture"	20
"1980"	"Female"	"Art/Architecture"	20
"1981"	"Female"	"Art/Architecture"	33
"1982"	"Female"	"Art/Architecture"	56
"1983"	"Female"	"Art/Architecture"	21
"1984"	"Female"	"Art/Architecture"	38
"1985"	"Female"	"Art/Architecture"	24
"1986"	"Female"	"Art/Architecture"	34
"1987"	"Female"	"Art/Architecture"	21
"1988"	"Female"	"Art/Architecture"	36
"1989"	"Female"	"Art/Architecture"	34
"1990"	"Female"	"Art/Architecture"	32
"1991"	"Female"	"Art/Architecture"	49
"1992"	"Female"	"Art/Architecture"	39
"1993"	"Female"	"Art/Architecture"	42
"1994"	"Female"	"Art/Architecture"	59
"1995"	"Female"	"Art/Architecture"	60
"1996"	"Female"	"Art/Architecture"	51
"1997"	"Female"	"Art/Architecture"	44
"1998"	"Female"	"Art/Architecture"	63
"1999"	"Female"	"Art/Architecture"	63
"2000"	"Female"	"Art/Architecture"	64
"2001"	"Female"	"Art/Architecture"	75
"2002"	"Female"	"Art/Architecture"	83
"2003"	"Female"	"Art/Architecture"	111
"2004"	"Female"	"Art/Architecture"	124
"2005"	"Female"	"Art/Architecture"	138
"2006"	"Female"	"Art/Architecture"	135
"2007"	"Female"	"Art/Architecture"	140
"2008"	"Female"	"Art/Architecture"	164
"2009"	"Female"	"Art/Architecture"	135
"2010"	"Female"	"Art/Architecture"	149
"2011"	"Female"	"Art/Architecture"	173
"1968"	"Male"	"Art/Architecture"	0
"1969"	"Male"	"Art/Architecture"	0
"1970"	"Male"	"Art/Architecture"	0
"1971"	"Male"	"Art/Architecture"	0
"1972"	"Male"	"Art/Architecture"	0
"1973"	"Male"	"Art/Architecture"	0
"1974"	"Male"	"Art/Architecture"	0
"1975"	"Male"	"Art/Architecture"	0
"1976"	"Male"	"Art/Architecture"	4
"1977"	"Male"	"Art/Architecture"	9
"1978"	"Male"	"Art/Architecture"	7
"1979"	"Male"	"Art/Architecture"	8
"1980"	"Male"	"Art/Architecture"	13
"1981"	"Male"	"Art/Architecture"	18
"1982"	"Male"	"Art/Architecture"	8
"1983"	"Male"	"Art/Architecture"	8
"1984"	"Male"	"Art/Architecture"	7
"1985"	"Male"	"Art/Architecture"	12
"1986"	"Male"	"Art/Architecture"	14
"1987"	"Male"	"Art/Architecture"	11
"1988"	"Male"	"Art/Architecture"	10
"1989"	"Male"	"Art/Architecture"	14
"1990"	"Male"	"Art/Architecture"	16
"1991"	"Male"	"Art/Architecture"	15
"1992"	"Male"	"Art/Architecture"	13
"1993"	"Male"	"Art/Architecture"	16
"1994"	"Male"	"Art/Architecture"	25
"1995"	"Male"	"Art/Architecture"	27
"1996"	"Male"	"Art/Architecture"	24
"1997"	"Male"	"Art/Architecture"	28
"1998"	"Male"	"Art/Architecture"	28
"1999"	"Male"	"Art/Architecture"	28
"2000"	"Male"	"Art/Architecture"	33
"2001"	"Male"	"Art/Architecture"	28
