"year"	"gender"	"field"	"count"	"total"
"1966"	"Female"	"Agriculture"	0	675
"1966"	"Male"	"Vocational Studies and Home Economics"	0	675
"1966"	"Female"	"Physical Sciences"	0	675
"1966"	"Male"	"Social Sciences, Other"	0	675
"1966"	"Male"	"Business"	0	675
"1966"	"Female"	"Life Sciences"	56	675
"1966"	"Male"	"Agriculture"	0	675
"1966"	"Male"	"Life Sciences"	616	675
"1966"	"Female"	"Engineering"	0	675
"1966"	"Male"	"Other/Unknown"	0	675
"1966"	"Female"	"Social Sciences, Other"	0	675
"1966"	"Male"	"Psychology"	0	675
"1966"	"Female"	"Business"	0	675
"1966"	"Female"	"Psychology"	0	675
"1966"	"Male"	"Engineering"	0	675
"1966"	"Female"	"Computer Science"	0	675
"1966"	"Male"	"Computer Science"	0	675
"1966"	"Female"	"Other/Unknown"	0	675
"1966"	"Female"	"Vocational Studies and Home Economics"	0	675
"1966"	"Male"	"Physical Sciences"	3	675
"1967"	"Male"	"Computer Science"	0	773
"1967"	"Male"	"Agriculture"	0	773
"1967"	"Male"	"Psychology"	0	773
"1967"	"Male"	"Engineering"	0	773
"1967"	"Female"	"Life Sciences"	120	773
"1967"	"Female"	"Social Sciences, Other"	0	773
"1967"	"Female"	"Business"	0	773
"1967"	"Female"	"Agriculture"	0	773
"1967"	"Female"	"Computer Science"	0	773
"1967"	"Male"	"Vocational Studies and Home Economics"	0	773
"1967"	"Female"	"Physical Sciences"	2	773
"1967"	"Male"	"Business"	0	773
"1967"	"Female"	"Psychology"	0	773
"1967"	"Male"	"Other/Unknown"	0	773
"1967"	"Female"	"Vocational Studies and Home Economics"	0	773
"1967"	"Female"	"Engineering"	17	773
"1967"	"Female"	"Other/Unknown"	0	773
"1967"	"Male"	"Social Sciences, Other"	0	773
"1967"	"Male"	"Life Sciences"	625	773
"1967"	"Male"	"Physical Sciences"	9	773
"1968"	"Male"	"Agriculture"	0	768
"1968"	"Female"	"Business"	0	768
"1968"	"Male"	"Engineering"	0	768
"1968"	"Female"	"Life Sciences"	143	768
"1968"	"Male"	"Computer Science"	0	768
"1968"	"Female"	"Other/Unknown"	0	768
"1968"	"Male"	"Social Sciences, Other"	0	768
"1968"	"Female"	"Computer Science"	0	768
"1968"	"Male"	"Psychology"	0	768
"1968"	"Female"	"Agriculture"	0	768
"1968"	"Male"	"Physical Sciences"	7	768
"1968"	"Female"	"Psychology"	0	768
"1968"	"Female"	"Vocational Studies and Home Economics"	0	768
"1968"	"Male"	"Life Sciences"	595	768
"1968"	"Male"	"Business"	0	768
"1968"	"Male"	"Other/Unknown"	0	768
"1968"	"Female"	"Physical Sciences"	1	768
"1968"	"Female"	"Engineering"	22	768
"1968"	"Female"	"Social Sciences, Other"	0	768
"1968"	"Male"	"Vocational Studies and Home Economics"	0	768
"1969"	"Male"	"Engineering"	0	803
"1969"	"Male"	"Business"	0	803
"1969"	"Female"	"Psychology"	0	803
"1969"	"Male"	"Agriculture"	0	803
"1969"	"Female"	"Engineering"	35	803
"1969"	"Female"	"Other/Unknown"	0	803
"1969"	"Female"	"Computer Science"	0	803
"1969"	"Male"	"Life Sciences"	563	803
"1969"	"Female"	"Agriculture"	0	803
"1969"	"Male"	"Social Sciences, Other"	0	803
"1969"	"Female"	"Business"	0	803
"1969"	"Male"	"Computer Science"	0	803
"1969"	"Female"	"Social Sciences, Other"	0	803
"1969"	"Male"	"Physical Sciences"	13	803
"1969"	"Female"	"Life Sciences"	190	803
"1969"	"Male"	"Psychology"	0	803
"1969"	"Female"	"Physical Sciences"	2	803
"1969"	"Male"	"Vocational Studies and Home Economics"	0	803
"1969"	"Male"	"Other/Unknown"	0	803
"1969"	"Female"	"Vocational Studies and Home Economics"	0	803
"1970"	"Male"	"Computer Science"	0	827
"1970"	"Female"	"Agriculture"	0	827
"1970"	"Female"	"Business"	0	827
"1970"	"Male"	"Engineering"	0	827
"1970"	"Male"	"Agriculture"	0	827
"1970"	"Male"	"Life Sciences"	597	827
"1970"	"Male"	"Business"	0	827
"1970"	"Female"	"Other/Unknown"	0	827
"1970"	"Female"	"Life Sciences"	175	827
"1970"	"Female"	"Physical Sciences"	0	827
"1970"	"Female"	"Engineering"	43	827
"1970"	"Male"	"Physical Sciences"	12	827
"1970"	"Male"	"Other/Unknown"	0	827
"1970"	"Male"	"Psychology"	0	827
"1970"	"Female"	"Social Sciences, Other"	0	827
"1970"	"Female"	"Psychology"	0	827
"1970"	"Female"	"Computer Science"	0	827
"1970"	"Male"	"Vocational Studies and Home Economics"	0	827
"1970"	"Male"	"Social Sciences, Other"	0	827
"1970"	"Female"	"Vocational Studies and Home Economics"	0	827
"1971"	"Female"	"Social Sciences, Other"	0	889
"1971"	"Female"	"Physical Sciences"	2	889
"1971"	"Male"	"Social Sciences, Other"	0	889
"1971"	"Male"	"Psychology"	0	889
"1971"	"Female"	"Life Sciences"	221	889
"1971"	"Male"	"Physical Sciences"	12	889
"1971"	"Male"	"Computer Science"	0	889
"1971"	"Female"	"Vocational Studies and Home Economics"	0	889
"1971"	"Male"	"Other/Unknown"	0	889
"1971"	"Female"	"Agriculture"	0	889
"1971"	"Female"	"Psychology"	0	889
"1971"	"Male"	"Life Sciences"	605	889
"1971"	"Male"	"Vocational Studies and Home Economics"	0	889
"1971"	"Male"	"Business"	0	889
"1971"	"Male"	"Engineering"	1	889
"1971"	"Male"	"Agriculture"	0	889
"1971"	"Female"	"Engineering"	48	889
"1971"	"Female"	"Business"	0	889
"1971"	"Female"	"Other/Unknown"	0	889
"1971"	"Female"	"Computer Science"	0	889
"1972"	"Male"	"Computer Science"	0	1111
"1972"	"Female"	"Social Sciences, Other"	0	1111
"1972"	"Female"	"Vocational Studies and Home Economics"	0	1111
"1972"	"Male"	"Social Sciences, Other"	0	1111
"1972"	"Female"	"Psychology"	0	1111
"1972"	"Female"	"Engineering"	57	1111
"1972"	"Male"	"Vocational Studies and Home Economics"	0	1111
"1972"	"Female"	"Physical Sciences"	2	1111
"1972"	"Male"	"Engineering"	1	1111
"1972"	"Male"	"Agriculture"	0	1111
"1972"	"Male"	"Physical Sciences"	11	1111
"1972"	"Male"	"Psychology"	0	1111
"1972"	"Female"	"Other/Unknown"	0	1111
"1972"	"Female"	"Computer Science"	0	1111
"1972"	"Female"	"Life Sciences"	257	1111
"1972"	"Female"	"Business"	0	1111
"1972"	"Female"	"Agriculture"	0	1111
"1972"	"Male"	"Other/Unknown"	0	1111
"1972"	"Male"	"Business"	0	1111
"1972"	"Male"	"Life Sciences"	783	1111
"1973"	"Female"	"Physical Sciences"	1	926
"1973"	"Female"	"Engineering"	62	926
"1973"	"Female"	"Agriculture"	0	926
"1973"	"Male"	"Computer Science"	0	926
"1973"	"Male"	"Vocational Studies and Home Economics"	0	926
"1973"	"Male"	"Business"	0	926
"1973"	"Female"	"Computer Science"	0	926
"1973"	"Male"	"Agriculture"	0	926
"1973"	"Male"	"Physical Sciences"	6	926
"1973"	"Female"	"Business"	0	926
"1973"	"Male"	"Engineering"	2	926
"1973"	"Male"	"Other/Unknown"	0	926
"1973"	"Female"	"Life Sciences"	287	926
"1973"	"Male"	"Psychology"	0	926
"1973"	"Male"	"Life Sciences"	568	926
"1973"	"Female"	"Psychology"	0	926
"1973"	"Male"	"Social Sciences, Other"	0	926
"1973"	"Female"	"Vocational Studies and Home Economics"	0	926
"1973"	"Female"	"Other/Unknown"	0	926
"1973"	"Female"	"Social Sciences, Other"	0	926
"1974"	"Female"	"Business"	0	1415
"1974"	"Female"	"Engineering"	59	1415
"1974"	"Male"	"Physical Sciences"	154	1415
"1974"	"Male"	"Psychology"	0	1415
"1974"	"Female"	"Physical Sciences"	10	1415
"1974"	"Male"	"Computer Science"	0	1415
"1974"	"Male"	"Vocational Studies and Home Economics"	0	1415
"1974"	"Male"	"Life Sciences"	615	1415
"1974"	"Female"	"Agriculture"	0	1415
"1974"	"Male"	"Engineering"	2	1415
"1974"	"Male"	"Agriculture"	0	1415
"1974"	"Female"	"Life Sciences"	575	1415
"1974"	"Female"	"Social Sciences, Other"	0	1415
"1974"	"Female"	"Other/Unknown"	0	1415
"1974"	"Female"	"Computer Science"	0	1415
"1974"	"Male"	"Other/Unknown"	0	1415
"1974"	"Female"	"Vocational Studies and Home Economics"	0	1415
"1974"	"Male"	"Business"	0	1415
"1974"	"Female"	"Psychology"	0	1415
"1974"	"Male"	"Social Sciences, Other"	0	1415
"1975"	"Female"	"Engineering"	51	1624
"1975"	"Male"	"Physical Sciences"	128	1624
"1975"	"Female"	"Business"	0	1624
"1975"	"Male"	"Vocational Studies and Home Economics"	0	1624
"1975"	"Female"	"Life Sciences"	702	1624
"1975"	"Male"	"Psychology"	0	1624
"1975"	"Male"	"Computer Science"	0	1624
"1975"	"Male"	"Agriculture"	0	1624
"1975"	"Male"	"Engineering"	2	1624
"1975"	"Female"	"Vocational Studies and Home Economics"	0	1624
"1975"	"Male"	"Life Sciences"	731	1624
"1975"	"Female"	"Physical Sciences"	10	1624
"1975"	"Female"	"Other/Unknown"	0	1624
"1975"	"Female"	"Computer Science"	0	1624
"1975"	"Male"	"Other/Unknown"	0	1624
"1975"	"Female"	"Agriculture"	0	1624
"1975"	"Female"	"Psychology"	0	1624
"1975"	"Male"	"Business"	0	1624
"1975"	"Male"	"Social Sciences, Other"	0	1624
"1975"	"Female"	"Social Sciences, Other"	0	1624
"1976"	"Female"	"Engineering"	55	1992
"1976"	"Male"	"Psychology"	0	1992
"1976"	"Female"	"Physical Sciences"	10	1992
"1976"	"Male"	"Vocational Studies and Home Economics"	0	1992
"1976"	"Male"	"Life Sciences"	873	1992
"1976"	"Male"	"Physical Sciences"	128	1992
"1976"	"Female"	"Life Sciences"	926	1992
"1976"	"Male"	"Business"	0	1992
"1976"	"Female"	"Agriculture"	0	1992
"1976"	"Male"	"Engineering"	0	1992
"1976"	"Female"	"Computer Science"	0	1992
"1976"	"Male"	"Other/Unknown"	0	1992
"1976"	"Female"	"Vocational Studies and Home Economics"	0	1992
"1976"	"Female"	"Other/Unknown"	0	1992
"1976"	"Female"	"Psychology"	0	1992
"1976"	"Male"	"Agriculture"	0	1992
"1976"	"Female"	"Social Sciences, Other"	0	1992
"1976"	"Male"	"Social Sciences, Other"	0	1992
"1976"	"Female"	"Business"	0	1992
"1976"	"Male"	"Computer Science"	0	1992
"1977"	"Female"	"Physical Sciences"	15	1322
"1977"	"Male"	"Social Sciences, Other"	0	1322
"1977"	"Male"	"Physical Sciences"	107	1322
"1977"	"Male"	"Life Sciences"	899	1322
"1977"	"Female"	"Life Sciences"	226	1322
"1977"	"Male"	"Psychology"	0	1322
"1977"	"Female"	"Social Sciences, Other"	0	1322
"1977"	"Male"	"Computer Science"	0	1322
"1977"	"Female"	"Psychology"	0	1322
"1977"	"Male"	"Other/Unknown"	0	1322
"1977"	"Female"	"Other/Unknown"	0	1322
"1977"	"Male"	"Business"	0	1322
"1977"	"Female"	"Agriculture"	0	1322
"1977"	"Female"	"Engineering"	75	1322
"1977"	"Female"	"Vocational Studies and Home Economics"	0	1322
"1977"	"Female"	"Computer Science"	0	1322
"1977"	"Female"	"Business"	0	1322
"1977"	"Male"	"Vocational Studies and Home Economics"	0	1322
"1977"	"Male"	"Engineering"	0	1322
"1977"	"Male"	"Agriculture"	0	1322
"1978"	"Male"	"Vocational Studies and Home Economics"	0	1391
"1978"	"Male"	"Computer Science"	0	1391
"1978"	"Male"	"Other/Unknown"	0	1391
"1978"	"Male"	"Physical Sciences"	120	1391
"1978"	"Female"	"Computer Science"	0	1391
"1978"	"Female"	"Physical Sciences"	29	1391
"1978"	"Male"	"Engineering"	2	1391
"1978"	"Female"	"Vocational Studies and Home Economics"	0	1391
"1978"	"Female"	"Engineering"	48	1391
"1978"	"Female"	"Business"	0	1391
"1978"	"Female"	"Agriculture"	0	1391
"1978"	"Female"	"Other/Unknown"	0	1391
"1978"	"Male"	"Agriculture"	0	1391
"1978"	"Male"	"Psychology"	0	1391
"1978"	"Male"	"Business"	0	1391
"1978"	"Female"	"Psychology"	0	1391
"1978"	"Female"	"Social Sciences, Other"	0	1391
"1978"	"Male"	"Life Sciences"	907	1391
"1978"	"Male"	"Social Sciences, Other"	0	1391
"1978"	"Female"	"Life Sciences"	285	1391
"1979"	"Male"	"Engineering"	0	1235
"1979"	"Male"	"Other/Unknown"	0	1235
"1979"	"Female"	"Computer Science"	0	1235
"1979"	"Male"	"Vocational Studies and Home Economics"	0	1235
"1979"	"Female"	"Physical Sciences"	20	1235
"1979"	"Female"	"Engineering"	48	1235
"1979"	"Male"	"Physical Sciences"	119	1235
"1979"	"Male"	"Computer Science"	0	1235
"1979"	"Male"	"Business"	0	1235
"1979"	"Female"	"Psychology"	0	1235
"1979"	"Male"	"Agriculture"	0	1235
"1979"	"Male"	"Psychology"	0	1235
"1979"	"Female"	"Business"	0	1235
"1979"	"Female"	"Agriculture"	0	1235
"1979"	"Female"	"Vocational Studies and Home Economics"	0	1235
"1979"	"Female"	"Life Sciences"	268	1235
"1979"	"Male"	"Life Sciences"	780	1235
"1979"	"Female"	"Other/Unknown"	0	1235
"1979"	"Male"	"Social Sciences, Other"	0	1235
"1979"	"Female"	"Social Sciences, Other"	0	1235
"1980"	"Male"	"Vocational Studies and Home Economics"	0	1470
"1980"	"Male"	"Physical Sciences"	133	1470
"1980"	"Male"	"Engineering"	0	1470
"1980"	"Female"	"Engineering"	45	1470
"1980"	"Male"	"Agriculture"	0	1470
"1980"	"Female"	"Computer Science"	0	1470
"1980"	"Female"	"Psychology"	0	1470
"1980"	"Female"	"Vocational Studies and Home Economics"	0	1470
"1980"	"Female"	"Other/Unknown"	0	1470
"1980"	"Male"	"Psychology"	0	1470
