"year"	"gender"	"field"	"count"	"total"
"2000"	"Female"	"Harvard University"	2155	4310
"2000"	"Male"	"Harvard University"	2155	4310
"2000"	"Gender"	"Harvard University"	0	4310
"2001"	"Female"	"Harvard University"	2155	4310
"2001"	"Gender"	"Harvard University"	0	4310
"2001"	"Male"	"Harvard University"	2155	4310
"2002"	"Female"	"Harvard University"	2155	4310
"2002"	"Gender"	"Harvard University"	0	4310
"2002"	"Male"	"Harvard University"	2155	4310
"2003"	"Female"	"Harvard University"	2155	4310
"2003"	"Gender"	"Harvard University"	0	4310
"2003"	"Male"	"Harvard University"	2155	4310
"2004"	"Female"	"Harvard University"	2155	4310
"2004"	"Gender"	"Harvard University"	0	4310
"2004"	"Male"	"Harvard University"	2155	4310
"2005"	"Female"	"Harvard University"	2155	4310
"2005"	"Gender"	"Harvard University"	0	4310
"2005"	"Male"	"Harvard University"	2155	4310
"2006"	"Female"	"Harvard University"	2155	4310
"2006"	"Gender"	"Harvard University"	0	4310
"2006"	"Male"	"Harvard University"	2155	4310
"2007"	"Female"	"Harvard University"	2155	4310
"2007"	"Gender"	"Harvard University"	0	4310
"2007"	"Male"	"Harvard University"	2155	4310
"2008"	"Female"	"Harvard University"	2155	4310
"2008"	"Gender"	"Harvard University"	0	4310
"2008"	"Male"	"Harvard University"	2155	4310
"2009"	"Female"	"Harvard University"	2155	4310
"2009"	"Gender"	"Harvard University"	0	4310
"2009"	"Male"	"Harvard University"	2155	4310
"2010"	"Female"	"Harvard University"	2155	4310
"2010"	"Gender"	"Harvard University"	0	4310
"2010"	"Male"	"Harvard University"	2155	4310
"2011"	"Gender"	"Harvard University"	0	4310
"2011"	"Female"	"Harvard University"	2155	4310
"2011"	"Male"	"Harvard University"	2155	4310
