"year"	"gender"	"field"	"count"
1967	"Female"	"Agriculture"	0
1970	"Female"	"Agriculture"	0
1971	"Female"	"Agriculture"	0
1972	"Female"	"Agriculture"	0
1973	"Female"	"Agriculture"	0
1974	"Female"	"Agriculture"	0
1975	"Female"	"Agriculture"	0
1976	"Female"	"Agriculture"	0
1977	"Female"	"Agriculture"	0
1978	"Female"	"Agriculture"	0
1979	"Female"	"Agriculture"	0
1980	"Female"	"Agriculture"	0
1981	"Female"	"Agriculture"	0
1982	"Female"	"Agriculture"	0
1983	"Female"	"Agriculture"	0
1984	"Female"	"Agriculture"	0
1985	"Female"	"Agriculture"	0
1986	"Female"	"Agriculture"	0
1987	"Female"	"Agriculture"	0
1988	"Female"	"Agriculture"	0
1989	"Female"	"Agriculture"	0
1990	"Female"	"Agriculture"	0
1991	"Female"	"Agriculture"	0
1992	"Female"	"Agriculture"	0
1993	"Female"	"Agriculture"	0
1994	"Female"	"Agriculture"	0
1995	"Female"	"Agriculture"	0
1996	"Female"	"Agriculture"	0
1997	"Female"	"Agriculture"	0
1998	"Female"	"Agriculture"	0
1999	"Female"	"Agriculture"	0
2000	"Female"	"Agriculture"	1
2001	"Female"	"Agriculture"	4
2002	"Female"	"Agriculture"	6
2003	"Female"	"Agriculture"	6
2004	"Female"	"Agriculture"	7
2005	"Female"	"Agriculture"	8
2006	"Female"	"Agriculture"	4
2007	"Female"	"Agriculture"	8
2008	"Female"	"Agriculture"	4
2009	"Female"	"Agriculture"	4
2010	"Female"	"Agriculture"	3
2011	"Female"	"Agriculture"	7
1967	"Male"	"Agriculture"	0
1970	"Male"	"Agriculture"	0
1971	"Male"	"Agriculture"	0
1972	"Male"	"Agriculture"	0
1973	"Male"	"Agriculture"	0
1974	"Male"	"Agriculture"	0
1975	"Male"	"Agriculture"	0
1976	"Male"	"Agriculture"	0
1977	"Male"	"Agriculture"	0
1978	"Male"	"Agriculture"	0
1979	"Male"	"Agriculture"	0
1980	"Male"	"Agriculture"	0
1981	"Male"	"Agriculture"	0
1982	"Male"	"Agriculture"	0
1983	"Male"	"Agriculture"	0
1984	"Male"	"Agriculture"	0
1985	"Male"	"Agriculture"	0
1986	"Male"	"Agriculture"	0
1987	"Male"	"Agriculture"	0
1988	"Male"	"Agriculture"	0
1989	"Male"	"Agriculture"	0
1990	"Male"	"Agriculture"	0
1991	"Male"	"Agriculture"	0
1992	"Male"	"Agriculture"	0
1993	"Male"	"Agriculture"	0
1994	"Male"	"Agriculture"	0
1995	"Male"	"Agriculture"	0
1996	"Male"	"Agriculture"	0
1997	"Male"	"Agriculture"	0
1998	"Male"	"Agriculture"	0
1999	"Male"	"Agriculture"	0
2000	"Male"	"Agriculture"	0
2001	"Male"	"Agriculture"	0
2002	"Male"	"Agriculture"	4
2003	"Male"	"Agriculture"	4
2004	"Male"	"Agriculture"	2
2005	"Male"	"Agriculture"	6
2006	"Male"	"Agriculture"	3
2007	"Male"	"Agriculture"	4
2008	"Male"	"Agriculture"	4
2009	"Male"	"Agriculture"	3
2010	"Male"	"Agriculture"	5
2011	"Male"	"Agriculture"	5
1967	"Female"	"Anthropology"	2
1970	"Female"	"Anthropology"	25
1971	"Female"	"Anthropology"	18
1972	"Female"	"Anthropology"	21
1973	"Female"	"Anthropology"	25
1974	"Female"	"Anthropology"	34
1975	"Female"	"Anthropology"	23
1976	"Female"	"Anthropology"	24
1977	"Female"	"Anthropology"	14
1978	"Female"	"Anthropology"	17
1979	"Female"	"Anthropology"	10
1980	"Female"	"Anthropology"	12
1981	"Female"	"Anthropology"	15
1982	"Female"	"Anthropology"	8
1983	"Female"	"Anthropology"	6
1984	"Female"	"Anthropology"	5
1985	"Female"	"Anthropology"	6
1986	"Female"	"Anthropology"	5
1987	"Female"	"Anthropology"	13
1988	"Female"	"Anthropology"	4
1989	"Female"	"Anthropology"	8
1990	"Female"	"Anthropology"	8
1991	"Female"	"Anthropology"	20
1992	"Female"	"Anthropology"	19
1993	"Female"	"Anthropology"	23
1994	"Female"	"Anthropology"	29
1995	"Female"	"Anthropology"	27
1996	"Female"	"Anthropology"	28
1997	"Female"	"Anthropology"	36
1998	"Female"	"Anthropology"	29
1999	"Female"	"Anthropology"	40
2000	"Female"	"Anthropology"	33
2001	"Female"	"Anthropology"	30
2002	"Female"	"Anthropology"	27
2003	"Female"	"Anthropology"	30
2004	"Female"	"Anthropology"	26
2005	"Female"	"Anthropology"	27
2006	"Female"	"Anthropology"	36
2007	"Female"	"Anthropology"	22
2008	"Female"	"Anthropology"	19
2009	"Female"	"Anthropology"	27
2010	"Female"	"Anthropology"	23
2011	"Female"	"Anthropology"	48
1967	"Male"	"Anthropology"	8
1970	"Male"	"Anthropology"	15
1971	"Male"	"Anthropology"	8
1972	"Male"	"Anthropology"	21
1973	"Male"	"Anthropology"	31
1974	"Male"	"Anthropology"	25
1975	"Male"	"Anthropology"	17
1976	"Male"	"Anthropology"	13
1977	"Male"	"Anthropology"	16
1978	"Male"	"Anthropology"	15
1979	"Male"	"Anthropology"	13
1980	"Male"	"Anthropology"	11
1981	"Male"	"Anthropology"	7
1982	"Male"	"Anthropology"	7
1983	"Male"	"Anthropology"	8
1984	"Male"	"Anthropology"	3
1985	"Male"	"Anthropology"	3
1986	"Male"	"Anthropology"	6
1987	"Male"	"Anthropology"	3
1988	"Male"	"Anthropology"	2
1989	"Male"	"Anthropology"	1
1990	"Male"	"Anthropology"	6
1991	"Male"	"Anthropology"	14
1992	"Male"	"Anthropology"	11
1993	"Male"	"Anthropology"	18
1994	"Male"	"Anthropology"	18
1995	"Male"	"Anthropology"	16
1996	"Male"	"Anthropology"	13
1997	"Male"	"Anthropology"	16
1998	"Male"	"Anthropology"	21
1999	"Male"	"Anthropology"	16
2000	"Male"	"Anthropology"	15
2001	"Male"	"Anthropology"	9
2002	"Male"	"Anthropology"	10
2003	"Male"	"Anthropology"	15
2004	"Male"	"Anthropology"	10
2005	"Male"	"Anthropology"	19
2006	"Male"	"Anthropology"	18
2007	"Male"	"Anthropology"	12
2008	"Male"	"Anthropology"	12
2009	"Male"	"Anthropology"	14
2010	"Male"	"Anthropology"	14
2011	"Male"	"Anthropology"	20
1967	"Female"	"Area and Ethnic Studies"	0
1970	"Female"	"Area and Ethnic Studies"	0
1971	"Female"	"Area and Ethnic Studies"	1
1972	"Female"	"Area and Ethnic Studies"	1
1973	"Female"	"Area and Ethnic Studies"	27
1974	"Female"	"Area and Ethnic Studies"	11
1975	"Female"	"Area and Ethnic Studies"	2
1976	"Female"	"Area and Ethnic Studies"	3
1977	"Female"	"Area and Ethnic Studies"	5
1978	"Female"	"Area and Ethnic Studies"	3
1979	"Female"	"Area and Ethnic Studies"	3
1980	"Female"	"Area and Ethnic Studies"	10
1981	"Female"	"Area and Ethnic Studies"	6
1982	"Female"	"Area and Ethnic Studies"	9
1983	"Female"	"Area and Ethnic Studies"	3
1984	"Female"	"Area and Ethnic Studies"	3
