"year"	"gender"	"field"	"count"	"total"
"1966"	"Female"	"Northeastern University"	0	8230
"1966"	"Gender"	"Stanford University"	0	8230
"1966"	"Female"	"University of Michigan at Ann Arbor"	0	8230
"1966"	"Male"	"University of Rhode Island"	3414	8230
"1966"	"Female"	"Princeton University"	0	8230
"1966"	"Male"	"Stanford University"	1305	8230
"1966"	"Gender"	"Northeastern University"	0	8230
"1966"	"Female"	"University of California-Berkeley"	0	8230
"1966"	"Female"	"Stanford University"	0	8230
"1966"	"Male"	"University of California-Berkeley"	1312	8230
"1966"	"Gender"	"University of Rhode Island"	0	8230
"1966"	"Female"	"University of Rhode Island"	0	8230
"1966"	"Male"	"Northeastern University"	2199	8230
"1966"	"Male"	"University of Michigan at Ann Arbor"	0	8230
"1966"	"Gender"	"University of California-Berkeley"	0	8230
"1966"	"Gender"	"Princeton University"	0	8230
"1966"	"Male"	"Princeton University"	0	8230
"1966"	"Gender"	"University of Michigan at Ann Arbor"	0	8230
"1967"	"Male"	"Princeton University"	0	10429
"1967"	"Gender"	"Northeastern University"	0	10429
"1967"	"Male"	"Stanford University"	1305	10429
"1967"	"Female"	"University of Rhode Island"	0	10429
"1967"	"Female"	"Northeastern University"	2199	10429
"1967"	"Gender"	"Stanford University"	0	10429
"1967"	"Gender"	"Princeton University"	0	10429
"1967"	"Gender"	"University of Rhode Island"	0	10429
"1967"	"Male"	"Northeastern University"	2199	10429
"1967"	"Female"	"Princeton University"	0	10429
"1967"	"Male"	"University of Michigan at Ann Arbor"	0	10429
"1967"	"Male"	"University of California-Berkeley"	1312	10429
"1967"	"Female"	"University of Michigan at Ann Arbor"	0	10429
"1967"	"Female"	"Stanford University"	0	10429
"1967"	"Gender"	"University of California-Berkeley"	0	10429
"1967"	"Male"	"University of Rhode Island"	3414	10429
"1967"	"Female"	"University of California-Berkeley"	0	10429
"1967"	"Gender"	"University of Michigan at Ann Arbor"	0	10429
"1968"	"Gender"	"Northeastern University"	0	8230
"1968"	"Gender"	"Stanford University"	0	8230
"1968"	"Gender"	"Princeton University"	0	8230
"1968"	"Male"	"Northeastern University"	2199	8230
"1968"	"Female"	"University of California-Berkeley"	0	8230
"1968"	"Gender"	"University of California-Berkeley"	0	8230
"1968"	"Male"	"University of Michigan at Ann Arbor"	0	8230
"1968"	"Male"	"Stanford University"	1305	8230
"1968"	"Male"	"Princeton University"	0	8230
"1968"	"Female"	"Northeastern University"	0	8230
"1968"	"Male"	"University of Rhode Island"	3414	8230
"1968"	"Male"	"University of California-Berkeley"	1312	8230
"1968"	"Female"	"University of Rhode Island"	0	8230
"1968"	"Female"	"Stanford University"	0	8230
"1968"	"Gender"	"University of Michigan at Ann Arbor"	0	8230
"1968"	"Gender"	"University of Rhode Island"	0	8230
"1968"	"Female"	"Princeton University"	0	8230
"1968"	"Female"	"University of Michigan at Ann Arbor"	0	8230
"1969"	"Gender"	"Stanford University"	0	11644
"1969"	"Gender"	"Princeton University"	0	11644
"1969"	"Female"	"Northeastern University"	0	11644
"1969"	"Male"	"University of Michigan at Ann Arbor"	0	11644
"1969"	"Male"	"Northeastern University"	2199	11644
"1969"	"Female"	"Princeton University"	0	11644
"1969"	"Gender"	"University of California-Berkeley"	0	11644
"1969"	"Gender"	"Northeastern University"	0	11644
"1969"	"Female"	"University of Rhode Island"	3414	11644
"1969"	"Female"	"Stanford University"	0	11644
"1969"	"Gender"	"University of Michigan at Ann Arbor"	0	11644
"1969"	"Male"	"University of California-Berkeley"	1312	11644
"1969"	"Male"	"Stanford University"	1305	11644
"1969"	"Female"	"University of California-Berkeley"	0	11644
"1969"	"Gender"	"University of Rhode Island"	0	11644
"1969"	"Male"	"University of Rhode Island"	3414	11644
"1969"	"Male"	"Princeton University"	0	11644
"1969"	"Female"	"University of Michigan at Ann Arbor"	0	11644
"1970"	"Gender"	"Princeton University"	0	32027
"1970"	"Female"	"Northeastern University"	2199	32027
"1970"	"Gender"	"Stanford University"	0	32027
"1970"	"Male"	"Stanford University"	1305	32027
"1970"	"Female"	"University of California-Berkeley"	0	32027
"1970"	"Female"	"Stanford University"	0	32027
"1970"	"Gender"	"University of Michigan at Ann Arbor"	0	32027
"1970"	"Male"	"University of California-Berkeley"	1312	32027
"1970"	"Male"	"Princeton University"	0	32027
"1970"	"Gender"	"University of Rhode Island"	0	32027
