"year"	"gender"	"field"	"count"
1966	"Female"	"Agriculture"	0
1967	"Female"	"Agriculture"	0
1968	"Female"	"Agriculture"	0
1969	"Female"	"Agriculture"	0
1970	"Female"	"Agriculture"	0
1971	"Female"	"Agriculture"	0
1972	"Female"	"Agriculture"	0
1973	"Female"	"Agriculture"	0
1974	"Female"	"Agriculture"	1
1975	"Female"	"Agriculture"	0
1976	"Female"	"Agriculture"	0
1977	"Female"	"Agriculture"	0
1978	"Female"	"Agriculture"	0
1979	"Female"	"Agriculture"	0
1980	"Female"	"Agriculture"	0
1981	"Female"	"Agriculture"	0
1982	"Female"	"Agriculture"	0
1983	"Female"	"Agriculture"	0
1984	"Female"	"Agriculture"	0
1985	"Female"	"Agriculture"	0
1986	"Female"	"Agriculture"	0
1987	"Female"	"Agriculture"	0
1988	"Female"	"Agriculture"	0
1989	"Female"	"Agriculture"	0
1990	"Female"	"Agriculture"	0
1991	"Female"	"Agriculture"	0
1992	"Female"	"Agriculture"	17
1993	"Female"	"Agriculture"	10
1994	"Female"	"Agriculture"	14
1995	"Female"	"Agriculture"	18
1996	"Female"	"Agriculture"	24
1997	"Female"	"Agriculture"	37
1998	"Female"	"Agriculture"	25
1999	"Female"	"Agriculture"	37
2000	"Female"	"Agriculture"	31
2001	"Female"	"Agriculture"	50
2002	"Female"	"Agriculture"	41
2003	"Female"	"Agriculture"	46
2004	"Female"	"Agriculture"	57
2005	"Female"	"Agriculture"	52
2006	"Female"	"Agriculture"	54
2007	"Female"	"Agriculture"	45
2008	"Female"	"Agriculture"	51
2009	"Female"	"Agriculture"	54
2010	"Female"	"Agriculture"	57
2011	"Female"	"Agriculture"	55
1966	"Male"	"Agriculture"	0
1967	"Male"	"Agriculture"	0
1968	"Male"	"Agriculture"	0
1969	"Male"	"Agriculture"	0
1970	"Male"	"Agriculture"	0
1971	"Male"	"Agriculture"	0
1972	"Male"	"Agriculture"	0
1973	"Male"	"Agriculture"	0
1974	"Male"	"Agriculture"	0
1975	"Male"	"Agriculture"	6
1976	"Male"	"Agriculture"	0
1977	"Male"	"Agriculture"	0
1978	"Male"	"Agriculture"	0
1979	"Male"	"Agriculture"	0
1980	"Male"	"Agriculture"	0
1981	"Male"	"Agriculture"	0
1982	"Male"	"Agriculture"	0
1983	"Male"	"Agriculture"	0
1984	"Male"	"Agriculture"	0
1985	"Male"	"Agriculture"	0
1986	"Male"	"Agriculture"	0
1987	"Male"	"Agriculture"	0
1988	"Male"	"Agriculture"	0
1989	"Male"	"Agriculture"	0
1990	"Male"	"Agriculture"	0
1991	"Male"	"Agriculture"	0
1992	"Male"	"Agriculture"	5
1993	"Male"	"Agriculture"	5
1994	"Male"	"Agriculture"	12
1995	"Male"	"Agriculture"	17
1996	"Male"	"Agriculture"	30
1997	"Male"	"Agriculture"	28
1998	"Male"	"Agriculture"	13
1999	"Male"	"Agriculture"	19
2000	"Male"	"Agriculture"	21
2001	"Male"	"Agriculture"	31
2002	"Male"	"Agriculture"	31
2003	"Male"	"Agriculture"	28
2004	"Male"	"Agriculture"	39
2005	"Male"	"Agriculture"	32
2006	"Male"	"Agriculture"	24
2007	"Male"	"Agriculture"	35
2008	"Male"	"Agriculture"	26
2009	"Male"	"Agriculture"	30
2010	"Male"	"Agriculture"	38
2011	"Male"	"Agriculture"	44
1966	"Female"	"Anthropology"	24
1967	"Female"	"Anthropology"	34
1968	"Female"	"Anthropology"	31
1969	"Female"	"Anthropology"	28
1970	"Female"	"Anthropology"	45
1971	"Female"	"Anthropology"	50
1972	"Female"	"Anthropology"	58
1973	"Female"	"Anthropology"	62
1974	"Female"	"Anthropology"	61
1975	"Female"	"Anthropology"	84
1976	"Female"	"Anthropology"	73
1977	"Female"	"Anthropology"	97
1978	"Female"	"Anthropology"	81
1979	"Female"	"Anthropology"	81
1980	"Female"	"Anthropology"	73
1981	"Female"	"Anthropology"	75
1982	"Female"	"Anthropology"	72
1983	"Female"	"Anthropology"	55
1984	"Female"	"Anthropology"	43
1985	"Female"	"Anthropology"	67
1986	"Female"	"Anthropology"	60
1987	"Female"	"Anthropology"	75
1988	"Female"	"Anthropology"	115
1989	"Female"	"Anthropology"	76
1990	"Female"	"Anthropology"	109
1991	"Female"	"Anthropology"	115
1992	"Female"	"Anthropology"	135
1993	"Female"	"Anthropology"	120
1994	"Female"	"Anthropology"	128
1995	"Female"	"Anthropology"	139
1996	"Female"	"Anthropology"	160
