"year"	"gender"	"field"	"count"	"total"
"1966"	"Female"	"Ball State University"	0	1305
"1966"	"Male"	"University of California-Berkeley"	0	1305
"1966"	"Gender"	"Ball State University"	0	1305
"1966"	"Gender"	"Stanford University"	0	1305
"1966"	"Male"	"Ball State University"	0	1305
"1966"	"Female"	"Stanford University"	0	1305
"1966"	"Male"	"University of Michigan at Ann Arbor"	0	1305
"1966"	"Female"	"University of Michigan at Ann Arbor"	0	1305
"1966"	"Gender"	"University of California-Berkeley"	0	1305
"1966"	"Male"	"Stanford University"	1305	1305
"1966"	"Female"	"University of California-Berkeley"	0	1305
"1966"	"Gender"	"University of Michigan at Ann Arbor"	0	1305
"1968"	"Gender"	"Ball State University"	0	1786
"1968"	"Gender"	"Stanford University"	0	1786
"1968"	"Female"	"Ball State University"	0	1786
"1968"	"Female"	"University of California-Berkeley"	0	1786
"1968"	"Female"	"University of Michigan at Ann Arbor"	0	1786
"1968"	"Gender"	"University of California-Berkeley"	0	1786
"1968"	"Gender"	"University of Michigan at Ann Arbor"	0	1786
"1968"	"Female"	"Stanford University"	0	1786
"1968"	"Male"	"University of Michigan at Ann Arbor"	0	1786
"1968"	"Male"	"University of California-Berkeley"	0	1786
"1968"	"Male"	"Stanford University"	0	1786
"1968"	"Male"	"Ball State University"	1786	1786
"1969"	"Female"	"University of California-Berkeley"	0	1786
"1969"	"Gender"	"Stanford University"	0	1786
"1969"	"Male"	"University of Michigan at Ann Arbor"	0	1786
"1969"	"Male"	"University of California-Berkeley"	0	1786
"1969"	"Gender"	"Ball State University"	0	1786
"1969"	"Male"	"Stanford University"	0	1786
"1969"	"Female"	"Stanford University"	0	1786
"1969"	"Gender"	"University of California-Berkeley"	0	1786
"1969"	"Male"	"Ball State University"	1786	1786
"1969"	"Female"	"Ball State University"	0	1786
"1969"	"Female"	"University of Michigan at Ann Arbor"	0	1786
"1969"	"Gender"	"University of Michigan at Ann Arbor"	0	1786
"1970"	"Female"	"University of California-Berkeley"	0	19489
"1970"	"Female"	"Stanford University"	1305	19489
"1970"	"Female"	"University of Michigan at Ann Arbor"	9092	19489
"1970"	"Female"	"Ball State University"	0	19489
"1970"	"Male"	"Stanford University"	0	19489
"1970"	"Male"	"University of Michigan at Ann Arbor"	9092	19489
"1970"	"Gender"	"University of Michigan at Ann Arbor"	0	19489
"1970"	"Male"	"Ball State University"	0	19489
"1970"	"Gender"	"Stanford University"	0	19489
"1970"	"Gender"	"Ball State University"	0	19489
"1970"	"Gender"	"University of California-Berkeley"	0	19489
"1970"	"Male"	"University of California-Berkeley"	0	19489
"1971"	"Female"	"Stanford University"	0	19489
"1971"	"Male"	"Stanford University"	1305	19489
"1971"	"Male"	"Ball State University"	0	19489
"1971"	"Gender"	"Stanford University"	0	19489
"1971"	"Male"	"University of Michigan at Ann Arbor"	9092	19489
"1971"	"Gender"	"University of California-Berkeley"	0	19489
"1971"	"Female"	"University of California-Berkeley"	0	19489
"1971"	"Gender"	"Ball State University"	0	19489
"1971"	"Gender"	"University of Michigan at Ann Arbor"	0	19489
"1971"	"Female"	"Ball State University"	0	19489
"1971"	"Male"	"University of California-Berkeley"	0	19489
"1971"	"Female"	"University of Michigan at Ann Arbor"	9092	19489
"1972"	"Male"	"University of Michigan at Ann Arbor"	9092	18184
"1972"	"Gender"	"University of Michigan at Ann Arbor"	0	18184
"1972"	"Male"	"Stanford University"	0	18184
"1972"	"Gender"	"Ball State University"	0	18184
"1972"	"Male"	"Ball State University"	0	18184
"1972"	"Female"	"Stanford University"	0	18184
"1972"	"Female"	"University of Michigan at Ann Arbor"	9092	18184
"1972"	"Male"	"University of California-Berkeley"	0	18184
"1972"	"Gender"	"Stanford University"	0	18184
"1972"	"Gender"	"University of California-Berkeley"	0	18184
"1972"	"Female"	"Ball State University"	0	18184
"1972"	"Female"	"University of California-Berkeley"	0	18184
"1973"	"Gender"	"Stanford University"	0	19496
"1973"	"Female"	"University of California-Berkeley"	0	19496
"1973"	"Female"	"Stanford University"	0	19496
"1973"	"Male"	"University of Michigan at Ann Arbor"	9092	19496
"1973"	"Gender"	"Ball State University"	0	19496
"1973"	"Male"	"University of California-Berkeley"	1312	19496
