"year"	"gender"	"field"	"count"	"total"
"1966"	"Female"	"Brandeis University"	0	4779
"1966"	"Gender"	"University of Rhode Island"	0	4779
"1966"	"Female"	"University of California-Berkeley"	1312	4779
"1966"	"Male"	"University of Michigan at Ann Arbor"	0	4779
"1966"	"Female"	"Harvard University"	0	4779
"1966"	"Male"	"Northeastern University"	0	4779
"1966"	"Gender"	"Brandeis University"	0	4779
"1966"	"Male"	"University of Rhode Island"	0	4779
"1966"	"Female"	"Northeastern University"	0	4779
"1966"	"Male"	"Stanford University"	0	4779
"1966"	"Gender"	"University of Michigan at Ann Arbor"	0	4779
"1966"	"Female"	"Stanford University"	0	4779
"1966"	"Male"	"Brandeis University"	0	4779
"1966"	"Male"	"University of California-Berkeley"	1312	4779
"1966"	"Gender"	"Northeastern University"	0	4779
"1966"	"Female"	"University of Michigan at Ann Arbor"	0	4779
"1966"	"Male"	"Harvard University"	2155	4779
"1966"	"Gender"	"Stanford University"	0	4779
"1966"	"Gender"	"Harvard University"	0	4779
"1966"	"Female"	"University of Rhode Island"	0	4779
"1966"	"Gender"	"University of California-Berkeley"	0	4779
"1967"	"Male"	"Harvard University"	2155	6934
"1967"	"Female"	"University of Michigan at Ann Arbor"	0	6934
"1967"	"Gender"	"Northeastern University"	0	6934
"1967"	"Gender"	"Brandeis University"	0	6934
"1967"	"Gender"	"University of Michigan at Ann Arbor"	0	6934
"1967"	"Male"	"Brandeis University"	0	6934
"1967"	"Female"	"Brandeis University"	0	6934
"1967"	"Gender"	"Harvard University"	0	6934
"1967"	"Gender"	"University of Rhode Island"	0	6934
"1967"	"Female"	"University of California-Berkeley"	1312	6934
"1967"	"Female"	"Harvard University"	2155	6934
"1967"	"Male"	"University of California-Berkeley"	1312	6934
"1967"	"Male"	"Northeastern University"	0	6934
"1967"	"Female"	"University of Rhode Island"	0	6934
"1967"	"Female"	"Northeastern University"	0	6934
"1967"	"Gender"	"Stanford University"	0	6934
"1967"	"Male"	"Stanford University"	0	6934
"1967"	"Male"	"University of Rhode Island"	0	6934
"1967"	"Female"	"Stanford University"	0	6934
"1967"	"Male"	"University of Michigan at Ann Arbor"	0	6934
"1967"	"Gender"	"University of California-Berkeley"	0	6934
"1968"	"Male"	"Brandeis University"	0	6934
"1968"	"Gender"	"Brandeis University"	0	6934
"1968"	"Male"	"Northeastern University"	0	6934
"1968"	"Male"	"Harvard University"	2155	6934
"1968"	"Gender"	"Northeastern University"	0	6934
"1968"	"Gender"	"Harvard University"	0	6934
"1968"	"Female"	"University of Michigan at Ann Arbor"	0	6934
"1968"	"Female"	"Brandeis University"	0	6934
"1968"	"Gender"	"Stanford University"	0	6934
"1968"	"Male"	"University of California-Berkeley"	1312	6934
"1968"	"Female"	"University of Rhode Island"	0	6934
"1968"	"Female"	"Stanford University"	0	6934
"1968"	"Gender"	"University of California-Berkeley"	0	6934
"1968"	"Male"	"University of Michigan at Ann Arbor"	0	6934
"1968"	"Male"	"Stanford University"	0	6934
"1968"	"Female"	"University of California-Berkeley"	1312	6934
"1968"	"Female"	"Harvard University"	2155	6934
"1968"	"Male"	"University of Rhode Island"	0	6934
"1968"	"Gender"	"University of Michigan at Ann Arbor"	0	6934
"1968"	"Female"	"Northeastern University"	0	6934
"1968"	"Gender"	"University of Rhode Island"	0	6934
"1969"	"Male"	"University of California-Berkeley"	1312	4779
"1969"	"Gender"	"Brandeis University"	0	4779
"1969"	"Gender"	"Stanford University"	0	4779
"1969"	"Gender"	"Harvard University"	0	4779
"1969"	"Gender"	"Northeastern University"	0	4779
"1969"	"Female"	"Brandeis University"	0	4779
"1969"	"Male"	"University of Michigan at Ann Arbor"	0	4779
"1969"	"Male"	"Brandeis University"	0	4779
"1969"	"Female"	"Stanford University"	0	4779
"1969"	"Female"	"Harvard University"	0	4779
"1969"	"Gender"	"University of California-Berkeley"	0	4779
"1969"	"Male"	"Northeastern University"	0	4779
"1969"	"Male"	"Harvard University"	2155	4779
"1969"	"Female"	"Northeastern University"	0	4779
"1969"	"Gender"	"University of Rhode Island"	0	4779
"1969"	"Male"	"Stanford University"	0	4779
"1969"	"Female"	"University of Rhode Island"	0	4779
"1969"	"Gender"	"University of Michigan at Ann Arbor"	0	4779
"1969"	"Male"	"University of Rhode Island"	0	4779
"1969"	"Female"	"University of California-Berkeley"	1312	4779
"1969"	"Female"	"University of Michigan at Ann Arbor"	0	4779
"1970"	"Female"	"Brandeis University"	0	25118
"1970"	"Gender"	"Northeastern University"	0	25118
"1970"	"Female"	"Stanford University"	0	25118
"1970"	"Male"	"Brandeis University"	0	25118
"1970"	"Gender"	"Stanford University"	0	25118
"1970"	"Female"	"University of California-Berkeley"	1312	25118
"1970"	"Female"	"Harvard University"	2155	25118
"1970"	"Gender"	"University of California-Berkeley"	0	25118
"1970"	"Male"	"Stanford University"	0	25118
"1970"	"Gender"	"Brandeis University"	0	25118
"1970"	"Gender"	"University of Michigan at Ann Arbor"	0	25118
"1970"	"Male"	"Harvard University"	2155	25118
"1970"	"Male"	"University of California-Berkeley"	1312	25118
"1970"	"Gender"	"Harvard University"	0	25118
"1970"	"Gender"	"University of Rhode Island"	0	25118
"1970"	"Female"	"Northeastern University"	0	25118
"1970"	"Male"	"University of Michigan at Ann Arbor"	9092	25118
"1970"	"Male"	"Northeastern University"	0	25118
"1970"	"Female"	"University of Michigan at Ann Arbor"	9092	25118
"1970"	"Male"	"University of Rhode Island"	0	25118
"1970"	"Female"	"University of Rhode Island"	0	25118
"1971"	"Gender"	"University of Michigan at Ann Arbor"	0	27251
"1971"	"Gender"	"University of California-Berkeley"	0	27251
"1971"	"Female"	"University of Rhode Island"	0	27251
"1971"	"Male"	"Stanford University"	0	27251
"1971"	"Female"	"Brandeis University"	2133	27251
"1971"	"Male"	"University of California-Berkeley"	1312	27251
"1971"	"Female"	"Stanford University"	0	27251
"1971"	"Gender"	"University of Rhode Island"	0	27251
"1971"	"Male"	"Northeastern University"	0	27251
"1971"	"Male"	"University of Michigan at Ann Arbor"	9092	27251
"1971"	"Female"	"University of California-Berkeley"	1312	27251
"1971"	"Female"	"University of Michigan at Ann Arbor"	9092	27251
"1971"	"Male"	"Brandeis University"	0	27251
"1971"	"Male"	"University of Rhode Island"	0	27251
"1971"	"Gender"	"Brandeis University"	0	27251
"1971"	"Female"	"Northeastern University"	0	27251
"1971"	"Male"	"Harvard University"	2155	27251
"1971"	"Female"	"Harvard University"	2155	27251
"1971"	"Gender"	"Harvard University"	0	27251
"1971"	"Gender"	"Northeastern University"	0	27251
"1971"	"Gender"	"Stanford University"	0	27251
"1972"	"Male"	"University of California-Berkeley"	1312	29384
"1972"	"Gender"	"University of Michigan at Ann Arbor"	0	29384
"1972"	"Female"	"University of Rhode Island"	0	29384
"1972"	"Male"	"University of Michigan at Ann Arbor"	9092	29384
"1972"	"Female"	"Northeastern University"	0	29384
"1972"	"Gender"	"University of Rhode Island"	0	29384
"1972"	"Male"	"University of Rhode Island"	0	29384
"1972"	"Gender"	"Brandeis University"	0	29384
"1972"	"Gender"	"University of California-Berkeley"	0	29384
"1972"	"Male"	"Brandeis University"	2133	29384
"1972"	"Female"	"Brandeis University"	2133	29384
"1972"	"Gender"	"Harvard University"	0	29384
"1972"	"Male"	"Northeastern University"	0	29384
"1972"	"Male"	"Harvard University"	2155	29384
"1972"	"Female"	"University of Michigan at Ann Arbor"	9092	29384
