"year"	"gender"	"field"	"count"
1966	"Female"	"Agriculture"	2
1967	"Female"	"Agriculture"	0
1968	"Female"	"Agriculture"	0
1969	"Female"	"Agriculture"	7
1970	"Female"	"Agriculture"	10
1971	"Female"	"Agriculture"	3
1972	"Female"	"Agriculture"	3
1973	"Female"	"Agriculture"	3
1974	"Female"	"Agriculture"	3
1975	"Female"	"Agriculture"	13
1976	"Female"	"Agriculture"	15
1977	"Female"	"Agriculture"	20
1978	"Female"	"Agriculture"	26
1979	"Female"	"Agriculture"	30
1980	"Female"	"Agriculture"	35
1981	"Female"	"Agriculture"	44
1982	"Female"	"Agriculture"	38
1983	"Female"	"Agriculture"	30
1984	"Female"	"Agriculture"	23
1985	"Female"	"Agriculture"	19
1986	"Female"	"Agriculture"	13
1987	"Female"	"Agriculture"	12
1988	"Female"	"Agriculture"	16
1989	"Female"	"Agriculture"	16
1990	"Female"	"Agriculture"	13
1991	"Female"	"Agriculture"	16
1992	"Female"	"Agriculture"	22
1993	"Female"	"Agriculture"	39
1994	"Female"	"Agriculture"	37
1995	"Female"	"Agriculture"	38
1996	"Female"	"Agriculture"	59
1997	"Female"	"Agriculture"	93
1998	"Female"	"Agriculture"	126
1999	"Female"	"Agriculture"	142
2000	"Female"	"Agriculture"	172
2001	"Female"	"Agriculture"	153
2002	"Female"	"Agriculture"	174
2003	"Female"	"Agriculture"	157
2004	"Female"	"Agriculture"	165
2005	"Female"	"Agriculture"	156
2006	"Female"	"Agriculture"	161
2007	"Female"	"Agriculture"	177
2008	"Female"	"Agriculture"	184
2009	"Female"	"Agriculture"	183
2010	"Female"	"Agriculture"	251
2011	"Female"	"Agriculture"	289
1966	"Male"	"Agriculture"	16
1967	"Male"	"Agriculture"	15
1968	"Male"	"Agriculture"	11
1969	"Male"	"Agriculture"	73
1970	"Male"	"Agriculture"	35
1971	"Male"	"Agriculture"	28
1972	"Male"	"Agriculture"	39
1973	"Male"	"Agriculture"	41
1974	"Male"	"Agriculture"	64
1975	"Male"	"Agriculture"	59
1976	"Male"	"Agriculture"	63
1977	"Male"	"Agriculture"	71
1978	"Male"	"Agriculture"	78
1979	"Male"	"Agriculture"	67
1980	"Male"	"Agriculture"	69
1981	"Male"	"Agriculture"	77
1982	"Male"	"Agriculture"	74
1983	"Male"	"Agriculture"	70
1984	"Male"	"Agriculture"	61
1985	"Male"	"Agriculture"	40
1986	"Male"	"Agriculture"	41
1987	"Male"	"Agriculture"	25
1988	"Male"	"Agriculture"	27
1989	"Male"	"Agriculture"	27
1990	"Male"	"Agriculture"	31
1991	"Male"	"Agriculture"	21
1992	"Male"	"Agriculture"	25
1993	"Male"	"Agriculture"	53
1994	"Male"	"Agriculture"	30
1995	"Male"	"Agriculture"	60
1996	"Male"	"Agriculture"	84
1997	"Male"	"Agriculture"	66
1998	"Male"	"Agriculture"	97
1999	"Male"	"Agriculture"	124
2000	"Male"	"Agriculture"	138
2001	"Male"	"Agriculture"	109
2002	"Male"	"Agriculture"	129
2003	"Male"	"Agriculture"	125
2004	"Male"	"Agriculture"	110
2005	"Male"	"Agriculture"	110
2006	"Male"	"Agriculture"	116
2007	"Male"	"Agriculture"	132
2008	"Male"	"Agriculture"	142
2009	"Male"	"Agriculture"	136
2010	"Male"	"Agriculture"	161
2011	"Male"	"Agriculture"	217
1966	"Female"	"Anthropology"	1
1967	"Female"	"Anthropology"	3
1968	"Female"	"Anthropology"	10
1969	"Female"	"Anthropology"	17
1970	"Female"	"Anthropology"	9
1971	"Female"	"Anthropology"	18
1972	"Female"	"Anthropology"	19
1973	"Female"	"Anthropology"	23
1974	"Female"	"Anthropology"	25
1975	"Female"	"Anthropology"	10
1976	"Female"	"Anthropology"	35
1977	"Female"	"Anthropology"	22
1978	"Female"	"Anthropology"	28
1979	"Female"	"Anthropology"	30
1980	"Female"	"Anthropology"	28
1981	"Female"	"Anthropology"	25
1982	"Female"	"Anthropology"	33
1983	"Female"	"Anthropology"	20
1984	"Female"	"Anthropology"	21
1985	"Female"	"Anthropology"	13
1986	"Female"	"Anthropology"	10
1987	"Female"	"Anthropology"	8
1988	"Female"	"Anthropology"	16
1989	"Female"	"Anthropology"	10
1990	"Female"	"Anthropology"	18
1991	"Female"	"Anthropology"	32
1992	"Female"	"Anthropology"	40
1993	"Female"	"Anthropology"	45
1994	"Female"	"Anthropology"	53
1995	"Female"	"Anthropology"	39
1996	"Female"	"Anthropology"	45
1997	"Female"	"Anthropology"	49
1998	"Female"	"Anthropology"	67
1999	"Female"	"Anthropology"	70
2000	"Female"	"Anthropology"	62
2001	"Female"	"Anthropology"	79
2002	"Female"	"Anthropology"	79
2003	"Female"	"Anthropology"	95
2004	"Female"	"Anthropology"	89
2005	"Female"	"Anthropology"	86
2006	"Female"	"Anthropology"	90
2007	"Female"	"Anthropology"	104
2008	"Female"	"Anthropology"	126
2009	"Female"	"Anthropology"	139
2010	"Female"	"Anthropology"	152
2011	"Female"	"Anthropology"	155
1966	"Male"	"Anthropology"	4
1967	"Male"	"Anthropology"	5
1968	"Male"	"Anthropology"	12
1969	"Male"	"Anthropology"	13
1970	"Male"	"Anthropology"	7
1971	"Male"	"Anthropology"	13
1972	"Male"	"Anthropology"	15
1973	"Male"	"Anthropology"	14
1974	"Male"	"Anthropology"	8
1975	"Male"	"Anthropology"	8
1976	"Male"	"Anthropology"	20
1977	"Male"	"Anthropology"	18
1978	"Male"	"Anthropology"	10
1979	"Male"	"Anthropology"	14
1980	"Male"	"Anthropology"	13
1981	"Male"	"Anthropology"	13
1982	"Male"	"Anthropology"	9
1983	"Male"	"Anthropology"	7
1984	"Male"	"Anthropology"	12
1985	"Male"	"Anthropology"	10
1986	"Male"	"Anthropology"	6
1987	"Male"	"Anthropology"	12
1988	"Male"	"Anthropology"	4
1989	"Male"	"Anthropology"	6
1990	"Male"	"Anthropology"	15
1991	"Male"	"Anthropology"	8
1992	"Male"	"Anthropology"	17
1993	"Male"	"Anthropology"	25
1994	"Male"	"Anthropology"	24
1995	"Male"	"Anthropology"	24
1996	"Male"	"Anthropology"	22
1997	"Male"	"Anthropology"	37
1998	"Male"	"Anthropology"	30
1999	"Male"	"Anthropology"	25
2000	"Male"	"Anthropology"	28
2001	"Male"	"Anthropology"	40
2002	"Male"	"Anthropology"	24
2003	"Male"	"Anthropology"	27
2004	"Male"	"Anthropology"	41
2005	"Male"	"Anthropology"	37
2006	"Male"	"Anthropology"	35
2007	"Male"	"Anthropology"	32
2008	"Male"	"Anthropology"	31
2009	"Male"	"Anthropology"	45
