"year"	"gender"	"field"	"count"
1966	"Female"	"Agriculture"	11
1967	"Female"	"Agriculture"	21
1968	"Female"	"Agriculture"	26
1969	"Female"	"Agriculture"	49
1970	"Female"	"Agriculture"	62
1971	"Female"	"Agriculture"	41
1972	"Female"	"Agriculture"	66
1973	"Female"	"Agriculture"	91
1974	"Female"	"Agriculture"	164
1975	"Female"	"Agriculture"	205
1976	"Female"	"Agriculture"	317
1977	"Female"	"Agriculture"	393
1978	"Female"	"Agriculture"	548
1979	"Female"	"Agriculture"	668
1980	"Female"	"Agriculture"	762
1981	"Female"	"Agriculture"	735
1982	"Female"	"Agriculture"	822
1983	"Female"	"Agriculture"	777
1984	"Female"	"Agriculture"	711
1985	"Female"	"Agriculture"	685
1986	"Female"	"Agriculture"	651
1987	"Female"	"Agriculture"	564
1988	"Female"	"Agriculture"	561
1989	"Female"	"Agriculture"	518
1990	"Female"	"Agriculture"	518
1991	"Female"	"Agriculture"	506
1992	"Female"	"Agriculture"	743
1993	"Female"	"Agriculture"	816
1994	"Female"	"Agriculture"	969
1995	"Female"	"Agriculture"	1061
1996	"Female"	"Agriculture"	1283
1997	"Female"	"Agriculture"	1453
1998	"Female"	"Agriculture"	1432
1999	"Female"	"Agriculture"	1505
2000	"Female"	"Agriculture"	1574
2001	"Female"	"Agriculture"	1520
2002	"Female"	"Agriculture"	1691
2003	"Female"	"Agriculture"	1595
2004	"Female"	"Agriculture"	1470
2005	"Female"	"Agriculture"	1649
2006	"Female"	"Agriculture"	1626
2007	"Female"	"Agriculture"	1603
2008	"Female"	"Agriculture"	1930
2009	"Female"	"Agriculture"	1815
2010	"Female"	"Agriculture"	1894
2011	"Female"	"Agriculture"	2115
1966	"Male"	"Agriculture"	1052
1967	"Male"	"Agriculture"	1200
1968	"Male"	"Agriculture"	1324
1969	"Male"	"Agriculture"	1499
1970	"Male"	"Agriculture"	1824
1971	"Male"	"Agriculture"	2005
1972	"Male"	"Agriculture"	2203
1973	"Male"	"Agriculture"	2330
1974	"Male"	"Agriculture"	2496
1975	"Male"	"Agriculture"	2244
1976	"Male"	"Agriculture"	2292
1977	"Male"	"Agriculture"	2394
1978	"Male"	"Agriculture"	2491
1979	"Male"	"Agriculture"	2486
1980	"Male"	"Agriculture"	2301
1981	"Male"	"Agriculture"	2135
1982	"Male"	"Agriculture"	2106
1983	"Male"	"Agriculture"	1923
1984	"Male"	"Agriculture"	1732
1985	"Male"	"Agriculture"	1696
1986	"Male"	"Agriculture"	1633
1987	"Male"	"Agriculture"	1395
1988	"Male"	"Agriculture"	1347
1989	"Male"	"Agriculture"	1310
1990	"Male"	"Agriculture"	1224
1991	"Male"	"Agriculture"	1086
1992	"Male"	"Agriculture"	1482
1993	"Male"	"Agriculture"	1702
1994	"Male"	"Agriculture"	1924
1995	"Male"	"Agriculture"	2213
1996	"Male"	"Agriculture"	2393
1997	"Male"	"Agriculture"	2399
1998	"Male"	"Agriculture"	2391
1999	"Male"	"Agriculture"	2418
2000	"Male"	"Agriculture"	2444
2001	"Male"	"Agriculture"	2152
2002	"Male"	"Agriculture"	2149
2003	"Male"	"Agriculture"	1991
2004	"Male"	"Agriculture"	1931
2005	"Male"	"Agriculture"	1940
2006	"Male"	"Agriculture"	1993
2007	"Male"	"Agriculture"	2099
2008	"Male"	"Agriculture"	2152
2009	"Male"	"Agriculture"	2231
2010	"Male"	"Agriculture"	2253
2011	"Male"	"Agriculture"	2427
1966	"Female"	"Anthropology"	150
1967	"Female"	"Anthropology"	221
1968	"Female"	"Anthropology"	264
1969	"Female"	"Anthropology"	352
1970	"Female"	"Anthropology"	391
1971	"Female"	"Anthropology"	482
1972	"Female"	"Anthropology"	599
1973	"Female"	"Anthropology"	581
1974	"Female"	"Anthropology"	654
1975	"Female"	"Anthropology"	596
1976	"Female"	"Anthropology"	552
1977	"Female"	"Anthropology"	576
1978	"Female"	"Anthropology"	508
1979	"Female"	"Anthropology"	465
1980	"Female"	"Anthropology"	470
1981	"Female"	"Anthropology"	393
1982	"Female"	"Anthropology"	386
1983	"Female"	"Anthropology"	347
1984	"Female"	"Anthropology"	324
1985	"Female"	"Anthropology"	282
1986	"Female"	"Anthropology"	313
1987	"Female"	"Anthropology"	317
1988	"Female"	"Anthropology"	260
1989	"Female"	"Anthropology"	296
1990	"Female"	"Anthropology"	342
1991	"Female"	"Anthropology"	355
1992	"Female"	"Anthropology"	492
1993	"Female"	"Anthropology"	502
1994	"Female"	"Anthropology"	606
1995	"Female"	"Anthropology"	644
1996	"Female"	"Anthropology"	716
1997	"Female"	"Anthropology"	728
1998	"Female"	"Anthropology"	789
1999	"Female"	"Anthropology"	764
2000	"Female"	"Anthropology"	837
2001	"Female"	"Anthropology"	811
2002	"Female"	"Anthropology"	921
2003	"Female"	"Anthropology"	938
2004	"Female"	"Anthropology"	963
2005	"Female"	"Anthropology"	981
2006	"Female"	"Anthropology"	1018
2007	"Female"	"Anthropology"	1037
2008	"Female"	"Anthropology"	1124
2009	"Female"	"Anthropology"	1184
2010	"Female"	"Anthropology"	1289
2011	"Female"	"Anthropology"	1408
1966	"Male"	"Anthropology"	109
1967	"Male"	"Anthropology"	148
1968	"Male"	"Anthropology"	150
1969	"Male"	"Anthropology"	217
1970	"Male"	"Anthropology"	298
1971	"Male"	"Anthropology"	406
1972	"Male"	"Anthropology"	461
1973	"Male"	"Anthropology"	566
1974	"Male"	"Anthropology"	519
1975	"Male"	"Anthropology"	448
1976	"Male"	"Anthropology"	404
1977	"Male"	"Anthropology"	432
1978	"Male"	"Anthropology"	361
1979	"Male"	"Anthropology"	315
1980	"Male"	"Anthropology"	290
1981	"Male"	"Anthropology"	230
1982	"Male"	"Anthropology"	200
1983	"Male"	"Anthropology"	204
1984	"Male"	"Anthropology"	203
1985	"Male"	"Anthropology"	195
1986	"Male"	"Anthropology"	185
1987	"Male"	"Anthropology"	172
1988	"Male"	"Anthropology"	163
1989	"Male"	"Anthropology"	183
1990	"Male"	"Anthropology"	215
1991	"Male"	"Anthropology"	251
1992	"Male"	"Anthropology"	269
1993	"Male"	"Anthropology"	301
1994	"Male"	"Anthropology"	329
1995	"Male"	"Anthropology"	376
1996	"Male"	"Anthropology"	406
1997	"Male"	"Anthropology"	493
1998	"Male"	"Anthropology"	492
1999	"Male"	"Anthropology"	412
2000	"Male"	"Anthropology"	436
2001	"Male"	"Anthropology"	417
2002	"Male"	"Anthropology"	452
2003	"Male"	"Anthropology"	451
2004	"Male"	"Anthropology"	453
2005	"Male"	"Anthropology"	471
2006	"Male"	"Anthropology"	518
2007	"Male"	"Anthropology"	482
2008	"Male"	"Anthropology"	588
2009	"Male"	"Anthropology"	575
2010	"Male"	"Anthropology"	613
2011	"Male"	"Anthropology"	630
1966	"Female"	"Area and Ethnic Studies"	47
1967	"Female"	"Area and Ethnic Studies"	54
1968	"Female"	"Area and Ethnic Studies"	78
1969	"Female"	"Area and Ethnic Studies"	104
1970	"Female"	"Area and Ethnic Studies"	146
1971	"Female"	"Area and Ethnic Studies"	204
1972	"Female"	"Area and Ethnic Studies"	241
1973	"Female"	"Area and Ethnic Studies"	332
1974	"Female"	"Area and Ethnic Studies"	325
1975	"Female"	"Area and Ethnic Studies"	278
1976	"Female"	"Area and Ethnic Studies"	312
1977	"Female"	"Area and Ethnic Studies"	283
1978	"Female"	"Area and Ethnic Studies"	284
1979	"Female"	"Area and Ethnic Studies"	255
1980	"Female"	"Area and Ethnic Studies"	234
1981	"Female"	"Area and Ethnic Studies"	194
1982	"Female"	"Area and Ethnic Studies"	237
1983	"Female"	"Area and Ethnic Studies"	217
1984	"Female"	"Area and Ethnic Studies"	231
1985	"Female"	"Area and Ethnic Studies"	161
1986	"Female"	"Area and Ethnic Studies"	172
1987	"Female"	"Area and Ethnic Studies"	151
1988	"Female"	"Area and Ethnic Studies"	126
1989	"Female"	"Area and Ethnic Studies"	132
1990	"Female"	"Area and Ethnic Studies"	167
1991	"Female"	"Area and Ethnic Studies"	203
1992	"Female"	"Area and Ethnic Studies"	238
1993	"Female"	"Area and Ethnic Studies"	284
1994	"Female"	"Area and Ethnic Studies"	321
1995	"Female"	"Area and Ethnic Studies"	287
1996	"Female"	"Area and Ethnic Studies"	339
1997	"Female"	"Area and Ethnic Studies"	354
1998	"Female"	"Area and Ethnic Studies"	360
1999	"Female"	"Area and Ethnic Studies"	399
2000	"Female"	"Area and Ethnic Studies"	431
2001	"Female"	"Area and Ethnic Studies"	413
2002	"Female"	"Area and Ethnic Studies"	444
2003	"Female"	"Area and Ethnic Studies"	441
2004	"Female"	"Area and Ethnic Studies"	467
2005	"Female"	"Area and Ethnic Studies"	486
2006	"Female"	"Area and Ethnic Studies"	536
2007	"Female"	"Area and Ethnic Studies"	560
2008	"Female"	"Area and Ethnic Studies"	570
2009	"Female"	"Area and Ethnic Studies"	573
2010	"Female"	"Area and Ethnic Studies"	506
2011	"Female"	"Area and Ethnic Studies"	552
1966	"Male"	"Area and Ethnic Studies"	25
1967	"Male"	"Area and Ethnic Studies"	35
1968	"Male"	"Area and Ethnic Studies"	50
1969	"Male"	"Area and Ethnic Studies"	65
1970	"Male"	"Area and Ethnic Studies"	82
1971	"Male"	"Area and Ethnic Studies"	139
1972	"Male"	"Area and Ethnic Studies"	189
1973	"Male"	"Area and Ethnic Studies"	260
1974	"Male"	"Area and Ethnic Studies"	286
1975	"Male"	"Area and Ethnic Studies"	269
1976	"Male"	"Area and Ethnic Studies"	291
1977	"Male"	"Area and Ethnic Studies"	230
1978	"Male"	"Area and Ethnic Studies"	235
1979	"Male"	"Area and Ethnic Studies"	173
1980	"Male"	"Area and Ethnic Studies"	158
1981	"Male"	"Area and Ethnic Studies"	146
1982	"Male"	"Area and Ethnic Studies"	120
1983	"Male"	"Area and Ethnic Studies"	128
1984	"Male"	"Area and Ethnic Studies"	141
1985	"Male"	"Area and Ethnic Studies"	107
1986	"Male"	"Area and Ethnic Studies"	90
1987	"Male"	"Area and Ethnic Studies"	101
1988	"Male"	"Area and Ethnic Studies"	85
1989	"Male"	"Area and Ethnic Studies"	82
1990	"Male"	"Area and Ethnic Studies"	93
1991	"Male"	"Area and Ethnic Studies"	124
1992	"Male"	"Area and Ethnic Studies"	143
1993	"Male"	"Area and Ethnic Studies"	161
1994	"Male"	"Area and Ethnic Studies"	172
1995	"Male"	"Area and Ethnic Studies"	193
1996	"Male"	"Area and Ethnic Studies"	170
1997	"Male"	"Area and Ethnic Studies"	196
1998	"Male"	"Area and Ethnic Studies"	222
1999	"Male"	"Area and Ethnic Studies"	212
2000	"Male"	"Area and Ethnic Studies"	213
2001	"Male"	"Area and Ethnic Studies"	204
2002	"Male"	"Area and Ethnic Studies"	239
2003	"Male"	"Area and Ethnic Studies"	227
2004	"Male"	"Area and Ethnic Studies"	253
2005	"Male"	"Area and Ethnic Studies"	249
2006	"Male"	"Area and Ethnic Studies"	287
2007	"Male"	"Area and Ethnic Studies"	294
2008	"Male"	"Area and Ethnic Studies"	340
2009	"Male"	"Area and Ethnic Studies"	302
2010	"Male"	"Area and Ethnic Studies"	301
2011	"Male"	"Area and Ethnic Studies"	314
1966	"Female"	"Art/Architecture"	1605
1967	"Female"	"Art/Architecture"	2078
1968	"Female"	"Art/Architecture"	2717
1969	"Female"	"Art/Architecture"	3576
1970	"Female"	"Art/Architecture"	3786
1971	"Female"	"Art/Architecture"	3645
1972	"Female"	"Art/Architecture"	4115
1973	"Female"	"Art/Architecture"	4402
1974	"Female"	"Art/Architecture"	4965
1975	"Female"	"Art/Architecture"	5379
1976	"Female"	"Art/Architecture"	5605
1977	"Female"	"Art/Architecture"	5692
1978	"Female"	"Art/Architecture"	5787
1979	"Female"	"Art/Architecture"	6039
1980	"Female"	"Art/Architecture"	5975
1981	"Female"	"Art/Architecture"	5824
1982	"Female"	"Art/Architecture"	5630
1983	"Female"	"Art/Architecture"	5646
1984	"Female"	"Art/Architecture"	5543
1985	"Female"	"Art/Architecture"	5400
1986	"Female"	"Art/Architecture"	5178
1987	"Female"	"Art/Architecture"	5121
1988	"Female"	"Art/Architecture"	4857
1989	"Female"	"Art/Architecture"	5056
1990	"Female"	"Art/Architecture"	5322
1991	"Female"	"Art/Architecture"	5779
1992	"Female"	"Art/Architecture"	6115
1993	"Female"	"Art/Architecture"	6380
1994	"Female"	"Art/Architecture"	6488
1995	"Female"	"Art/Architecture"	6538
1996	"Female"	"Art/Architecture"	6404
1997	"Female"	"Art/Architecture"	6232
1998	"Female"	"Art/Architecture"	6356
1999	"Female"	"Art/Architecture"	6721
2000	"Female"	"Art/Architecture"	7122
2001	"Female"	"Art/Architecture"	7332
2002	"Female"	"Art/Architecture"	8216
2003	"Female"	"Art/Architecture"	8916
2004	"Female"	"Art/Architecture"	9637
2005	"Female"	"Art/Architecture"	10142
2006	"Female"	"Art/Architecture"	10615
2007	"Female"	"Art/Architecture"	10947
2008	"Female"	"Art/Architecture"	10961
2009	"Female"	"Art/Architecture"	10974
2010	"Female"	"Art/Architecture"	11723
2011	"Female"	"Art/Architecture"	11804
