"year"	"gender"	"field"	"count"	"total"
"1966"	"Female"	"Agriculture"	13	156699
"1966"	"Male"	"Life Sciences"	5479	156699
"1966"	"Female"	"Foreign Languages"	2485	156699
"1966"	"Female"	"Social Service Professions"	400	156699
"1966"	"Female"	"Business"	1855	156699
"1966"	"Male"	"Political Science and Public Administration"	2876	156699
"1966"	"Male"	"Agriculture"	1068	156699
"1966"	"Female"	"Math"	2156	156699
"1966"	"Female"	"Education"	39516	156699
"1966"	"Male"	"Social Service Professions"	165	156699
"1966"	"Male"	"Business"	17827	156699
"1966"	"Female"	"Psychology"	1737	156699
"1966"	"Female"	"History"	2625	156699
"1966"	"Male"	"Math"	4435	156699
"1966"	"Male"	"Education"	14058	156699
"1966"	"Female"	"Sociology"	2458	156699
"1966"	"Female"	"Other/Unknown"	315	156699
"1966"	"Male"	"Anthropology"	113	156699
"1966"	"Male"	"History"	5376	156699
"1966"	"Female"	"Social Sciences, Other"	2505	156699
"1966"	"Female"	"Religion"	7	156699
"1966"	"Male"	"Communication and Librarianship"	353	156699
"1966"	"Male"	"Other/Unknown"	564	156699
"1966"	"Female"	"Area and Ethnic Studies"	74	156699
"1966"	"Female"	"Vocational Studies and Home Economics"	1281	156699
"1966"	"Male"	"Engineering"	5191	156699
"1966"	"Male"	"Religion"	42	156699
"1966"	"Female"	"Computer Science"	2	156699
"1966"	"Female"	"Physical Sciences"	846	156699
"1966"	"Male"	"Humanities, Other"	943	156699
"1966"	"Male"	"Vocational Studies and Home Economics"	18	156699
"1966"	"Female"	"English and Literature"	7575	156699
"1966"	"Male"	"Art/Architecture"	1993	156699
"1966"	"Male"	"Physical Sciences"	5837	156699
"1966"	"Female"	"Art/Architecture"	2375	156699
"1966"	"Female"	"Life Sciences"	4224	156699
"1966"	"Male"	"Economics"	2385	156699
"1966"	"Male"	"Social Sciences, Other"	4453	156699
"1966"	"Female"	"Economics"	195	156699
"1966"	"Female"	"Political Science and Public Administration"	557	156699
"1966"	"Male"	"Foreign Languages"	1080	156699
"1966"	"Male"	"Psychology"	2648	156699
"1966"	"Female"	"Communication and Librarianship"	478	156699
"1966"	"Female"	"Anthropology"	151	156699
"1966"	"Male"	"Sociology"	1817	156699
"1966"	"Female"	"Engineering"	34	156699
"1966"	"Male"	"Area and Ethnic Studies"	52	156699
"1966"	"Female"	"Humanities, Other"	231	156699
"1966"	"Male"	"Computer Science"	19	156699
"1966"	"Male"	"English and Literature"	3812	156699
"1967"	"Male"	"Life Sciences"	5952	169555
"1967"	"Male"	"Political Science and Public Administration"	3369	169555
"1967"	"Female"	"Agriculture"	21	169555
"1967"	"Male"	"Social Service Professions"	162	169555
"1967"	"Female"	"Business"	2024	169555
"1967"	"Male"	"Math"	4647	169555
"1967"	"Male"	"Education"	14505	169555
"1967"	"Female"	"Education"	40103	169555
"1967"	"Male"	"Anthropology"	153	169555
"1967"	"Female"	"English and Literature"	8530	169555
"1967"	"Male"	"History"	5931	169555
"1967"	"Female"	"History"	3130	169555
"1967"	"Male"	"Communication and Librarianship"	373	169555
"1967"	"Male"	"Foreign Languages"	1245	169555
"1967"	"Female"	"Life Sciences"	4554	169555
"1967"	"Female"	"Humanities, Other"	200	169555
"1967"	"Male"	"Engineering"	5525	169555
"1967"	"Female"	"Anthropology"	224	169555
"1967"	"Female"	"Computer Science"	11	169555
"1967"	"Female"	"Foreign Languages"	2969	169555
"1967"	"Male"	"Humanities, Other"	882	169555
"1967"	"Female"	"Communication and Librarianship"	541	169555
"1967"	"Male"	"Economics"	2662	169555
"1967"	"Male"	"Agriculture"	1215	169555
"1967"	"Male"	"Computer Science"	44	169555
"1967"	"Female"	"Art/Architecture"	2973	169555
"1967"	"Female"	"Religion"	2	169555
"1967"	"Male"	"Business"	19641	169555
"1967"	"Male"	"English and Literature"	4361	169555
"1967"	"Female"	"Economics"	233	169555
