"year"	"gender"	"field"	"count"
1966	"Female"	"Agriculture"	0
1967	"Female"	"Agriculture"	0
1968	"Female"	"Agriculture"	0
1969	"Female"	"Agriculture"	1
1970	"Female"	"Agriculture"	0
1971	"Female"	"Agriculture"	0
1972	"Female"	"Agriculture"	0
1973	"Female"	"Agriculture"	0
1974	"Female"	"Agriculture"	0
1975	"Female"	"Agriculture"	0
1976	"Female"	"Agriculture"	1
1977	"Female"	"Agriculture"	3
1978	"Female"	"Agriculture"	4
1979	"Female"	"Agriculture"	5
1980	"Female"	"Agriculture"	7
1981	"Female"	"Agriculture"	4
1982	"Female"	"Agriculture"	15
1983	"Female"	"Agriculture"	12
1984	"Female"	"Agriculture"	8
1985	"Female"	"Agriculture"	8
1986	"Female"	"Agriculture"	5
1987	"Female"	"Agriculture"	7
1988	"Female"	"Agriculture"	3
1989	"Female"	"Agriculture"	3
1990	"Female"	"Agriculture"	3
1991	"Female"	"Agriculture"	4
1992	"Female"	"Agriculture"	11
1993	"Female"	"Agriculture"	17
1994	"Female"	"Agriculture"	25
1995	"Female"	"Agriculture"	31
1996	"Female"	"Agriculture"	43
1997	"Female"	"Agriculture"	43
1998	"Female"	"Agriculture"	53
1999	"Female"	"Agriculture"	41
2000	"Female"	"Agriculture"	54
2001	"Female"	"Agriculture"	44
2002	"Female"	"Agriculture"	43
2003	"Female"	"Agriculture"	55
2004	"Female"	"Agriculture"	37
2005	"Female"	"Agriculture"	41
2006	"Female"	"Agriculture"	41
2007	"Female"	"Agriculture"	35
2008	"Female"	"Agriculture"	42
2009	"Female"	"Agriculture"	36
2010	"Female"	"Agriculture"	42
2011	"Female"	"Agriculture"	36
1966	"Male"	"Agriculture"	1
1967	"Male"	"Agriculture"	0
1968	"Male"	"Agriculture"	13
1969	"Male"	"Agriculture"	21
1970	"Male"	"Agriculture"	12
1971	"Male"	"Agriculture"	5
1972	"Male"	"Agriculture"	14
1973	"Male"	"Agriculture"	21
1974	"Male"	"Agriculture"	15
1975	"Male"	"Agriculture"	14
1976	"Male"	"Agriculture"	42
1977	"Male"	"Agriculture"	24
1978	"Male"	"Agriculture"	26
1979	"Male"	"Agriculture"	30
1980	"Male"	"Agriculture"	20
1981	"Male"	"Agriculture"	22
1982	"Male"	"Agriculture"	38
1983	"Male"	"Agriculture"	43
1984	"Male"	"Agriculture"	35
1985	"Male"	"Agriculture"	39
1986	"Male"	"Agriculture"	28
1987	"Male"	"Agriculture"	27
1988	"Male"	"Agriculture"	23
1989	"Male"	"Agriculture"	20
1990	"Male"	"Agriculture"	22
1991	"Male"	"Agriculture"	22
1992	"Male"	"Agriculture"	24
1993	"Male"	"Agriculture"	36
1994	"Male"	"Agriculture"	54
1995	"Male"	"Agriculture"	57
1996	"Male"	"Agriculture"	86
1997	"Male"	"Agriculture"	85
1998	"Male"	"Agriculture"	101
1999	"Male"	"Agriculture"	85
2000	"Male"	"Agriculture"	63
2001	"Male"	"Agriculture"	62
2002	"Male"	"Agriculture"	47
2003	"Male"	"Agriculture"	76
2004	"Male"	"Agriculture"	46
2005	"Male"	"Agriculture"	45
2006	"Male"	"Agriculture"	50
2007	"Male"	"Agriculture"	54
2008	"Male"	"Agriculture"	51
2009	"Male"	"Agriculture"	51
2010	"Male"	"Agriculture"	81
2011	"Male"	"Agriculture"	66
1966	"Female"	"Anthropology"	0
1967	"Female"	"Anthropology"	0
1968	"Female"	"Anthropology"	0
1969	"Female"	"Anthropology"	0
1970	"Female"	"Anthropology"	0
1971	"Female"	"Anthropology"	0
1972	"Female"	"Anthropology"	2
1973	"Female"	"Anthropology"	5
1974	"Female"	"Anthropology"	1
1975	"Female"	"Anthropology"	2
1976	"Female"	"Anthropology"	0
1977	"Female"	"Anthropology"	1
1978	"Female"	"Anthropology"	1
1979	"Female"	"Anthropology"	3
1980	"Female"	"Anthropology"	0
1981	"Female"	"Anthropology"	2
1982	"Female"	"Anthropology"	3
1983	"Female"	"Anthropology"	5
1984	"Female"	"Anthropology"	6
1985	"Female"	"Anthropology"	7
1986	"Female"	"Anthropology"	6
1987	"Female"	"Anthropology"	6
1988	"Female"	"Anthropology"	8
1989	"Female"	"Anthropology"	9
1990	"Female"	"Anthropology"	11
1991	"Female"	"Anthropology"	12
1992	"Female"	"Anthropology"	12
1993	"Female"	"Anthropology"	15
1994	"Female"	"Anthropology"	10
1995	"Female"	"Anthropology"	10
1996	"Female"	"Anthropology"	15
