"year"	"gender"	"field"	"count"	"total"
"1966"	"Female"	"Agriculture"	0	11499
"1966"	"Male"	"Life Sciences"	528	11499
"1966"	"Female"	"Foreign Languages"	236	11499
"1966"	"Female"	"Social Service Professions"	0	11499
"1966"	"Female"	"Business"	158	11499
"1966"	"Male"	"Political Science and Public Administration"	132	11499
"1966"	"Male"	"Agriculture"	1	11499
"1966"	"Female"	"Math"	194	11499
"1966"	"Female"	"Education"	2424	11499
"1966"	"Male"	"Social Service Professions"	0	11499
"1966"	"Male"	"Business"	1519	11499
"1966"	"Female"	"Psychology"	156	11499
"1966"	"Female"	"History"	332	11499
"1966"	"Male"	"Math"	232	11499
"1966"	"Male"	"Education"	589	11499
"1966"	"Female"	"Sociology"	364	11499
"1966"	"Female"	"Other/Unknown"	17	11499
"1966"	"Male"	"Anthropology"	0	11499
"1966"	"Male"	"History"	547	11499
"1966"	"Female"	"Social Sciences, Other"	132	11499
"1966"	"Female"	"Religion"	0	11499
"1966"	"Male"	"Communication and Librarianship"	4	11499
"1966"	"Male"	"Other/Unknown"	15	11499
"1966"	"Female"	"Area and Ethnic Studies"	11	11499
"1966"	"Female"	"Vocational Studies and Home Economics"	110	11499
"1966"	"Male"	"Engineering"	170	11499
"1966"	"Male"	"Religion"	25	11499
"1966"	"Female"	"Computer Science"	0	11499
"1966"	"Female"	"Physical Sciences"	123	11499
"1966"	"Male"	"Humanities, Other"	151	11499
"1966"	"Male"	"Vocational Studies and Home Economics"	1	11499
"1966"	"Female"	"English and Literature"	803	11499
"1966"	"Male"	"Art/Architecture"	108	11499
"1966"	"Male"	"Physical Sciences"	271	11499
"1966"	"Female"	"Art/Architecture"	283	11499
"1966"	"Female"	"Life Sciences"	644	11499
"1966"	"Male"	"Economics"	172	11499
"1966"	"Male"	"Social Sciences, Other"	80	11499
"1966"	"Female"	"Economics"	28	11499
"1966"	"Female"	"Political Science and Public Administration"	53	11499
"1966"	"Male"	"Foreign Languages"	150	11499
"1966"	"Male"	"Psychology"	155	11499
"1966"	"Female"	"Communication and Librarianship"	23	11499
"1966"	"Female"	"Anthropology"	0	11499
"1966"	"Male"	"Sociology"	230	11499
"1966"	"Female"	"Engineering"	2	11499
"1966"	"Male"	"Area and Ethnic Studies"	0	11499
"1966"	"Female"	"Humanities, Other"	24	11499
"1966"	"Male"	"Computer Science"	4	11499
"1966"	"Male"	"English and Literature"	298	11499
"1967"	"Male"	"Life Sciences"	561	12672
"1967"	"Male"	"Political Science and Public Administration"	172	12672
"1967"	"Female"	"Agriculture"	0	12672
"1967"	"Male"	"Social Service Professions"	4	12672
"1967"	"Female"	"Business"	174	12672
"1967"	"Male"	"Math"	237	12672
"1967"	"Male"	"Education"	806	12672
"1967"	"Female"	"Education"	2509	12672
"1967"	"Male"	"Anthropology"	0	12672
"1967"	"Female"	"English and Literature"	885	12672
"1967"	"Male"	"History"	604	12672
"1967"	"Female"	"History"	411	12672
"1967"	"Male"	"Communication and Librarianship"	8	12672
"1967"	"Male"	"Foreign Languages"	91	12672
"1967"	"Female"	"Life Sciences"	687	12672
"1967"	"Female"	"Humanities, Other"	27	12672
"1967"	"Male"	"Engineering"	200	12672
"1967"	"Female"	"Anthropology"	0	12672
"1967"	"Female"	"Computer Science"	0	12672
"1967"	"Female"	"Foreign Languages"	265	12672
"1967"	"Male"	"Humanities, Other"	127	12672
"1967"	"Female"	"Communication and Librarianship"	16	12672
"1967"	"Male"	"Economics"	201	12672
"1967"	"Male"	"Agriculture"	0	12672
"1967"	"Male"	"Computer Science"	14	12672
"1967"	"Female"	"Art/Architecture"	343	12672
"1967"	"Female"	"Religion"	0	12672
"1967"	"Male"	"Business"	1706	12672
"1967"	"Male"	"English and Literature"	348	12672
"1967"	"Female"	"Economics"	37	12672
"1967"	"Female"	"Vocational Studies and Home Economics"	114	12672
"1967"	"Male"	"Art/Architecture"	138	12672
"1967"	"Male"	"Religion"	11	12672
"1967"	"Female"	"Sociology"	403	12672
"1967"	"Male"	"Area and Ethnic Studies"	0	12672
"1967"	"Female"	"Other/Unknown"	30	12672
"1967"	"Male"	"Vocational Studies and Home Economics"	1	12672
"1967"	"Female"	"Area and Ethnic Studies"	15	12672
"1967"	"Female"	"Math"	191	12672
"1967"	"Male"	"Physical Sciences"	281	12672
"1967"	"Male"	"Sociology"	263	12672
"1967"	"Female"	"Political Science and Public Administration"	77	12672
"1967"	"Female"	"Psychology"	181	12672
"1967"	"Male"	"Social Sciences, Other"	69	12672
"1967"	"Female"	"Physical Sciences"	90	12672
"1967"	"Female"	"Social Service Professions"	5	12672
"1967"	"Male"	"Psychology"	214	12672
"1967"	"Female"	"Engineering"	1	12672
"1967"	"Female"	"Social Sciences, Other"	107	12672
"1967"	"Male"	"Other/Unknown"	48	12672
"1968"	"Male"	"Political Science and Public Administration"	183	14042
"1968"	"Male"	"Life Sciences"	607	14042
"1968"	"Female"	"History"	363	14042
"1968"	"Female"	"Education"	2716	14042
"1968"	"Male"	"History"	662	14042
"1968"	"Male"	"Humanities, Other"	153	14042
"1968"	"Male"	"Communication and Librarianship"	12	14042
"1968"	"Female"	"Vocational Studies and Home Economics"	144	14042
"1968"	"Male"	"Social Service Professions"	0	14042
"1968"	"Female"	"Computer Science"	0	14042
"1968"	"Male"	"Engineering"	185	14042
"1968"	"Male"	"Anthropology"	0	14042
"1968"	"Female"	"Agriculture"	0	14042
"1968"	"Female"	"English and Literature"	943	14042
"1968"	"Female"	"Foreign Languages"	324	14042
"1968"	"Female"	"Art/Architecture"	363	14042
"1968"	"Female"	"Religion"	2	14042
"1968"	"Female"	"Life Sciences"	708	14042
"1968"	"Female"	"Area and Ethnic Studies"	6	14042
"1968"	"Female"	"Economics"	56	14042
"1968"	"Male"	"Social Sciences, Other"	105	14042
"1968"	"Male"	"Math"	277	14042
"1968"	"Male"	"Art/Architecture"	150	14042
"1968"	"Male"	"Education"	783	14042
"1968"	"Male"	"Area and Ethnic Studies"	3	14042
"1968"	"Female"	"Business"	202	14042
"1968"	"Male"	"Economics"	314	14042
"1968"	"Male"	"Vocational Studies and Home Economics"	2	14042
"1968"	"Male"	"Agriculture"	13	14042
"1968"	"Male"	"Physical Sciences"	318	14042
"1968"	"Male"	"Foreign Languages"	125	14042
"1968"	"Male"	"Psychology"	197	14042
"1968"	"Male"	"Business"	1945	14042
"1968"	"Female"	"Psychology"	198	14042
"1968"	"Female"	"Anthropology"	0	14042
"1968"	"Male"	"Sociology"	319	14042
"1968"	"Male"	"Religion"	30	14042
"1968"	"Female"	"Sociology"	495	14042
"1968"	"Female"	"Other/Unknown"	22	14042
"1968"	"Female"	"Physical Sciences"	126	14042
"1968"	"Female"	"Social Service Professions"	11	14042
"1968"	"Male"	"Other/Unknown"	78	14042
"1968"	"Female"	"Math"	234	14042
"1968"	"Male"	"Computer Science"	7	14042
"1968"	"Female"	"Communication and Librarianship"	15	14042
"1968"	"Female"	"Political Science and Public Administration"	81	14042
"1968"	"Female"	"Humanities, Other"	47	14042
"1968"	"Male"	"English and Literature"	400	14042
"1968"	"Female"	"Engineering"	0	14042
"1968"	"Female"	"Social Sciences, Other"	118	14042
"1969"	"Male"	"Life Sciences"	709	16570
"1969"	"Female"	"Life Sciences"	879	16570
"1969"	"Female"	"Education"	2893	16570
"1969"	"Male"	"History"	836	16570
"1969"	"Female"	"English and Literature"	1041	16570
"1969"	"Female"	"History"	448	16570
"1969"	"Male"	"Engineering"	255	16570
"1969"	"Female"	"Business"	248	16570
"1969"	"Female"	"Art/Architecture"	486	16570
"1969"	"Female"	"Humanities, Other"	46	16570
"1969"	"Male"	"English and Literature"	439	16570
"1969"	"Male"	"Physical Sciences"	327	16570
"1969"	"Female"	"Agriculture"	1	16570
"1969"	"Female"	"Political Science and Public Administration"	84	16570
"1969"	"Male"	"Art/Architecture"	228	16570
"1969"	"Female"	"Economics"	43	16570
"1969"	"Female"	"Other/Unknown"	24	16570
"1969"	"Male"	"Economics"	395	16570
"1969"	"Male"	"Political Science and Public Administration"	244	16570
"1969"	"Male"	"Humanities, Other"	204	16570
"1969"	"Female"	"Math"	269	16570
"1969"	"Male"	"Foreign Languages"	111	16570
"1969"	"Male"	"Social Service Professions"	0	16570
"1969"	"Male"	"Business"	2418	16570
"1969"	"Female"	"Psychology"	301	16570
"1969"	"Female"	"Anthropology"	3	16570
"1969"	"Male"	"Math"	330	16570
"1969"	"Male"	"Education"	868	16570
"1969"	"Female"	"Foreign Languages"	397	16570
"1969"	"Female"	"Communication and Librarianship"	22	16570
"1969"	"Male"	"Psychology"	282	16570
"1969"	"Male"	"Anthropology"	2	16570
"1969"	"Male"	"Computer Science"	13	16570
"1969"	"Female"	"Engineering"	1	16570
"1969"	"Female"	"Religion"	7	16570
"1969"	"Male"	"Communication and Librarianship"	16	16570
"1969"	"Male"	"Other/Unknown"	47	16570
"1969"	"Female"	"Area and Ethnic Studies"	18	16570
"1969"	"Female"	"Vocational Studies and Home Economics"	191	16570
"1969"	"Male"	"Area and Ethnic Studies"	19	16570
"1969"	"Male"	"Religion"	8	16570
"1969"	"Female"	"Computer Science"	1	16570
"1969"	"Female"	"Physical Sciences"	105	16570
"1969"	"Male"	"Social Sciences, Other"	133	16570
"1969"	"Male"	"Vocational Studies and Home Economics"	1	16570
"1969"	"Male"	"Agriculture"	21	16570
"1969"	"Female"	"Social Sciences, Other"	162	16570
"1969"	"Female"	"Sociology"	609	16570
"1969"	"Male"	"Sociology"	367	16570
"1969"	"Female"	"Social Service Professions"	18	16570
"1970"	"Male"	"Physical Sciences"	385	17991
"1970"	"Female"	"Vocational Studies and Home Economics"	207	17991
"1970"	"Male"	"Social Sciences, Other"	155	17991
"1970"	"Male"	"Computer Science"	21	17991
"1970"	"Female"	"Economics"	51	17991
"1970"	"Female"	"English and Literature"	1031	17991
"1970"	"Female"	"Political Science and Public Administration"	84	17991
"1970"	"Male"	"English and Literature"	424	17991
"1970"	"Female"	"Social Service Professions"	13	17991
"1970"	"Female"	"Foreign Languages"	421	17991
"1970"	"Male"	"Economics"	367	17991
"1970"	"Female"	"Business"	236	17991
"1970"	"Male"	"Political Science and Public Administration"	270	17991
"1970"	"Male"	"Social Service Professions"	0	17991
"1970"	"Female"	"Education"	3381	17991
"1970"	"Male"	"Foreign Languages"	107	17991
"1970"	"Male"	"Other/Unknown"	115	17991
"1970"	"Male"	"Business"	2778	17991
"1970"	"Male"	"Engineering"	270	17991
"1970"	"Female"	"Sociology"	599	17991
"1970"	"Male"	"Education"	961	17991
"1970"	"Female"	"Computer Science"	1	17991
"1970"	"Male"	"Vocational Studies and Home Economics"	2	17991
"1970"	"Female"	"Other/Unknown"	47	17991
"1970"	"Female"	"Social Sciences, Other"	183	17991
"1970"	"Male"	"Sociology"	465	17991
"1970"	"Female"	"Engineering"	3	17991
"1970"	"Female"	"Religion"	5	17991
"1970"	"Male"	"Communication and Librarianship"	17	17991
"1970"	"Female"	"Life Sciences"	898	17991
