"year"	"gender"	"field"	"count"	"total"
"1966"	"Female"	"Stanford University"	1305	3922
"1966"	"Gender"	"University of Maine"	0	3922
"1966"	"Female"	"University of Rhode Island"	0	3922
"1966"	"Male"	"University of California-Berkeley"	1312	3922
"1966"	"Female"	"University of California-Berkeley"	0	3922
"1966"	"Male"	"University of Maine"	0	3922
"1966"	"Gender"	"Stanford University"	0	3922
"1966"	"Female"	"University of Michigan at Ann Arbor"	0	3922
"1966"	"Female"	"University of Maine"	0	3922
"1966"	"Male"	"University of Michigan at Ann Arbor"	0	3922
"1966"	"Gender"	"University of California-Berkeley"	0	3922
"1966"	"Male"	"Stanford University"	1305	3922
"1966"	"Male"	"University of Rhode Island"	0	3922
"1966"	"Gender"	"University of Michigan at Ann Arbor"	0	3922
"1966"	"Gender"	"University of Rhode Island"	0	3922
"1967"	"Gender"	"Stanford University"	0	3922
"1967"	"Gender"	"University of Maine"	0	3922
"1967"	"Male"	"University of Maine"	0	3922
"1967"	"Male"	"University of California-Berkeley"	1312	3922
"1967"	"Gender"	"University of Michigan at Ann Arbor"	0	3922
"1967"	"Gender"	"University of California-Berkeley"	0	3922
"1967"	"Male"	"University of Michigan at Ann Arbor"	0	3922
"1967"	"Female"	"Stanford University"	1305	3922
"1967"	"Gender"	"University of Rhode Island"	0	3922
"1967"	"Male"	"University of Rhode Island"	0	3922
"1967"	"Male"	"Stanford University"	1305	3922
"1967"	"Female"	"University of California-Berkeley"	0	3922
"1967"	"Female"	"University of Rhode Island"	0	3922
"1967"	"Female"	"University of Maine"	0	3922
"1967"	"Female"	"University of Michigan at Ann Arbor"	0	3922
"1968"	"Gender"	"Stanford University"	0	2624
"1968"	"Gender"	"University of Maine"	0	2624
"1968"	"Gender"	"University of California-Berkeley"	0	2624
"1968"	"Female"	"University of California-Berkeley"	1312	2624
"1968"	"Male"	"University of Rhode Island"	0	2624
"1968"	"Male"	"University of Maine"	0	2624
"1968"	"Female"	"University of Maine"	0	2624
"1968"	"Gender"	"University of Michigan at Ann Arbor"	0	2624
"1968"	"Male"	"University of Michigan at Ann Arbor"	0	2624
"1968"	"Male"	"Stanford University"	0	2624
"1968"	"Female"	"University of Michigan at Ann Arbor"	0	2624
"1968"	"Female"	"Stanford University"	0	2624
"1968"	"Gender"	"University of Rhode Island"	0	2624
"1968"	"Male"	"University of California-Berkeley"	1312	2624
"1968"	"Female"	"University of Rhode Island"	0	2624
"1969"	"Gender"	"University of Maine"	0	1312
"1969"	"Female"	"Stanford University"	0	1312
"1969"	"Gender"	"University of Michigan at Ann Arbor"	0	1312
"1969"	"Gender"	"Stanford University"	0	1312
"1969"	"Male"	"University of California-Berkeley"	1312	1312
"1969"	"Female"	"University of California-Berkeley"	0	1312
"1969"	"Gender"	"University of Rhode Island"	0	1312
"1969"	"Gender"	"University of California-Berkeley"	0	1312
"1969"	"Male"	"University of Maine"	0	1312
"1969"	"Male"	"Stanford University"	0	1312
"1969"	"Female"	"University of Maine"	0	1312
"1969"	"Male"	"University of Rhode Island"	0	1312
"1969"	"Male"	"University of Michigan at Ann Arbor"	0	1312
"1969"	"Female"	"University of Rhode Island"	0	1312
"1969"	"Female"	"University of Michigan at Ann Arbor"	0	1312
"1970"	"Female"	"University of California-Berkeley"	0	19496
"1970"	"Gender"	"Stanford University"	0	19496
"1970"	"Male"	"University of Maine"	0	19496
"1970"	"Male"	"Stanford University"	0	19496
"1970"	"Female"	"University of Maine"	0	19496
"1970"	"Gender"	"University of California-Berkeley"	0	19496
"1970"	"Male"	"University of Michigan at Ann Arbor"	9092	19496
"1970"	"Male"	"University of California-Berkeley"	1312	19496
"1970"	"Female"	"University of Michigan at Ann Arbor"	9092	19496
"1970"	"Female"	"Stanford University"	0	19496
"1970"	"Gender"	"University of Maine"	0	19496
"1970"	"Male"	"University of Rhode Island"	0	19496
"1970"	"Female"	"University of Rhode Island"	0	19496
"1970"	"Gender"	"University of Michigan at Ann Arbor"	0	19496
"1970"	"Gender"	"University of Rhode Island"	0	19496
