"year"	"gender"	"field"	"count"	"total"
"1966"	"Female"	"Ball State University"	0	13850
"1966"	"Male"	"Tufts University"	0	13850
"1966"	"Gender"	"University of Michigan at Ann Arbor"	0	13850
"1966"	"Gender"	"Richard Stockton College of New Jersey"	0	13850
"1966"	"Male"	"Northeastern University"	2199	13850
"1966"	"Gender"	"University of Rhode Island"	0	13850
"1966"	"Gender"	"Ball State University"	0	13850
"1966"	"Female"	"University of California-Berkeley"	1312	13850
"1966"	"Gender"	"Tufts University"	0	13850
"1966"	"Male"	"University of Michigan at Ann Arbor"	0	13850
"1966"	"Female"	"Richard Stockton College of New Jersey"	0	13850
"1966"	"Male"	"University of Rhode Island"	3414	13850
"1966"	"Female"	"University of Rhode Island"	3414	13850
"1966"	"Male"	"Ball State University"	0	13850
"1966"	"Female"	"Stanford University"	0	13850
"1966"	"Gender"	"George Mason University"	0	13850
"1966"	"Male"	"George Mason University"	0	13850
"1966"	"Female"	"George Mason University"	0	13850
"1966"	"Male"	"University of California-Berkeley"	1312	13850
"1966"	"Gender"	"Northeastern University"	0	13850
"1966"	"Gender"	"Stanford University"	0	13850
"1966"	"Male"	"Richard Stockton College of New Jersey"	0	13850
"1966"	"Female"	"Northeastern University"	2199	13850
"1966"	"Female"	"Tufts University"	0	13850
"1966"	"Female"	"University of Michigan at Ann Arbor"	0	13850
"1966"	"Gender"	"University of California-Berkeley"	0	13850
"1966"	"Male"	"Stanford University"	0	13850
"1967"	"Male"	"Tufts University"	0	13850
"1967"	"Female"	"Stanford University"	0	13850
"1967"	"Gender"	"University of Michigan at Ann Arbor"	0	13850
"1967"	"Gender"	"Tufts University"	0	13850
"1967"	"Gender"	"University of Rhode Island"	0	13850
"1967"	"Male"	"University of California-Berkeley"	1312	13850
"1967"	"Gender"	"Ball State University"	0	13850
"1967"	"Female"	"University of Rhode Island"	3414	13850
"1967"	"Male"	"Richard Stockton College of New Jersey"	0	13850
"1967"	"Male"	"University of Michigan at Ann Arbor"	0	13850
"1967"	"Female"	"Richard Stockton College of New Jersey"	0	13850
"1967"	"Male"	"George Mason University"	0	13850
"1967"	"Gender"	"University of California-Berkeley"	0	13850
"1967"	"Female"	"Ball State University"	0	13850
"1967"	"Gender"	"Northeastern University"	0	13850
"1967"	"Female"	"George Mason University"	0	13850
"1967"	"Gender"	"George Mason University"	0	13850
"1967"	"Male"	"Northeastern University"	2199	13850
"1967"	"Female"	"Tufts University"	0	13850
"1967"	"Gender"	"Stanford University"	0	13850
"1967"	"Female"	"Northeastern University"	2199	13850
"1967"	"Male"	"Ball State University"	0	13850
"1967"	"Female"	"University of Michigan at Ann Arbor"	0	13850
"1967"	"Male"	"Stanford University"	0	13850
"1967"	"Gender"	"Richard Stockton College of New Jersey"	0	13850
"1967"	"Female"	"University of California-Berkeley"	1312	13850
"1967"	"Male"	"University of Rhode Island"	3414	13850
"1968"	"Male"	"Tufts University"	0	13850
"1968"	"Gender"	"University of Rhode Island"	0	13850
"1968"	"Female"	"Ball State University"	0	13850
"1968"	"Male"	"Ball State University"	0	13850
"1968"	"Female"	"Stanford University"	0	13850
"1968"	"Male"	"Northeastern University"	2199	13850
"1968"	"Female"	"George Mason University"	0	13850
"1968"	"Male"	"University of California-Berkeley"	1312	13850
"1968"	"Gender"	"Tufts University"	0	13850
"1968"	"Male"	"Richard Stockton College of New Jersey"	0	13850
"1968"	"Male"	"University of Michigan at Ann Arbor"	0	13850
"1968"	"Female"	"Northeastern University"	2199	13850
"1968"	"Female"	"University of Rhode Island"	3414	13850
