"year"	"gender"	"field"	"count"	"total"
"1966"	"Female"	"Agriculture"	0	119
"1966"	"Male"	"Engineering"	0	119
"1966"	"Female"	"Psychology"	0	119
"1966"	"Male"	"Vocational Studies and Home Economics"	0	119
"1966"	"Male"	"Computer Science"	0	119
"1966"	"Female"	"Life Sciences"	101	119
"1966"	"Male"	"Agriculture"	0	119
"1966"	"Male"	"Life Sciences"	16	119
"1966"	"Female"	"Engineering"	2	119
"1966"	"Male"	"Other/Unknown"	0	119
"1966"	"Female"	"Vocational Studies and Home Economics"	0	119
"1966"	"Male"	"Social Service Professions"	0	119
"1966"	"Female"	"Computer Science"	0	119
"1966"	"Female"	"Social Service Professions"	0	119
"1966"	"Female"	"Other/Unknown"	0	119
"1966"	"Female"	"Education"	0	119
"1966"	"Male"	"Education"	0	119
"1966"	"Male"	"Psychology"	0	119
"1967"	"Male"	"Education"	0	178
"1967"	"Male"	"Agriculture"	0	178
"1967"	"Female"	"Life Sciences"	157	178
"1967"	"Male"	"Social Service Professions"	0	178
"1967"	"Female"	"Agriculture"	0	178
"1967"	"Male"	"Engineering"	0	178
"1967"	"Female"	"Education"	0	178
"1967"	"Female"	"Vocational Studies and Home Economics"	0	178
"1967"	"Female"	"Computer Science"	0	178
"1967"	"Male"	"Computer Science"	0	178
"1967"	"Female"	"Social Service Professions"	0	178
"1967"	"Male"	"Other/Unknown"	0	178
"1967"	"Female"	"Psychology"	0	178
"1967"	"Female"	"Engineering"	1	178
"1967"	"Female"	"Other/Unknown"	0	178
"1967"	"Male"	"Vocational Studies and Home Economics"	0	178
"1967"	"Male"	"Life Sciences"	20	178
"1967"	"Male"	"Psychology"	0	178
"1968"	"Male"	"Agriculture"	0	377
"1968"	"Male"	"Engineering"	0	377
"1968"	"Female"	"Education"	0	377
"1968"	"Female"	"Computer Science"	0	377
"1968"	"Male"	"Life Sciences"	77	377
"1968"	"Female"	"Other/Unknown"	0	377
"1968"	"Female"	"Social Service Professions"	0	377
"1968"	"Female"	"Life Sciences"	300	377
"1968"	"Male"	"Education"	0	377
"1968"	"Female"	"Agriculture"	0	377
"1968"	"Male"	"Vocational Studies and Home Economics"	0	377
"1968"	"Male"	"Other/Unknown"	0	377
"1968"	"Male"	"Social Service Professions"	0	377
"1968"	"Female"	"Engineering"	0	377
"1968"	"Male"	"Psychology"	0	377
"1968"	"Female"	"Vocational Studies and Home Economics"	0	377
"1968"	"Male"	"Computer Science"	0	377
"1968"	"Female"	"Psychology"	0	377
"1969"	"Male"	"Engineering"	0	442
"1969"	"Female"	"Education"	0	442
"1969"	"Female"	"Agriculture"	0	442
"1969"	"Female"	"Social Service Professions"	0	442
"1969"	"Female"	"Computer Science"	1	442
"1969"	"Male"	"Computer Science"	2	442
"1969"	"Female"	"Other/Unknown"	0	442
"1969"	"Male"	"Agriculture"	0	442
"1969"	"Male"	"Social Service Professions"	0	442
"1969"	"Female"	"Engineering"	8	442
